ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G65970"	NA	chr5	-	26389335	26389424	26389497	26389558	26389157	26389232	26389630	26389747	0	54,80,78,46,79,79	83,92,75,65,97,107	38,48,32,78,74,20	51,44,34,43,55,26	160	188	1	1.0	0.433,0.505,0.55,0.454,0.489,0.465	0.467,0.562,0.525,0.681,0.613,0.475	-0.071
1	"AT5G65940"	NA	chr5	-	26378842	26378911	26378975	26379056	26378717	26378781	26379131	26379235	1	404,521,474,396,546,532	228,332,285,224,344,281	461,309,392,500,560,215	266,203,224,311,363,122	180	168	1	1.0	0.623,0.594,0.608,0.623,0.597,0.639	0.618,0.587,0.62,0.6,0.59,0.622	0.008
2	"AT5G66180"	NA	chr5	+	26450357	26450425	26450523	26450585	26450136	26450271	26450761	26451152	2	97,162,143,106,214,157	129,253,163,181,200,185	133,98,143,138,162,57	171,137,167,138,224,68	167	161	1	1.0	0.42,0.382,0.458,0.361,0.508,0.45	0.429,0.408,0.452,0.491,0.411,0.447	-0.01
3	"AT5G59770"	NA	chr5	-	24079962	24080009	24080110	24080178	24079796	24079894	24080373	24080427	3	114,177,129,126,173,135	98,100,93,95,101,117	134,117,128,186,190,65	131,83,87,98,126,41	167	146	1	1.0	0.504,0.607,0.548,0.537,0.6,0.502	0.472,0.552,0.563,0.624,0.569,0.581	-0.01
4	"AT5G52070"	NA	chr5	+	21162074	21162208	21163726	21163968	21161222	21161353	21164079	21164196	4	11,9,6,10,23,12	232,386,280,269,425,297	3,9,7,9,9,5	224,185,218,328,342,96	233	341	1	1.0	0.065,0.033,0.03,0.052,0.073,0.056	0.019,0.066,0.045,0.039,0.037,0.071	0.005
5	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968	5	103,109,112,135,159,141	22,29,20,37,40,16	110,78,107,124,141,38	17,6,10,14,23,7	212	169	1	1.0	0.789,0.75,0.817,0.744,0.76,0.875	0.838,0.912,0.895,0.876,0.83,0.812	-0.071
6	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163968	21161131	21161353	21164079	21164196	6	75,82,71,95,116,98	230,411,289,264,436,309	65,55,69,90,91,24	228,198,224,337,358,101	212	489	1	1.0	0.429,0.315,0.362,0.454,0.38,0.422	0.397,0.391,0.415,0.381,0.37,0.354	0.009
7	"AT5G52070"	NA	chr5	+	21162095	21162208	21163726	21163968	21161131	21161353	21164079	21164196	7	75,82,71,95,116,98	232,386,280,269,425,297	65,55,69,90,91,24	224,185,218,328,342,96	212	341	1	1.0	0.342,0.255,0.29,0.362,0.305,0.347	0.318,0.324,0.337,0.306,0.3,0.287	0.005
8	"AT5G48640"	NA	chr5	-	19724984	19725029	19725196	19725236	19724671	19724790	19725386	19725493	8	35,50,39,47,60,74	69,84,71,63,80,49	51,27,39,62,60,12	49,44,77,113,102,41	139	144	1	1.0	0.344,0.381,0.363,0.436,0.437,0.61	0.519,0.389,0.344,0.362,0.379,0.233	0.058
9	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	9	5,30,14,10,19,19	74,151,143,92,190,92	17,10,18,27,17,10	92,73,74,135,148,36	180	180	1	1.0	0.063,0.166,0.089,0.098,0.091,0.171	0.156,0.12,0.196,0.167,0.103,0.217	-0.047
10	"AT5G41960"	NA	chr5	+	16790288	16790368	16790492	16790545	16789972	16790194	16790637	16790748	10	178,304,198,150,263,208	91,142,121,71,125,117	141,104,100,176,199,77	67,45,41,83,106,23	179	152	1	1.0	0.624,0.645,0.582,0.642,0.641,0.602	0.641,0.662,0.674,0.643,0.615,0.74	-0.04
11	"AT5G41220"	NA	chr5	-	16496445	16496499	16496573	16496634	16496277	16496357	16496749	16496823	11	58,81,45,40,73,54	79,96,65,64,87,95	37,39,38,53,48,20	78,46,49,84,77,30	160	153	1	1.0	0.412,0.447,0.398,0.374,0.445,0.352	0.312,0.448,0.426,0.376,0.373,0.389	0.017
12	"AT5G40210"	NA	chr5	-	16074470	16074663	16075445	16075559	16074202	16074364	16075749	16075815	12	1,5,1,2,3,3	9,4,5,3,5,6	0,0,2,0,0,0	0,4,0,5,12,2	213	292	1	1.0	0.132,0.631,0.215,0.478,0.451,0.407	NA,0.0,1.0,0.0,0.0,0.0	0.186
13	"AT5G53170"	NA	chr5	-	21563281	21563335	21563430	21563520	21562717	21563172	21563720	21564002	13	498,854,628,558,735,609	198,303,189,168,265,242	611,398,505,706,696,224	231,136,186,249,248,78	189	153	1	1.0	0.671,0.695,0.729,0.729,0.692,0.671	0.682,0.703,0.687,0.697,0.694,0.699	0.004
15	"AT5G36180"	NA	chr5	+	14239654	14239731	14239820	14239943	14239403	14239580	14240035	14240138	15	204,182,116,131,185,233	325,370,237,228,371,381	101,60,72,52,155,44	256,135,193,123,270,127	176	222	1	1.0	0.442,0.383,0.382,0.42,0.386,0.435	0.332,0.359,0.32,0.348,0.42,0.304	0.061
