ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
33	"AT5G63760"	NA	chr5	-	25515877	25516918	25515877	25516074	25516219	25516918
130	"AT5G53900"	NA	chr5	-	21882328	21882907	21882328	21882434	21882856	21882907
140	"AT5G53020"	NA	chr5	+	21498423	21500829	21498423	21498605	21499888	21500829
174	"AT5G48640"	NA	chr5	-	19724984	19725493	19724984	19725029	19725386	19725493
235	"AT5G40910"	NA	chr5	+	16395210	16397169	16395210	16395275	16396097	16397169
270	"AT5G37370"	NA	chr5	-	14814767	14816046	14814767	14814848	14815937	14816046
285	"AT5G36002"	NA	chr5	-	14141794	14143303	14141794	14141949	14143015	14143303
303	"AT5G26980"	NA	chr5	-	9488132	9488831	9488132	9488361	9488704	9488831
378	"AT5G20360"	NA	chr5	-	6882361	6884630	6882361	6884285	6884345	6884630
413	"AT5G16800"	NA	chr5	-	5524272	5525039	5524272	5524701	5524835	5525039
448	"AT5G13660"	NA	chr5	+	4405093	4406813	4405093	4406365	4406614	4406813
499	"AT5G18245"	NA	chr5	+	6028150	6028582	6028150	6028330	6028516	6028582
503	"AT5G18245"	NA	chr5	+	6029601	6030596	6029601	6029684	6030356	6030596
525	"AT5G07570"	NA	chr5	+	2393102	2396329	2393102	2394677	2394758	2396329
538	"AT5G06690"	NA	chr5	-	2060442	2061047	2060442	2060749	2060980	2061047
716	"AT4G32850"	NA	chr4	+	15853669	15854241	15853669	15853753	15854043	15854241
721	"AT4G32850"	NA	chr4	+	15854164	15855186	15854164	15854211	15854362	15855186
774	"AT4G28680"	NA	chr4	+	14157417	14158001	14157417	14157474	14157877	14158001
829	"AT4G24590"	NA	chr4	+	12697216	12697842	12697216	12697377	12697733	12697842
847	"AT4G30820"	NA	chr4	+	15006493	15007211	15006493	15006557	15007106	15007211
850	"AT4G30820"	NA	chr4	+	15007106	15007858	15007106	15007211	15007366	15007858
939	"AT4G19670"	NA	chr4	-	10700919	10702174	10700919	10701365	10701503	10702174
997	"AT4G16765"	NA	chr4	-	9430743	9431480	9430743	9430844	9431428	9431480
1023	"AT4G14713"	NA	chr4	-	8427427	8428205	8427427	8427491	8428108	8428205
1031	"AT4G14385"	NA	chr4	-	8287347	8288148	8287347	8287430	8288078	8288148
1178	"AT4G03230"	NA	chr4	-	1421540	1422953	1421540	1422335	1422631	1422953
1250	"AT3G62750"	NA	chr3	+	23215853	23216355	23215853	23216083	23216267	23216355
1302	"AT3G59470"	NA	chr3	-	21979542	21980839	21979542	21980122	21980527	21980839
1354	"AT3G55850"	NA	chr3	-	20724352	20725024	20724352	20724459	20724922	20725024
1372	"AT3G54740"	NA	chr3	+	20262336	20264115	20262336	20262679	20263036	20264115
1432	"AT3G51360"	NA	chr3	-	19064538	19064948	19064538	19064610	19064851	19064948
1435	"AT3G51360"	NA	chr3	-	19066069	19066734	19066069	19066208	19066260	19066734
1533	"AT2G05520"	NA	chr2	+	2026523	2027283	2026523	2026610	2026649	2027283
1665	"AT1G35320"	NA	chr1	-	12959476	12960799	12959476	12959768	12960680	12960799
1812	"AT1G26890"	NA	chr1	+	9317588	9318869	9317588	9318473	9318731	9318869
1869	"AT1G63855"	NA	chr1	-	23699834	23700331	23699834	23699919	23700280	23700331
1906	"AT2G30740"	NA	chr2	+	13095650	13096492	13095650	13095700	13095848	13096492
2015	"AT1G56220"	NA	chr1	+	21043703	21044998	21043703	21043893	21044356	21044998
2031	"AT1G55750"	NA	chr1	-	20840974	20841489	20840974	20841022	20841375	20841489
2057	"AT2G44090"	NA	chr2	-	18239564	18241376	18239564	18239997	18241238	18241376
2112	"AT5G07100"	NA	chr5	+	2204205	2205165	2204205	2204539	2204812	2205165
2117	"AT3G13970"	NA	chr3	-	4613491	4614124	4613491	4613755	4614055	4614124
2135	"AT1G54440"	NA	chr1	+	20326797	20327518	20326797	20326875	20327359	20327518
2158	"AT4G17310"	NA	chr4	-	9685665	9686024	9685665	9685710	9685976	9686024
2208	"AT2G03480"	NA	chr2	+	1053007	1053574	1053007	1053169	1053270	1053574
2234	"AT1G44125"	NA	chr1	-	16783003	16786828	16783003	16783197	16786374	16786828
2235	"AT1G44125"	NA	chr1	-	16783003	16786828	16783003	16783921	16786374	16786828
2291	"AT1G09195"	NA	chr1	-	2967939	2968536	2967939	2968199	2968474	2968536
2292	"AT1G09195"	NA	chr1	-	2967939	2968536	2967939	2968254	2968474	2968536
2295	"AT1G09195"	NA	chr1	-	2967939	2968758	2967939	2968199	2968652	2968758
2296	"AT1G09195"	NA	chr1	-	2967939	2968758	2967939	2968254	2968652	2968758
2312	"AT5G66005"	NA	chr5	-	26398726	26399001	26398726	26398814	26398909	26399001
2330	"AT2G20815"	NA	chr2	+	8959254	8960923	8959254	8960041	8960760	8960923
2391	"AT4G08170"	NA	chr4	-	5164947	5166371	5164947	5165068	5166289	5166371
2469	"AT1G80040"	NA	chr1	-	30110696	30111284	30110696	30110725	30110880	30111284
2477	"AT1G02960"	NA	chr1	-	667150	667641	667150	667281	667540	667641
2500	"AT5G28080"	NA	chr5	-	10091593	10092721	10091593	10091821	10092314	10092721
2558	"AT5G64760"	NA	chr5	-	25896144	25896555	25896144	25896339	25896438	25896555
2580	"AT5G40240"	NA	chr5	-	16084251	16085213	16084251	16084453	16085023	16085213
2608	"AT4G39270"	NA	chr4	+	18276535	18279898	18276535	18278985	18279162	18279898
2617	"AT1G22430"	NA	chr1	+	7920827	7921386	7920827	7920892	7921224	7921386
2637	"AT1G22140"	NA	chr1	-	7814662	7815292	7814662	7814937	7815228	7815292
2653	"AT1G05830"	NA	chr1	+	1761083	1761817	1761083	1761228	1761554	1761817
2671	"AT1G06630"	NA	chr1	+	2027605	2027962	2027605	2027805	2027929	2027962
2681	"AT5G11580"	NA	chr5	+	3719096	3719809	3719096	3719267	3719684	3719809
2686	"AT1G02010"	NA	chr1	+	351411	351819	351411	351632	351736	351819
