groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1_x	log2fold_fio1_Col_0_x	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Parker_fio1.1_2.bam	countData.Parker_fio1.5_1.bam	countData.Parker_fio1.5_2.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1_y	log2fold_fio1_Col_0_y	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Wang_Col.0_1.bam	countData.Wang_Col.0_2.bam	countData.Wang_fio1_1.bam	countData.Wang_fio1_2.bam	transcripts_y
AT1G08550	E010	767.566867445808	0.0011636915598232	32.3976177466886	1.25640404368005e-08	9.69547814042203e-06	35.2998993484031	39.221597303027	0.372369267531058	1	2709532	2709988	457	+	586	617	915	825	740	975	"c(""AT1G08550.1"", ""AT1G08550.3"")"	AT1G08550:E010	AT1G08550	E010	627.929965809603	0.0017907009353261	27.7733442578885	1.36392434909934e-07	0.0002972805722618	31.8894248081956	27.2121109517863	-0.480049733950187	1	2709532	2709988	457	+	608	599	605	714	"c(""AT1G08550.1"", ""AT1G08550.3"")"
AT1G10840	E012	45.5517792375327	0.023160824440862	33.0799251265269	8.844721668098471e-09	7.17898102979772e-06	5.64438214119744	11.9860502120582	2.20023666269009	1	3610174	3610289	116	-	17	8	58	41	73	88	AT1G10840.2	AT1G10840:E012	AT1G10840	E012	10.5728483922279	0.0413047674972898	34.4639542974122	4.34218555413646e-09	1.74723979793895e-05	0.0475921872205731	5.41863303365335	13.6645220534247	1	3610174	3610289	116	-	0	0	23	24	AT1G10840.2
AT1G17350	E005	22.6684581700387	0.010438314551768	14.4389544119193	0.0001447764408925	0.0272590372820897	5.08466223570935	8.15574596123116	1.37327206472256	1	5941847	5942347	501	+	6	14	29	24	31	36	AT1G17350.5	AT1G17350:E005	AT1G17350	E005	8.43027245188368	0.0507890196645783	15.1328485750663	0.0001002044831315	0.0244940650191796	1.35031749060968	4.47945910902385	3.46154385343737	1	5941847	5942347	501	+	0	2	17	18	AT1G17350.5
AT1G18200+AT1G18210	E001	268.746645946063	0.0021950337801774	37.2036245984835	1.0641580136756902e-09	1.02271460833328e-06	21.5300769545871	26.3146951686901	0.634020834454876	1	6265416	6265884	469	-	238	215	317	255	266	339	AT1G18200.1	AT1G18200+AT1G18210:E001	AT1G18200+AT1G18210	E001	70.3579274865671	0.0056651007765643	20.4433419785494	6.1422863511316e-06	0.0044833262296252	8.4029723602363	11.6086128146391	0.937689479738039	1	6265416	6265884	469	-	46	46	101	99	AT1G18200.1
AT1G18950	E013	41.0577011652985	0.0051439581411985	88.7887412822569	4.3930912278124e-21	1.85996358653856e-17	4.19910880041408	11.6556563421201	2.97462668171651	1	6550670	6550681	12	+	6	8	45	60	65	71	AT1G18950.2	AT1G18950:E013	AT1G18950	E013	26.1029495676696	0.020448187287688	13.3269746916787	0.0002616152599221	0.0421026738953376	4.43154736255568	7.53934771817262	1.53630039036417	1	6550670	6550681	12	+	13	12	36	50	AT1G18950.2
AT1G23080	E013	155.954343376297	0.0057891136042681	79.1690464798934	5.701642587276131e-19	1.9003696054935802e-15	11.6116114036107	20.6493959549422	1.73179479937761	1	8182206	8182217	12	-	43	57	213	161	207	291	AT1G23080.1	AT1G23080:E013	AT1G23080	E013	287.934652393916	0.0018110251766561	105.707287933506	8.5472444309938e-25	1.91618230828613e-20	15.4668937948665	23.4862145653233	1.23070120428047	1	8182206	8182217	12	-	127	155	441	495	AT1G23080.1
AT1G27660	E006	111.701045612803	0.002510481584546	13.2482265617406	0.0002728378724723	0.0433914704553621	12.6963637783982	15.0233295662028	0.501271803777406	1	9625326	9625385	60	+	33	55	127	149	121	211	AT1G27660.1	AT1G27660:E006	AT1G27660	E006	98.1187861132791	0.0044645162648739	14.3123320216666	0.0001548471335633	0.0314363719498458	10.1433806522635	12.7237379821852	0.658787626914956	1	9625326	9625385	60	+	42	63	143	165	AT1G27660.1
AT1G53490+AT1G07887	E002	29.0941638786389	0.0829595877354501	16.292959501464	5.42651993322802e-05	0.0126876895608961	4.40323635647748	10.3770049650457	2.49508368676115	1	19963267	19964105	839	+	4	14	14	27	58	70	"c(""AT1G07887.1"", ""AT1G53490.1"")"	AT1G53490+AT1G07887:E002	AT1G53490+AT1G07887	E002	725.132428968411	0.0121306922236911	183.588403040022	7.979359654436739e-42	2.50441777986082e-37	10.6229471559556	26.9421794708851	2.73527675972115	1	19963267	19964105	839	+	34	18	1458	1710	"c(""AT1G07887.1"", ""AT1G53490.1"")"
AT1G54030	E005	89.1240370919475	0.0166385094124788	28.3801248323052	9.96834687730161e-08	6.19667251993275e-05	9.20599263017533	15.3611356664295	1.5141104094908	1	20169030	20169099	70	+	30	29	143	98	110	137	AT1G54030.2	AT1G54030:E005	AT1G54030	E005	28.6863216708035	0.0126294207224785	25.3750214857995	4.71990257326079e-07	0.0007406990307243	4.26101770208524	8.21343552739191	1.89760681959577	1	20169030	20169099	70	+	12	12	50	48	AT1G54030.2
AT1G54440	E018	60.0074892702523	0.0041946755137762	57.7040360258264	3.04677017458772e-14	6.0415524226521e-11	7.89777969222826	13.8754418165243	1.65776563083312	1	20326957	20327359	403	+	32	23	69	74	85	84	AT1G54440.4	AT1G54440:E018	AT1G54440	E018	43.7983585220676	0.0132566919861798	15.2734228264155	9.30160770753657e-05	0.0234548337581463	6.17320003143394	9.60174512715	1.2789772928794	1	20326957	20327359	403	+	23	28	56	77	AT1G54440.4
