groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1.1	fio1.5	log2fold_fio1.1_Col_0	log2fold_fio1.5_Col_0	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Sun_fio1.1_2.bam	countData.Sun_fio1.5_1.bam	countData.Sun_fio1.5_2.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1	log2fold_fio1_Col_0	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Wang_Col.0_1.bam	countData.Wang_Col.0_2.bam	countData.Wang_fio1_1.bam	countData.Wang_fio1_2.bam	transcripts_y
AT1G02205	E007	290.507264865748	0.0010807431804604	15.707872308731	0.0003882208596581	0.0093230133369947	26.0066946926567	22.8772481483508	25.5648558138548	-0.378788580685113	-0.0507597774052932	1	419297	419529	233	+	126	119	304	282	424	564	"c(""AT1G02205.2"", ""AT1G02205.4"", ""AT1G02205.3"", ""AT1G02205.5"", ""AT1G02205.1"")"	AT1G02205:E007	AT1G02205	E007	309.355913458941	0.0019119525281276	14.3685235668595	0.000150293771949	0.0309118635986075	18.8041869106932	21.878886232385	0.447155445332617	1	419297	419529	233	+	200	165	450	480	"c(""AT1G02205.2"", ""AT1G02205.4"", ""AT1G02205.3"", ""AT1G02205.5"", ""AT1G02205.1"")"
AT1G02840	E008	917.143585100934	0.0002776678349306	24.6471114424205	4.44577779986125e-06	0.0002557214057613	45.4861084506784	43.1918605428698	47.2740571068803	-0.160975617804937	0.120722561315668	1	627100	627165	66	+	862	849	810	813	1048	1209	"c(""AT1G02840.2"", ""AT1G02840.4"", ""AT1G02840.5"", ""AT1G02840.1"", ""AT1G02840.3"")"	AT1G02840:E008	AT1G02840	E008	787.217120857359	0.0009553570111715	16.1476552353605	5.85910574850331e-05	0.0184263469491383	30.9865915456479	34.4895357251503	0.327566909783647	1	627100	627165	66	+	661	589	958	1015	"c(""AT1G02840.2"", ""AT1G02840.4"", ""AT1G02840.5"", ""AT1G02840.1"", ""AT1G02840.3"")"
AT1G02890	E006	702.810001685038	0.0002733849571104	14.6621403491616	0.0006548723842085	0.0138452801780463	39.3664821233138	41.7039128628858	39.1725864397753	0.177301471421735	-0.015121184296893	1	646126	646310	185	-	632	706	680	672	705	872	"c(""AT1G02890.2"", ""AT1G02890.1"")"	AT1G02890:E006	AT1G02890	E006	534.293314259557	0.0007455229407273	15.7676071220439	7.16182736693962e-05	0.0203239191775986	25.7920205718691	28.6371980918865	0.314493837496865	1	646126	646310	185	-	422	423	643	700	"c(""AT1G02890.2"", ""AT1G02890.1"")"
AT1G03610	E006	671.729407806495	0.0003822903657008	20.1714531917258	4.16701048696472e-05	0.0016185803218625	39.2531003646289	40.5138564913547	37.8154127135466	0.0969896383404887	-0.11402916262373	1	902425	903070	646	+	614	666	556	610	745	912	"c(""AT1G03610.2"", ""AT1G03610.1"")"	AT1G03610:E006	AT1G03610	E006	321.506572790927	0.0021361066838453	19.757507056397	8.79156894046319e-06	0.0057247705618084	22.7157219845745	19.8513100001984	-0.398837070781921	1	902425	903070	646	+	326	345	267	344	"c(""AT1G03610.2"", ""AT1G03610.1"")"
AT1G05347+AT1G17870	E001	3582.27293744435	0.0004231437432356	13.5105783442477	0.0011647029859823	0.0215060696037073	82.0353509970659	80.9937933758834	82.5398956092882	-0.0462478495744385	0.0222739619855528	1	6149305	6149938	634	-	3605	3431	3561	3526	3222	4338	AT1G05347.1	AT1G05347+AT1G17870:E001	AT1G05347+AT1G17870	E001	2526.17155406009	0.0006805782553244	15.7919460917701	7.07028335747791e-05	0.0201382644201673	56.3924781147938	54.7400889397714	-0.100330778455696	1	6149305	6149938	634	-	2461	2416	2462	2815	AT1G05347.1
AT1G05850	E003	7750.83036510915	5.0545804791643e-05	77.594550853348	1.41435154535802e-17	8.74879085351583e-15	109.02438294718	108.144236993346	110.181593721063	-0.0335682533002792	0.0439547375607621	1	1767730	1768151	422	-	6646	7065	7283	7018	8581	10792	"c(""AT1G05850.1"", ""AT1G05850.2"")"	AT1G05850:E003	AT1G05850	E003	9989.34182780994	9.0022104473698e-05	22.1514601502009	2.51964259491595e-06	0.0023397043317322	93.6912439799966	95.52119850904	0.0816246723983678	1	1767730	1768151	422	-	9044	8642	10880	11931	"c(""AT1G05850.1"", ""AT1G05850.2"")"
AT1G05940	E003	418.612952020722	0.0006054940315084	24.4010112930482	5.02791261770006e-06	0.0002848271650778	30.6321634175725	33.4029061421529	29.6218867209993	0.260081496521194	-0.10028020180553	1	1801148	1801502	355	-	391	361	458	473	371	468	"c(""AT1G05940.2"", ""AT1G05940.4"", ""AT1G05940.1"", ""AT1G05940.3"")"	AT1G05940:E003	AT1G05940	E003	363.148536507019	0.0012036338901043	12.7573159444998	0.0003546193970675	0.0494662265291163	21.5017581830292	23.7173614545747	0.291126249227245	1	1801148	1801502	355	-	310	282	447	443	"c(""AT1G05940.2"", ""AT1G05940.4"", ""AT1G05940.1"", ""AT1G05940.3"")"
AT1G06680+AT1G06670	E013	409.225346168255	0.0012046888820116	27.0630239462718	1.32843105079355e-06	9.37039525915204e-05	31.0675294818505	28.110150861837	33.450672806249	-0.298734232612208	0.222118599130861	1	2043590	2044576	987	+	328	350	334	377	509	620	"c(""AT1G06670.1"", ""AT1G06670.2"")"	AT1G06680+AT1G06670:E013	AT1G06680+AT1G06670	E013	587.760915639435	0.0006963486329849	15.8311518585433	6.92529053949549e-05	0.0200073606951684	30.0239376850119	27.0722234114583	-0.312260043564558	1	2043590	2044576	987	+	601	569	553	632	"c(""AT1G06670.1"", ""AT1G06670.2"")"
AT1G06700	E006	1360.85791394761	0.0005024262646929	12.1806443982466	0.002264679119624	0.034930159363065	52.3991897662861	55.6968975229429	53.9855545923471	0.196353019775644	0.0956509389738294	1	2053375	2053648	274	-	1013	1084	1479	1428	1521	1754	"c(""AT1G06700.1"", ""AT1G06700.2"", ""AT1G06700.3"")"	AT1G06700:E006	AT1G06700	E006	1093.82067081446	0.0004193306614574	14.3601730111435	0.000150961814684	0.0309680895950163	37.0322301045986	39.0776976663088	0.167658791717674	1	2053375	2053648	274	-	846	829	1383	1431	"c(""AT1G06700.1"", ""AT1G06700.2"", ""AT1G06700.3"")"
AT1G08550	E010	767.566867445808	0.0002835047638023	64.145178846546	1.17774533617296e-14	4.92297550520298e-12	38.2743772178647	44.4100449710279	42.1075605401049	0.458102945437199	0.293081354518341	1	2709532	2709988	457	+	586	617	915	825	740	975	"c(""AT1G08550.1"", ""AT1G08550.3"")"	AT1G08550:E010	AT1G08550	E010	627.929965809603	0.0017907009353261	27.7733442578885	1.36392434909934e-07	0.0002972805722618	31.8894248081956	27.2121109517863	-0.480049733950187	1	2709532	2709988	457	+	608	599	605	714	"c(""AT1G08550.1"", ""AT1G08550.3"")"
AT1G09970	E002	4696.79963282537	0.0001086011440717	56.743784033733	4.76698577449919e-13	1.54279371249541e-10	90.2590364627212	88.6099781597355	91.7848944426788	-0.0693374509087814	0.0635322466724553	1	3252317	3254964	2648	+	5621	6150	3640	3672	4259	4968	"c(""AT1G09970.2"", ""AT1G09970.1"")"	AT1G09970:E002	AT1G09970	E002	5647.45316719243	0.00024165716318	13.6869743484708	0.0002159471104218	0.037922693720433	77.5450784268877	76.1482085047358	-0.0689386673092613	1	3252317	3254964	2648	+	5770	5560	5455	5804	"c(""AT1G09970.2"", ""AT1G09970.1"")"
AT1G10840	E012	45.5517792375327	0.0088386726318673	54.7700501938799	1.2788944822381e-12	3.78745341587293e-10	5.69853707015159	11.1054474096358	13.1575627150969	1.93048597337057	2.42262619135574	1	3610174	3610289	116	-	17	8	58	41	73	88	AT1G10840.2	AT1G10840:E012	AT1G10840	E012	10.5728483922279	0.0413047674972898	34.4639542974122	4.34218555413646e-09	1.74723979793895e-05	0.0475921872205731	5.41863303365335	13.6645220534247	1	3610174	3610289	116	-	0	0	23	24	AT1G10840.2
