groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1_x	log2fold_fio1_Col_0_x	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Cai_Col.0_1.bam	countData.Cai_Col.0_2.bam	countData.Cai_Col.0_3.bam	countData.Cai_fio1_1.bam	countData.Cai_fio1_2.bam	countData.Cai_fio1_3.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1_y	log2fold_fio1_Col_0_y	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Parker_fio1.1_2.bam	countData.Parker_fio1.5_1.bam	countData.Parker_fio1.5_2.bam	transcripts_y
AT1G01020	E011	67.0763469303648	0.0079714213353787	43.3935225592854	4.47667581074979e-11	1.92522139278548e-08	15.2439651965367	9.53437987350955	-1.36489009049426	1	8571	8593	23	-	67	100	126	52	20	33	"c(""AT1G01020.3"", ""AT1G01020.1"", ""AT1G01020.2"")"	AT1G01020:E011	AT1G01020	E011	59.3650623594226	0.0063511500397144	43.6902138386607	3.8469060059652e-11	4.89939446867042e-08	15.0831142664803	9.60438176427009	-1.33528404780198	1	8571	8593	23	-	102	102	27	34	44	44	"c(""AT1G01020.3"", ""AT1G01020.1"", ""AT1G01020.2"")"
AT1G02100	E013	50.870037528751	0.0037325097107062	28.7910747152424	8.06217920688803e-08	1.99321477235671e-05	9.45270333089354	13.4921094830747	1.03373478692093	1	392073	392076	4	+	33	52	42	64	64	57	AT1G02100.2	AT1G02100:E013	AT1G02100	E013	24.7657433615392	0.0095305106337012	19.292615249392	1.12139231296316e-05	0.0034243342809026	5.5481041240791	9.04851103559743	1.42385970967774	1	392073	392076	4	+	18	11	27	33	31	30	AT1G02100.2
AT1G02840	E016	133.328751240899	0.0017759586422726	13.5895315952897	0.0002274503769553	0.0181216691094743	16.7394607454755	19.5552416718513	0.456418047388826	1	628777	628856	80	+	87	106	115	182	184	147	"c(""AT1G02840.4"", ""AT1G02840.3"", ""AT1G02840.5"")"	AT1G02840:E016	AT1G02840	E016	258.040073496026	0.0026132826229175	16.6016828667316	4.61100889411123e-05	0.0110447058911363	21.1388135906701	24.7682904352723	0.497287308011397	1	628777	628856	80	+	199	174	243	284	319	358	"c(""AT1G02840.4"", ""AT1G02840.3"", ""AT1G02840.5"")"
AT1G03130+AT1G03140	E001	92420.4539329061	0.0006208519851168	320.462334485449	1.1486692731248899e-71	1.1022199593929e-67	201.770267472681	192.211598514133	-0.353219712808603	1	753307	754260	954	-	86964	125303	131980	73819	71219	62441	AT1G03130.1	AT1G03130+AT1G03140:E001	AT1G03130+AT1G03140	E001	16393.4573055784	0.0014494058123116	226.296945460137	3.82776256717756e-51	1.199253323347e-46	88.6478222775083	98.0060488373565	0.627806798391576	1	753307	754260	954	-	8368	8487	17819	17578	21136	28208	AT1G03130.1
AT1G03130+AT1G03140	E003	578.49765433714	0.0011081148808913	149.739163367111	1.97684551846437e-34	4.2747196119695e-31	33.8127393565019	40.6765203090268	0.571914018606853	1	754263	754890	628	-	389	582	688	676	667	548	AT1G03140.1	AT1G03130+AT1G03140:E003	AT1G03130+AT1G03140	E003	783.47757110512	0.0053329639027692	66.2263353028119	4.0200535915770003e-16	1.01572489552858e-12	41.9335388110713	35.297006013264	-0.616670505828608	1	754263	754890	628	-	746	787	749	779	726	963	AT1G03140.1
AT1G03130+AT1G03140	E004	2118.13418037649	0.0008697853058004	218.855729707625	1.60687100496473e-49	6.66764609168205e-46	61.3297858326773	70.2344936575244	0.477169800679496	1	755381	756303	923	-	1586	2230	2409	2240	2450	1982	AT1G03140.1	AT1G03130+AT1G03140:E004	AT1G03130+AT1G03140	E004	1800.19130892999	0.0007138347493487	282.373645089827	2.28215639983969e-63	1.78752182173844e-58	54.8947115776301	49.6912214949749	-0.409672648070531	1	755381	756303	923	-	1620	1579	1718	1639	1967	2466	AT1G03140.1
AT1G04790	E003	503.24940245681	0.0006318821938165	13.376860176726	0.0002547478408924	0.0196943735262	35.4586976383277	33.596025259419	-0.16544356239274	1	1346359	1346839	481	+	411	593	638	475	480	442	AT1G04790.1	AT1G04790:E003	AT1G04790	E003	399.445989467545	0.002174746789866	23.9177973519838	1.00538000201974e-06	0.0004449005312892	27.880735412989	29.9568273477953	0.235834648564239	1	1346359	1346839	481	+	355	403	369	393	388	524	AT1G04790.1
AT1G07700	E004	276.273550308452	0.0052304497552364	25.0565852112298	5.56722995023498e-07	0.0001117303025175	28.6688897173742	22.8314239890176	-0.679832593943701	1	2379730	2379798	69	+	252	324	424	254	197	205	"c(""AT1G07700.3"", ""AT1G07700.4"", ""AT1G07700.1"")"	AT1G07700:E004	AT1G07700	E004	70.2900252096459	0.00757916849998	17.7715886988219	2.49074995218035e-05	0.0065549606662695	15.3048384402242	11.4026366763428	-0.874606335682295	1	2379730	2379798	69	+	76	111	45	57	56	81	"c(""AT1G07700.3"", ""AT1G07700.4"", ""AT1G07700.1"")"
AT1G07820	E002	469.579109700117	0.0006089703786395	26.6129303175859	2.48574562604794e-07	5.49908538857552e-05	35.2015025471023	31.7750640276363	-0.312884135513613	1	2421784	2421902	119	-	370	571	596	436	480	392	AT1G07820.1	AT1G07820:E002	AT1G07820	E002	259.994145614312	0.001235726376582	43.8800959841539	3.49121247250877e-11	4.51987947308631e-08	26.6440466812398	22.2366835736159	-0.573453531950247	1	2421784	2421902	119	-	324	319	234	244	178	259	AT1G07820.1
AT1G08900	E005	69.3970921348694	0.0065944053226231	171.287802923795	3.8717164565046e-39	1.06147254922706e-35	5.76861423563415	17.3123748920758	3.19141994614647	1	2852604	2852715	112	+	12	16	7	134	167	112	AT1G08900.5	AT1G08900:E005	AT1G08900	E005	111.954002045491	0.0057537582150113	73.8160699182883	8.574569157820949e-18	2.5343837881339e-14	7.52305362656665	15.8330305319037	2.19437893204646	1	2852604	2852715	112	+	13	18	158	144	188	168	AT1G08900.5
