groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1_x	log2fold_fio1_Col_0_x	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Cai_Col.0_1.bam	countData.Cai_Col.0_2.bam	countData.Cai_Col.0_3.bam	countData.Cai_fio1_1.bam	countData.Cai_fio1_2.bam	countData.Cai_fio1_3.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1_y	log2fold_fio1_Col_0_y	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Wang_Col.0_1.bam	countData.Wang_Col.0_2.bam	countData.Wang_fio1_1.bam	countData.Wang_fio1_2.bam	transcripts_y
AT1G01520+AT1G01510	E012	162.69522661302	0.0013343353895841	49.6142757821831	1.87146966701081e-12	9.32879019403146e-10	17.7417552834259	22.271471480443	0.669942573289972	1	191138	191258	121	+	73	135	139	221	248	202	"c(""AT1G01520.4"", ""AT1G01520.2"", ""AT1G01520.1"", ""AT1G01520.3"", ""AT1G01520.5"")"	AT1G01520+AT1G01510:E012	AT1G01520+AT1G01510	E012	6.09750040131811	0.207369999456915	13.5918788352234	0.000227166151845	0.0388761301801552	4.12284745123219	0.0292879994281634	-14.275765523698	1	191138	191258	121	+	6	16	0	0	"c(""AT1G01520.4"", ""AT1G01520.2"", ""AT1G01520.1"", ""AT1G01520.3"", ""AT1G01520.5"")"
AT1G03290	E006	36.9699035402708	0.0067356348553795	17.0518117763559	3.63736547088024e-05	0.00423064182382	8.18169562027649	11.401053758886	0.962222650786028	1	807592	807631	40	+	17	29	42	41	56	46	"c(""AT1G03290.4"", ""AT1G03290.6"", ""AT1G03290.3"", ""AT1G03290.2"", ""AT1G03290.5"")"	AT1G03290:E006	AT1G03290	E006	28.3023540987534	0.0177309945301686	26.7773805915193	2.28293948416145e-07	0.0004316433448059	3.82107210763698	8.16530808345391	2.19531736295988	1	807592	807631	40	+	12	6	50	54	"c(""AT1G03290.4"", ""AT1G03290.6"", ""AT1G03290.3"", ""AT1G03290.2"", ""AT1G03290.5"")"
AT1G03310	E003	4787.77310055943	0.0006529628705186	11.8066063942258	0.0005902091489737	0.0363768810284772	90.4583421816212	89.2263827479867	-0.0552504344703575	1	813929	816812	2884	+	3691	4982	5718	5065	5059	4559	"c(""AT1G03310.2"", ""AT1G03310.1"")"	AT1G03310:E003	AT1G03310	E003	2904.77335677053	0.003169437018686	27.9660038633036	1.23465589360976e-07	0.0002728954704789	60.9882012966348	57.0291696276892	-0.230451438182993	1	813929	816812	2884	+	2755	2659	3094	3199	"c(""AT1G03310.2"", ""AT1G03310.1"")"
AT1G04733+AT1G09800	E014	106.207402978166	0.009408480356001	23.9818855482336	9.72463397423572e-07	0.000182744559861	13.0797562713356	17.8758304963352	0.912710291856827	1	3180548	3180734	187	-	40	59	56	141	226	149	"c(""AT1G04733.1"", ""AT1G09800.1"", ""AT1G09800.2"")"	AT1G04733+AT1G09800:E014	AT1G04733+AT1G09800	E014	849.032117333232	0.0180347112365728	22.1960763082685	2.46176376217261e-06	0.002313335622524	27.321351871854	40.1966663048226	1.1842732515272	1	3180548	3180734	187	-	477	586	1098	1384	"c(""AT1G04733.1"", ""AT1G09800.1"", ""AT1G09800.2"")"
AT1G06680+AT1G06670	E013	669.579377500631	0.0008189323462333	266.364529131538	7.03499596879078e-60	4.909467868583849e-56	35.433497904711	43.7899247688266	0.660925887069094	1	2043590	2044576	987	+	383	542	660	883	927	755	"c(""AT1G06670.1"", ""AT1G06670.2"")"	AT1G06680+AT1G06670:E013	AT1G06680+AT1G06670	E013	587.760915639435	0.0006963486329849	15.8311518585433	6.92529053949549e-05	0.0200073606951684	30.0239376850119	27.0722234114583	-0.312260043564558	1	2043590	2044576	987	+	601	569	553	632	"c(""AT1G06670.1"", ""AT1G06670.2"")"
AT1G06960	E010	152.711289584488	0.0016912392003784	12.2191064984856	0.0004730257923631	0.0310755883190041	18.3507465037313	20.8126137739293	0.370605930984938	1	2137147	2137263	117	+	101	125	187	182	177	166	"c(""AT1G06960.6"", ""AT1G06960.5"", ""AT1G06960.2"")"	AT1G06960:E010	AT1G06960	E010	54.7428684384494	0.0262932676392346	14.256544346947	0.0001595052105421	0.031869758290824	6.59566065564115	10.9305834615033	1.46377195096441	1	2137147	2137263	117	+	30	28	67	107	"c(""AT1G06960.6"", ""AT1G06960.5"", ""AT1G06960.2"")"
AT1G10840	E012	38.2617148364337	0.0159250212454767	71.6508025903451	2.5685758145730402e-17	2.1088419508631e-14	4.39094408765544	12.4879225272521	3.02633662978218	1	3610174	3610289	116	-	6	5	8	94	61	72	AT1G10840.2	AT1G10840:E012	AT1G10840	E012	10.5728483922279	0.0413047674972898	34.4639542974122	4.34218555413646e-09	1.74723979793895e-05	0.0475921872205731	5.41863303365335	13.6645220534247	1	3610174	3610289	116	-	0	0	23	24	AT1G10840.2
AT1G13880	E005	54.1035032728265	0.0179388796107571	23.0453049102254	1.5822843698811e-06	0.0002828033984957	8.8248841930068	13.5933014460397	1.25468345746131	1	4749835	4749837	3	+	30	26	24	98	72	85	AT1G13880.3	AT1G13880:E005	AT1G13880	E005	27.8911040488085	0.0188447512428341	22.7444216724752	1.85040499260653e-06	0.0018856227655502	3.77728742623742	7.81955379647741	2.10330454826434	1	4749835	4749837	3	+	9	7	45	60	AT1G13880.3
AT1G18950	E013	84.0644559373584	0.0026387712282579	117.113269249335	2.71132388462729e-27	4.20474298996796e-24	10.0097209355688	18.2105368365891	1.74445866345954	1	6550670	6550681	12	+	17	44	54	144	149	130	AT1G18950.2	AT1G18950:E013	AT1G18950	E013	26.1029495676696	0.020448187287688	13.3269746916787	0.0002616152599221	0.0421026738953376	4.43154736255568	7.53934771817262	1.53630039036417	1	6550670	6550681	12	+	13	12	36	50	AT1G18950.2
AT1G19025+AT1G19020	E001	497.125350370374	0.0118705366521501	28.4417217291484	9.65617695313791e-08	2.33099504342023e-05	37.8454059411606	30.126661974107	-0.697915998658175	1	6568002	6568673	672	+	491	600	718	416	396	340	AT1G19020.1	AT1G19025+AT1G19020:E001	AT1G19025+AT1G19020	E001	495.582096471231	0.0032147500742823	16.6957857184414	4.38783631717548e-05	0.0155087284029429	25.4496609834029	27.1309579076023	0.191762716469926	1	6568002	6568673	672	+	394	446	652	516	AT1G19020.1
