groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1_x	log2fold_fio1_Col_0_x	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Parker_Col.0_20c_1.bam	countData.Parker_Col.0_20c_2.bam	countData.Parker_Col.0_20c_3.bam	countData.Parker_Col.0_20c_4.bam	countData.Parker_Col.0_20c_5.bam	countData.Parker_Col.0_20c_6.bam	countData.Parker_fio1_20c_1.bam	countData.Parker_fio1_20c_2.bam	countData.Parker_fio1_20c_3.bam	countData.Parker_fio1_20c_4.bam	countData.Parker_fio1_20c_5.bam	countData.Parker_fio1_20c_6.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1_y	log2fold_fio1_Col_0_y	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Wang_Col.0_1.bam	countData.Wang_Col.0_2.bam	countData.Wang_fio1_1.bam	countData.Wang_fio1_2.bam	transcripts_y
AT1G04733+AT1G09800	E010	49.41313607956	0.0083396150171951	10.608227601846	0.0011258555746417	0.0348607678609645	11.2205532876379	10.110127480206	-0.303552688491783	1	3179845	3179901	57	-	59	75	84	47	69	78	29	45	37	49	52	12	"c(""AT1G09800.1"", ""AT1G09800.2"")"	AT1G04733+AT1G09800:E010	AT1G04733+AT1G09800	E010	33.4780409388961	0.0159931151167147	14.1027571452167	0.0001730898816913	0.0331258149069499	7.72593829318004	5.91099179923935	-0.774643449401736	1	3179845	3179901	57	-	48	34	22	27	"c(""AT1G09800.1"", ""AT1G09800.2"")"
AT1G04733+AT1G09800	E012	40.76524649297	0.0064393417767626	15.2015454658625	9.66243107329791e-05	0.0052148550115999	10.3684762651046	8.96088600480408	-0.424276083174902	1	3180082	3180088	7	-	53	72	68	35	63	61	24	29	26	38	46	13	AT1G09800.1	AT1G04733+AT1G09800:E012	AT1G04733+AT1G09800	E012	25.9612891345891	0.0356230189101499	16.1074311412023	5.98487342473364e-05	0.0185248948997411	7.23775505186111	4.46414214468706	-1.39697260869867	1	3180082	3180088	7	-	44	28	10	18	AT1G09800.1
AT1G04733+AT1G09800	E014	611.454313322453	0.0124480955084046	15.2893628576338	9.22344370604082e-05	0.0050274962055442	32.9719475871347	38.975885386487	0.533966724369435	1	3180548	3180734	187	-	570	998	732	486	576	492	627	546	556	758	798	353	"c(""AT1G04733.1"", ""AT1G09800.1"", ""AT1G09800.2"")"	AT1G04733+AT1G09800:E014	AT1G04733+AT1G09800	E014	849.032117333232	0.0180347112365728	22.1960763082685	2.46176376217261e-06	0.002313335622524	27.321351871854	40.1966663048226	1.1842732515272	1	3180548	3180734	187	-	477	586	1098	1384	"c(""AT1G04733.1"", ""AT1G09800.1"", ""AT1G09800.2"")"
AT1G05347+AT1G17870	E001	12546.2383425044	0.0017375095135966	34.2948502091965	4.73633405517875e-09	7.81766446784037e-07	110.362336747754	106.835721231274	-0.172213038234567	1	6149305	6149938	634	-	12903	21549	13984	11644	22643	20696	10456	5615	10491	12011	16193	4857	AT1G05347.1	AT1G05347+AT1G17870:E001	AT1G05347+AT1G17870	E001	2526.17155406009	0.0006805782553244	15.7919460917701	7.07028335747791e-05	0.0201382644201673	56.3924781147938	54.7400889397714	-0.100330778455696	1	6149305	6149938	634	-	2461	2416	2462	2815	AT1G05347.1
AT1G06960	E010	280.496981075668	0.0033856241307676	73.0125804376721	1.28826055927346e-17	5.50972937944269e-15	21.9348188982419	27.5517389658375	0.691209282282747	1	2137147	2137263	117	+	166	262	251	202	272	312	333	341	309	362	428	151	"c(""AT1G06960.6"", ""AT1G06960.5"", ""AT1G06960.2"")"	AT1G06960:E010	AT1G06960	E010	54.7428684384494	0.0262932676392346	14.256544346947	0.0001595052105421	0.031869758290824	6.59566065564115	10.9305834615033	1.46377195096441	1	2137147	2137263	117	+	30	28	67	107	"c(""AT1G06960.6"", ""AT1G06960.5"", ""AT1G06960.2"")"
AT1G07650	E019	532.755855550363	0.0014686781858748	18.052502396068	2.14896004123646e-05	0.0014941913865044	35.0218222939445	32.4014394000005	-0.245422438750806	1	2363214	2363285	72	-	399	591	478	521	873	715	498	446	462	626	736	288	"c(""AT1G07650.1"", ""AT1G07650.2"", ""AT1G07650.4"", ""AT1G07650.3"")"	AT1G07650:E019	AT1G07650	E019	80.9393314919063	0.007460683267272	15.5035490767605	8.23504908552963e-05	0.0222816291041595	12.2925101449681	9.09258709464254	-0.875624069884411	1	2363214	2363285	72	-	91	100	51	76	"c(""AT1G07650.1"", ""AT1G07650.2"", ""AT1G07650.4"", ""AT1G07650.3"")"
AT1G10840	E012	84.8503616580094	0.0116292072918069	372.299132142682	5.91025075575255e-83	5.70971942422795e-79	5.10681005226382	18.5118515319529	3.75419335947661	1	3610174	3610289	116	-	8	10	6	14	19	16	181	113	110	156	256	76	AT1G10840.2	AT1G10840:E012	AT1G10840	E012	10.5728483922279	0.0413047674972898	34.4639542974122	4.34218555413646e-09	1.74723979793895e-05	0.0475921872205731	5.41863303365335	13.6645220534247	1	3610174	3610289	116	-	0	0	23	24	AT1G10840.2
AT1G10930+AT1G10940	E010	71.234476228754	0.0066400522669474	16.1245106091895	5.93114315072249e-05	0.0035013785116083	14.0323721400044	11.6715384025769	-0.538868118433403	1	3650282	3650350	69	-	94	95	89	72	91	76	50	53	55	96	87	33	AT1G10930.1	AT1G10930+AT1G10940:E010	AT1G10930+AT1G10940	E010	76.6006660859934	0.0055162245739951	30.1536149887808	3.99142492879518e-08	0.000107996259569	12.5507109819115	8.23209092388899	-1.22420930120115	1	3650282	3650350	69	-	100	90	46	63	AT1G10930.1
AT1G13270	E013	42.3264419544131	0.0239994371514148	14.2890896597949	0.000156770909245	0.0077410703449007	8.39798254152458	11.2552142247964	0.851757346915084	1	4547299	4547373	75	+	21	46	43	35	41	20	59	54	38	89	51	20	AT1G13270.1	AT1G13270:E013	AT1G13270	E013	10.3215095885266	0.0547050682015133	14.1834445825629	0.0001658230952588	0.0324069541246086	1.817428530256	5.09286363834886	2.97500816853088	1	4547299	4547373	75	+	0	4	19	22	AT1G13270.1
AT1G13880	E005	77.9425766630934	0.0112545416919412	45.4548616609245	1.56197343159575e-11	3.57278580247678e-09	10.6121748981136	15.1219384948412	1.03588169832226	1	4749835	4749837	3	+	59	70	39	32	58	45	122	89	105	95	134	57	AT1G13880.3	AT1G13880:E005	AT1G13880	E005	27.8911040488085	0.0188447512428341	22.7444216724752	1.85040499260653e-06	0.0018856227655502	3.77728742623742	7.81955379647741	2.10330454826434	1	4749835	4749837	3	+	9	7	45	60	AT1G13880.3
