groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1_x	log2fold_fio1_Col_0_x	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Parker_Col.0_20c_1.bam	countData.Parker_Col.0_20c_2.bam	countData.Parker_Col.0_20c_3.bam	countData.Parker_Col.0_20c_4.bam	countData.Parker_Col.0_20c_5.bam	countData.Parker_Col.0_20c_6.bam	countData.Parker_fio1_20c_1.bam	countData.Parker_fio1_20c_2.bam	countData.Parker_fio1_20c_3.bam	countData.Parker_fio1_20c_4.bam	countData.Parker_fio1_20c_5.bam	countData.Parker_fio1_20c_6.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1_y	log2fold_fio1_Col_0_y	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Parker_fio1.1_2.bam	countData.Parker_fio1.5_1.bam	countData.Parker_fio1.5_2.bam	transcripts_y
AT1G01020	E011	215.535813351274	0.0032381649801592	101.833813532744	6.03806285241092e-24	4.21975803564745e-21	24.9644819872218	18.5861226589704	-0.884723629477177	1	8571	8593	23	-	234	477	337	243	418	314	159	115	138	159	188	59	"c(""AT1G01020.3"", ""AT1G01020.1"", ""AT1G01020.2"")"	AT1G01020:E011	AT1G01020	E011	59.3650623594226	0.0063511500397144	43.6902138386607	3.8469060059652e-11	4.89939446867042e-08	15.0831142664803	9.60438176427009	-1.33528404780198	1	8571	8593	23	-	102	102	27	34	44	44	"c(""AT1G01020.3"", ""AT1G01020.1"", ""AT1G01020.2"")"
AT1G02100	E013	177.799215196368	0.0036124481026898	91.8924979610409	9.15152953073701e-22	5.36776427818572e-19	17.0715980967249	23.1348078158652	0.906298981265715	1	392073	392076	4	+	105	181	162	139	194	151	205	179	164	265	378	89	AT1G02100.2	AT1G02100:E013	AT1G02100	E013	24.7657433615392	0.0095305106337012	19.292615249392	1.12139231296316e-05	0.0034243342809026	5.5481041240791	9.04851103559743	1.42385970967774	1	392073	392076	4	+	18	11	27	33	31	30	AT1G02100.2
AT1G02850	E009	831.470425187329	0.0025555786941669	14.3515718200962	0.0001516530344756	0.0075382206894672	42.806236932424	39.7970742199186	-0.239634523059779	1	631859	631927	69	+	709	909	850	1005	1384	1146	497	495	651	1375	1161	410	"c(""AT1G02850.5"", ""AT1G02850.3"", ""AT1G02850.4"")"	AT1G02850:E009	AT1G02850	E009	241.844355589688	0.0019737860036598	16.3924429396493	5.14901084807965e-05	0.0121843330418939	24.0008013974066	20.7639358109836	-0.452897231036172	1	631859	631927	69	+	496	531	100	89	87	117	"c(""AT1G02850.5"", ""AT1G02850.3"", ""AT1G02850.4"")"
AT1G02850	E010	1052.07282746204	0.0022240830123725	25.287714574562	4.93844212942669e-07	5.51734848843541e-05	47.7440124807492	43.7114188826073	-0.297851474062529	1	631928	632008	81	+	872	1155	1140	1336	1815	1428	645	600	802	1710	1421	509	"c(""AT1G02850.5"", ""AT1G02850.4"", ""AT1G02850.3"", ""AT1G02850.2"")"	AT1G02850:E010	AT1G02850	E010	253.705696926923	0.00131778757777	16.2302558422927	5.6091104208581e-05	0.0129821985130729	24.4461021586809	21.4986263168027	-0.403301701756254	1	631928	632008	81	+	527	542	98	84	107	135	"c(""AT1G02850.5"", ""AT1G02850.4"", ""AT1G02850.3"", ""AT1G02850.2"")"
AT1G03130+AT1G03140	E001	40176.3996354083	0.0030283803856487	108.842544714346	1.7570335935000902e-25	1.34214484245445e-22	138.688088043087	148.24804368299	0.447404166174536	1	753307	754260	954	-	31936	46508	34798	28580	35628	40446	46310	33795	46551	55051	70776	22215	AT1G03130.1	AT1G03130+AT1G03140:E001	AT1G03130+AT1G03140	E001	16393.4573055784	0.0014494058123116	226.296945460137	3.82776256717756e-51	1.199253323347e-46	88.6478222775083	98.0060488373565	0.627806798391576	1	753307	754260	954	-	8368	8487	17819	17578	21136	28208	AT1G03130.1
AT1G03130+AT1G03140	E003	3618.10014958737	0.0030033131452079	68.0075415834355	1.6287140200922001e-16	6.368737165423391e-14	76.0843472654814	72.1115047057887	-0.220319850479761	1	754263	754890	628	-	3307	5186	4256	3372	5113	4323	3746	2696	3120	4020	4792	1629	AT1G03140.1	AT1G03130+AT1G03140:E003	AT1G03130+AT1G03140	E003	783.47757110512	0.0053329639027692	66.2263353028119	4.0200535915770003e-16	1.01572489552858e-12	41.9335388110713	35.297006013264	-0.616670505828608	1	754263	754890	628	-	746	787	749	779	726	963	AT1G03140.1
AT1G03130+AT1G03140	E004	8573.05516453744	0.0026151508090114	107.363748140461	3.7052250830858403e-25	2.7659842083879698e-22	100.20767043658	95.4969108361171	-0.236082925790992	1	755381	756303	923	-	8293	12729	9696	8632	11283	9960	9336	5923	7808	8939	11725	3657	AT1G03140.1	AT1G03130+AT1G03140:E004	AT1G03130+AT1G03140	E004	1800.19130892999	0.0007138347493487	282.373645089827	2.28215639983969e-63	1.78752182173844e-58	54.8947115776301	49.6912214949749	-0.409672648070531	1	755381	756303	923	-	1620	1579	1718	1639	1967	2466	AT1G03140.1
AT1G03160	E016	21.3297697464159	0.0330530867711385	20.2278480546672	6.87448772987708e-06	0.0005687712185658	5.50692342192238	8.56302669705661	1.27895945132419	1	766169	766194	26	+	13	28	14	14	26	15	10	16	27	38	30	21	"c(""AT1G03160.3"", ""AT1G03160.1"")"	AT1G03160:E016	AT1G03160	E016	8.28801606748023	0.0381856190487736	13.5009184278304	0.0002384467211044	0.0394853654909651	2.69241434351433	5.80902845358381	2.22527694469713	1	766169	766194	26	+	1	7	12	10	12	8	"c(""AT1G03160.3"", ""AT1G03160.1"")"
AT1G04230	E002	237.632035307239	0.0028477351191118	10.5005166106856	0.0011934117332433	0.0362687630966004	23.7784252152751	22.4490320752095	-0.173387595754996	1	1125518	1125728	211	+	226	459	304	249	383	275	247	147	196	235	255	83	"c(""AT1G04230.2"", ""AT1G04230.1"")"	AT1G04230:E002	AT1G04230	E002	114.427631726376	0.0039095525383693	19.9012841493478	8.15455323635849e-06	0.0025911299666978	17.2964755688728	15.8485212899057	-0.263904274592578	1	1125518	1125728	211	+	124	144	81	116	103	122	"c(""AT1G04230.2"", ""AT1G04230.1"")"
AT1G04230	E003	308.151221467868	0.0020257419019789	20.2841987856878	6.67495744843781e-06	0.0005550590438844	27.1079859661457	25.2694806397014	-0.214191071973749	1	1125995	1126124	130	+	296	592	381	339	514	376	323	192	223	305	356	98	"c(""AT1G04230.2"", ""AT1G04230.1"")"	AT1G04230:E003	AT1G04230	E003	155.534892868948	0.0068464283140477	21.7520684309728	3.10255183462759e-06	0.0011739636473383	20.3146238058569	18.1755164118565	-0.340957764101121	1	1125995	1126124	130	+	172	205	102	141	146	175	"c(""AT1G04230.2"", ""AT1G04230.1"")"
