1	442718	442620	AT1G02260	-	0.2849267148	0.1479815008	0.173049738
1	667281	667373	AT1G02960	-	0.284	0.211	
1	2111761	2111602	AT1G06890	-	0.1952106044	0.0939256801	
1	2421903	2421783	AT1G07820	-	0.0737987303	0.0933756133	0.2056933368
1	4766594	4766470	AT1G13940	-	0.1897475539	0.1393195346	0.310897153
1	10109926	10109811	AT1G28960	-	0.2070255826	0.1061306395	
1	27346746	27346664	AT1G72640	-	0.0565346624	0.0428730067	
2	19684144	19683832	AT2G48130	-	0.297612908	0.2867249988	0.4412072687
3	7006635	7006734	AT3G20070	-	0.323	0.421	
3	7006734	7006635	AT3G20070	-	0.2834975659	0.4044618321	
3	10287397	10287280	AT3G27770	-	0.1495236216	0.1155819144	0.1399646368
3	18353226	18353467	AT3G49500	-	0.416	0.67	
5	26541925	26541752	AT5G66460_and_AT5G66470	-	0.0783434143	0.1136389357	
