1	27347769	27347658	27347661	AT1G72640	-
1	3503369	3503004	3503049	AT1G10590	-
1	4749747	4749834	4749837	AT1G13880	+
2	19537529	19537859	19537862	AT2G47640	+
3	2947983	2948155	2948177	AT3G09600	+
3	9909317	9909083	9909086	AT3G26890	-
4	1377507	1377407	1377410	AT4G03110	-
4	16164871	16164959	16164962	AT4G33650	+
4	9686443	9685454	9685710	AT4G17310	-
4	9686443	9685454	9686024	AT4G17310	-
5	24559362	24559241	24559247	AT5G61020	-
1	10134777	10135051	10135058	AT1G29040_and_AT1G29041	+
1	10448745	10448846	10448849	AT1G29850	+
1	11252680	11252756	11252759	AT1G31420	+
1	1127256	1127434	1127437	AT1G04230	+
1	12145610	12145684	12145687	AT1G33470	+
1	18061243	18060963	18060978	AT1G48830	-
1	18841644	18841948	18841951	AT1G50840	+
1	18949663	18950007	18950014	AT1G51160	+
1	19250605	19250199	19250211	AT1G51840	-
1	20652822	20652902	20652932	AT1G55340	+
1	2111761	2111602	2111605	AT1G06890	-
1	21265873	21265565	21265570	AT1G56720	-
1	21982995	21983072	21983081	AT1G59750	+
1	22977114	22977008	22977029	AT1G62180	-
1	23252943	23253384	23253387	AT1G62790	+
1	23863216	23863287	23863291	AT1G64300	+
1	24205694	24205563	24205571	AT1G65150	-
1	2508109	2507815	2507818	AT1G08060	-
1	25235544	25235813	25235820	AT1G67350	+
1	25479446	25479375	25479378	AT1G67950	-
1	25911043	25910492	25910538	AT1G68910	-
1	26126477	26126772	26126777	AT1G69510	+
1	26855998	26856087	26856090	AT1G71240	+
1	27347085	27346899	27346919	AT1G72640	-
1	27347770	27347658	27347661	AT1G72640	-
1	27634522	27634289	27634292	AT1G73490	-
1	29759922	29759999	29760008	AT1G79110	+
1	30266900	30266508	30266540	AT1G80490	-
1	3487974	3488329	3488332	AT1G10570	+
1	374922	375122	375125	AT1G02080	+
1	4749747	4749835	4749838	AT1G13880	+
1	4788654	4789461	4789492	AT1G13980	+
1	518378	519033	519036	AT1G02500	+
1	5253387	5253546	5253549	AT1G15280	+
1	5854461	5854865	5854886	AT1G17130	+
1	6460808	6460896	6460899	AT1G18730	+
1	6550669	6550763	6550769	AT1G18950	+
1	6797410	6797268	6797311	AT1G19650	-
2	10329722	10329607	10329618	AT2G24270	-
2	10844270	10844348	10844351	AT2G25480	+
2	11049715	11049622	11049625	AT2G25910	-
2	11700081	11699994	11699997	AT2G27350	-
2	13866926	13867037	13867040	AT2G32700	+
2	13867128	13867212	13867215	AT2G32700	+
2	13869938	13870117	13870123	AT2G32700	+
2	14181789	14181879	14181885	AT2G33480	+
2	14310196	14310083	14310089	AT2G33830	-
2	15738899	15739250	15739253	AT2G37480	+
2	15920771	15920848	15920856	AT2G38040	+
2	17590271	17590622	17590626	AT2G42210	+
2	18839698	18839852	18839855	AT2G45740	+
2	19537529	19537860	19537863	AT2G47640	+
2	2322382	2322847	2322850	AT2G05990	+
2	629353	629518	629539	AT2G02390	+
2	6798141	6798522	6798527	AT2G15580	+
2	690380	690463	690469	AT2G02560	+
2	7606870	7606944	7606963	AT2G17500	+
2	8511560	8511739	8511743	AT2G19730	+
2	864248	863995	864020	AT2G02960	-
2	864248	864020	864087	AT2G02960	-
2	9102961	9102501	9102591	AT2G21240_and_AT2G21250	-
2	9139703	9139585	9139589	AT2G21370	-
2	9149797	9149885	9150092	AT2G21385_and_AT2G21390	+
2	9460853	9460285	9460338	AT2G22250	-
2	9554505	9554414	9554417	AT2G22490	-
2	9918767	9918872	9918875	AT2G23310	+
3	10070372	10070619	10070646	AT3G27260	+
3	11649840	11649907	11649929	AT3G29770	+
3	1259461	1259567	1259570	AT3G04630	+
3	1462903	1462783	1462786	AT3G05165	-
3	1563298	1563412	1563415	AT3G05420	+
3	16163884	16163976	16163979	AT3G44590	+
3	17748235	17748019	17748022	AT3G48060	-
3	19349394	19349132	19349146	AT3G52170	-
3	19864363	19864114	19864153	AT3G53560_and_AT3G53570	-
3	20837065	20836851	20836874	AT3G56150	-
3	2114836	2114726	2114748	AT3G06680	-
3	21493175	21493245	21493248	AT3G58050	+
3	21715316	21715403	21715406	AT3G58710	+
3	21828386	21828302	21828308	AT3G59060	-
3	21830182	21829902	21829913	AT3G59060	-
3	22495171	22495449	22495452	AT3G60880	+
3	23236488	23236111	23236114	AT3G62840	-
3	23264639	23264238	23264254	AT3G62940	-
3	2327536	2327406	2327424	AT3G07300	-
3	2414825	2415061	2415064	AT3G07565	+
3	2479064	2479544	2479549	AT3G07770	+
3	2519000	2518904	2518907	AT3G07890	-
3	3770261	3769988	3769991	AT3G11910	-
3	3776659	3776910	3776916	AT3G11930	+
3	3776659	3776913	3776916	AT3G11930	+
3	447288	447200	447203	AT3G02260	-
3	4636611	4637143	4637147	AT3G14010	+
3	4738712	4738451	4738454	AT3G14230	-
3	4999321	4999229	4999232	AT3G14860	-
3	5340247	5340483	5340486	AT3G15770	+
3	6867748	6867839	6867843	AT3G19770	+
3	8474895	8474990	8474999	AT3G23590_and_AT3G23600	+
3	8607982	8607687	8607699	AT3G23830	-
3	8706624	8706335	8706344	AT3G24120	-
3	948879	948736	948795	AT3G03770	-
3	9957644	9957540	9957559	AT3G27010	-
4	10032335	10032595	10032598	AT4G18070	+
4	10455115	10455011	10455020	AT4G19110	-
4	11278538	11278631	11278644	AT4G21150	+
4	11793605	11793275	11793278	AT4G22320	-
4	12007355	12007782	12007788	AT4G22890	+
4	12567238	12567132	12567144	AT4G24230	-
4	1292905	1293227	1293230	AT4G02920	+
4	13282028	13282354	13282359	AT4G26210	+
4	13312648	13312266	13312270	AT4G26300	-
4	1377508	1377407	1377410	AT4G03110	-
4	15802970	15803159	15803162	AT4G32760	+
4	16164871	16164960	16164963	AT4G33650	+
4	16333483	16333643	16333646	AT4G34100	+
4	16884241	16884321	16884324	AT4G35560	+
4	17916687	17916902	17916912	AT4G38200	+
4	18219336	18218733	18218753	AT4G39100	-
4	455057	455151	455157	AT4G01040_and_AT4G01050	+
4	5254526	5254613	5254616	AT4G08320	+
4	552656	552731	552734	AT4G01330	+
4	5830966	5831044	5831047	AT4G09150	+
5	1018440	1018641	1018655	AT5G03830	+
5	10864726	10864025	10864044	AT5G28840	-
5	14237809	14237721	14237724	AT5G36170	-
5	15422380	15422477	15422513	AT5G38520	+
5	17198693	17198606	17198609	AT5G42900	-
5	18833301	18833415	18833419	AT5G46430_and_AT5G06825	+
5	19663794	19663927	19663930	AT5G48520	+
5	20881525	20881386	20881393	AT5G51410	-
5	23117465	23116898	23116914	AT5G57110	-
5	23437729	23437920	23437925	AT5G57860	+
5	23582115	23582020	23582023	AT5G58330	-
5	24229555	24229700	24229706	AT5G60170	+
5	24348026	24348368	24348380	AT5G60570	+
5	24559363	24559241	24559247	AT5G61020	-
5	24684045	24683852	24683858	AT5G61410	-
5	24914720	24914814	24914817	AT5G62000	+
5	25022356	25022246	25022249	AT5G62300	-
5	2555428	2554701	2554771	AT5G07980_and_AT5G01465	-
5	26148687	26148560	26148566	AT5G65430	-
5	2724018	2724389	2724392	AT5G08440	+
5	3069083	3069216	3069219	AT5G09860	+
5	3947558	3947671	3947674	AT5G12210	+
5	402477	402556	402566	AT5G02040	+
5	4535724	4536067	4536073	AT5G14060	+
5	4656498	4656173	4656176	AT5G14440	-
5	5238585	5238680	5238683	AT5G16030	+
5	5238997	5239085	5239109	AT5G16030	+
5	5272653	5272895	5272899	AT5G16150	+
5	5326621	5326521	5326524	AT5G16280	-
5	6155673	6155815	6155821	AT5G18540	+
5	7111196	7110797	7110819	AT5G20950	-
