1	2137146	2137263	AT1G06960	+	-0.267	-0.283		
1	3643582	3643732	AT1G10910	+	-0.1193183699	-0.0793950986		
1	4348240	4347790	AT1G12750	-	-0.318	-0.262		
1	4613755	4613516	AT1G13450	-	-0.1634617446	-0.105715985	-0.2438712602	
1	5064972	5064811	AT1G14710	-	-0.0978440828	-0.1285546474	-0.1163593443	
1	5164536	5164347	AT1G14970	-	-0.439	-0.376	-0.522	
1	5164537	5164347	AT1G14970	-	-0.3433615807	-0.769389184		
1	5668739	5668918	AT1G16560	+	-0.463	-0.497		
1	5676107	5676006	AT1G16610	-	-0.417	-0.623	-0.481	-0.282
1	5725725	5725825	AT1G16720	+	-0.0483399951	-0.0903362583		
1	6421303	6421397	AT1G18660	+	-0.3	-0.321		
1	6799099	6798953	AT1G19650	-	-0.2111520047	-0.1873903149		
1	8296418	8296342	AT1G23360	-	-0.241	-0.352		
1	8296419	8296342	AT1G23360	-	-0.1848437046	-0.2354848745	-0.1843193051	-0.1862494428
1	9675308	9675232	AT1G27770	-	-0.173	-0.159	-0.308	
1	9675309	9675232	AT1G27770	-	-0.1828780283	-0.1581346308	-0.1831383769	
1	9716537	9716339	AT1G27900	-	-0.245	-0.332		
1	9716538	9716339	AT1G27900	-	-0.2388069147	-0.3126824158	-0.2852917462	
1	10739689	10739823	AT1G30410	+	-0.2402585923	-0.1494374979		
1	11430452	11431135	AT1G31850	+	-0.409	-0.519		
1	18511962	18512089	AT1G49980	+	-0.457	-0.479		
1	20169029	20169099	AT1G54030	+	-0.183	-0.182		
1	20326956	20327359	AT1G54440	+	-0.34	-0.285		
1	21215106	21214789	AT1G56612	-	-0.295	-0.356	-0.309	
1	21539394	21539300	AT1G58180	-	-0.0986594342	-0.122028508		
1	22996058	22995919	AT1G62250	-	-0.113967474	-0.1465616673	-0.1512647617	
1	24902358	24902436	AT1G66760	+	-0.366	-0.333		
1	26405496	26405597	AT1G70100	+	-0.179	-0.162		
1	29302163	29302249	AT1G77930	+	-0.1208848867	-0.1199275562	-0.0872080107	
1	30358295	30358378	AT1G80780	+	-0.338	-0.388	-0.263	
2	428706	428223	AT2G01930	-	-0.1011202329	-0.1238114084		
2	864248	864020	AT2G02960	-	-0.1524791134	-0.2693550475		
