ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1207	AT5G19210		chr5	+	6461991	6462105	6461995	6462105	6461804	6461898	1207	48,44	10,17	8,8	14,19	103	99	3.7687776962e-05	0.0165600091971028	0.822,0.713	0.355,0.288	0.446
1291	AT1G08220		chr1	-	2582796	2582865	2582796	2582860	2582997	2583038	1291	3,13	53,41	15,12	10,4	104	99	1.7556697162e-05	0.0128573545549713	0.051,0.232	0.588,0.741	-0.523
1577	AT1G15280		chr1	+	5253545	5253751	5253548	5253751	5253287	5253387	1577	286,263	260,284	211,416	67,146	102	99	3.50090496959e-06	0.0038457441090946	0.516,0.473	0.753,0.734	-0.249
1799	AT1G06833		chr1	-	12922837	12923746	12922837	12923488	12924916	12925030	1799	5,3	5,1	2,7	0,0	357	99	2.47914149749e-05	0.0136166846749638	0.217,0.454	1.0,1.0	-0.664
2383	AT2G46130		chr2	+	18957488	18957925	18957500	18957925	18957211	18957402	2383	7,3	12,4	8,9	0,1	111	99	2.86659058879e-06	0.0038457441090946	0.342,0.401	1.0,0.889	-0.573
ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
64	AT5G44750		chr5	+	18056513	18056585	18056513	18056573	18056667	18056754	64	12,33	12,14	2,10	19,29	111	99	0.00117018353421	0.0281587021882914	0.471,0.678	0.086,0.235	0.414
81	AT5G37340		chr5	-	14789310	14789409	14789342	14789409	14789165	14789219	81	3,2	1,0	1,1	1,8	131	99	4.69579734892e-05	0.0019240077786385	0.694,1.0	0.43,0.086	0.589
89	AT5G27630		chr5	+	9779718	9779862	9779718	9779844	9780007	9780154	89	1,0	2,5	1,2	1,0	117	99	0.00068212725085	0.0195114134394075	0.297,0.0	0.458,1.0	-0.581
141	AT5G11630		chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	141	108,94	19,20	25,37	40,65	164	99	2.83884027397e-13	4.30368185533852e-11	0.774,0.739	0.274,0.256	0.491
155	AT5G37690		chr5	-	14975877	14976229	14975901	14976229	14975446	14975574	155	105,161	36,69	30,45	37,54	123	99	0.00072448208163	0.0199693606500196	0.701,0.653	0.395,0.401	0.279
194	AT4G38380		chr4	-	17974504	17974799	17974518	17974799	17974276	17974419	194	3,16	25,27	9,19	5,0	113	99	0.000180949547496	0.0068054308694586	0.095,0.342	0.612,1.0	-0.588
213	AT5G37850		chr5	+	15065299	15065512	15065299	15065479	15065604	15065701	213	153,238	224,292	34,85	245,487	132	99	6.15863360309e-10	5.8353053389277754e-08	0.339,0.379	0.094,0.116	0.254
230	AT4G32850		chr4	+	15854164	15854245	15854164	15854241	15854317	15855194	230	12,17	8,10	12,18	1,1	103	99	0.0012409709429	0.0293954992099437	0.59,0.62	0.92,0.945	-0.328
350	AT4G09980		chr4	-	6249104	6249224	6249115	6249224	6248510	6248662	350	4,3	86,81	36,25	30,47	110	99	3.00828130184e-07	1.824221781435776e-05	0.04,0.032	0.519,0.324	-0.385
394	AT4G40050		chr4	-	18561988	18562084	18561992	18562084	18561698	18561884	394	87,115	146,147	85,144	22,34	103	99	1.16129328376e-12	1.4671005151501334e-10	0.364,0.429	0.788,0.803	-0.399
398	AT3G63480		chr3	-	23442677	23442771	23442689	23442771	23442559	23442601	398	0,1	8,7	4,13	5,6	111	99	2.76425571568e-05	0.0012698823227184	0.0,0.113	0.416,0.659	-0.481
399	AT3G63460		chr3	-	23434943	23434986	23434949	23434986	23434703	23434825	399	283,276	30,37	108,143	122,193	105	99	0.0	0.0	0.899,0.876	0.455,0.411	0.454
