	ERR9081485	ERR9081486	ERR9081487	ERR9081488	ERR9081489	ERR9081490
AT1G01020;A5:1:8464-8571:8464-8594:-	0.721495404078342	0.75580894740457	0.791479958531152	0.791160428477474	0.752926562877795	0.746876760719691
AT1G01020;RI:1:7157:7232-7384:7450:-	0.0859109879870611	0.114037071933043	0.0877776681418142	0.0472232521173777	0.0694004945977437	0.127819606755724
AT1G01020;RI:1:8236:8325-8417:8464:-	0.121850281810117	0.0854719168134229	0.125277135760744	0.141008887773804	0.0917991703700275	0.115917348494556
AT1G01030;RI:1:11649:12354-12424:13173:-	1	1	0.972663838407927	1	1	1
AT1G01040;A5:1:27536-27618:27533-27618:+	0.124043162926113	0.10538701447615	0.121786335061838	0.169391803373873	0.0932010401636355	0.144540320114572
AT1G01050;AF:1:32670-32839:33009:32670-33029:33171:-	0	0.00222817834460627	0	0	0	0
AT1G01060;A3:1:35474-35567:35471-35567:-	0.705708418305083	0.738109285448496	0.594656824676833	0.600085838485618	0.611839282201889	0.663062647830338
AT1G01060;RI:1:37023:37203-37373:37398:-	0.140685811132126	0.210400343907298	0.123466411346886	0.208466217057301	0.149020002603023	0.172486798978771
AT1G01060;RI:1:37373:37398-37569:37780:-	0	0.0366477054465106	0	0.118666418125226	0.0263879442942206	0
AT1G01080;A5:1:46145-46373:46145-46376:-	0.0340419164781916	0.0962336206227872	0.11961442697897	0	0.0989874593318686	0.178686196493308
AT1G01080;RI:1:44970:45559-45646:45954:-	0.138249285459479	0.147490412534485	0.140756943554609	0.129511375069714	0.168278576867875	0.116573017333834
AT1G01100;A5:1:50963-51123:50963-51126:-	0.00220784104105357	0.00423115566758225	0.0043974482784852	0.00585260071714582	0.00162717453165838	0.00339691347582408
AT1G01100;AF:1:50963-51064:51108:50963-51123:51187:-	0.811629353398423	0.786781971754814	0.831627380585098	0.837971147156261	0.879002973146758	0.795377508278521
AT1G01100;AF:1:50963-51064:51108:50963-51126:51197:-	0.196705361777812	0.353606490159536	0.380037446738468	0.601663321134624	0.257112990259881	0.274118287420811
AT1G01100;AF:1:50963-51064:51108:50963-51126:51210:-	0.00982272643692331	0.0158856924161937	0.0221205062415859	0.030136247547861	0.0121110707631963	0.013544722780668
AT1G01100;RI:1:50419:50447-50496:50631:-	0.961517868273901	0.971897953942401	0.965321104194509	0.98054944044412	0.966244473117887	0.965490760720025
AT1G01140;A5:1:64475-64570:64475-64582:-	0	0	0	0	0	0
