	ERR9081487	ERR9081489
AT1G01020;A5:1:8464-8571:8464-8594:-	0.791479958531152	0.752926562877795
AT1G01020;RI:1:7157:7232-7384:7450:-	0.0877776681418142	0.0694004945977437
AT1G01020;RI:1:8236:8325-8417:8464:-	0.125277135760744	0.0917991703700275
AT1G01030;RI:1:11649:12354-12424:13173:-	0.972663838407927	1
AT1G01040;A5:1:27536-27618:27533-27618:+	0.121786335061838	0.0932010401636355
AT1G01050;AF:1:32670-32839:33009:32670-33029:33171:-	0	0
AT1G01060;A3:1:35474-35567:35471-35567:-	0.594656824676833	0.611839282201889
AT1G01060;RI:1:37023:37203-37373:37398:-	0.123466411346886	0.149020002603023
AT1G01060;RI:1:37373:37398-37569:37780:-	0	0.0263879442942206
AT1G01080;A5:1:46145-46373:46145-46376:-	0.11961442697897	0.0989874593318686
AT1G01080;RI:1:44970:45559-45646:45954:-	0.140756943554609	0.168278576867875
AT1G01100;A5:1:50963-51123:50963-51126:-	0.0043974482784852	0.00162717453165838
AT1G01100;AF:1:50963-51064:51108:50963-51123:51187:-	0.831627380585098	0.879002973146758
AT1G01100;AF:1:50963-51064:51108:50963-51126:51197:-	0.380037446738468	0.257112990259881
AT1G01100;AF:1:50963-51064:51108:50963-51126:51210:-	0.0221205062415859	0.0121110707631963
AT1G01100;RI:1:50419:50447-50496:50631:-	0.965321104194509	0.966244473117887
AT1G01140;A5:1:64475-64570:64475-64582:-	0	0
AT1G01140;A5:1:65652-65733:65652-65739:-	0.00235172587680247	0
AT1G01160;SE:1:72669-72915:73016-73087:+	0.00329029938696683	0.000734456612669267
AT1G01170;A3:1:74455-74661:74449-74661:-	0.972982075204205	0.969042329376111
AT1G01220;A5:1:92089-92270:92070-92270:+	0.290410332422112	0.243945383926467
AT1G01220;RI:1:91743:92070-92270:92501:+	0	0
AT1G01220;RI:1:91743:92070-92270:92933:+	0.18971547267809	nan
AT1G01220;RI:1:91743:92089-92270:92501:+	0	0
AT1G01220;RI:1:91743:92089-92270:92933:+	0.276450096194205	0
AT1G01220;RI:1:91743:92501-92569:92933:+	1	nan
AT1G01220;RI:1:92270:92501-92569:92933:+	0.161446452882919	0.114416148365201
AT1G01240;A3:1:100031-100111:100031-100657:+	0	0
AT1G01240;A5:1:100220-100657:100031-100657:+	0.0452595057228557	0.0384085872116204
AT1G01240;RI:1:99866:100031-100657:101987:+	0.118786926970311	0.13927835753182
AT1G01240;RI:1:99866:100220-100657:101987:+	0.739824916946596	0.802027048369942
AT1G01240;SE:1:100031-100111:100220-100657:+	0.0644039914918971	0.0675724698856037
AT1G01260;A3:1:109330-109406:109330-109413:+	0.568271684964635	0.563721221127353
AT1G01290;RI:1:114619:115339-115961:116407:+	0.156326737330573	0.14169594299327
AT1G01320;A3:1:123501-123579:123495-123579:-	0.991768995933049	0.993169285385703
AT1G01320;A3:1:125046-125134:125022-125134:-	0	0.00168137160334133
AT1G01355;A3:1:138778-138863:138778-138875:+	0	0
AT1G01355;RI:1:138875:138914-138989:139114:+	0.527007722780201	0
AT1G01370;A3:1:143676-143761:143676-143764:+	0.872400004309719	0.89238811363875
AT1G01370;RI:1:143489:143676-143764:143824:+	0.595892885087617	0.70741189531595
AT1G01380;A5:1:147539-147644:147528-147644:+	0.946188972886223	0.91260768986073
AT1G01380;RI:1:147452:147539-147644:148014:+	0.182853737799629	0.105563180731427
AT1G01448;A3:1:165656-165769:165656-165983:+	NA	NA
AT1G01448;RI:1:165449:165656-165769:166353:+	NA	NA
AT1G01490;A5:1:181422-181594:181422-182061:-	0.00278576243219014	0.00289499824460397
AT1G01490;RI:1:181347:181422-181594:182135:-	0.945521302715873	0.946000162030901
AT1G01490;RI:1:181347:181422-182061:182135:-	0.143680425469625	0.161002185363996
AT1G01490;RI:1:182061:182135-182253:182749:-	0.711039501965154	0.734945475134965
AT1G01510_and_AT1G01520;RI:1:191138:191258-191341:191475:+	0	0
AT1G01510_and_AT1G01520;RI:1:191780:191889-191967:192026:+	0	0.148452911521882
AT1G01510_and_AT1G01520;RI:1:191780:191889-191967:192436:+	0.743158852309886	nan
AT1G01510_and_AT1G01520;RI:1:191780:192026-192107:192436:+	1	0
AT1G01510_and_AT1G01520;RI:1:191967:192026-192107:192436:+	0.0876654505478829	0
AT1G01540;RI:1:197775:197904-197974:198183:+	0.0752818977315379	0.0622049747103001
AT1G01560;RI:1:203267:203599-203760:203943:+	0	0
AT1G01560;RI:1:203267:203943-204029:204335:+	nan	nan
