	SRR15236521	SRR15236522	SRR15236523	ERR9081509	ERR9081510	ERR9081511	ERR9081512	ERR9081513	ERR9081514	SRR14214602	SRR14214603	SRR14214604	SRR14214605	CRR341295	CRR341296
AT1G01020;A5:1:8464-8571:8464-8594:-	0.30827342378286	0.146586938862441	0.858640696127805	0.352961879288706	0.398784847653642	0.411262722405162	0.364770208874458	0.365384446257578	0.372841924418038	0.289474012089006	0.301299781135254	0.331295684540566	0.285640674495859	0.578132877288323	0.471711516236861
AT1G01020;RI:1:7157:7232-7384:7450:-	0.0710380604307563	0.146586938862441	0.171670599546244	0.0348925664026255	0.0987104069367219	0.0309915433273841	0.0672499247876621	0.0414363595164557	0.0268579192269889	0.0591322280184575	0.141179560787299	0.0519081051848633	0.111572147935727	0.578132877288323	0.471711516236861
AT1G01020;RI:1:8236:8325-8417:8464:-	0.10737852467486	0.177733817314975	0.076782909919464	0.0635110218620518	0.162100040150083	0.0567231059573744	0.0730021909536659	0.118760676364848	0.104124154454638	0.0487712843587779	0.0937289094719737	0.152032362377428	0.155243890952979	0.0332708391487317	0.113062374444538
AT1G01030;RI:1:11649:12354-12424:13173:-	1	0.936746611324305	1	0.937857441028403	0.865036531640867	1	1	1	1	1	1	1	1	1	1
AT1G01040;A5:1:27536-27618:27533-27618:+	0.336448842445468	0.336399920957084	0.0738412395484084	0.185543345249966	0.00969818709185901	0.0149853236669595	0.0745665779378892	0.0920359468696362	0.0497683144351113	0	0.136244583750877	0	0.175389047217087	0.510190980706046	0.654880486850443
AT1G01050;AF:1:32670-32839:33009:32670-33029:33171:-	0	0	0	0	0	0	0	0	0.0019488884993111	0	0	0	0	0	0
AT1G01060;A3:1:35474-35567:35471-35567:-	0.803466413060673	0.817226678256039	0.620924683694237	0.844611445286911	0.806754771319417	0.851213318362577	0.809404729229457	0.734204921106653	0.738824485570697	0.872618020575996	0.556695275062346	1	1	1	0.139616411781615
AT1G01060;RI:1:37023:37203-37373:37398:-	0.282391731370594	0.300305109758477	0.124174241616016	0.325386084794319	0.287133889191181	0.3034769586818	0.270910937094419	0.296284783788629	0.387357669101262	0.347557623267211	0.193081554334847	0.233612347700169	0.217883855834517	0	0
AT1G01060;RI:1:37373:37398-37569:37780:-	0	0	0.109086977121762	0	0.0189330941497406	0	0.0541525019061619	0	0	0	0	nan	nan	nan	0
AT1G01080;A5:1:46145-46373:46145-46376:-	0.0306491647761497	0.00918332509528621	0.0822906209204607	0.0754750535338342	0.150174936336909	0.126130551310828	0.141450900682594	0.0350463463567127	0.0429406273643921	0.60095167131134	0.639690260109511	0.651648989816955	0.564352816050728	0.596192309145424	0.581922036657071
AT1G01080;RI:1:44970:45559-45646:45954:-	0.0769976073030004	0.0658816880322877	0.152054933563662	0.0775856136224778	0.0866541750770687	0.12303922809882	0.121588772738402	0.105740939519325	0.130540043050284	0.10971588896779	0.175151391960282	0.155873699727509	0.184052573636158	0.163465964721752	0.167068254849024
AT1G01100;A5:1:50963-51123:50963-51126:-	0.00778757528446527	0.00789476518870941	0.00202674652568417	0.00157733291753795	0.00734051886922612	0.00717173616886227	0.0050042378829327	0.0092655129162404	0.012612268009729	0	0	0.0108170056484393	0	0.0845956077490105	0.0480542823540787
AT1G01100;AF:1:50963-51064:51108:50963-51123:51187:-	0.949753659330185	0.958606239758908	0.864669999732593	0.905227442459857	0.644204659806601	0.65365377971848	0.742114412171264	0.511246010048856	0.549220269801809	1	1	0.889358807163777	1	0.969465378956585	0.982347136847149
AT1G01100;AF:1:50963-51064:51108:50963-51126:51197:-	0.663361062372776	0.692701048226533	0.217723833531633	0.296780377257282	0.392624062970095	0.332656240488239	0.277993266489414	0.301944526448277	0.386587937480467	0.8669559317517	0.856695925733328	0.879476594465884	0.742204229024019	0.874704867061022	0.918512956892269
AT1G01100;AF:1:50963-51064:51108:50963-51126:51210:-	0.138253621647449	0.167146023715963	0.0134276697703492	0.0154082374013577	0.0134878356823906	0.0138224670250769	0.0148155487547935	0.00990971911038476	0.0157062134325304	0.114490487040209	0.0999899051446668	0.0817028187607788	0.0574646093616782	0.835019020844689	0.789099349550216
AT1G01100;RI:1:50419:50447-50496:50631:-	0.934884571618463	0.931429402168573	0.954067292829391	0.964831002655715	0.979709303965703	0.973209750278413	0.963129485517433	0.97780868779683	0.975986440204137	0.982733525606343	0.983549309538196	0.989037617571264	0.980430945916222	0.895619748889189	0.935429952095046
AT1G01140;A5:1:64475-64570:64475-64582:-	0.734108051095243	0.741499378620378	0	0	0	0	0	0	0.00358635192161295	0	0	0	0	0.174791963735617	0.338066709039158
AT1G01140;A5:1:65652-65733:65652-65739:-	0.0226390673925164	0.0202486519226601	0	0.00621765388362838	0	0	0.0121468085189329	0.00538690919212106	0.00132126315224293	0	0	0	0.0144124151205	0.221865086583464	0.235303053001005
AT1G01160;SE:1:72669-72915:73016-73087:+	0.00115462130400983	0.00498453801811865	0.00149407889969839	0.00955035239800461	0.00328918635699757	0	0.00750687316909322	0.00354418432549531	0.000515970664828355	0.00409096104193151	0.00379037713479868	0	0	0.00828851536759699	0.0100557379478725
AT1G01170;A3:1:74455-74661:74449-74661:-	0.957059288444592	0.947587356903174	0.965462513712116	0.956910347735232	0.965146650413098	0.960795615788234	0.965893148574915	0.952554429849032	0.963170486035516	0.968878123811188	0.96947885385497	0.971662586997217	0.955979215426177	0.934039540333507	0.966802328161299
AT1G01220;A5:1:92089-92270:92070-92270:+	0.016937675492538	0.0594940423566732	0.394556979025263	0.170749207085316	0.273236606947743	0.17213519239749	0.256840031760373	0.247945976755825	0.0148215516007799	0.059128554765645	0.198638039396732	0.184303633481423	0.25161304120077	0.203112383336662	0.0667993266792969
AT1G01220;RI:1:91743:92070-92270:92501:+	0	0	0	1	nan	0	0	0.264744185793598	0.105668456020587	nan	nan	nan	nan	nan	0
AT1G01220;RI:1:91743:92070-92270:92933:+	0	0.259416826164359	1	0	0.056351940810826	0	0.117772705312888	0	0	0	0	0	0	0	0
AT1G01220;RI:1:91743:92089-92270:92501:+	nan	0	0	0.33489335633899	0	0	0	0.0669811616020394	1	nan	nan	0	0	nan	nan
AT1G01220;RI:1:91743:92089-92270:92933:+	0	1	0.396313685413975	0	1	0	0.162638052601319	0	0	0	0	0	nan	0	0
AT1G01220;RI:1:91743:92501-92569:92933:+	nan	1	1	0	1	nan	1	0	0	nan	nan	nan	nan	nan	nan
