	SRR14214600	SRR14214601
AT1G01020;A5:1:8464-8571:8464-8594:-	0.80883509072343	0.759438502732747
AT1G01020;RI:1:7157:7232-7384:7450:-	0.168507943208121	0.0788784038858448
AT1G01020;RI:1:8236:8325-8417:8464:-	0.0520084963708636	0.0912520932998343
AT1G01030;RI:1:11649:12354-12424:13173:-	0.919889756417891	1
AT1G01040;A5:1:27536-27618:27533-27618:+	0.116579857062479	0
AT1G01050;AF:1:32670-32839:33009:32670-33029:33171:-	0	0
AT1G01060;A3:1:35474-35567:35471-35567:-	1	1
AT1G01060;RI:1:37023:37203-37373:37398:-	0.458518136839049	0
AT1G01060;RI:1:37373:37398-37569:37780:-	nan	nan
AT1G01080;A5:1:46145-46373:46145-46376:-	0.684131854180483	0.573220150458565
AT1G01080;RI:1:44970:45559-45646:45954:-	0.264796236319634	0.223025389231093
AT1G01100;A5:1:50963-51123:50963-51126:-	0	0
AT1G01100;AF:1:50963-51064:51108:50963-51123:51187:-	1	1
AT1G01100;AF:1:50963-51064:51108:50963-51126:51197:-	0.88025210169901	0.830155849771202
AT1G01100;AF:1:50963-51064:51108:50963-51126:51210:-	0.119860249073323	0.0949946837427478
AT1G01100;RI:1:50419:50447-50496:50631:-	0.983956035258602	0.980935272015078
AT1G01140;A5:1:64475-64570:64475-64582:-	0	0.00457922029058123
AT1G01140;A5:1:65652-65733:65652-65739:-	0.0105244762833853	0.00506412638346103
AT1G01160;SE:1:72669-72915:73016-73087:+	0.00294800705004745	0.00297235247977073
AT1G01170;A3:1:74455-74661:74449-74661:-	0.968190619072204	0.962577558722086
AT1G01220;A5:1:92089-92270:92070-92270:+	0.169179598043771	0.315666566592105
AT1G01220;RI:1:91743:92070-92270:92501:+	0	0
AT1G01220;RI:1:91743:92070-92270:92933:+	nan	nan
AT1G01220;RI:1:91743:92089-92270:92501:+	nan	nan
AT1G01220;RI:1:91743:92089-92270:92933:+	0	0
AT1G01220;RI:1:91743:92501-92569:92933:+	nan	nan
AT1G01220;RI:1:92270:92501-92569:92933:+	0.169179598043771	0.315666566592105
AT1G01240;A3:1:100031-100111:100031-100657:+	0	0
AT1G01240;A5:1:100220-100657:100031-100657:+	0.0403427778261005	0.0578954065705933
AT1G01240;RI:1:99866:100031-100657:101987:+	0.0907295762525165	0.157722340200704
AT1G01240;RI:1:99866:100220-100657:101987:+	0.703580082842833	0.752912162230878
AT1G01240;SE:1:100031-100111:100220-100657:+	0	0.184832879919412
AT1G01260;A3:1:109330-109406:109330-109413:+	0.531338452947468	0.728306552141999
AT1G01290;RI:1:114619:115339-115961:116407:+	0.166384847460533	0.135638124249556
AT1G01320;A3:1:123501-123579:123495-123579:-	0.995196420750989	0.998934315551438
AT1G01320;A3:1:125046-125134:125022-125134:-	0	0
AT1G01355;A3:1:138778-138863:138778-138875:+	0	0
AT1G01355;RI:1:138875:138914-138989:139114:+	0	0
AT1G01370;A3:1:143676-143761:143676-143764:+	0.944830284377103	0.963128112181506
AT1G01370;RI:1:143489:143676-143764:143824:+	0.667950879946178	0.839482470263942
AT1G01380;A5:1:147539-147644:147528-147644:+	1	1
AT1G01380;RI:1:147452:147539-147644:148014:+	0.376505429417572	0.300689732142857
AT1G01448;A3:1:165656-165769:165656-165983:+	NA	NA
AT1G01448;RI:1:165449:165656-165769:166353:+	NA	NA
AT1G01490;A5:1:181422-181594:181422-182061:-	0.0143707267791802	0
AT1G01490;RI:1:181347:181422-181594:182135:-	0.795079383791109	1
AT1G01490;RI:1:181347:181422-182061:182135:-	0.283342575075738	0.28959240974039
AT1G01490;RI:1:182061:182135-182253:182749:-	0.85691643692463	0.821529115792001
AT1G01510_and_AT1G01520;RI:1:191138:191258-191341:191475:+	0	0
AT1G01510_and_AT1G01520;RI:1:191780:191889-191967:192026:+	0	0
AT1G01510_and_AT1G01520;RI:1:191780:191889-191967:192436:+	nan	nan
AT1G01510_and_AT1G01520;RI:1:191780:192026-192107:192436:+	nan	nan
AT1G01510_and_AT1G01520;RI:1:191967:192026-192107:192436:+	0	0
AT1G01540;RI:1:197775:197904-197974:198183:+	0.20640591319007	0.154785581716546
