ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10	AT5G65210		chr5	+	26058594	26059201	26059019	26059201	26057817	26058028	10	114,186,120,95,192,166	36,79,39,39,50,44	141,94,137,162,179,65	6,7,8,9,20,4	574	149	2.9853897132200004e-12	3.9451925060202305e-09	0.451,0.379,0.444,0.387,0.499,0.495	0.859,0.777,0.816,0.824,0.699,0.808	-0.355
33	AT5G60570		chr5	+	24348367	24350164	24348379	24350164	24347782	24348026	33	35,45,45,22,49,46	175,288,299,190,294,263	79,64,56,117,93,35	136,124,146,250,246,85	161	149	0.000126033327074	0.011896645837735	0.156,0.126,0.122,0.097,0.134,0.139	0.35,0.323,0.262,0.302,0.259,0.276	-0.166
63	AT5G53020		chr5	+	21501851	21502416	21501854	21502416	21500916	21501767	63	9,8,14,13,8,4	31,57,44,50,64,48	26,16,20,32,20,8	27,18,12,59,30,15	152	149	7.77734671533e-05	0.0089371858124422	0.222,0.121,0.238,0.203,0.109,0.076	0.486,0.466,0.62,0.347,0.395,0.343	-0.281
268	AT5G10330		chr5	-	3249165	3249333	3249165	3249320	3249436	3249520	268	8,7,5,2,7,3	17,16,20,18,22,22	11,11,8,17,9,8	12,8,7,12,14,3	162	149	0.000613979078516	0.0477278442505231	0.302,0.287,0.187,0.093,0.226,0.111	0.457,0.558,0.512,0.566,0.372,0.71	-0.328
438	AT4G33650		chr4	+	16164959	16165058	16164962	16165058	16164757	16164871	438	76,68,64,75,99,89	213,373,204,225,267,226	17,10,29,26,42,8	281,209,203,309,307,98	152	149	0.000354689294112	0.0284073880102429	0.259,0.152,0.235,0.246,0.267,0.279	0.056,0.045,0.123,0.076,0.118,0.074	0.158
684	AT4G02430		chr4	+	1071273	1071674	1071284	1071674	1070656	1070886	684	60,149,102,97,163,104	64,109,82,90,87,60	58,66,60,97,99,51	111,119,97,170,185,85	160	149	0.00012002290449	0.011896645837735	0.466,0.56,0.537,0.501,0.636,0.617	0.327,0.341,0.365,0.347,0.333,0.358	0.208
947	AT4G26140		chr4	-	13244507	13244689	13244507	13244683	13244784	13244946	947	46,91,68,54,73,75	24,38,37,38,40,74	38,13,19,15,29,11	61,34,46,48,60,18	155	149	2.25064067938e-07	5.9484433156013406e-05	0.648,0.697,0.639,0.577,0.637,0.493	0.375,0.269,0.284,0.231,0.317,0.37	0.307
989	AT1G72640		chr1	-	27346745	27346919	27346745	27346899	27347084	27347147	989	266,488,347,289,398,322	94,119,100,90,138,85	857,661,770,1017,1194,347	84,72,62,87,107,42	169	149	8.25743087984e-06	0.0013640243634635	0.714,0.783,0.754,0.739,0.718,0.77	0.9,0.89,0.916,0.912,0.908,0.879	-0.154
990	AT1G72640		chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	990	177,277,203,202,246,230	412,727,522,468,700,626	186,139,166,208,221,88	1377,1083,1260,1629,1899,588	152	149	2.87595243176e-08	1.26685704619028e-05	0.296,0.272,0.276,0.297,0.256,0.265	0.117,0.112,0.114,0.111,0.102,0.128	0.163
1025	AT5G60170		chr5	+	24229699	24229832	24229705	24229832	24229463	24229555	1025	96,151,117,132,187,156	62,47,64,58,75,104	73,59,80,168,114,40	96,64,115,147,161,59	155	149	4.89142441517e-05	0.0061562070139496	0.598,0.755,0.637,0.686,0.706,0.59	0.422,0.47,0.401,0.523,0.405,0.395	0.226
1057	AT3G26890		chr3	-	9908834	9909086	9908834	9909083	9909317	9910792	1057	475,682,526,501,678,577	194,269,199,171,302,223	482,359,385,630,536,222	348,286,389,506,521,191	152	149	1.25810297713e-06	0.0002375118691824	0.706,0.713,0.722,0.742,0.688,0.717	0.576,0.552,0.492,0.55,0.502,0.533	0.18
