ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G65970"	NA	chr5	-	26389335	26389424	26389497	26389558	26389157	26389232	26389630	26389747	0	24,45,40,34,58,51	53,69,51,45,60,64	27,40,25,57,41,11	44,27,24,37,39,15	210	238	1	1.0	0.339,0.425,0.471,0.461,0.523,0.475	0.41,0.627,0.541,0.636,0.544,0.454	-0.086
1	"AT5G65940"	NA	chr5	-	26378842	26378911	26378975	26379056	26378717	26378781	26379131	26379235	1	84,146,117,92,137,144	212,297,267,243,322,292	124,56,122,120,151,59	228,194,222,300,336,94	230	218	1	1.0	0.273,0.318,0.293,0.264,0.287,0.319	0.34,0.215,0.342,0.275,0.299,0.373	-0.015
2	"AT5G59770"	NA	chr5	-	24079962	24080009	24080110	24080178	24079796	24079894	24080373	24080427	2	68,111,93,91,105,113	51,72,71,51,61,74	96,90,97,126,108,42	62,54,90,56,110,25	217	196	1	1.0	0.546,0.582,0.542,0.617,0.609,0.58	0.583,0.601,0.493,0.67,0.47,0.603	0.009
3	"AT5G52070"	NA	chr5	+	21162074	21162208	21163726	21163968	21161222	21161353	21164079	21164196	3	1,1,0,0,1,0	103,182,115,124,191,141	0,0,0,0,0,0	99,102,103,140,153,46	283	298	1	1.0	0.01,0.006,0.0,0.0,0.005,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.004
4	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968	4	65,72,62,71,89,85	16,13,18,17,27,10	68,43,67,71,88,29	12,3,4,7,6,2	262	219	0.449842222834	1.0	0.773,0.822,0.742,0.777,0.734,0.877	0.826,0.923,0.933,0.894,0.925,0.924	-0.117
5	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163968	21161131	21161353	21164079	21164196	5	10,12,13,25,23,10	101,180,113,115,185,133	19,9,24,16,19,3	97,102,101,128,151,45	262	298	1	1.0	0.101,0.07,0.116,0.198,0.124,0.079	0.182,0.091,0.213,0.124,0.125,0.07	-0.02
6	"AT5G52070"	NA	chr5	+	21162095	21162208	21163726	21163968	21161131	21161353	21164079	21164196	6	10,12,13,25,23,10	103,182,115,124,191,141	19,9,24,16,19,3	99,102,103,140,153,46	262	298	1	1.0	0.099,0.07,0.114,0.187,0.12,0.075	0.179,0.091,0.21,0.115,0.124,0.069	-0.02
7	"AT5G48640"	NA	chr5	-	19724984	19725029	19725196	19725236	19724671	19724790	19725386	19725493	7	26,43,34,38,50,76	35,46,55,33,48,53	43,15,41,38,39,11	38,25,64,49,81,21	189	194	1	1.0	0.433,0.49,0.388,0.542,0.517,0.595	0.537,0.381,0.397,0.443,0.331,0.35	0.088
8	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	8	5,19,10,9,14,12	62,129,112,76,136,67	20,8,12,24,17,5	75,62,64,120,112,26	230	230	1	1.0	0.075,0.128,0.082,0.106,0.093,0.152	0.211,0.114,0.158,0.167,0.132,0.161	-0.051
9	"AT5G41960"	NA	chr5	+	16790288	16790368	16790492	16790545	16789972	16790194	16790637	16790748	9	126,183,108,116,158,122	44,74,59,40,65,51	106,74,60,116,126,45	36,25,29,47,56,14	229	202	1	1.0	0.716,0.686,0.618,0.719,0.682,0.678	0.722,0.723,0.646,0.685,0.665,0.739	-0.013
