ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
7	"AT5G66055"	NA	chr5	-	26417635	26417912	26417635	26417734	26417999	26418098
11	"AT5G65210"	NA	chr5	+	26058594	26059201	26059019	26059201	26057817	26058028
13	"AT5G65060"	NA	chr5	+	25990613	25991412	25990963	25991412	25987308	25987711
15	"AT5G65060"	NA	chr5	+	25990613	25991412	25990963	25991412	25990283	25990325
20	"AT5G63620"	NA	chr5	-	25466127	25466571	25466127	25466564	25466686	25466864
21	"AT5G63620"	NA	chr5	-	25466127	25466571	25466127	25466564	25466693	25467087
29	"AT5G61500"	NA	chr5	-	24734384	24734706	24734384	24734512	24735046	24735098
40	"AT5G60030"	NA	chr5	-	24171887	24172456	24171887	24172273	24172564	24172975
41	"AT5G66180"	NA	chr5	+	26450357	26450585	26450523	26450585	26450136	26450271
59	"AT5G54760"	NA	chr5	+	22244686	22244768	22244693	22244768	22243799	22244001
62	"AT5G53900"	NA	chr5	-	21882328	21882734	21882328	21882434	21882856	21882907
64	"AT5G53020"	NA	chr5	+	21499290	21500829	21499888	21500829	21498423	21498605
66	"AT5G53020"	NA	chr5	+	21499888	21500829	21499966	21500829	21499416	21499440
72	"AT5G52070"	NA	chr5	+	21163578	21163968	21163726	21163968	21161131	21161353
77	"AT5G51230"	NA	chr5	+	20827583	20827684	20827598	20827684	20826973	20827033
85	"AT5G50240"	NA	chr5	+	20451631	20451902	20451640	20451902	20451532	20451544
87	"AT5G50130"	NA	chr5	+	20392587	20393255	20392843	20393255	20392386	20392474
91	"AT5G48640"	NA	chr5	-	19724984	19725236	19724984	19725029	19725386	19725493
94	"AT5G48545"	NA	chr5	+	19676967	19677600	19677544	19677600	19676741	19676799
95	"AT5G48545"	NA	chr5	+	19677544	19677747	19677693	19677747	19676967	19677034
101	"AT5G47455"	NA	chr5	+	19252203	19252364	19252205	19252364	19251934	19251979
103	"AT5G47080"	NA	chr5	-	19125515	19125625	19125515	19125610	19126159	19126694
108	"AT5G46250"	NA	chr5	+	18757246	18757315	18757250	18757315	18757110	18757158
109	"AT5G45510"	NA	chr5	+	18448937	18449446	18449020	18449446	18444606	18444846
112	"AT5G44510"	NA	chr5	-	17929941	17930005	17929941	17929964	17930508	17931936
114	"AT5G44010"	NA	chr5	-	17708477	17708950	17708477	17708761	17709031	17709326
120	"AT5G42520"	NA	chr5	+	17001494	17002607	17001558	17002607	17001191	17001331
123	"AT5G42080"	NA	chr5	-	16821414	16821795	16821414	16821465	16821934	16822005
124	"AT5G41960"	NA	chr5	+	16790469	16790545	16790492	16790545	16789972	16790194
126	"AT5G41700"	NA	chr5	+	16676482	16676619	16676491	16676619	16676053	16676135
127	"AT5G41700"	NA	chr5	+	16676482	16676619	16676491	16676619	16676053	16676141
128	"AT5G41700"	NA	chr5	+	16676781	16677509	16677079	16677509	16676491	16676619
129	"AT5G41220"	NA	chr5	-	16496445	16496634	16496445	16496499	16496749	16496823
130	"AT5G41220"	NA	chr5	-	16496573	16496823	16496573	16496634	16496904	16497163
133	"AT5G40910"	NA	chr5	+	16395536	16397169	16396097	16397169	16395210	16395275
139	"AT5G40280"	NA	chr5	+	16102637	16102870	16102816	16102870	16102244	16102280
148	"AT5G37710"	NA	chr5	+	14980724	14981620	14981106	14981620	14980378	14980437
153	"AT5G37370"	NA	chr5	-	14814825	14815283	14814825	14815052	14815697	14816046
154	"AT5G37370"	NA	chr5	-	14814825	14815545	14814825	14815052	14815697	14816046
156	"AT5G37340"	NA	chr5	-	14789165	14789236	14789165	14789219	14789342	14789409
