ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
33	"AT5G63760"	NA	chr5	-	25515877	25516918	25515877	25516074	25516219	25516918
130	"AT5G53900"	NA	chr5	-	21882328	21882907	21882328	21882434	21882856	21882907
132	"AT5G53700"	NA	chr5	+	21801387	21801889	21801387	21801422	21801721	21801889
141	"AT5G53020"	NA	chr5	+	21498423	21500829	21498423	21498605	21499888	21500829
175	"AT5G48640"	NA	chr5	-	19724984	19725493	19724984	19725029	19725386	19725493
236	"AT5G40910"	NA	chr5	+	16395210	16397169	16395210	16395275	16396097	16397169
271	"AT5G37370"	NA	chr5	-	14814767	14816046	14814767	14814848	14815937	14816046
286	"AT5G36002"	NA	chr5	-	14141794	14143303	14141794	14141949	14143015	14143303
304	"AT5G26980"	NA	chr5	-	9488132	9488831	9488132	9488361	9488704	9488831
413	"AT5G16800"	NA	chr5	-	5524272	5525039	5524272	5524701	5524835	5525039
448	"AT5G13660"	NA	chr5	+	4405093	4406813	4405093	4406365	4406614	4406813
499	"AT5G18245"	NA	chr5	+	6028150	6028582	6028150	6028330	6028516	6028582
503	"AT5G18245"	NA	chr5	+	6029601	6030596	6029601	6029684	6030356	6030596
525	"AT5G07570"	NA	chr5	+	2393102	2396329	2393102	2394677	2394758	2396329
538	"AT5G06690"	NA	chr5	-	2060442	2061047	2060442	2060749	2060980	2061047
716	"AT4G32850"	NA	chr4	+	15853669	15854241	15853669	15853753	15854043	15854241
721	"AT4G32850"	NA	chr4	+	15854164	15855186	15854164	15854211	15854362	15855186
773	"AT4G28680"	NA	chr4	+	14157149	14158001	14157149	14157314	14157728	14158001
775	"AT4G28680"	NA	chr4	+	14157417	14158001	14157417	14157474	14157877	14158001
830	"AT4G24590"	NA	chr4	+	12697216	12697842	12697216	12697377	12697733	12697842
848	"AT4G30820"	NA	chr4	+	15006493	15007211	15006493	15006557	15007106	15007211
850	"AT4G30820"	NA	chr4	+	15006647	15007858	15006647	15006964	15007106	15007858
940	"AT4G19670"	NA	chr4	-	10700919	10702174	10700919	10701360	10701503	10702174
941	"AT4G19670"	NA	chr4	-	10700919	10702174	10700919	10701365	10701503	10702174
943	"AT4G19670"	NA	chr4	-	10700919	10702174	10700919	10701360	10701555	10702174
954	"AT4G19510"	NA	chr4	+	10636013	10637063	10636013	10636625	10636701	10637063
1001	"AT4G16765"	NA	chr4	-	9430743	9431480	9430743	9430844	9431428	9431480
1034	"AT4G14385"	NA	chr4	-	8287347	8288148	8287347	8287430	8288078	8288148
1181	"AT4G03230"	NA	chr4	-	1421540	1422953	1421540	1422335	1422631	1422953
1253	"AT3G62750"	NA	chr3	+	23215853	23216355	23215853	23216083	23216267	23216355
1305	"AT3G59470"	NA	chr3	-	21979542	21980839	21979542	21980122	21980527	21980839
1350	"AT3G56130"	NA	chr3	+	20828650	20829270	20828650	20828719	20828939	20829270
1358	"AT3G55850"	NA	chr3	-	20724352	20725024	20724352	20724459	20724922	20725024
1376	"AT3G54740"	NA	chr3	+	20262336	20264115	20262336	20262679	20263036	20264115
1418	"AT3G52340"	NA	chr3	+	19406852	19407471	19406852	19407016	19407204	19407471
1437	"AT3G51360"	NA	chr3	-	19064538	19064948	19064538	19064610	19064851	19064948
1440	"AT3G51360"	NA	chr3	-	19066069	19066734	19066069	19066208	19066260	19066734
1538	"AT2G05520"	NA	chr2	+	2026523	2027283	2026523	2026610	2026649	2027283
1580	"AT2G02410"	NA	chr2	+	633208	633524	633208	633284	633399	633524
1581	"AT2G02410"	NA	chr2	+	633208	633524	633208	633280	633402	633524
1656	"AT3G10300"	NA	chr3	+	3187558	3188540	3187558	3187734	3187966	3188540
1673	"AT1G35320"	NA	chr1	-	12959476	12960799	12959476	12959768	12960680	12960799
1753	"AT1G75420"	NA	chr1	+	28305217	28305936	28305217	28305371	28305793	28305936
1821	"AT1G26890"	NA	chr1	+	9317588	9318869	9317588	9318473	9318731	9318869
1832	"AT1G67180"	NA	chr1	+	25129657	25130448	25129657	25129816	25130314	25130448
1867	"AT5G38360"	NA	chr5	-	15332390	15332773	15332390	15332488	15332703	15332773
1880	"AT1G63855"	NA	chr1	-	23699834	23700331	23699834	23699919	23700280	23700331
1893	"AT2G03390"	NA	chr2	-	1030401	1031042	1030401	1030775	1030996	1031042
1918	"AT2G30740"	NA	chr2	+	13095650	13096492	13095650	13095700	13095848	13096492
1976	"AT3G52072"	NA	chr3	-	19313233	19314685	19313233	19313836	19314478	19314685
1980	"AT1G79630"	NA	chr1	-	29964019	29965795	29964019	29964448	29965655	29965795
2029	"AT1G56220"	NA	chr1	+	21043703	21044998	21043703	21043893	21044356	21044998
2045	"AT1G55750"	NA	chr1	-	20840974	20841489	20840974	20841022	20841375	20841489
2071	"AT2G44090"	NA	chr2	-	18239564	18241376	18239564	18239997	18241238	18241376
2126	"AT5G07100"	NA	chr5	+	2204205	2205165	2204205	2204539	2204812	2205165
2131	"AT3G13970"	NA	chr3	-	4613491	4614124	4613491	4613755	4614055	4614124
2149	"AT1G54440"	NA	chr1	+	20326797	20327518	20326797	20326875	20327359	20327518
2172	"AT4G17310"	NA	chr4	-	9685665	9686024	9685665	9685710	9685976	9686024
2222	"AT2G03480"	NA	chr2	+	1053007	1053574	1053007	1053169	1053270	1053574
2248	"AT1G44125"	NA	chr1	-	16783003	16786828	16783003	16783197	16786374	16786828
2249	"AT1G44125"	NA	chr1	-	16783003	16786828	16783003	16783921	16786374	16786828
2284	"AT4G35770"	NA	chr4	+	16945603	16946192	16945603	16945674	16945908	16946192
2306	"AT1G09195"	NA	chr1	-	2967939	2968536	2967939	2968199	2968474	2968536
2307	"AT1G09195"	NA	chr1	-	2967939	2968536	2967939	2968254	2968474	2968536
2309	"AT1G09195"	NA	chr1	-	2967939	2968536	2967939	2968199	2968479	2968536
2311	"AT1G09195"	NA	chr1	-	2967939	2968758	2967939	2968199	2968652	2968758
