ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
33	"AT5G63760"	NA	chr5	-	25515877	25516918	25515877	25516074	25516219	25516918
139	"AT5G53020"	NA	chr5	+	21498423	21500829	21498423	21498605	21499888	21500829
173	"AT5G48640"	NA	chr5	-	19724984	19725493	19724984	19725029	19725386	19725493
234	"AT5G40910"	NA	chr5	+	16395210	16397169	16395210	16395275	16396097	16397169
300	"AT5G26980"	NA	chr5	-	9488132	9488831	9488132	9488361	9488704	9488831
493	"AT5G18245"	NA	chr5	+	6028150	6028582	6028150	6028330	6028516	6028582
518	"AT5G07570"	NA	chr5	+	2393102	2396329	2393102	2394677	2394758	2396329
531	"AT5G06690"	NA	chr5	-	2060442	2061047	2060442	2060749	2060980	2061047
709	"AT4G32850"	NA	chr4	+	15853669	15854241	15853669	15853753	15854043	15854241
714	"AT4G32850"	NA	chr4	+	15854164	15855186	15854164	15854211	15854362	15855186
928	"AT4G19670"	NA	chr4	-	10700919	10702174	10700919	10701365	10701503	10702174
986	"AT4G16765"	NA	chr4	-	9430743	9431480	9430743	9430844	9431428	9431480
1019	"AT4G14385"	NA	chr4	-	8287347	8288148	8287347	8287430	8288078	8288148
1288	"AT3G59470"	NA	chr3	-	21979542	21980839	21979542	21980122	21980527	21980839
1340	"AT3G55850"	NA	chr3	-	20724352	20725024	20724352	20724459	20724922	20725024
1358	"AT3G54740"	NA	chr3	+	20262336	20264115	20262336	20262679	20263036	20264115
1517	"AT2G05520"	NA	chr2	+	2026523	2027283	2026523	2026610	2026649	2027283
1795	"AT1G26890"	NA	chr1	+	9317588	9318869	9317588	9318473	9318731	9318869
1888	"AT2G30740"	NA	chr2	+	13095650	13096492	13095650	13095700	13095848	13096492
2091	"AT5G07100"	NA	chr5	+	2204205	2205165	2204205	2204539	2204812	2205165
2096	"AT3G13970"	NA	chr3	-	4613491	4614124	4613491	4613755	4614055	4614124
2114	"AT1G54440"	NA	chr1	+	20326797	20327518	20326797	20326875	20327359	20327518
2137	"AT4G17310"	NA	chr4	-	9685665	9686024	9685665	9685710	9685976	9686024
2187	"AT2G03480"	NA	chr2	+	1053007	1053574	1053007	1053169	1053270	1053574
2213	"AT1G44125"	NA	chr1	-	16783003	16786828	16783003	16783197	16786374	16786828
2214	"AT1G44125"	NA	chr1	-	16783003	16786828	16783003	16783921	16786374	16786828
2272	"AT1G09195"	NA	chr1	-	2967939	2968758	2967939	2968199	2968652	2968758
2273	"AT1G09195"	NA	chr1	-	2967939	2968758	2967939	2968254	2968652	2968758
2450	"AT1G02960"	NA	chr1	-	667150	667641	667150	667281	667540	667641
2473	"AT5G28080"	NA	chr5	-	10091593	10092721	10091593	10091821	10092314	10092721
2587	"AT1G22430"	NA	chr1	+	7920827	7921386	7920827	7920892	7921224	7921386
2652	"AT1G02010"	NA	chr1	+	351411	351819	351411	351632	351736	351819
2663	"AT1G61560"	NA	chr1	-	22708467	22709690	22708467	22709321	22709622	22709690
2732	"AT1G04300"	NA	chr1	-	1152878	1153345	1152878	1152947	1153233	1153345
2794	"AT2G39950"	NA	chr2	-	16678034	16679772	16678034	16678278	16679172	16679772
2828	"AT1G02840"	NA	chr1	+	628776	629321	628776	628856	628934	629321
2829	"AT1G02840"	NA	chr1	+	628776	629321	628776	628856	629287	629321
3078	"AT3G54620"	NA	chr3	-	20218483	20218789	20218483	20218536	20218713	20218789
3232	"AT3G27610"	NA	chr3	-	10227328	10227808	10227328	10227389	10227723	10227808
3242	"AT1G03470"	NA	chr1	-	867408	867733	867408	867511	867625	867733
3331	"AT3G45750"	NA	chr3	-	16796783	16797236	16796783	16796958	16797150	16797236
3346	"AT4G11900"	NA	chr4	-	7150629	7151297	7150629	7150751	7150886	7151297
3361	"AT2G17780"	NA	chr2	-	7726541	7727503	7726541	7726960	7727324	7727503
3449	"AT1G16560"	NA	chr1	+	5668572	5669039	5668572	5668709	5668944	5669039
3544	"AT1G70620"	NA	chr1	+	26627195	26628053	26627195	26627512	26627841	26628053
3548	"AT1G70620"	NA	chr1	+	26630246	26631104	26630246	26630303	26630700	26631104
3652	"AT1G48175"	NA	chr1	+	17790396	17791303	17790396	17791013	17791236	17791303
3660	"AT1G72130"	NA	chr1	+	27137432	27138259	27137432	27137606	27137735	27138259
3664	"AT5G11950"	NA	chr5	+	3854769	3855630	3854769	3854954	3855532	3855630
3754	"AT4G37440"	NA	chr4	+	17603111	17604086	17603111	17603594	17603663	17604086
3849	"AT3G27300"	NA	chr3	-	10086114	10086488	10086114	10086310	10086411	10086488
3903	"AT4G25434"	NA	chr4	-	13005006	13005899	13005006	13005144	13005600	13005899
3907	"AT1G05710"	NA	chr1	+	1714872	1716308	1714872	1716080	1716211	1716308
3917	"AT5G06265"	NA	chr5	+	1905778	1906766	1905778	1906172	1906563	1906766
3967	"AT5G09175"	NA	chr5	-	25617178	25618113	25617178	25617729	25617987	25618113
4156	"AT2G16940"	NA	chr2	-	7345694	7346177	7345694	7345776	7346107	7346177
4188	"AT2G42380"	NA	chr2	-	17647573	17647905	17647573	17647687	17647814	17647905
4192	"AT1G65040"	NA	chr1	-	24162832	24163379	24162832	24162882	24163236	24163379
4218	"AT3G53340"	NA	chr3	-	19775151	19775606	19775151	19775226	19775476	19775606
4269	"AT2G22260"	NA	chr2	+	9460917	9461386	9460917	9461149	9461312	9461386
4303	"AT1G33615"	NA	chr1	-	12193811	12194413	12193811	12193938	12194350	12194413
4468	"AT2G30170"	NA	chr2	-	12880073	12880525	12880073	12880156	12880427	12880525
4641	"AT2G37160"	NA	chr2	+	15611441	15611720	15611441	15611552	15611627	15611720
4642	"AT2G37160"	NA	chr2	+	15611441	15611720	15611441	15611547	15611632	15611720
4792	"AT2G44798"	NA	chr2	-	18467672	18468395	18467672	18467841	18468099	18468395
4809	"AT2G45380"	NA	chr2	-	18700320	18701671	18700320	18700487	18701536	18701671
4878	"AT5G65740"	NA	chr5	-	26302829	26303514	26302829	26303051	26303332	26303514
4951	"AT4G02120"	NA	chr4	+	943410	943787	943410	943496	943706	943787
5105	"AT3G08840"	NA	chr3	-	2681948	2682856	2681948	2682193	2682619	2682856
5112	"AT1G26440"	NA	chr1	-	9144994	9145696	9144994	9145195	9145412	9145696
