ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT5G67430"	NA	chr5	+	26910204	26910830	26910204	26910593	26910669	26910830
1	"AT5G67385"	NA	chr5	+	26884202	26884982	26884202	26884809	26884912	26884982
2	"AT5G67385"	NA	chr5	+	26884912	26885699	26884912	26884982	26885084	26885699
3	"AT5G67110"	NA	chr5	-	26785617	26785827	26785617	26785683	26785761	26785827
4	"AT5G66810"	NA	chr5	+	26674949	26675816	26674949	26675494	26675618	26675816
5	"AT5G66810"	NA	chr5	+	26675618	26676255	26675618	26675816	26675913	26676255
6	"AT5G66558"	NA	chr5	-	26563997	26566847	26563997	26564383	26564530	26566847
7	"AT5G66450"	NA	chr5	+	26534615	26535133	26534615	26534688	26534780	26535133
8	"AT5G66240"	NA	chr5	+	26466173	26466443	26466173	26466274	26466363	26466443
9	"AT5G66110"	NA	chr5	+	26430391	26431351	26430391	26430815	26430908	26431351
10	"AT5G66055"	NA	chr5	-	26417635	26417912	26417635	26417734	26417813	26417912
11	"AT5G66040"	NA	chr5	+	26410731	26410993	26410731	26410805	26410868	26410993
12	"AT5G65970"	NA	chr5	-	26388353	26388669	26388353	26388389	26388495	26388669
13	"AT5G65940"	NA	chr5	-	26377037	26377257	26377037	26377079	26377155	26377257
14	"AT5G65690"	NA	chr5	+	26268827	26269249	26268827	26268997	26269080	26269249
15	"AT5G65460"	NA	chr5	-	26161623	26162539	26161623	26162283	26162380	26162539
16	"AT5G65460"	NA	chr5	-	26162380	26162778	26162380	26162539	26162637	26162778
17	"AT5G65440"	NA	chr5	+	26152121	26152463	26152121	26152251	26152374	26152463
18	"AT5G65440"	NA	chr5	+	26153689	26154169	26153689	26153795	26153897	26154169
19	"AT5G65440"	NA	chr5	+	26156305	26156655	26156305	26156500	26156583	26156655
20	"AT5G65180"	NA	chr5	+	26045326	26046134	26045326	26045700	26045886	26046134
21	"AT5G65120"	NA	chr5	+	26014001	26014313	26014001	26014055	26014131	26014313
22	"AT5G65060"	NA	chr5	+	25990613	25991412	25990613	25990655	25990963	25991412
23	"AT5G64700"	NA	chr5	-	25865418	25865824	25865418	25865570	25865665	25865824
24	"AT5G64630"	NA	chr5	+	25835674	25836400	25835674	25835775	25835841	25836400
25	"AT5G64540"	NA	chr5	-	25800231	25800842	25800231	25800704	25800784	25800842
26	"AT5G64360"	NA	chr5	-	25736244	25736890	25736244	25736550	25736688	25736890
27	"AT5G64330"	NA	chr5	+	25727802	25728563	25727802	25727872	25727954	25728563
28	"AT5G64170"	NA	chr5	-	25672465	25673005	25672465	25672718	25672810	25673005
29	"AT5G64130"	NA	chr5	-	25664981	25665167	25664981	25665029	25665104	25665167
30	"AT5G64130"	NA	chr5	-	25665104	25665372	25665104	25665167	25665258	25665372
31	"AT5G63870"	NA	chr5	-	25561704	25562434	25561704	25561851	25561939	25562434
32	"AT5G63760"	NA	chr5	-	25515877	25516918	25515877	25516074	25516184	25516918
33	"AT5G63760"	NA	chr5	-	25515877	25516918	25515877	25516074	25516219	25516918
34	"AT5G63700"	NA	chr5	-	25494356	25494637	25494356	25494407	25494577	25494637
35	"AT5G63620"	NA	chr5	-	25466693	25467087	25466693	25466864	25466945	25467087
36	"AT5G63440"	NA	chr5	+	25407649	25407935	25407649	25407738	25407866	25407935
37	"AT5G63220"	NA	chr5	-	25353033	25353420	25353033	25353267	25353339	25353420
38	"AT5G63200"	NA	chr5	+	25352245	25352393	25352245	25352267	25352315	25352393
39	"AT5G63130"	NA	chr5	+	25323438	25324739	25323438	25324275	25324364	25324739
40	"AT5G62880"	NA	chr5	+	25238562	25238812	25238562	25238628	25238699	25238812
41	"AT5G62480"	NA	chr5	-	25089239	25089626	25089239	25089295	25089373	25089626
42	"AT5G62460"	NA	chr5	+	25074781	25075045	25074781	25074838	25074917	25075045
43	"AT5G62170"	NA	chr5	-	24973955	24975191	24973955	24975005	24975102	24975191
44	"AT5G62170"	NA	chr5	-	24975102	24975632	24975102	24975191	24975264	24975632
45	"AT5G62165"	NA	chr5	+	24964645	24965256	24964645	24964959	24965037	24965256
46	"AT5G62165"	NA	chr5	+	24964645	24965256	24964645	24964959	24965049	24965256
47	"AT5G62165"	NA	chr5	+	24967327	24967736	24967327	24967427	24967694	24967736
48	"AT5G62165"	NA	chr5	+	24967327	24967882	24967327	24967427	24967840	24967882
49	"AT5G62165"	NA	chr5	+	24967327	24967882	24967327	24967736	24967840	24967882
50	"AT5G62000"	NA	chr5	+	24910357	24911012	24910357	24910610	24910712	24911012
51	"AT5G61960"	NA	chr5	-	24883405	24883573	24883405	24883459	24883550	24883573
52	"AT5G61960"	NA	chr5	-	24883550	24883955	24883550	24883573	24883691	24883955
53	"AT5G61960"	NA	chr5	-	24883550	24883955	24883550	24883573	24883907	24883955
54	"AT5G61960"	NA	chr5	-	24883691	24884174	24883691	24883955	24884059	24884174
55	"AT5G61910"	NA	chr5	-	24861062	24862336	24861062	24861167	24861261	24862336
56	"AT5G61910"	NA	chr5	-	24861062	24862336	24861062	24861815	24861911	24862336
57	"AT5G61700"	NA	chr5	+	24796949	24797273	24796949	24797034	24797144	24797273
58	"AT5G61700"	NA	chr5	+	24797358	24798428	24797358	24797505	24797592	24798428
59	"AT5G61540"	NA	chr5	+	24745717	24746276	24745717	24745782	24745880	24746276
60	"AT5G61500"	NA	chr5	-	24734384	24734706	24734384	24734512	24734640	24734706
61	"AT5G61440"	NA	chr5	+	24708226	24709396	24708226	24708391	24708489	24709396
62	"AT5G61310"	NA	chr5	-	24653260	24654918	24653260	24653752	24654795	24654918
63	"AT5G61280"	NA	chr5	-	24643560	24643993	24643560	24643825	24643911	24643993
64	"AT5G61270"	NA	chr5	-	24639872	24640765	24639872	24640293	24640437	24640765
65	"AT5G60940"	NA	chr5	+	24523577	24523849	24523577	24523687	24523779	24523849
66	"AT5G60930"	NA	chr5	-	24515280	24516738	24515280	24515955	24516060	24516738
