1	10109811	10109926	AT1G28960	0.027972028	-	0.2070255826	0.2070255826	RI
1	10110022	10110162	AT1G28960	0.025974026	-	0.3228366599	0.3228366599	RI
1	10134536	10134581	AT1G29040_and_AT1G29041	0.007992008	+	-0.1507941228	0.1507941228	A5
1	10134777	10134797	AT1G29040_and_AT1G29041	0.007992008	+	0.1822884359	0.1822884359	A5
1	10135051	10135058	AT1G29040_and_AT1G29041	0.007992008	+	-0.3150104097	0.3150104097	A3
1	10448846	10448849	AT1G29850	0.008991009	+	-0.1371837377	0.1371837377	A3
1	10642748	10642754	AT1G30240	0.037962038	-	0.2223541271	0.2223541271	A5
1	10689901	10689907	AT1G30330	0.041958042	-	-0.1031394809	0.1031394809	A3
1	10739689	10739823	AT1G30410	0.0367132867	+	-0.2402585923	0.2402585923	RI
1	10741080	10741089	AT1G30410	0.0367132867	+	0.1918839297	0.1918839297	A5
1	10887827	10887850	AT1G30690	0.0444555445	+	-0.0573009336	0.0573009336	A5
1	11252756	11252759	AT1G31420	0.004995005	+	0.1534970119	0.1534970119	A3
1	1127434	1127437	AT1G04230	0.0324675325	+	-0.2024766535	0.2024766535	A3
1	11295991	11296000	AT1G31550	0.0074925075	-	0.2245433127	0.2245433127	A5
1	1198637	1198681	AT1G04430	0.023976024	+	-0.2678312032	0.2678312032	A5
1	12145684	12145687	AT1G33470	0.013986014	+	0.1472102501	0.1472102501	A3
1	12400965	12400986	AT1G34065	0.044955045	-	-0.2380164084	0.2380164084	A5
1	12441574	12441681	AT1G34160	0.038961039	+	-0.3128709204	0.3128709204	RI
1	13078915	13078929	AT1G35515_and_AT1G35516	0.002997003	+	-0.2243494542	0.2243494542	A5
1	1640314	1640386	AT1G05540	0.047952048	+	0.1325093374	0.1325093374	RI
1	17307672	17307675	AT1G47230	0.0294705295	+	-0.1916863848	0.1916863848	A3
1	17853297	17853312	AT1G48310	0.012987013	-	0.4521630953	0.4521630953	A3
1	17878415	17878509	AT1G48380	0.0444555445	-	0.181593133	0.181593133	RI
1	17881066	17881076	AT1G48390	0	-	-1	1	A3
1	17890643	17890649	AT1G48410	0.0254745255	-	0.07663368	0.07663368	A3
1	18041333	18041346	AT1G48770_and_AT1G48780	0	+	0.898934733	0.898934733	A3
1	18060963	18060978	AT1G48830	0.031968032	-	0.0505887095	0.0505887095	A3
1	18184820	18184943	AT1G49180	0.0214785215	-	-0.3061269283	0.3061269283	RI
1	18367819	18367826	AT1G49630	0.0134865135	-	-0.3983167259	0.3983167259	A3
1	18496922	18497084	AT1G49950	0.005994006	-	-0.6600236531	0.6600236531	A5
1	18497084	18497129	AT1G49950	0.005994006	-	0.2322028529	0.2322028529	A5
1	18606757	18606816	AT1G50240	0.0384615385	+	-0.2866902356	0.2866902356	A5
1	18693644	18694989	AT1G50460	0.002997003	+	-0.2857009348	0.2857009348	AF
1	18696718	18696915	AT1G50460	0.002997003	+	0.2276378792	0.2276378792	RI
1	18841948	18841951	AT1G50840	0.0334665335	+	0.1025663099	0.1025663099	A3
1	1907281	1907430	AT1G06230	0.02997003	+	-0.5846943479	0.5846943479	A3
1	19470813	19470879	AT1G52290	0.042957043	-	-0.0975721608	0.0975721608	RI
1	19687277	19687281	AT1G52870	0.037962038	+	-0.0342208542	0.0342208542	A3
1	19837110	19837340	AT1G53190	0.041958042	+	0.1098302255	0.1098302255	AF
1	19888229	19888305	AT1G53310	0.0454545455	-	-0.0742824375	0.0742824375	A5
1	19916381	19916408	AT1G53380	0.017982018	-	0.2626702538	0.2626702538	A5
1	20030944	20030962	AT1G53650	0.0334665335	-	0.1540440777	0.1540440777	A5
1	20169029	20169100	AT1G54030	0.00999001	+	-0.1463482667	0.1463482667	RI
1	20173743	20173853	AT1G54040	0	-	0.2405397772	0.2405397772	A5
1	20245243	20245401	AT1G54217	0	-	1	1	A5
1	20274535	20274561	AT1G54310	0.0134865135	+	-0.2243770189	0.2243770189	A5
1	2048186	2048190	AT1G06670_and_AT1G06680	0.0084915085	+	0.0652336055	0.0652336055	A5
1	20516178	20516205	AT1G55000	0.043956044	+	0.1798662445	0.1798662445	A5
1	20652902	20652932	AT1G55340	0.0184815185	+	0.1103597241	0.1103597241	A3
1	20722292	20722308	AT1G55500	0.031968032	+	-0.2166800096	0.2166800096	A5
1	20722308	20722394	AT1G55500	0.031968032	+	0.5372273517	0.5372273517	RI
1	21024796	21025011	AT1G56170	0.045954046	+	-0.0880978989	0.0880978989	A5
1	2111602	2111605	AT1G06890	0.032967033	-	0.1808845272	0.1808845272	A3
1	2111602	2111761	AT1G06890	0.0404595405	-	0.1952106044	0.1952106044	RI
1	21265565	21265570	AT1G56720	0.0224775225	-	-0.146628929	0.146628929	A3
1	21732791	21732803	AT1G58520_locus2	0.0074925075	+	0.3296035237	0.3296035237	A5
1	21764770	21765051	AT1G58602_and_AT1G58561	0.0094905095	+	-0.1312891221	0.1312891221	A3
1	21783289	21783378	AT1G58807	0.027972028	+	0.0655073731	0.0655073731	RI
1	21983072	21983081	AT1G59750	0.026973027	+	0.1555352994	0.1555352994	A3
1	22046226	22046241	AT1G59890	0.020979021	+	0.2650869857	0.2650869857	A5
1	22474630	22474669	AT1G61010	0.014985015	-	-0.2811986271	0.2811986271	SE
1	22692820	22692889	AT1G61500	0.0134865135	-	0.5016725003	0.5016725003	A3
1	22977008	22977029	AT1G62180	0.0464535465	-	-0.026768001	0.026768001	A3
1	22995919	22996058	AT1G62250	0.012987013	-	-0.113967474	0.113967474	RI
1	23154534	23154588	AT1G62540	0.0164835165	+	0.2780300624	0.2780300624	A5
1	23253384	23253387	AT1G62790	0.0074925075	+	0.1465491945	0.1465491945	A3
1	23405638	23405658	AT1G63110	0.021978022	+	-0.1895175289	0.1895175289	A3
1	2379729	2379798	AT1G07700	0.0004995005	+	0.2406670585	0.2406670585	A5
1	23863287	23863291	AT1G64300	0.0254745255	+	0.5204485992	0.5204485992	A3
1	24205563	24205571	AT1G65150	0.0374625375	-	0.2013980527	0.2013980527	A3
1	2421783	2421903	AT1G07820	0.0154845155	-	0.0737987303	0.0737987303	RI
1	24244536	24244795	AT1G65270	0.0284715285	+	0.1306702061	0.1306702061	RI
1	24349510	24349870	AT1G65486	0.0464535465	+	-0.4972878025	0.4972878025	AF
1	24656768	24656795	AT1G66200	0.0434565435	-	-0.0276801432	0.0276801432	A3
1	24966623	24966646	AT1G66920	0.038961039	-	-0.3089123944	0.3089123944	SE
1	2498480	2498484	AT1G08040	0.005994006	-	-0.2919159315	0.2919159315	A5
1	24989789	24991766	AT1G66960	0.032967033	-	-0.9231033273	0.9231033273	AF
1	2507815	2507818	AT1G08060	0.0294705295	-	0.2616218744	0.2616218744	A3
1	25210307	25210310	AT1G67325	0.0444555445	-	0.1082076941	0.1082076941	A3
1	2535570	2535585	AT1G08110	0.018981019	+	0.0950315163	0.0950315163	SE
1	25375712	25375726	AT1G67700	0	+	-0.2757009132	0.2757009132	A5
1	25479375	25479378	AT1G67950	0.020979021	-	-0.137122631	0.137122631	A3
1	25494836	25494839	AT1G68010	0.002997003	+	0.0935781594	0.0935781594	A5
1	25866864	25866882	AT1G68820	0.030969031	+	-0.2839293888	0.2839293888	A5
