AT1G01060	A3	1	35474-35567	35471-35567	-	-0.1582386891	0.0809190809		
AT1G01170	A3	1	74455-74661	74449-74661	-	0.0042130219	0.2002997003		
AT1G01240	A3	1	100031-100111	100031-100657	+	0	0.461038961		
AT1G01260	A3	1	109330-109406	109330-109413	+	0.0902152779	0.1388611389		
AT1G01320	A3	1	123501-123579	123495-123579	-	-0.0005393896	0.4210789211		
AT1G01320	A3	1	125046-125134	125022-125134	-	0.0001909504	0.4210789211		
AT1G01355	A3	1	138778-138863	138778-138875	+	0.0425752135	0.2552447552		
AT1G01370	A3	1	143676-143761	143676-143764	+	0.162907448	0.2777222777		
AT1G01448	A3	1	165656-165769	165656-165983	+	nan	1		
AT1G01640	A3	1	231928-232398	231908-232398	-	-0.0169508238	0.3191808192		
AT1G01650	A3	1	237303-237504	237023-237504	-	0.0013233029	0.4300699301		
AT1G01690	A3	1	249306-249540	249306-249543	+	-0.0502375622	0.2552447552		
AT1G01690	A3	1	249930-250014	249930-250017	+	0.0751043492	0.2552447552		
AT1G01700	A3	1	260603-260670	260582-260670	-	0	0.2732267732		
AT1G01740	A3	1	272555-272651	272531-272651	-	-0.0057154983	0.3946053946		
AT1G01740	A3	1	274289-274384	274249-274384	-	0.0367512926	0.3946053946		
AT1G01910	A3	1	313452-313567	313418-313567	-	-0.0068074355	0.3601398601		
AT1G01920	A3	1	316440-316523	316440-316539	+	-0.0386511256	0.2742257742		
AT1G01920	A3	1	318201-318296	318201-318362	+	-0.0115130695	0.3291708292		
AT1G02080	A3	1	374922-375122	374922-375125	+	-0.0965401517	0.042957043		
AT1G02080	A3	1	380003-380086	380003-380089	+	-0.038158243	0.1073926074		
AT1G02090	A3	1	387672-388268	387655-388268	-	0.0024204937	0.4420579421		
AT1G02120	A3	1	398713-398905	398713-399011	+	0.0536046446	0.1538461538		
AT1G02145	A3	1	405110-405230	405110-405242	+	-0.0042874846	0.3751248751		
AT1G02190	A3	1	416435-416731	416435-416743	+	-0.3333333333	0.1508491508		
AT1G02205	A3	1	421633-421720	421633-421735	+	0.0352143681	0.233016983		
AT1G02280	A3	1	450258-450361	450251-450361	-	-0.0081848188	0.1698301698		
AT1G02500	A3	1	518378-519033	518378-519036	+	0.0467143102	0.0174825175		
AT1G02690	A3	1	585685-585776	585685-585779	+	0.0157219427	0.3281718282		
AT1G02840	A3	1	626828-626913	626828-626917	+	0.0067741435	0.1513486513		
AT1G02840	A3	1	628469-628777	628469-628935	+	0.0265184903	0.1491841492		
AT1G02840	A3	1	628469-628777	628469-629288	+	-0.0513303803	0.0799200799		
AT1G02840	A3	1	628469-628935	628469-629288	+	-0.101907883	0.01998002		
AT1G02850	A3	1	631858-631928	631858-632009	+	0.1146147507	0.0262237762		
AT1G02850	A3	1	632806-632881	632806-632884	+	0.0111422864	0.1663336663		
AT1G02860	A3	1	636886-636978	636886-636984	+	-0.0010424289	0.4345654346		
AT1G02880	A3	1	644261-644350	644256-644350	-	-0.0727054509	0.3096903097		
AT1G02950	A3	1	666262-666351	666256-666351	-	-0.0146166506	0.4250749251		
AT1G02960	A3	1	667464-667541	667437-667541	-	0.0902937092	0.0929070929		
AT1G02990	A3	1	682092-682243	681921-682243	-	-0.053026444	0.3554778555		
AT1G02990	A3	1	686605-686679	686597-686679	-	-0.0003680404	0.4325674326		
AT1G03040	A3	1	705656-706101	705641-706101	-	-0.006143328	0.3266733267		
AT1G03060	A3	1	726347-726710	726344-726710	-	-0.0739001346	0.1838161838		
AT1G03080	A3	1	737437-737562	737420-737562	-	-0.0402423666	0.1670829171		
AT1G03180	A3	1	774153-774224	774153-774231	+	0.1147184014	0.2597402597		
AT1G03180	A3	1	774153-774224	774153-774247	+	-0.0924613437	0.2597402597		
AT1G03180	A3	1	774153-774231	774153-774247	+	-0.052493578	0.2597402597		
AT1G03250	A3	1	794198-794328	794180-794328	-	-0.0287759307	0.1653346653		
AT1G03280	A3	1	803117-803201	803117-803543	+	-0.0009488555	0.4010989011		
AT1G03280	A3	1	803117-803201	803117-803565	+	-0.0202482559	0.2922077922		
AT1G03280	A3	1	803117-803543	803117-803565	+	-0.0226835184	0.2922077922		
AT1G03290	A3	1	808822-808913	808822-808979	+	-0.0818957187	0.1948051948		
AT1G03457	A3	1	862640-862753	862613-862753	-	-0.0238547126	0.1928071928		
AT1G03470	A3	1	867520-867630	867511-867630	-	0.1131981291	0.0659340659		
AT1G03620	A3	1	906361-907128	906023-907128	-	0.024208612	0.3836163836		
AT1G03620	A3	1	906361-907128	906356-907128	-	0.0055204024	0.3836163836		
AT1G03630	A3	1	907947-908033	907947-908039	+	0.0523196818	0.0714285714		
AT1G03770	A3	1	944982-945111	944982-945117	+	0.0134740003	0.3786213786		
AT1G03780	A3	1	948640-948697	948595-948697	-	-0.0039717282	0.4030969031		
AT1G03840	A3	1	969711-969908	969705-969908	-	0.1611588785	0.1333666334		
AT1G03960	A3	1	1014237-1014334	1014237-1014414	+	0	0.4160839161		
AT1G03960	A3	1	1014543-1014621	1014543-1014635	+	-0.0109115903	0.4160839161		
AT1G04080	A3	1	1052775-1053096	1052775-1053327	+	-0.0210364571	0.1443556444		
AT1G04120	A3	1	1065294-1065380	1065279-1065380	-	-0.0007541516	0.4440559441		
AT1G04230	A3	1	1127256-1127434	1127256-1127437	+	-0.0163271094	0.3036963037		
AT1G04300	A3	1	1152971-1153036	1152947-1153036	-	0	0.4405594406		
AT1G04300	A3	1	1153345-1153718	1153288-1153718	-	0.0003926503	0.4405594406		
AT1G04400	A3	1	1188073-1188187	1188006-1188187	-	0.0151561282	0.1443556444		
AT1G04490	A3	1	1219371-1219794	1219352-1219794	-	nan	1		
AT1G04490	A3	1	1219633-1219794	1219352-1219794	-	nan	1		
AT1G04490	A3	1	1219633-1219794	1219371-1219794	-	nan	1		
AT1G04570	A3	1	1248003-1248117	1247992-1248117	-	0.2157295941	0.1858141858		
AT1G04590	A3	1	1259228-1259358	1259219-1259358	-	0.0124921701	0.3116883117		
AT1G04700	A3	1	1316437-1316612	1316437-1316679	+	0.1384598773	0.1268731269		
