Parker20c_event_psi_fio1-Parker20c_event_psi_col0_dPSI	Parker20c_event_psi_fio1-Parker20c_event_psi_col0_p-val								
AT1G02080	A3	1	374922~375122	374922~375125	+	-0.0965401517	0.042957043		
AT1G02500	A3	1	518378~519033	518378~519036	+	0.0467143102	0.0174825175		
AT1G02840	A3	1	628469~628935	628469~629288	+	-0.101907883	0.01998002		
AT1G02850	A3	1	631858~631928	631858~632009	+	0.1146147507	0.0262237762		
AT1G05790	A3	1	1733616~1733762	1733616~1733778	+	-0.1211632785	0.0494505495		
AT1G06890	A3	1	2111605~2111761	2111602~2111761	-	0.1218654009	0.0134865135		
AT1G10570	A3	1	3487974~3488329	3487974~3488332	+	0.1517793517	0.044955045		
AT1G10865	A3	1	3614830~3615037	3614826~3615037	-	0.0640190984	0.0254745255		
AT1G13880	A3	1	4749747~4749835	4749747~4749838	+	-0.2581393271	0.001998002		
AT1G13980	A3	1	4788654~4789461	4788654~4789492	+	-0.14296835	0.0104895105		
AT1G15280	A3	1	5253387~5253546	5253387~5253549	+	-0.2117187769	0.0024975025		
AT1G17130	A3	1	5854461~5854865	5854461~5854886	+	-0.1153353061	0.013986014		
AT1G18730	A3	1	6460808~6460896	6460808~6460899	+	-0.1103356751	0.021978022		
AT1G18950	A3	1	6550669~6550763	6550669~6550769	+	0.2691677022	0.0084915085		
AT1G19650	A3	1	6797311~6797410	6797268~6797410	-	0.2074016883	0.0294705295		
AT1G29040_and_AT1G29041	A3	1	10134777~10135051	10134777~10135058	+	-0.3709764101	0		
AT1G29850	A3	1	10448745~10448846	10448745~10448849	+	-0.1440204224	0.008991009		
AT1G30510	A3	1	10808403~10808573	10808400~10808573	-	0.0854032968	0.03996004		
AT1G31420	A3	1	11252680~11252756	11252680~11252759	+	0.1352433881	0.006993007		
AT1G33470	A3	1	12145610~12145684	12145610~12145687	+	0.1358857658	0.011988012		
AT1G44780	A3	1	16911132~16911210	16911132~16911213	+	0.2498180949	0.023976024		
AT1G50840	A3	1	18841644~18841948	18841644~18841951	+	0.1677643822	0.018981019		
AT1G51160	A3	1	18949663~18950007	18949663~18950014	+	-0.0685551798	0.026973027		
AT1G51840	A3	1	19250211~19250605	19250199~19250605	-	0.2094954943	0.014985015		
AT1G55340	A3	1	20652822~20652902	20652822~20652932	+	0.0829440116	0.026973027		
AT1G56720	A3	1	21265570~21265873	21265565~21265873	-	-0.0990245143	0.0434565435		
AT1G58025	A3	1	21459431~21460034	21459428~21460034	-	0.2109333296	0.023976024		
AT1G59580	A3	1	21884207~21884510	21884207~21884517	+	-0.0563987518	0.038961039		
AT1G59750	A3	1	21982995~21983072	21982995~21983081	+	0.0904268815	0.0457042957		
AT1G62790	A3	1	23252943~23253384	23252943~23253387	+	0.0583471145	0.017982018		
AT1G63980	A3	1	23741401~23741492	23741401~23741498	+	0.0489381331	0.0204795205		
AT1G67350	A3	1	25235544~25235813	25235544~25235820	+	-0.0438545538	0.034965035		
AT1G68910	A3	1	25910538~25911043	25910492~25911043	-	-0.1361061311	0.016983017		
AT1G69510	A3	1	26126477~26126772	26126477~26126777	+	0.052115473	0.0264735265		
AT1G71240	A3	1	26855998~26856087	26855998~26856090	+	-0.1121921369	0.0444555445		
AT1G72640	A3	1	27346919~27347085	27346899~27347085	-	-0.1446008392	0.0097402597		
AT1G72640	A3	1	27347661~27347770	27347658~27347770	-	0.1778187476	0.0097402597		
AT1G73490	A3	1	27634292~27634522	27634289~27634522	-	-0.0806522351	0.0184815185		
AT1G77170_and_AT1G77180	A3	1	29001840~29001964	29001664~29001964	-	-0.0310898715	0.0414585415		
AT1G80490	A3	1	30266540~30266900	30266508~30266900	-	-0.0974101031	0.034965035		
AT2G01090_and_AT2G01100	A3	2	81800~82186	81800~82220	+	-0.0676939098	0.031968032		
AT2G02390	A3	2	629353~629518	629353~629539	+	0.0828675277	0.0134865135		
AT2G02560	A3	2	690380~690463	690380~690469	+	0.1584381794	0.006993007		
AT2G02710	A3	2	759160~759249	759154~759249	-	0.0726718587	0.044955045		
AT2G02960	A3	2	864020~864248	863995~864248	-	0.2121461759	0.0254745255		
AT2G02960	A3	2	864087~864248	864020~864248	-	-0.235009163	0.0254745255		
AT2G04700	A3	2	1647479~1647553	1647479~1647570	+	0.0598661263	0.011988012		
AT2G05990	A3	2	2322382~2322847	2322382~2322850	+	-0.043552966	0.020979021		
AT2G07015_and_AT2G17975	A3	2	7823374~7823805	7823339~7823805	-	-0.1042702686	0.03996004		
AT2G15580	A3	2	6798141~6798522	6798141~6798527	+	0.1259578571	0.021978022		
AT2G17500	A3	2	7606870~7606944	7606870~7606963	+	0.171198362	0.0094905095		
AT2G19730	A3	2	8511560~8511739	8511560~8511743	+	-0.0454921719	0.038961039		
AT2G20050	A3	2	8652121~8652202	8652112~8652202	-	0.0666436954	0.0364635365		
