ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
309	AT5G16280		chr5	-	5326466	5326524	5326466	5326521	5326620	5326731	309	41,46	134,125	60,42	42,33	102	99	6.85681527957e-06	0.0025438784687204	0.229,0.263	0.581,0.553	-0.321
1581	AT1G15280		chr1	+	5253545	5253751	5253548	5253751	5253287	5253387	1581	436,342	404,362	346,169	95,67	102	99	1.49896123602e-06	0.0008341719278451	0.512,0.478	0.779,0.71	-0.249
1718	AT1G13880		chr1	+	4749834	4751212	4749837	4751212	4749591	4749747	1718	18,19	90,139	56,29	63,43	102	99	9.9594877816e-06	0.0031671171145488	0.163,0.117	0.463,0.396	-0.289
1751	AT4G03110		chr4	-	1377076	1377410	1377076	1377407	1377507	1377687	1751	242,244	132,138	298,163	39,27	102	99	4.34286899131e-06	0.0019334452749312	0.64,0.632	0.881,0.854	-0.231
1807	AT1G06833		chr1	-	12922837	12923746	12922837	12923488	12924916	12925030	1807	12,7	5,4	2,5	0,0	357	99	1.10628919947e-06	0.0008341719278451	0.4,0.327	1.0,1.0	-0.636
1877	AT3G24560		chr3	+	8964625	8964812	8964635	8964812	8964394	8964555	1877	2,4	19,19	4,4	0,1	109	99	1.03219444525e-06	0.0008341719278451	0.087,0.161	1.0,0.784	-0.768
1887	AT5G11380		chr5	+	3632732	3633022	3632737	3633022	3632374	3632653	1887	15,9	29,23	13,7	3,1	104	99	4.99656993633e-05	0.0139029558478382	0.33,0.271	0.805,0.87	-0.537
2383	AT4G30560		chr4	-	14928876	14929484	14928876	14929465	14929613	14929717	2383	19,57	33,36	13,13	1,1	118	99	8.73772424934e-05	0.0216113046433675	0.326,0.571	0.916,0.916	-0.468
2498	AT3G13560		chr3	-	4427217	4427324	4427217	4427313	4427864	4428199	2498	7,4	5,14	1,1	0,0	110	99	1.22342173325e-06	0.0008341719278451	0.558,0.205	1.0,1.0	-0.619
ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
64	AT5G44750		chr5	+	18056513	18056585	18056513	18056573	18056667	18056754	64	21,19	14,13	3,6	28,12	111	99	0.00159801101584	0.0430360897714151	0.572,0.566	0.087,0.308	0.371
124	AT5G60022		chr5	-	24167445	24168126	24168033	24168126	24167140	24167331	124	108,141	0,3	36,21	5,8	687	99	1.50509370437e-05	0.0006186727279541	1.0,0.871	0.509,0.274	0.544
141	AT5G11630		chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	141	159,123	29,38	34,21	62,22	164	99	2.87510742103e-07	1.7963671166595442e-05	0.768,0.661	0.249,0.366	0.407
194	AT4G38380		chr4	-	17974504	17974799	17974518	17974799	17974276	17974419	194	7,7	35,30	15,11	6,1	113	99	1.69114474735e-06	8.805226984535666e-05	0.149,0.17	0.687,0.906	-0.637
210	AT4G35270		chr4	-	16781473	16782054	16781811	16782054	16779903	16780980	210	26,13	3,10	15,10	0,0	437	99	7.32697161598e-05	0.0026615650381769	0.663,0.228	1.0,1.0	-0.554
213	AT5G37850		chr5	+	15065299	15065512	15065299	15065479	15065604	15065701	213	219,304	336,443	60,39	368,222	132	99	2.66130407822e-07	1.7320654042415167e-05	0.328,0.34	0.109,0.116	0.222
