	SRR15236518	SRR15236519	SRR15236520
AT1G01010.1	3.101645	3.711087	3.433344
AT1G01020.1	4.541409	4.837053	3.775578
AT1G01020.2	0	0.202382	0.72021
AT1G01020.3	1.216198	0.192844	0.822044
AT1G01020.4	0	0.576894	0.517175
AT1G01020.5	1.435833	1.25953	1.950813
AT1G01020.6	0.427449	0	0
AT1G01030.1	4.042309	3.070076	3.460771
AT1G01030.2	0	0.687186	0.205946
AT1G01040.1	9.16837	6.759735	9.530102
AT1G01040.2	3.924349	6.303977	3.520094
AT1G01050.1	72.344379	70.77021	71.133549
AT1G01050.2	0	0	0.395117
AT1G01060.1	0.433588	1.074311	2.27972
AT1G01060.2	1.25674	0.570587	0
AT1G01060.3	0.562673	0.153007	0.679756
AT1G01060.4	33.062022	31.031712	34.642835
AT1G01060.5	0.081616	0.060094	0.323889
AT1G01060.6	0	0	0
AT1G01060.7	3.667748	2.325091	2.27201
AT1G01060.8	49.629414	51.201687	46.638701
AT1G01070.1	7.304666	8.040586	7.686643
AT1G01070.2	0	0.257761	0.276545
AT1G01080.1	59.017236	55.65401	54.197181
AT1G01080.2	0	1.072969	5.246321
AT1G01080.3	5.273048	6.668406	6.932333
AT1G01090.1	149.28722	156.437333	149.515024
AT1G01100.1	34.853998	39.014559	21.295554
AT1G01100.2	179.802272	185.907395	199.026935
AT1G01100.3	17.161303	17.532835	22.283284
AT1G01100.4	1.536699	0	0.631691
AT1G01110.1	0	0	0
AT1G01110.2	2.265552	2.031198	2.036224
AT1G01120.1	86.263779	83.130013	82.793204
AT1G01130.1	2.230092	5.232936	4.601276
AT1G01140.1	12.191348	13.485526	14.930637
AT1G01140.2	0.747715	2.972353	0.294227
AT1G01140.3	58.557325	52.388182	57.921076
AT1G01150.1	0	0	0.050293
AT1G01150.2	0.175929	0.04104	0.202051
AT1G01150.3	0	0	0.067324
AT1G01160.1	36.417152	38.287716	33.471467
AT1G01160.2	0	0.077527	0.28534
AT1G01170.1	113.250904	113.437551	107.94469
AT1G01170.2	7.160698	4.907393	3.649534
AT1G01180.1	8.549742	8.728103	8.374026
AT1G01190.1	2.11132	2.679554	2.0644
AT1G01190.2	2.919269	2.619843	3.422452
AT1G01200.1	1.161452	1.353054	1.521049
AT1G01210.1	12.086546	7.94728	13.283532
AT1G01210.2	0	0	0
AT1G01210.3	6.046586	8.517468	6.43243
AT1G01220.1	6.292402	6.549846	5.280559
AT1G01220.2	0	0.177949	0
AT1G01220.3	0.607525	0.508993	0
AT1G01220.4	0	1.611466	2.557129
AT1G01220.5	3.475199	0	0
AT1G01220.6	0	1.812768	2.563421
AT1G01220.7	1.163556	0.175561	0.425781
AT1G01220.8	0	0	0.527187
