	SRR15236521	SRR15236522	SRR15236523
AT1G01010.1	2.364308	2.578825	2.687909
AT1G01020.1	2.435049	0	1.591091
AT1G01020.2	0	0.907137	0
AT1G01020.3	0	0	0.317516
AT1G01020.4	0.848182	1.099886	0.927156
AT1G01020.5	4.054631	4.181366	3.966076
AT1G01020.6	0.561129	0	0.153655
AT1G01030.1	2.902656	3.963033	3.489645
AT1G01030.2	0	0.267602	0
AT1G01040.1	8.274824	8.066339	9.986132
AT1G01040.2	4.19569	4.089083	2.840372
AT1G01050.1	94.398911	98.165441	91.416702
AT1G01050.2	0	0	0
AT1G01060.1	18.341155	18.599945	12.239643
AT1G01060.2	0	0	0
AT1G01060.3	1.299063	1.337724	2.215248
AT1G01060.4	40.864794	37.66228	40.218014
AT1G01060.5	0.116527	0.292107	0.244054
AT1G01060.6	0	0	0
AT1G01060.7	23.809808	24.721574	21.703114
AT1G01060.8	123.496441	123.446421	133.548016
AT1G01070.1	5.243146	5.35142	5.808083
AT1G01070.2	0.137015	0	0
AT1G01080.1	64.834374	65.675739	62.663422
AT1G01080.2	2.220957	0.651643	4.251852
AT1G01080.3	5.408536	4.631992	6.014739
AT1G01090.1	183.431443	193.513647	193.809731
AT1G01100.1	43.851288	52.735274	27.352613
AT1G01100.2	273.328743	262.768935	269.871908
AT1G01100.3	22.253418	23.394644	23.736223
AT1G01100.4	2.319935	2.277172	6.313262
AT1G01110.1	0	0	0
AT1G01110.2	3.312534	3.129203	3.247396
AT1G01120.1	77.354992	76.454415	76.880906
AT1G01130.1	10.151168	10.117936	7.021655
AT1G01140.1	14.505163	14.617855	13.421864
AT1G01140.2	1.349967	1.242348	0
AT1G01140.3	43.774844	45.4944	49.281158
AT1G01150.1	0	0	0
AT1G01150.2	0	0.082363	0.375673
AT1G01150.3	0.33596	0	0
AT1G01160.1	42.380506	40.848322	41.761629
AT1G01160.2	0.04899	0.20463	0.536691
AT1G01170.1	107.758744	102.10472	94.344995
AT1G01170.2	4.834849	5.647583	5.588871
AT1G01180.1	5.21377	6.593141	6.483057
AT1G01190.1	2.657721	2.691267	2.247723
AT1G01190.2	3.07749	3.90261	3.958006
AT1G01200.1	2.782491	2.754351	2.701034
AT1G01210.1	23.964059	16.740769	20.557136
AT1G01210.2	0	0	0
AT1G01210.3	4.878541	9.260885	6.156736
AT1G01220.1	8.910166	9.727228	7.692302
AT1G01220.2	0	1.699381	0.434772
AT1G01220.3	0	0	1.223228
AT1G01220.4	0	0.998657	3.126505
AT1G01220.5	0.277698	0	0
AT1G01220.6	6.574014	4.851393	5.195919
AT1G01220.7	0.633406	1.208554	0.99257
AT1G01220.8	1.42056	0	0
AT1G01225.1	5.26099	4.337922	4.582169
AT1G01230.1	29.236473	29.008665	22.535846
AT1G01240.1	4.659585	3.722819	5.003038
AT1G01240.2	0.770543	0.098977	0
AT1G01240.3	0.135438	0.131339	0.406733
AT1G01240.4	0	1.414894	0.970771
AT1G01240.5	0.559721	0.681002	0
AT1G01250.1	5.751719	4.230799	4.407845
AT1G01260.1	5.773749	5.87348	4.460248
AT1G01260.2	2.371659	3.431862	4.185845
AT1G01260.3	1.315685	1.653461	1.607288
AT1G01280.1	0.736788	0.525812	0.348819
AT1G01290.1	1.381847	1.30508	1.455261
AT1G01290.2	8.304168	9.809462	9.80366
AT1G01300.1	78.578462	74.469598	74.298769
AT1G01305.1	0	0	0
AT1G01310.1	0	0	0
AT1G01320.1	0.2983	0	0
AT1G01320.2	0.092214	0.726217	0.299826
AT1G01320.3	163.860622	170.336025	170.738266
AT1G01335.1	0	0	0
AT1G01340.1	0.279963	0.256194	0
AT1G01340.2	1.180789	1.497052	1.829791
AT1G01350.1	19.864689	19.445624	17.779901
AT1G01355.1	0	0	0
AT1G01355.2	0	0.289324	0.37404
AT1G01355.3	0.069431	0.411191	0.092168
AT1G01360.1	12.040368	14.137067	11.479531
AT1G01370.1	0.260213	0	0
AT1G01370.2	1.724135	1.02119	1.507303
AT1G01370.3	0	0.908161	0.778502
AT1G01370.4	4.006771	4.607593	4.401649
AT1G01380.1	3.575736	2.899657	3.285723
AT1G01380.2	0.073995	0	0.083494
AT1G01380.3	0	0	0.201232
AT1G01390.1	3.823081	5.775154	6.178217
AT1G01390.2	1.407884	0	0
AT1G01400.1	0.040648	0.041405	0
AT1G01410.1	0	0	0
AT1G01420.1	2.75114	0	0
AT1G01420.2	5.933155	7.444602	7.494742
AT1G01430.1	37.500596	41.003787	39.781856
AT1G01440.1	9.384467	9.746295	9.891376
AT1G01450.1	0	0	0
AT1G01453.1	0	0	0.038451
AT1G01453.2	0	0	0
AT1G01460.1	0	0	0.027131
AT1G01470.1	30.749769	33.46052	30.914553
AT1G01480.1	0.084769	0.278833	0.09853
AT1G01480.2	0	0	0
AT1G01490.1	43.291324	47.710922	51.6831
AT1G01490.2	21.372015	17.923357	16.00896
AT1G01490.3	1.390107	1.391135	0.763563
AT1G01490.4	0.669942	1.007273	0.69597
AT1G01500.1	10.71633	11.10336	11.098899
AT1G01510.1	18.851291	19.773075	19.998869
AT1G01520.1	8.735743	8.856703	8.553254
AT1G01520.2	0	0	0
AT1G01520.3	0.294687	1.213824	0.881814
AT1G01520.4	0	0.46536	0.154739
AT1G01520.5	0.505843	0.42588	1.023284
AT1G01530.1	0	0	0
AT1G01540.1	6.967623	5.764786	10.222376
AT1G01540.2	59.41321	61.052901	59.093523
AT1G01550.1	67.851505	68.686406	69.987246
AT1G01550.2	14.509381	15.024596	14.272016
AT1G01560.1	0	0	0
AT1G01560.2	0.643521	1.001362	0.767199
AT1G01560.3	0	0	0.090637
AT1G01560.4	0.121782	0	0
AT1G01570.1	0.73391	0.903349	0.574105
AT1G01570.2	0.596249	0.235705	0.607218
AT1G01580.1	0.963762	1.075599	0.946715
AT1G01580.2	0.107063	0	0
AT1G01590.1	1.226804	1.33477	1.151991
AT1G01600.1	11.572922	11.028395	11.2284
AT1G01610.1	51.790063	49.361344	48.736495
AT1G01620.1	294.603867	287.795952	291.973192
AT1G01620.2	0	0	0
AT1G01630.1	60.367999	61.15387	61.736067
AT1G01640.1	2.132164	2.026321	1.778251
AT1G01640.2	0.068432	0.089515	0.251191
AT1G01650.1	14.720223	13.564948	14.254536
AT1G01650.2	0.135838	0.081698	0.095735
AT1G01650.3	0.034907	0.082053	0.039256
AT1G01650.4	0.094983	0.287388	0
AT1G01660.1	0	0.237253	0
AT1G01660.2	1.027511	0.822854	1.364947
AT1G01670.1	2.586438	0.698966	1.357032
AT1G01670.2	0	1.557195	2.321189
AT1G01670.3	0.921309	1.475011	0
AT1G01680.1	1.166934	1.346376	0.722891
AT1G01690.1	2.148608	1.872208	1.689903
AT1G01690.2	2.605048	2.480486	2.055652
AT1G01690.3	2.317255	2.011974	2.084589
AT1G01695.1	0.26232	0.29253	0.365813
AT1G01700.1	0.769382	0.850081	0.63734
AT1G01700.2	0	0	0
AT1G01700.3	0	0	0.261238
AT1G01700.4	0	0	0.402084
AT1G01700.5	0	0	0
AT1G01710.1	15.346791	16.642796	16.223678
AT1G01715.1	2.385064	1.459566	0.295207
AT1G01715.2	1.906443	2.929512	3.996181
AT1G01720.1	25.601186	24.898693	23.650508
AT1G01725.1	9.931248	9.856848	8.360994
AT1G01730.1	13.168057	14.386305	13.282708
AT1G01740.1	0	0	0
AT1G01740.2	0.979955	0	0.681745
AT1G01740.3	2.537413	2.706286	2.637619
AT1G01740.4	0	1.710906	0
AT1G01740.5	1.007364	0.573847	0.845381
AT1G01750.1	0.103181	0.052743	0.059893
AT1G01750.2	0	0	0
AT1G01760.1	2.511295	2.671547	2.478755
AT1G01760.2	1.275823	0.398992	0
AT1G01760.3	0.487948	0	0.957527
AT1G01760.4	0	0	0
AT1G01770.1	15.016582	16.225576	15.347348
AT1G01780.1	19.976429	22.325463	18.963925
AT1G01790.1	69.650179	72.328843	74.590627
AT1G01790.2	8.222323	8.08901	8.136559
AT1G01800.1	58.484725	59.216474	58.204402
AT1G01800.2	0	0.203214	0
AT1G01810.1	3.093693	3.110479	3.984771
AT1G01820.1	24.821989	23.701415	24.546371
AT1G01830.1	1.780497	3.541804	2.301356
AT1G01830.2	7.39224	6.311908	10.595889
AT1G01830.3	4.120909	4.176737	1.150559
AT1G01840.1	6.02885	5.993946	5.553595
AT1G01860.1	16.363437	15.909007	16.569833
AT1G01860.2	0	0	0
AT1G01860.3	2.399037	1.40425	2.218387
AT1G01860.4	0	0	0
AT1G01860.5	0	0	0
AT1G01880.1	0.546437	0.900579	1.163453
AT1G01880.2	0	0	0
AT1G01880.3	0	0	0
AT1G01880.4	1.485854	0.825802	0
AT1G01900.1	12.84648	13.110569	13.664117
AT1G01910.1	23.303717	24.145641	25.780013
AT1G01910.2	13.343733	14.424948	12.627577
AT1G01910.3	0	0	0
AT1G01910.4	2.827597	2.601048	2.078604
AT1G01910.5	0	0	0
AT1G01920.1	0.064937	1.283487	0.499836
AT1G01920.2	9.81752	8.274206	7.004692
AT1G01920.3	0.842822	1.932359	2.332224
AT1G01920.4	2.435238	2.169314	3.05698
AT1G01920.5	0.85031	1.191992	1.434245
AT1G01930.1	8.91743	10.183326	10.224182
AT1G01940.1	25.398719	22.750335	24.419873
