	CRR341293	CRR341294
AT1G01010.1	7.130877	8.490309
AT1G01020.1	0	0
AT1G01020.2	5.495017	4.488985
AT1G01020.3	0	1.246921
AT1G01020.4	0.354079	0
AT1G01020.5	1.035795	2.895858
AT1G01020.6	0.273991	0
AT1G01030.1	2.523724	2.655783
AT1G01030.2	0	0
AT1G01040.1	2.848495	3.245179
AT1G01040.2	5.078454	5.337459
AT1G01050.1	64.680881	69.349919
AT1G01050.2	0	0
AT1G01060.1	0	0
AT1G01060.2	0	0.631016
AT1G01060.3	0	0
AT1G01060.4	0.358046	0
AT1G01060.5	0	0
AT1G01060.6	0	0
AT1G01060.7	0	0
AT1G01060.8	0	0
AT1G01070.1	1.341091	5.17012
AT1G01070.2	3.963986	0
AT1G01080.1	20.108821	22.68071
AT1G01080.2	47.539375	49.768425
AT1G01080.3	10.13413	6.250889
AT1G01090.1	113.525371	110.728114
AT1G01100.1	889.088338	885.980472
AT1G01100.2	217.898865	174.576266
AT1G01100.3	86.219467	136.715217
AT1G01100.4	13.625667	10.656867
AT1G01110.1	0	4.359068
AT1G01110.2	4.618888	0
AT1G01120.1	34.181999	33.927883
AT1G01130.1	5.195484	6.617793
AT1G01140.1	12.192198	14.986476
AT1G01140.2	8.07266	8.962473
AT1G01140.3	9.985489	9.025995
AT1G01150.1	0	0
AT1G01150.2	0	0
AT1G01150.3	0.341062	0.17951
AT1G01160.1	40.485362	41.524945
AT1G01160.2	0.156544	0
AT1G01170.1	103.977341	105.872726
AT1G01170.2	5.068303	3.303472
AT1G01180.1	15.194495	14.277518
AT1G01190.1	4.471504	3.486381
AT1G01190.2	0.627496	2.14947
AT1G01200.1	2.867561	4.71084
AT1G01210.1	16.675549	20.966383
AT1G01210.2	0	0
AT1G01210.3	3.952762	3.07592
AT1G01220.1	0	0
AT1G01220.2	0	0
AT1G01220.3	0	0
AT1G01220.4	0	3.363869
AT1G01220.5	1.426548	0
AT1G01220.6	6.371435	4.127268
AT1G01220.7	6.365009	8.627482
AT1G01220.8	0.395168	0
AT1G01225.1	5.371601	4.513753
AT1G01230.1	25.621965	22.200644
AT1G01240.1	3.798725	4.146902
AT1G01240.2	0.129266	0
AT1G01240.3	0	0
AT1G01240.4	2.995187	3.858047
AT1G01240.5	0.662968	0.068643
AT1G01250.1	8.661557	7.322395
AT1G01260.1	1.948458	1.996578
AT1G01260.2	6.457846	6.025869
AT1G01260.3	0.440513	0.962279
AT1G01280.1	0.031956	0
AT1G01290.1	1.62257	2.299039
AT1G01290.2	6.577053	6.55192
AT1G01300.1	54.675059	55.862667
AT1G01305.1	0	0
AT1G01310.1	0.054956	0.405044
AT1G01320.1	0	0
AT1G01320.2	0	2.728166
AT1G01320.3	111.585902	108.978616
AT1G01335.1	0	0
AT1G01340.1	1.080818	0.380277
AT1G01340.2	2.030044	3.281741
AT1G01350.1	16.74455	18.836595
AT1G01355.1	0	0
AT1G01355.2	0.141532	0
AT1G01355.3	0	0
AT1G01360.1	10.74486	11.639579
AT1G01370.1	0	0
AT1G01370.2	0.368265	0.475577
AT1G01370.3	1.050083	0.108927
AT1G01370.4	5.808793	8.768337
AT1G01380.1	1.507629	2.863382
AT1G01380.2	0.111276	0.233598
AT1G01380.3	0	0
AT1G01390.1	8.065437	6.661502
AT1G01390.2	0	0.61364
AT1G01400.1	0.046047	0.048475
AT1G01410.1	0	0
AT1G01420.1	10.023292	13.636272
AT1G01420.2	1.612618	1.144346
AT1G01430.1	24.033074	24.049517
AT1G01440.1	8.101524	7.97046
AT1G01450.1	2.634194	3.119141
AT1G01453.1	0.68754	0
AT1G01453.2	0	0.674974
AT1G01460.1	0.055221	0
AT1G01470.1	56.794659	57.713355
AT1G01480.1	0	0.68959
AT1G01480.2	0.704217	0
AT1G01490.1	5.90612	6.145618
AT1G01490.2	60.186184	63.757385
AT1G01490.3	1.398717	1.558709
AT1G01490.4	0	0
AT1G01500.1	12.81658	15.599962
AT1G01510.1	21.780998	23.354224
AT1G01520.1	0.153895	0
AT1G01520.2	0	0
AT1G01520.3	0	0
AT1G01520.4	0	0
AT1G01520.5	0	0.60162
AT1G01530.1	0	0
AT1G01540.1	29.430815	31.666021
AT1G01540.2	24.759719	22.625478
AT1G01550.1	64.935808	60.882433
AT1G01550.2	4.037745	5.646229
AT1G01560.1	0	0
AT1G01560.2	0.931078	1.047483
AT1G01560.3	0	0
AT1G01560.4	0	0
AT1G01570.1	1.246239	1.814961
AT1G01570.2	0.626214	0
AT1G01580.1	4.325648	3.579717
AT1G01580.2	0	0.67559
AT1G01590.1	0.075888	0.199617
AT1G01600.1	8.03844	7.868664
AT1G01610.1	33.585678	31.397478
AT1G01620.1	219.244768	215.787334
AT1G01620.2	155.74378	164.281782
AT1G01630.1	41.893198	40.976953
AT1G01640.1	3.165065	2.76534
AT1G01640.2	0.982072	0
AT1G01650.1	16.609556	14.304253
AT1G01650.2	0	0
AT1G01650.3	0	0
AT1G01650.4	0	0.784509
AT1G01660.1	0.906222	0
AT1G01660.2	0.440373	0.787772
AT1G01670.1	0	0
AT1G01670.2	0.844382	0.24215
AT1G01670.3	0	1.198891
AT1G01680.1	0.35403	0.372682
AT1G01690.1	0	2.462789
AT1G01690.2	0.275077	2.648941
AT1G01690.3	5.081902	0
AT1G01695.1	0.215605	0.32415
AT1G01700.1	0	0
AT1G01700.2	0	0
AT1G01700.3	1.108404	0.072752
AT1G01700.4	0	0.748338
AT1G01700.5	0.405619	0.463197
AT1G01710.1	19.419847	17.693465
AT1G01715.1	1.28106	0.138856
AT1G01715.2	2.054378	4.376677
AT1G01720.1	51.850812	54.340934
AT1G01725.1	6.238683	9.159231
AT1G01730.1	18.898103	19.155113
AT1G01740.1	3.175467	0
AT1G01740.2	0	1.975725
AT1G01740.3	0.659792	0
AT1G01740.4	0	0.818113
AT1G01740.5	0.780867	1.195779
