	CRR341295	CRR341296
AT1G01010.1	7.624291	7.236818
AT1G01020.1	0	0
AT1G01020.2	4.090478	4.157587
AT1G01020.3	0	0
AT1G01020.4	0.235402	0.996513
AT1G01020.5	2.749445	3.659734
AT1G01020.6	0	0
AT1G01030.1	2.825815	2.450257
AT1G01030.2	0	0
AT1G01040.1	3.770782	2.785169
AT1G01040.2	3.927692	5.284989
AT1G01050.1	61.459428	60.219353
AT1G01050.2	0	0
AT1G01060.1	0.090954	0.086939
AT1G01060.2	0	0
AT1G01060.3	0	0
AT1G01060.4	0	0.53576
AT1G01060.5	0.072993	0
AT1G01060.6	0	0
AT1G01060.7	0	0
AT1G01060.8	0.638854	0
AT1G01070.1	5.326159	4.298507
AT1G01070.2	0	2.207635
AT1G01080.1	26.509961	26.843965
AT1G01080.2	46.788299	44.858503
AT1G01080.3	5.180275	5.384324
AT1G01090.1	100.035674	100.599476
AT1G01100.1	961.467435	935.311295
AT1G01100.2	189.964342	249.978359
AT1G01100.3	137.723242	82.977329
AT1G01100.4	30.282715	16.807625
AT1G01110.1	0	0
AT1G01110.2	4.122938	4.969541
AT1G01120.1	31.450838	35.164126
AT1G01130.1	4.745941	4.509118
AT1G01140.1	21.254271	14.666545
AT1G01140.2	7.815755	8.089166
AT1G01140.3	6.157486	11.621939
AT1G01150.1	0	0
AT1G01150.2	0	0.333839
AT1G01150.3	0.112489	0
AT1G01160.1	46.820038	42.990454
AT1G01160.2	0.391312	0.436692
AT1G01170.1	108.813602	107.390178
AT1G01170.2	7.684252	3.687521
AT1G01180.1	14.700225	15.076199
AT1G01190.1	4.407331	5.055723
AT1G01190.2	1.382128	0.481043
AT1G01200.1	4.0507	3.762791
AT1G01210.1	21.167999	17.638123
AT1G01210.2	0	0
AT1G01210.3	3.173225	5.607385
AT1G01220.1	0	1.9727
AT1G01220.2	0	0
AT1G01220.3	0	0
AT1G01220.4	0	0
AT1G01220.5	3.60159	1.128361
AT1G01220.6	6.975429	6.602371
AT1G01220.7	7.154987	7.18837
AT1G01220.8	0.533742	0.570156
AT1G01225.1	4.638642	4.507873
AT1G01230.1	26.761982	28.753968
AT1G01240.1	6.874444	5.899526
AT1G01240.2	0.462909	0
AT1G01240.3	0.773938	0.371809
AT1G01240.4	0	1.813605
AT1G01240.5	0	0
AT1G01250.1	5.904448	6.766478
AT1G01260.1	1.984212	1.539562
AT1G01260.2	5.070621	6.260258
AT1G01260.3	0.989552	0.469906
AT1G01280.1	0	0
AT1G01290.1	1.05978	1.87882
AT1G01290.2	6.554179	6.039162
AT1G01300.1	49.951869	48.048653
AT1G01305.1	0	0
AT1G01310.1	0.628578	0.044493
AT1G01320.1	0	0
AT1G01320.2	0.532735	0
AT1G01320.3	105.235904	105.758371
AT1G01335.1	0	0
AT1G01340.1	0	0
AT1G01340.2	3.058086	3.858221
AT1G01350.1	17.859297	22.459429
AT1G01355.1	0	0
AT1G01355.2	0	0.17194
AT1G01355.3	0	0
AT1G01360.1	10.588085	11.403542
AT1G01370.1	0	0
AT1G01370.2	0.765943	0.378721
AT1G01370.3	0.914986	1.373127
AT1G01370.4	4.288417	6.296733
AT1G01380.1	2.850323	1.911388
AT1G01380.2	0.083713	0.170308
AT1G01380.3	0	0
AT1G01390.1	1.73899	6.410923
AT1G01390.2	4.185937	0
AT1G01400.1	0	0
AT1G01410.1	0.085904	0
AT1G01420.1	11.019178	11.215427
AT1G01420.2	0.378531	0.750255
AT1G01430.1	22.099138	22.721855
AT1G01440.1	7.983245	7.205871
AT1G01450.1	2.927686	3.552919
AT1G01453.1	0.235132	0
AT1G01453.2	0	0.311388
AT1G01460.1	0.194187	0
AT1G01470.1	61.52658	59.61266
AT1G01480.1	0.664695	0.550576
AT1G01480.2	0	0
AT1G01490.1	6.674104	9.734774
AT1G01490.2	71.256643	60.833181
AT1G01490.3	1.483508	1.011465
AT1G01490.4	0	0.665977
AT1G01500.1	17.040341	17.213854
AT1G01510.1	21.183849	20.214891
AT1G01520.1	0	0.249094
AT1G01520.2	0	0
AT1G01520.3	0	0
AT1G01520.4	0.254836	0
AT1G01520.5	0	0
AT1G01530.1	0	0
AT1G01540.1	40.591756	35.571386
AT1G01540.2	15.903734	20.482265
AT1G01550.1	59.16369	61.954799
AT1G01550.2	3.094796	5.668228
AT1G01560.1	0	0
AT1G01560.2	0.988023	0.753408
AT1G01560.3	0	0
AT1G01560.4	0	0
AT1G01570.1	1.839725	1.667274
AT1G01570.2	0.348665	0.144558
AT1G01580.1	2.331179	3.06476
AT1G01580.2	0.314913	0.287659
AT1G01590.1	0.133396	0.168817
AT1G01600.1	7.027696	7.705901
AT1G01610.1	30.848213	30.975752
AT1G01620.1	229.843885	214.284632
AT1G01620.2	166.039622	181.64516
AT1G01630.1	40.542571	42.129884
AT1G01640.1	4.212653	4.442396
AT1G01640.2	0.248415	0
AT1G01650.1	14.456439	12.591088
AT1G01650.2	0	0
