ERR9081510	ERR9081511
AT1G01010.1	10.241535	14.069324
AT1G01020.1	4.2344	4.759909
AT1G01020.2	0.885519	0
AT1G01020.3	0.77394	0.257671
AT1G01020.4	1.621825	0.434375
AT1G01020.5	6.690486	6.37036
AT1G01020.6	0.573376	0.37811
AT1G01030.1	1.406302	1.503405
AT1G01030.2	0.219412	0
AT1G01040.1	11.528451	10.236175
AT1G01040.2	0.1129	0.155726
AT1G01050.1	61.452279	69.68805
AT1G01050.2	0	0
AT1G01060.1	4.23274	3.161862
AT1G01060.2	0.049964	0
AT1G01060.3	0	0.076129
AT1G01060.4	2.589013	1.665293
AT1G01060.5	0	0
AT1G01060.6	0.11074	0
AT1G01060.7	2.74772	2.136374
AT1G01060.8	3.667375	4.152829
AT1G01070.1	5.895563	4.71641
AT1G01070.2	0.360946	0
AT1G01080.1	25.994994	26.217122
AT1G01080.2	5.029472	4.314978
AT1G01080.3	2.466289	3.678311
AT1G01090.1	240.357749	225.537592
AT1G01100.1	5.590629	5.273295
AT1G01100.2	408.903522	376.228429
AT1G01100.3	8.648511	10.57879
AT1G01100.4	3.087714	2.794118
AT1G01110.1	0.265502	0
AT1G01110.2	1.835602	2.732761
AT1G01120.1	32.769718	30.563308
AT1G01130.1	2.71353	1.420159
AT1G01140.1	45.05991	44.796139
AT1G01140.2	0	0
AT1G01140.3	0	0
AT1G01150.1	0	0
AT1G01150.2	0	0
AT1G01150.3	0	0
AT1G01160.1	42.368567	37.754156
AT1G01160.2	0.139818	0
AT1G01170.1	235.68081	233.925952
AT1G01170.2	8.510899	9.545134
AT1G01180.1	29.429298	27.09828
AT1G01190.1	0.152901	0
AT1G01190.2	0.310446	0.406812
AT1G01200.1	1.34552	1.724651
AT1G01210.1	20.274891	20.765721
AT1G01210.2	0	0
AT1G01210.3	1.661527	0.840765
AT1G01220.1	0	3.01945
AT1G01220.2	0.249243	0
AT1G01220.3	0	0
AT1G01220.4	3.532237	0.944437
AT1G01220.5	0	1.132114
AT1G01220.6	4.173728	3.559689
AT1G01220.7	5.221428	3.407799
AT1G01220.8	0.567341	0.734875
AT1G01225.1	1.792854	1.913436
AT1G01230.1	54.778282	56.371002
AT1G01240.1	25.932098	24.983174
AT1G01240.2	0.848279	0.349219
AT1G01240.3	3.236805	3.092152
AT1G01240.4	0	1.273084
AT1G01240.5	0	0
AT1G01250.1	1.12597	0.942334
AT1G01260.1	7.658197	7.583602
AT1G01260.2	2.677132	2.184458
AT1G01260.3	2.383333	2.330268
AT1G01280.1	0	0
AT1G01290.1	1.406728	0.823004
AT1G01290.2	5.156593	6.251353
AT1G01300.1	41.984104	40.587091
AT1G01305.1	0	0
AT1G01310.1	0.214068	0.071792
AT1G01320.1	0	0
AT1G01320.2	0	0.047491
AT1G01320.3	68.069534	60.144578
AT1G01335.1	0	0
AT1G01340.1	0.140616	0.78671
AT1G01340.2	6.002838	5.680964
AT1G01350.1	20.689281	21.388484
AT1G01355.1	0	0
AT1G01355.2	0	0.074292
AT1G01355.3	0.12554	0.28806
AT1G01360.1	13.087443	12.39485
AT1G01370.1	0	0
AT1G01370.2	0.556303	0.300408
AT1G01370.3	0.167189	0.067531
AT1G01370.4	1.459858	1.164604
AT1G01380.1	2.362137	0.970225
AT1G01380.2	0	0.103296
AT1G01380.3	0	0.121226
AT1G01390.1	0.567515	0.826182
AT1G01390.2	0	0
AT1G01400.1	0	0
AT1G01410.1	0	0
AT1G01420.1	6.763769	5.298985
AT1G01420.2	3.595144	4.600005
AT1G01430.1	94.772155	84.990631
AT1G01440.1	13.880551	12.745053
AT1G01450.1	0.052283	0.154202
AT1G01453.1	1.812131	2.571665
AT1G01453.2	0.065526	0.315817
AT1G01460.1	0	0
AT1G01470.1	35.801246	37.540415
AT1G01480.1	1.096311	1.621142
AT1G01480.2	0	0
AT1G01490.1	52.339847	56.347035
AT1G01490.2	34.787982	33.07708
AT1G01490.3	3.178383	3.971789
AT1G01490.4	0.157449	0.195065
AT1G01500.1	24.765932	21.644804
AT1G01510.1	25.563929	22.358885
AT1G01520.1	0.367851	0.186825
AT1G01520.2	0	0
AT1G01520.3	0	0
AT1G01520.4	0	0
AT1G01520.5	0.129753	0
AT1G01530.1	0	0
AT1G01540.1	5.227012	6.077614
