	SRR14214600	SRR14214601
AT1G01010.1	9.776591	10.066822
AT1G01020.1	9.180474	10.052779
AT1G01020.2	2.452699	1.000247
AT1G01020.3	0.139738	1.003102
AT1G01020.4	0.617266	0.44553
AT1G01020.5	2.165214	3.121445
AT1G01020.6	0	0.251952
AT1G01030.1	1.322382	1.987668
AT1G01030.2	0.115162	0
AT1G01040.1	5.663406	7.23772
AT1G01040.2	0.747367	0
AT1G01050.1	99.175412	105.712089
AT1G01050.2	0	0
AT1G01060.1	0.380417	0.401382
AT1G01060.2	0	0
AT1G01060.3	0	0
AT1G01060.4	0	0
AT1G01060.5	0	0
AT1G01060.6	0	0
AT1G01060.7	0.322131	0
AT1G01060.8	0	0
AT1G01070.1	5.911159	6.352877
AT1G01070.2	0.899714	0.63628
AT1G01080.1	27.80197	36.942421
AT1G01080.2	81.903381	63.861052
AT1G01080.3	10.013356	10.604076
AT1G01090.1	138.695239	141.930042
AT1G01100.1	60.301716	47.031261
AT1G01100.2	442.79849	448.06235
AT1G01100.3	8.203336	9.622271
AT1G01100.4	0	0
AT1G01110.1	0.588101	0
AT1G01110.2	1.450979	1.618447
AT1G01120.1	18.450347	19.166625
AT1G01130.1	6.017862	2.600584
AT1G01140.1	52.380411	53.011702
AT1G01140.2	0.55714	0.271072
AT1G01140.3	0	0.245116
AT1G01150.1	0	0
AT1G01150.2	0	0
AT1G01150.3	0.414647	0
AT1G01160.1	33.814119	32.130538
AT1G01160.2	0.099979	0.095788
AT1G01170.1	294.489689	286.035981
AT1G01170.2	9.6753	11.120314
AT1G01180.1	19.583476	17.235447
AT1G01190.1	2.172385	1.817757
AT1G01190.2	0.47088	0.912379
AT1G01200.1	1.876761	0.917219
AT1G01210.1	42.989116	39.356982
AT1G01210.2	0	0
AT1G01210.3	3.164561	3.061413
AT1G01220.1	4.531498	3.901093
AT1G01220.2	0	0
AT1G01220.3	0	0
AT1G01220.4	0	0
AT1G01220.5	1.899917	3.471848
AT1G01220.6	0	0
AT1G01220.7	4.798763	3.625525
AT1G01220.8	0.146537	0.341819
AT1G01225.1	2.73407	3.782132
AT1G01230.1	42.669876	43.67776
AT1G01240.1	14.717973	11.860671
AT1G01240.2	0.618725	0.728877
AT1G01240.3	1.468601	2.220993
AT1G01240.4	0	2.689316
AT1G01240.5	0	0
AT1G01250.1	3.713619	2.226886
AT1G01260.1	3.910859	3.901624
AT1G01260.2	1.439351	0.875305
AT1G01260.3	1.631844	2.346359
AT1G01280.1	0	0
