	ERR9081509	ERR9081510	ERR9081511	ERR9081512	ERR9081513	ERR9081514
AT1G01010.1	9.624648	10.241535	14.069324	12.303672	12.492366	11.854696
AT1G01020.1	3.580326	4.2344	4.759909	4.59402	4.50236	2.24637
AT1G01020.2	0.234552	0.885519	0	0.651265	0	1.695805
AT1G01020.3	0.366133	0.77394	0.257671	0.247195	0.275479	0.154915
AT1G01020.4	0.386187	1.621825	0.434375	0.852026	1.277459	2.295977
AT1G01020.5	7.099537	6.690486	6.37036	8.351522	6.479069	5.242493
AT1G01020.6	0.178768	0.573376	0.37811	0.361342	0.54183	0.101377
AT1G01030.1	1.424401	1.406302	1.503405	2.227836	1.533426	1.249132
AT1G01030.2	0.094381	0.219412	0	0	0	0.096102
AT1G01040.1	6.643707	11.528451	10.236175	11.377992	9.935482	9.175051
AT1G01040.2	1.513519	0.1129	0.155726	0.916779	1.007112	1.965751
AT1G01050.1	68.521521	61.452279	69.68805	80.257727	68.953823	68.846792
AT1G01050.2	0	0	0	0	0	0
AT1G01060.1	4.599242	4.23274	3.161862	4.016006	2.462543	3.596264
AT1G01060.2	0	0.049964	0	0.133026	0	0
AT1G01060.3	0	0	0.076129	0	0.206587	0.903091
AT1G01060.4	1.874144	2.589013	1.665293	2.323481	3.065408	2.223975
AT1G01060.5	0	0	0	0.026309	0.155702	0.090692
AT1G01060.6	0.032649	0.11074	0	0	0	0
AT1G01060.7	3.122304	2.74772	2.136374	2.355592	2.414409	2.376883
AT1G01060.8	2.432678	3.667375	4.152829	3.33624	3.228326	2.942421
AT1G01070.1	4.830563	5.895563	4.71641	5.418404	5.243136	4.495752
AT1G01070.2	0.053047	0.360946	0	0.149174	0	0.201375
AT1G01080.1	27.664473	25.994994	26.217122	33.629308	27.980681	24.430623
AT1G01080.2	2.448393	5.029472	4.314978	6.307549	1.1364	1.638958
AT1G01080.3	2.326899	2.466289	3.678311	4.654934	3.308553	3.913171
AT1G01090.1	226.985734	240.357749	225.537592	222.072561	214.784531	225.726927
AT1G01100.1	6.201123	5.590629	5.273295	5.403056	3.785381	6.052149
AT1G01100.2	396.25393	408.903522	376.228429	359.285157	378.201329	326.099348
AT1G01100.3	14.69353	8.648511	10.57879	14.032868	8.751296	9.989995
AT1G01100.4	0.649225	3.087714	2.794118	1.877568	3.618845	0
AT1G01110.1	0.046627	0.265502	0	0	0	0
AT1G01110.2	1.739356	1.835602	2.732761	3.744201	2.525145	2.302218
AT1G01120.1	32.944137	32.769718	30.563308	31.411276	30.063178	32.214626
AT1G01130.1	1.471815	2.71353	1.420159	2.736805	2.561388	0.98635
AT1G01140.1	45.551266	45.05991	44.796139	50.679042	45.168603	42.201538
AT1G01140.2	0.284994	0	0	0.623158	0.244637	0.229854
AT1G01140.3	0	0	0	0	0	0
AT1G01150.1	0	0	0	0	0	0
AT1G01150.2	0	0	0	0	0	0.053268
AT1G01150.3	0.091069	0	0	0	0.016933	0
AT1G01160.1	41.147879	42.368567	37.754156	38.722958	43.556406	42.53907
AT1G01160.2	0.396766	0.139818	0	0.292887	0.154921	0.528126
AT1G01170.1	245.214597	235.68081	233.925952	215.174982	240.664778	240.722268
AT1G01170.2	11.042008	8.510899	9.545134	7.598088	11.987218	7.053029
AT1G01180.1	33.473911	29.429298	27.09828	16.736233	28.871434	26.490309
AT1G01190.1	0.200992	0.152901	0	0.033854	0.024792	0
AT1G01190.2	0.243044	0.310446	0.406812	0.375311	0.474561	0.361713
AT1G01200.1	1.420905	1.34552	1.724651	2.014495	1.818732	0.799942
AT1G01210.1	21.046167	20.274891	20.765721	19.179905	23.557596	16.797904
AT1G01210.2	0	0	0	0	0	0
AT1G01210.3	1.199316	1.661527	0.840765	1.520157	1.167458	0.755776
AT1G01220.1	0	0	3.01945	2.160771	0.540863	0
AT1G01220.2	0	0.249243	0	0.405645	0	1.386267
AT1G01220.3	0.667487	0	0	0	0.194749	0
AT1G01220.4	1.325646	3.532237	0.944437	1.393343	2.71277	1.591503
AT1G01220.5	0.251693	0	1.132114	2.088513	0.354893	0
AT1G01220.6	3.233568	4.173728	3.559689	3.038659	3.606771	2.18988
AT1G01220.7	4.426846	5.221428	3.407799	4.87523	5.157007	6.884025
AT1G01220.8	0.759093	0.567341	0.734875	1.022474	0.349816	0
AT1G01225.1	1.984452	1.792854	1.913436	1.362026	2.543522	1.453509
AT1G01230.1	59.215651	54.778282	56.371002	59.123278	57.090098	47.22978
AT1G01240.1	24.319502	25.932098	24.983174	23.810174	26.241802	26.721188
AT1G01240.2	0.973386	0.848279	0.349219	0.769884	0.966858	1.234944
AT1G01240.3	2.678399	3.236805	3.092152	3.509893	3.174833	3.19938
AT1G01240.4	1.311474	0	1.273084	0.607349	1.435866	0
AT1G01240.5	0	0	0	0	0	0
AT1G01250.1	1.5708	1.12597	0.942334	0.430885	0.978308	0.682034
AT1G01260.1	7.372695	7.658197	7.583602	9.009171	7.969005	7.601447
AT1G01260.2	1.833276	2.677132	2.184458	1.798623	2.481933	2.569602
AT1G01260.3	1.782322	2.383333	2.330268	1.772717	1.623117	0.979296
AT1G01280.1	0	0	0	0	0	0
AT1G01290.1	0.951449	1.406728	0.823004	1.487396	0.90244	1.088059
AT1G01290.2	5.677891	5.156593	6.251353	6.977176	6.818324	5.552343
AT1G01300.1	41.263824	41.984104	40.587091	53.576429	36.473603	38.409522
AT1G01305.1	0	0	0	0	0	0
AT1G01310.1	0.062381	0.214068	0.071792	0.053827	0.092518	0
AT1G01320.1	0	0	0	0.04171	0	0
AT1G01320.2	0.04105	0	0.047491	0.099211	0.426442	0.474161
