ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
138	AT5G11630		chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	138	229,198	52,46	67,55,61,72	143,108,123,138	214	149	0.0	0.0	0.754,0.75	0.246,0.262,0.257,0.266	0.494	129		3740758	3740877	3741503	3741827	129	61,105	24,36	53,74	61,143	214	149	6.38064703273e-06	0.0004909110310806	0.639,0.67	0.377,0.265	0.334
396	AT4G40050		chr4	-	18561988	18562084	18561992	18562084	18561698	18561884	396	21,31	55,68	59,42,47,75	12,9,18,30	153	149	8.451017663450001e-13	9.555686400886676e-11	0.271,0.307	0.827,0.82,0.718,0.709	-0.479	366		18561992	18562084	18561698	18561884	366	50,48	76,57	61,85	20,30	153	149	1.70986711178e-05	0.0011078139024216	0.391,0.451	0.748,0.734	-0.32
402	AT3G63460		chr3	-	23434943	23434986	23434949	23434986	23434703	23434825	402	142,182	25,17	72,86,85,120	72,85,140,171	155	149	0.0	0.0	0.845,0.911	0.49,0.493,0.369,0.403	0.439	371		23434949	23434986	23434703	23434825	371	101,144	4,2	77,91	69,52	155	149	1.11022302463e-15	6.83342271659765e-13	0.96,0.986	0.518,0.627	0.4
692	AT1G73390		chr1	-	27594494	27594551	27594498	27594551	27593901	27594166	692	19,28	13,11	10,8,8,22	22,25,32,36	153	149	0.000472180484218	0.0128872708020188	0.587,0.713	0.307,0.238,0.196,0.373	0.371	625		27594498	27594551	27593901	27594166	625	16,31	6,7	14,9	24,12	153	149	0.000725975702943	0.0270116327228894	0.722,0.812	0.362,0.422	0.375
719	AT1G20060		chr1	-	6952305	6952398	6952308	6952398	6952131	6952224	719	5,4	0,5	1,1,0,2	6,7,11,4	152	149	0.000530732274498	0.0140024865088389	1.0,0.44	0.14,0.123,0.0,0.329	0.572	650		6952308	6952398	6952131	6952224	650	12,6	0,2	4,4	6,4	152	149	0.00136295103456	0.0479369349583817	1.0,0.746	0.395,0.495	0.428
720	AT1G20060		chr1	-	6952652	6952745	6952655	6952745	6952478	6952571	720	6,3	0,0	0,1,0,0	7,22,9,2	152	149	4.89941420767e-13	5.965978992878161e-11	1.0,1.0	0.0,0.043,0.0,0.0	0.989	651		6952655	6952745	6952478	6952571	651	6,11	0,0	3,2	4,10	152	149	4.78803163784e-08	5.894066946181041e-06	1.0,1.0	0.424,0.164	0.706
900	AT2G01420		chr2	-	182004	183764	182016	183764	181579	181847	900	152,159	134,133	279,353,302,264	29,31,21,31	161	149	0.0	0.0	0.512,0.525	0.899,0.913,0.93,0.887	-0.389	806		182016	183764	181579	181847	806	216,209	253,130	357,342	77,70	161	149	4.23880619893e-05	0.0024847478242299	0.441,0.598	0.811,0.819	-0.295
903	AT2G27730		chr2	-	11821606	11822025	11821651	11822025	11820768	11820884	903	5,2	17,24	11,17,9,25	13,18,5,6	194	149	0.000188256432857	0.0062085402752631	0.184,0.06	0.394,0.42,0.58,0.762	-0.417	808		11821651	11822025	11820768	11820884	808	0,4	8,11	8,18	0,2	194	149	1.26920963739e-08	1.7359967373634331e-06	0.0,0.218	1.0,0.874	-0.828
1092	AT2G39730		chr2	-	16571179	16571472	16571190	16571472	16570745	16571066	1092	9656,10227	8180,8703	21120,19300,16809,20773	6443,5728,4725,6090	160	149	5.547118320240001e-12	5.85405886729328e-10	0.524,0.523	0.753,0.758,0.768,0.761	-0.236	976		16571190	16571472	16570745	16571066	976	13218,13021	15488,15258	21720,23478	11895,12485	160	149	0.000223902584062	0.0098437171778686	0.443,0.443	0.63,0.637	-0.19
1093	AT1G77890		chr1	+	29293206	29293278	29293206	29293272	29293400	29293478	1093	22,22	2,0	8,9,6,15	10,17,20,18	155	149	6.73268107931e-11	6.661146342842331e-09	0.914,1.0	0.435,0.337,0.224,0.445	0.597	977		29293206	29293272	29293400	29293478	977	22,26	0,2	8,10	12,32	155	149	1.39152023237e-11	4.282403515118675e-09	1.0,0.926	0.391,0.231	0.652
1120	AT1G18950		chr1	+	6550477	6550681	6550477	6550669	6550762	6552108	1120	6,7	22,21	41,56,64,64	3,2,0,2	161	149	0.0	0.0	0.202,0.236	0.927,0.963,1.0,0.967	-0.745	998		6550477	6550669	6550762	6552108	998	13,12	24,20	25,44	8,6	161	149	4.55275253286e-06	0.00037362922453	0.334,0.357	0.743,0.872	-0.462
1121	AT1G18950		chr1	+	6550477	6550681	6550477	6550669	6550768	6551919	1121	2,1	14,20	3,11,3,4	0,2,4,7	161	149	0.000241670353713	0.0073570032678399	0.117,0.044	1.0,0.836,0.41,0.346	-0.568	998		6550477	6550669	6550762	6552108	998	13,12	24,20	25,44	8,6	161	149	4.55275253286e-06	0.00037362922453	0.334,0.357	0.743,0.872	-0.462
1255	AT4G17570		chr4	-	9785983	9786364	9785995	9786364	9785503	9785903	1255	15,24	51,46	54,36,41,58	14,5,8,6	161	149	1.11022302463e-15	1.75748304798929e-13	0.214,0.326	0.781,0.87,0.826,0.899	-0.574	1118		9785995	9786364	9785503	9785903	1118	26,32	48,67	84,90	46,41	161	149	1.17961678641e-05	0.0008067268133726	0.334,0.307	0.628,0.67	-0.329
