chr1	35471	35474	AT1G01060	-	0.216	0.216
chr1	27347658	27347661	AT1G72640	-	-0.194	0.194
chr2	12226861	12227013	AT2G28550	-	0.19	0.19
chr4	1377407	1377410	AT4G03110	-	0.226	0.226
chr5	5056209	5056217	AT5G15540	-	-0.785	0.785
chr5	24559241	24559247	AT5G61020	-	-0.238	0.238
chr3	2948155	2948177	AT3G09600	+	0.225	0.225
chr1	8570	8593	AT1G01020	-	-0.455	0.455
chr1	274166	274170	AT1G01740	-	-0.463	0.463
chr1	1804951	1804962	AT1G05950	-	-0.345	0.345
chr1	5744111	5744138	AT1G16780	-	-0.361	0.361
chr1	6952305	6952308	AT1G20060	-	-0.602	0.602
chr1	6952652	6952655	AT1G20060	-	-0.478	0.478
chr1	8182205	8182217	AT1G23080	-	0.491	0.491
chr1	8594806	8594809	AT1G24260	-	-0.431	0.431
chr1	26565290	26565317	AT1G70490	-	0.752	0.752
chr1	26565301	26565317	AT1G70490	-	0.654	0.654
chr1	27594494	27594498	AT1G73390	-	-0.4	0.4
chr2	182004	182016	AT2G01420	-	0.363	0.363
chr2	520976	520980	AT2G02080	-	0.545	0.545
chr2	6481827	6481870	AT2G15000	-	-0.443	0.443
chr2	12226968	12227119	AT2G28550	-	0.166	0.166
chr2	12988669	12988673	AT2G30480	-	-0.308	0.308
chr2	16186904	16186915	AT2G38710	-	-0.882	0.882
chr2	16571179	16571190	AT2G39730	-	0.248	0.248
chr2	18058044	18058056	AT2G43490	-	-0.381	0.381
chr3	2326718	2326724	AT3G07300	-	0.391	0.391
chr3	3611723	3611728	AT3G11470	-	-0.474	0.474
chr3	7006705	7006733	AT3G20070	-	-0.312	0.312
chr3	19314052	19314090	AT3G52072	-	0.628	0.628
chr3	20178157	20178160	AT3G54500	-	-0.166	0.166
chr3	21114161	21114206	AT3G57050	-	-0.208	0.208
chr3	23392347	23392378	AT3G63340	-	-0.395	0.395
chr3	23434943	23434949	AT3G63460	-	-0.347	0.347
chr3	23442677	23442689	AT3G63480	-	0.626	0.626
chr4	6249104	6249115	AT4G09980	-	0.39	0.39
chr4	9785983	9785995	AT4G17570	-	0.511	0.511
chr4	18556501	18556506	AT4G40030	-	0.322	0.322
chr4	18561988	18561992	AT4G40050	-	0.383	0.383
chr5	13525620	13525641	AT5G35330	-	-0.258	0.258
chr5	17843414	17843432	AT5G44290	-	-0.214	0.214
chr5	18403494	18403511	AT5G45410	-	0.305	0.305
chr5	18967802	18967822	AT5G46740	-	-0.337	0.337
chr5	19816922	19817772	AT5G48880	-	-0.284	0.284
chr1	813581	813604	AT1G03310	+	0.451	0.451
chr1	2379729	2379798	AT1G07700	+	-0.214	0.214
chr1	5668709	5668739	AT1G16560	+	-0.711	0.711
chr1	6550669	6550681	AT1G18950	+	0.635	0.635
chr1	8246298	8246303	AT1G23230	+	0.269	0.269
chr1	9086897	9087046	AT1G26260	+	0.658	0.658
chr1	22046226	22046241	AT1G59890	+	-0.262	0.262
chr1	23154534	23154588	AT1G62540	+	-0.285	0.285
chr1	25375712	25375726	AT1G67700	+	0.267	0.267
chr1	25866864	25866882	AT1G68820	+	0.197	0.197
chr1	26622786	26622797	AT1G70610	+	0.189	0.189
chr1	29293272	29293278	AT1G77890	+	-0.486	0.486
chr1	29597210	29597235	AT1G78690	+	0.48	0.48
chr1	29792210	29792228	AT1G79190	+	0.403	0.403
chr1	29815873	29816510	AT1G79270	+	0.478	0.478
chr1	29815873	29816515	AT1G79270	+	0.519	0.519
chr1	29816510	29816515	AT1G79270	+	0.556	0.556
chr2	950208	950231	AT2G03140	+	0.491	0.491
chr2	1646031	1646066	AT2G04690	+	0.219	0.219
chr2	1679886	1679909	AT2G04790	+	-0.256	0.256
chr2	7341210	7341247	AT2G16930	+	0.367	0.367
chr2	10205241	10205501	AT2G23985	+	0.304	0.304
chr2	10205474	10205501	AT2G23985	+	0.199	0.199
chr2	14929401	14929448	AT2G35550	+	0.643	0.643
chr2	14929401	14929477	AT2G35550	+	0.48	0.48
chr2	18062595	18062599	AT2G43500	+	-0.395	0.395
chr2	19002161	19002230	AT2G46270	+	0.399	0.399
chr3	53911	53958	AT3G01150	+	0.205	0.205
chr3	4638932	4638938	AT3G14010	+	-0.702	0.702
chr3	5940644	5940671	AT3G17360	+	0.246	0.246
chr3	6748904	6748909	AT3G19460	+	-0.308	0.308
chr3	7423328	7423334	AT3G21175	+	-0.227	0.227
chr4	693500	693515	AT4G01600	+	-0.162	0.162
chr4	7183002	7183006	AT4G11970	+	0.386	0.386
chr4	8552747	8552769	AT4G14965	+	-0.198	0.198
chr4	8614273	8614344	AT4G15090	+	0.454	0.454
chr4	8614449	8614486	AT4G15090	+	-0.245	0.245
chr4	9638820	9638824	AT4G17150	+	0.288	0.288
chr4	18315838	18315860	AT4G39390	+	0.337	0.337
chr5	3740877	3740942	AT5G11630	+	-0.336	0.336
chr5	4876966	4876984	AT5G15070	+	0.373	0.373
chr5	15065479	15065512	AT5G37850	+	-0.267	0.267
chr5	17699285	17699345	AT5G43990	+	0.465	0.465
chr5	25494407	25494577	AT5G63700	-	0.509	0.509
chr5	24523687	24523779	AT5G60940	+	0.298	0.298
chr5	22918275	22918364	AT5G56620	-	-0.505	0.505
chr5	20710590	20710724	AT5G50915	-	0.34	0.34
chr5	19677600	19677693	AT5G48545	+	0.177	0.177
chr5	14818453	14819034	AT5G37380	-	-0.432	0.432
