chr1	4009648	4009670	AT1G11880	-	0.849	0.849
chr2	13653414	13653427	AT2G32120	-	-0.683	0.683
chr2	15246743	15246762	AT2G36360	-	-0.909	0.909
chr3	9800608	9800684	AT3G26670	-	-0.427	0.427
chr3	20267726	20267729	AT3G54750	-	0.368	0.368
chr3	21780014	21780122	AT3G58930	-	0.641	0.641
chr4	15475966	15475969	AT4G32000	-	-0.669	0.669
chr5	3249837	3249870	AT5G10330	-	0.446	0.446
chr5	5757450	5757464	AT5G17460	-	-0.594	0.594
chr5	17667956	17667968	AT5G43910	-	-0.906	0.906
chr5	17667956	17667987	AT5G43910	-	-0.439	0.439
chr5	18238613	18238644	AT5G45115	-	0.504	0.504
chr1	4749834	4749837	AT1G13880	+	0.307	0.307
chr1	8466015	8466018	AT1G23935	+	-0.492	0.492
chr2	7385434	7385515	AT2G16990	+	-0.571	0.571
chr2	13892577	13892599	AT2G32760	+	-0.445	0.445
chr4	16164959	16164962	AT4G33650	+	-0.264	0.264
chr1	1513824	1513830	AT1G05230	-	-0.409	0.409
chr1	2968474	2968479	AT1G09195	-	-0.69	0.69
chr1	6952305	6952308	AT1G20060	-	-0.428	0.428
chr1	6952652	6952655	AT1G20060	-	-0.706	0.706
chr1	8182205	8182217	AT1G23080	-	0.381	0.381
chr1	19385232	19385479	AT1G52100	-	-0.738	0.738
chr1	25540793	25541435	AT1G68140	-	0.581	0.581
chr1	27594494	27594498	AT1G73390	-	-0.375	0.375
chr2	182004	182016	AT2G01420	-	0.295	0.295
chr2	11821606	11821651	AT2G27730	-	0.828	0.828
chr2	12988669	12988673	AT2G30480	-	-0.708	0.708
chr2	16571179	16571190	AT2G39730	-	0.19	0.19
chr3	16297397	16297561	AT3G44740	-	-0.361	0.361
chr3	18353443	18353466	AT3G49500	-	-0.44	0.44
chr3	23434943	23434949	AT3G63460	-	-0.4	0.4
chr4	9785983	9785995	AT4G17570	-	0.329	0.329
chr4	12119101	12119113	AT4G23130	-	-0.809	0.809
chr4	18556501	18556743	AT4G40030	-	0.444	0.444
chr4	18556506	18556743	AT4G40030	-	0.442	0.442
chr4	18561988	18561992	AT4G40050	-	0.32	0.32
chr5	22363849	22364074	AT5G55100	-	-0.331	0.331
chr5	24883691	24883907	AT5G61960	-	0.821	0.821
chr1	5563200	5563364	AT1G16270	+	0.445	0.445
chr1	5715520	5715637	AT1G16710	+	0.398	0.398
chr1	6550669	6550681	AT1G18950	+	0.462	0.462
chr1	29293272	29293278	AT1G77890	+	-0.652	0.652
chr1	29597190	29597235	AT1G78690	+	0.473	0.473
chr1	29815873	29816510	AT1G79270	+	0.744	0.744
chr1	29815873	29816515	AT1G79270	+	0.764	0.764
chr2	6773964	6773983	AT2G15530	+	-0.447	0.447
