ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
990	AT1G72640		chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	990	177,277,203,202,246,230	412,727,522,468,700,626	186,139,166,208,221,88	1377,1083,1260,1629,1899,588	152	149	2.87595243176e-08	1.26685704619028e-05	0.296,0.272,0.276,0.297,0.256,0.265	0.117,0.112,0.114,0.111,0.102,0.128	0.163	922		27347584	27347658	27347769	27347856	922	105,99	171,161	118,96,88,130	461,484,455,609	152	149	0.000209197140463	0.0359980002473639	0.376,0.376	0.201,0.163,0.159,0.173	0.202
1057	AT3G26890		chr3	-	9908834	9909086	9908834	9909083	9909317	9910792	1057	475,682,526,501,678,577	194,269,199,171,302,223	482,359,385,630,536,222	348,286,389,506,521,191	152	149	1.25810297713e-06	0.0002375118691824	0.706,0.713,0.722,0.742,0.688,0.717	0.576,0.552,0.492,0.55,0.502,0.533	0.18	988		9908834	9909083	9909317	9910792	988	77,112	27,30	93,103,95,101	85,92,92,115	152	149	2.656884943e-05	0.0081985704400277	0.737,0.785	0.517,0.523,0.503,0.463	0.259
1206	AT4G17310		chr4	-	9685185	9685710	9685185	9685454	9686443	9686616	1206	40,56,53,40,61,53	29,45,38,25,46,29	61,63,62,121,75,23	11,7,12,23,3,6	405	149	3.60580678649e-08	1.3614496195275811e-05	0.337,0.314,0.339,0.371,0.328,0.402	0.671,0.768,0.655,0.659,0.902,0.585	-0.358	1126		9685185	9685454	9686443	9686616	1126	21,22	15,34	16,25,27,27	4,1,1,5	405	149	6.49931347885e-06	0.0036347410630468	0.34,0.192	0.595,0.902,0.909,0.665	-0.502
1207	AT4G17310		chr4	-	9685185	9686024	9685185	9685454	9686443	9686616	1207	124,149,137,111,204,143	29,45,38,25,46,29	112,147,128,246,173,51	11,7,12,23,3,6	719	149	2.0292962291e-05	0.0029796832963951	0.47,0.407,0.428,0.479,0.479,0.505	0.678,0.813,0.689,0.689,0.923,0.638	-0.277	1127		9685185	9685454	9686443	9686616	1127	41,50	15,34	49,68,55,85	4,1,1,5	719	149	2.29936714113e-09	1.71456143156927e-06	0.362,0.234	0.717,0.934,0.919,0.779	-0.539
1309	AT1G10590		chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1309	12,17,12,8,25,12	73,82,98,54,113,86	17,12,7,23,19,9	8,1,9,6,9,1	194	149	3.2111979742e-11	2.12179906145265e-08	0.112,0.137,0.086,0.102,0.145,0.097	0.62,0.902,0.374,0.746,0.619,0.874	-0.576	1220		3502762	3503004	3503369	3503437	1220	0,7	41,30	4,2,11,4	0,0,0,1	194	149	4.4408920985e-16	9.9342756243445e-13	0.0,0.152	1.0,1.0,1.0,0.754	-0.863
2617	AT2G47640		chr2	+	19537859	19537937	19537862	19537937	19537504	19537529	2617	244,365,357,254,281,305	480,665,688,492,711,646	485,325,383,503,634,191	328,243,321,375,591,195	152	149	6.6848748758700005e-12	5.889374765641469e-09	0.333,0.35,0.337,0.336,0.279,0.316	0.592,0.567,0.539,0.568,0.513,0.49	-0.22	2436		19537862	19537937	19537504	19537529	2436	154,165	212,214	241,256,206,368	133,144,137,181	152	149	0.00018305368128	0.03412425708528	0.416,0.43	0.64,0.635,0.596,0.666	-0.211
ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
73	AT5G44750		chr5	+	18056513	18056585	18056513	18056573	18056667	18056754	73	17,28,23,21,39,19	12,34,24,16,24,20	4,7,1,17,15,11	44,27,32,46,59,16	161	149	3.36378030685e-06	8.476726373262e-05	0.567,0.433,0.47,0.548,0.601,0.468	0.078,0.194,0.028,0.255,0.19,0.389	0.325	62		18056513	18056573	18056667	18056754	62	10,6	5,9	3,0,1,2	15,20,21,15	161	149	0.000217482382537	0.0067504825795308	0.649,0.382	0.156,0.0,0.042,0.11	0.439
96	AT5G37340		chr5	-	14789310	14789409	14789342	14789409	14789165	14789219	96	5,4,6,3,4,5	6,1,2,2,0,1	1,5,0,5,3,0	6,4,10,6,15,1	181	149	0.000211513155161	0.0042079985605714	0.407,0.767,0.712,0.553,1.0,0.805	0.121,0.507,0.0,0.407,0.141,0.0	0.511	78		14789342	14789409	14789165	14789219	78	4,3	0,1	2,2,0,2	1,3,2,4	181	149	0.000176831373956	0.0059558311696244	1.0,0.712	0.622,0.354,0.0,0.292	0.539
165	AT5G11630		chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	165	121,204,186,91,161,141	36,59,43,36,51,53	59,35,47,57,83,22	106,75,85,116,143,32	214	149	0.0	0.0	0.701,0.707,0.751,0.638,0.687,0.649	0.279,0.245,0.278,0.255,0.288,0.324	0.411	138		3740758	3740877	3741503	3741827	138	229,198	52,46	67,55,61,72	143,108,123,138	214	149	0.0	0.0	0.754,0.75	0.246,0.262,0.257,0.266	0.494
