ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
438	AT4G33650		chr4	+	16164959	16165058	16164962	16165058	16164757	16164871	438	76,68,64,75,99,89	213,373,204,225,267,226	17,10,29,26,42,8	281,209,203,309,307,98	152	149	0.000354689294112	0.0284073880102429	0.259,0.152,0.235,0.246,0.267,0.279	0.056,0.045,0.123,0.076,0.118,0.074	0.158	376		16164962	16165058	16164757	16164871	376	26,23	64,36	5,2	39,66	152	149	0.000373960826047	0.0399698129957293	0.285,0.385	0.112,0.029	0.264
1859	AT1G13880		chr1	+	4749834	4751212	4749837	4751212	4749591	4749747	1859	49,52,32,28,50,35	138,202,151,154,247,231	104,81,101,86,115,45	174,92,106,151,194,59	152	149	6.29953110787e-08	1.8499623020111565e-05	0.258,0.201,0.172,0.151,0.166,0.129	0.369,0.463,0.483,0.358,0.368,0.428	-0.232	1598		4749837	4751212	4749591	4749747	1598	2,4	31,46	40,38	69,58	152	149	1.91074875628e-05	0.0031562095365097	0.059,0.079	0.362,0.391	-0.307
ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
165	AT5G11630		chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	165	121,204,186,91,161,141	36,59,43,36,51,53	59,35,47,57,83,22	106,75,85,116,143,32	214	149	0.0	0.0	0.701,0.707,0.751,0.638,0.687,0.649	0.279,0.245,0.278,0.255,0.288,0.324	0.411	129		3740758	3740877	3741503	3741827	129	61,105	24,36	53,74	61,143	214	149	6.38064703273e-06	0.0004909110310806	0.639,0.67	0.377,0.265	0.334
445	AT4G40050		chr4	-	18561988	18562084	18561992	18562084	18561698	18561884	445	110,179,175,161,232,182	181,264,262,208,313,316	194,175,198,287,298,97	64,48,44,44,73,24	153	149	0.0	0.0	0.372,0.398,0.394,0.43,0.419,0.359	0.747,0.78,0.814,0.864,0.799,0.797	-0.405	366		18561992	18562084	18561698	18561884	366	50,48	76,57	61,85	20,30	153	149	1.70986711178e-05	0.0011078139024216	0.391,0.451	0.748,0.734	-0.32
450	AT3G63460		chr3	-	23434943	23434986	23434949	23434986	23434703	23434825	450	495,671,592,427,564,653	68,91,63,81,77,72	233,187,204,357,332,128	232,249,243,494,390,122	155	149	0.0	0.0	0.875,0.876,0.9,0.835,0.876,0.897	0.491,0.419,0.447,0.41,0.45,0.502	0.423	371		23434949	23434986	23434703	23434825	371	101,144	4,2	77,91	69,52	155	149	1.11022302463e-15	6.83342271659765e-13	0.96,0.986	0.518,0.627	0.4
612	AT1G78690		chr1	+	29596982	29597235	29596982	29597190	29597315	29597446	612	23,52,30,19,49,29	24,25,41,22,39,42	41,45,36,47,64,11	13,13,8,13,13,6	194	149	6.86056475935e-05	0.0014093986299099	0.424,0.615,0.36,0.399,0.491,0.347	0.708,0.727,0.776,0.735,0.791,0.585	-0.281	505		29596982	29597190	29597315	29597446	505	8,2	6,2	8,10	0,1	194	149	0.000285938261368	0.0113545161207744	0.506,0.434	1.0,0.885	-0.473
613	AT1G78690		chr1	+	29596982	29597235	29596982	29597210	29597315	29597446	613	4,23,19,8,13,10	51,68,79,70,70,58	27,30,20,32,37,7	25,30,18,31,45,8	174	149	3.03984282191e-10	1.0840194213980944e-08	0.063,0.225,0.171,0.089,0.137,0.129	0.48,0.461,0.488,0.469,0.413,0.428	-0.321	505		29596982	29597190	29597315	29597446	505	8,2	6,2	8,10	0,1	194	149	0.000285938261368	0.0113545161207744	0.506,0.434	1.0,0.885	-0.473
622	AT1G79270		chr1	+	29815505	29816515	29815505	29816510	29816606	29816677	622	27,22,15,31,28,43	21,33,34,11,17,12	32,24,39,47,51,17	2,0,2,3,2,0	154	149	2.31036412224e-10	8.397284982756923e-09	0.554,0.392,0.299,0.732,0.614,0.776	0.939,1.0,0.95,0.938,0.961,1.0	-0.403	513		29815505	29815873	29816606	29816677	513	12,4	4,6	14,16	0,0	791	149	2.36909725171e-09	4.7404451064632005e-07	0.361,0.112	1.0,1.0	-0.764
658	AT1G68140		chr1	-	25540793	25541741	25541435	25541741	25538944	25540430	658	36,61,60,54,80,80	7,15,2,6,6,13	34,33,59,74,50,27	0,0,3,0,1,2	791	149	8.68340410243e-06	0.00020261276239	0.492,0.434,0.85,0.629,0.715,0.537	1.0,1.0,0.787,1.0,0.904,0.718	-0.292	548		25541435	25541741	25538944	25540430	548	27,26	6,8	34,41	0,0	791	149	2.69562272504e-09	4.7404451064632005e-07	0.459,0.38	1.0,1.0	-0.581
750	AT1G73390		chr1	-	27594494	27594551	27594498	27594551	27593901	27594166	750	61,50,57,39,50,81	23,39,28,19,21,54	15,13,13,24,32,8	38,24,32,88,79,25	153	149	3.75921516138e-13	1.9735879597245e-11	0.721,0.555,0.665,0.667,0.699,0.594	0.278,0.345,0.283,0.21,0.283,0.238	0.377	625		27594498	27594551	27593901	27594166	625	16,31	6,7	14,9	24,12	153	149	0.000725975702943	0.0270116327228894	0.722,0.812	0.362,0.422	0.375
779	AT1G20060		chr1	-	6952305	6952398	6952308	6952398	6952131	6952224	779	25,15,16,8,12,24	2,4,1,3,3,1	0,0,1,0,2,4	4,7,8,13,27,3	152	149	0.0	0.0	0.925,0.786,0.94,0.723,0.797,0.959	0.0,0.0,0.109,0.0,0.068,0.567	0.731	650		6952308	6952398	6952131	6952224	650	12,6	0,2	4,4	6,4	152	149	0.00136295103456	0.0479369349583817	1.0,0.746	0.395,0.495	0.428
780	AT1G20060		chr1	-	6952652	6952745	6952655	6952745	6952478	6952571	780	6,8,13,4,1,8	6,1,7,1,1,2	0,5,0,2,1,0	9,11,17,13,18,12	152	149	3.30490079747e-11	1.3880583349373996e-09	0.495,0.887,0.645,0.797,0.495,0.797	0.0,0.308,0.0,0.131,0.052,0.0	0.604	651		6952655	6952745	6952478	6952571	651	6,11	0,0	3,2	4,10	152	149	4.78803163784e-08	5.894066946181041e-06	1.0,1.0	0.424,0.164	0.706
