ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
138	AT5G11630		chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	138	17,22,34	17,12,13	25,27,14	61,56,62	214	149	0.00046416821598	0.0111375941787972	0.41,0.561,0.646	0.222,0.251,0.136	0.336	129		3740758	3740877	3741503	3741827	129	61,105	24,36	53,74	61,143	214	149	6.38064703273e-06	0.0004909110310806	0.639,0.67	0.377,0.265	0.334
175	AT4G40030		chr4	-	18556501	18556904	18556506	18556904	18556345	18556417	175	0,2,2	17,5,12	10,6,6	13,8,5	154	149	0.00111587351315	0.0243632383704416	0.0,0.279,0.139	0.427,0.421,0.537	-0.322	167		18556743	18556904	18556345	18556417	167	42,58	19,22	86,67	6,0	391	149	1.81566513602e-06	0.0001719295217262	0.457,0.501	0.845,1.0	-0.444
327	AT4G14965		chr4	+	8552722	8552769	8552722	8552747	8552923	8553098	327	134,249,259	8,15,14	167,213,157	56,52,54	171	149	9.00123090664e-06	0.0003537483746309	0.936,0.935,0.942	0.722,0.781,0.717	0.198	306		8552722	8552747	8552923	8553098	306	130,137	4,8	138,146	58,52	171	149	1.77580364635e-07	1.987285716960773e-05	0.966,0.937	0.675,0.71	0.259
391	AT4G40050		chr4	-	18561988	18562084	18561992	18562084	18561698	18561884	391	30,33,36	63,96,84	77,51,47	37,26,21	153	149	8.20884471509e-11	6.144906615295943e-09	0.317,0.251,0.294	0.67,0.656,0.685	-0.383	366		18561992	18562084	18561698	18561884	366	50,48	76,57	61,85	20,30	153	149	1.70986711178e-05	0.0011078139024216	0.391,0.451	0.748,0.734	-0.32
397	AT3G63460		chr3	-	23434943	23434986	23434949	23434986	23434703	23434825	397	150,225,244	18,32,29	151,162,152	152,114,122	155	149	0.0	0.0	0.889,0.871,0.89	0.488,0.577,0.545	0.347	371		23434949	23434986	23434703	23434825	371	101,144	4,2	77,91	69,52	155	149	1.11022302463e-15	6.83342271659765e-13	0.96,0.986	0.518,0.627	0.4
546	AT1G78690		chr1	+	29596982	29597235	29596982	29597210	29597315	29597446	546	1,2,3	14,30,26	5,6,10	5,2,10	174	149	4.0295421011e-05	0.0013477532304104	0.058,0.054,0.09	0.461,0.72,0.461	-0.48	505		29596982	29597190	29597315	29597446	505	8,2	6,2	8,10	0,1	194	149	0.000285938261368	0.0113545161207744	0.506,0.434	1.0,0.885	-0.473
555	AT1G79270		chr1	+	29815505	29816510	29815505	29815873	29816606	29816677	555	19,36,44	11,17,22	135,103,106	4,10,8	786	149	4.15621247418e-08	2.252953796348607e-06	0.247,0.286,0.275	0.865,0.661,0.715	-0.478	512		29815505	29815873	29816606	29816677	512	14,4	4,6	16,4	0,0	786	149	1.15518121735e-08	1.7359967373634331e-06	0.399,0.112	1.0,1.0	-0.744
556	AT1G79270		chr1	+	29815505	29816515	29815505	29815873	29816606	29816677	556	12,37,43	11,17,22	145,113,117	4,10,8	791	149	2.71866495982e-09	1.8581483986248002e-07	0.17,0.291,0.269	0.872,0.68,0.734	-0.519	513		29815505	29815873	29816606	29816677	513	12,4	4,6	14,16	0,0	791	149	2.36909725171e-09	4.7404451064632005e-07	0.361,0.112	1.0,1.0	-0.764
557	AT1G79270		chr1	+	29815505	29816515	29815505	29816510	29816606	29816677	557	0,3,1	7,2,2	12,11,14	2,1,3	154	149	0.00050386517888	0.0116481773705788	0.0,0.592,0.326	0.853,0.914,0.819	-0.556	513		29815505	29815873	29816606	29816677	513	12,4	4,6	14,16	0,0	791	149	2.36909725171e-09	4.7404451064632005e-07	0.361,0.112	1.0,1.0	-0.764
679	AT1G73390		chr1	-	27594494	27594551	27594498	27594551	27593901	27594166	679	22,37,61	13,17,21	15,21,25	42,52,57	153	149	1.24509593746e-08	7.249225235878222e-07	0.622,0.679,0.739	0.258,0.282,0.299	0.4	625		27594498	27594551	27593901	27594166	625	16,31	6,7	14,9	24,12	153	149	0.000725975702943	0.0270116327228894	0.722,0.812	0.362,0.422	0.375
709	AT1G20060		chr1	-	6952305	6952398	6952308	6952398	6952131	6952224	709	4,9,14	2,4,4	2,2,0	9,12,8	152	149	1.70633249419e-07	8.382358377708376e-06	0.662,0.688,0.774	0.179,0.14,0.0	0.602	650		6952308	6952398	6952131	6952224	650	12,6	0,2	4,4	6,4	152	149	0.00136295103456	0.0479369349583817	1.0,0.746	0.395,0.495	0.428
710	AT1G20060		chr1	-	6952652	6952745	6952655	6952745	6952478	6952571	710	0,3,5	1,0,0	0,0,4	16,10,3	152	149	2.84214057084e-05	0.0010154193130364	0.0,1.0,1.0	0.0,0.0,0.567	0.478	651		6952655	6952745	6952478	6952571	651	6,11	0,0	3,2	4,10	152	149	4.78803163784e-08	5.894066946181041e-06	1.0,1.0	0.424,0.164	0.706
878	AT2G01420		chr2	-	182004	183764	182016	183764	181579	181847	878	304,417,475	277,353,301	450,506,442	42,42,54	161	149	0.0	0.0	0.504,0.522,0.594	0.908,0.918,0.883	-0.363	806		182016	183764	181579	181847	806	216,209	253,130	357,342	77,70	161	149	4.23880619893e-05	0.0024847478242299	0.441,0.598	0.811,0.819	-0.295
