ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
932	AT1G72640		chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	932	205,251,355	431,461,639	277,226,218	1390,1467,1271	152	149	1.7258959728e-07	0.0001328939899056	0.318,0.348,0.353	0.163,0.131,0.144	0.194	922		27347584	27347658	27347769	27347856	922	105,99	171,161	118,96,88,130	461,484,455,609	152	149	0.000209197140463	0.0359980002473639	0.376,0.376	0.201,0.163,0.159,0.173	0.202
ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
138	AT5G11630		chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	138	17,22,34	17,12,13	25,27,14	61,56,62	214	149	0.00046416821598	0.0111375941787972	0.41,0.561,0.646	0.222,0.251,0.136	0.336	138		3740758	3740877	3741503	3741827	138	229,198	52,46	67,55,61,72	143,108,123,138	214	149	0.0	0.0	0.754,0.75	0.246,0.262,0.257,0.266	0.494
347	AT4G09980		chr4	-	6249104	6249224	6249115	6249224	6248510	6248662	347	1,0,3	25,39,48	19,28,19	25,41,21	160	149	1.520295001e-11	1.3277243008733331e-09	0.036,0.0,0.055	0.414,0.389,0.457	-0.39	349		6249115	6249224	6248510	6248662	349	7,4	61,37	21,22,39,23	25,35,21,44	160	149	2.9624603851e-05	0.0013026596637814	0.097,0.091	0.439,0.369,0.634,0.327	-0.348
384	AT4G01600		chr4	+	693413	693515	693413	693500	693612	693890	384	58,64,92	0,3,0	147,116,141	20,29,30	164	149	0.000430048441065	0.010563064833659	1.0,0.951,1.0	0.87,0.784,0.81	0.162	389		693413	693500	693612	693890	389	45,40	0,0	40,32,39,60	18,8,10,10	164	149	0.000118340159776	0.0044602969744144	1.0,1.0	0.669,0.784,0.78,0.845	0.23
391	AT4G40050		chr4	-	18561988	18562084	18561992	18562084	18561698	18561884	391	30,33,36	63,96,84	77,51,47	37,26,21	153	149	8.20884471509e-11	6.144906615295943e-09	0.317,0.251,0.294	0.67,0.656,0.685	-0.383	396		18561992	18562084	18561698	18561884	396	21,31	55,68	59,42,47,75	12,9,18,30	153	149	8.451017663450001e-13	9.555686400886676e-11	0.271,0.307	0.827,0.82,0.718,0.709	-0.479
397	AT3G63460		chr3	-	23434943	23434986	23434949	23434986	23434703	23434825	397	150,225,244	18,32,29	151,162,152	152,114,122	155	149	0.0	0.0	0.889,0.871,0.89	0.488,0.577,0.545	0.347	402		23434949	23434986	23434703	23434825	402	142,182	25,17	72,86,85,120	72,85,140,171	155	149	0.0	0.0	0.845,0.911	0.49,0.493,0.369,0.403	0.439
398	AT3G63340		chr3	-	23392347	23392402	23392378	23392402	23392165	23392246	398	130,149,174	2,7,10	40,31,32	25,20,22	180	149	2.8865798640299994e-14	3.2412168187536857e-12	0.982,0.946,0.935	0.57,0.562,0.546	0.395	403		23392378	23392402	23392165	23392246	403	92,114	8,17	31,24,11,17	28,21,25,13	180	149	1.63566168387e-08	1.232977355031529e-06	0.905,0.847	0.478,0.486,0.267,0.52	0.438
479	AT5G43990		chr5	+	17699083	17699345	17699083	17699285	17699457	17700575	479	12,11,24	6,17,12	41,51,22	0,2,1	209	149	9.91249671234e-09	5.993248012230185e-07	0.588,0.316,0.588	1.0,0.948,0.94	-0.465	487		17699083	17699285	17699457	17700575	487	9,21	8,6	19,14,30,25	1,0,1,2	209	149	0.000769161655911	0.0196384338920502	0.445,0.714	0.931,1.0,0.955,0.899	-0.367
485	AT1G59890		chr1	+	22046138	22046241	22046138	22046226	22046501	22046719	485	81,70,88	15,30,38	56,92,67	61,75,84	164	149	0.00120542699762	0.025607178922414	0.831,0.679,0.678	0.455,0.527,0.42	0.262	493		22046138	22046226	22046501	22046719	493	20,37	8,5	13,26,19,15	13,23,28,32	164	149	0.00049119226518	0.0131789382335583	0.694,0.871	0.476,0.507,0.381,0.299	0.367
