ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
932	AT1G72640		chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	932	205,251,355	431,461,639	277,226,218	1390,1467,1271	152	149	1.7258959728e-07	0.0001328939899056	0.318,0.348,0.353	0.163,0.131,0.144	0.194	990		27347584	27347658	27347769	27347856	990	177,277,203,202,246,230	412,727,522,468,700,626	186,139,166,208,221,88	1377,1083,1260,1629,1899,588	152	149	2.87595243176e-08	1.26685704619028e-05	0.296,0.272,0.276,0.297,0.256,0.265	0.117,0.112,0.114,0.111,0.102,0.128	0.163
1772	AT4G03110		chr4	-	1377076	1377410	1377076	1377407	1377507	1377687	1772	155,289,298	115,174,152	387,311,296	78,77,33	152	149	2.57902222112e-06	0.0014893853326968	0.569,0.62,0.658	0.829,0.798,0.898	-0.226	1893		1377076	1377407	1377507	1377687	1893	290,465,391,319,439,428	149,236,211,186,247,198	515,341,444,575,576,262	88,66,60,87,105,45	152	149	8.33777491493e-13	2.203673910015999e-09	0.656,0.659,0.645,0.627,0.635,0.679	0.852,0.835,0.879,0.866,0.843,0.851	-0.204
2493	AT5G61020		chr5	-	24558956	24559247	24558956	24559241	24559362	24559436	2493	204,360,358	72,143,153	353,389,311	416,388,329	155	149	1.11167311023e-07	0.0001283982442315	0.731,0.708,0.692	0.449,0.491,0.476	0.238	2660		24558956	24559241	24559362	24559436	2660	389,637,698,530,680,673	212,331,304,255,370,338	360,260,289,606,571,189	363,285,447,573,543,176	155	149	3.35696648468e-05	0.0044362312095046	0.638,0.649,0.688,0.666,0.639,0.657	0.488,0.467,0.383,0.504,0.503,0.508	0.181
2574	AT3G09600		chr3	+	2948155	2948296	2948177	2948296	2947923	2947983	2574	87,168,229	248,347,332	341,335,320	262,242,275	171	149	0.000144588204476	0.04771410747708	0.234,0.297,0.375	0.531,0.547,0.503	-0.225	2746		2948177	2948296	2947923	2947983	2746	29,42,22,17,21,35	49,72,43,57,63,49	108,66,72,87,83,37	79,30,42,74,81,31	171	149	0.000148402593362	0.0131422536312229	0.34,0.337,0.308,0.206,0.225,0.384	0.544,0.657,0.599,0.506,0.472,0.51	-0.248
ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
59	AT5G46740		chr5	-	18967802	18967923	18967822	18967923	18967606	18967717	59	11,13,15	0,1,1	21,9,7	12,3,6	169	149	2.45627582954e-05	0.0008979687451248	1.0,0.92,0.93	0.607,0.726,0.507	0.337	70		18967822	18967923	18967606	18967717	70	25,46,33,43,40,31	1,2,2,1,7,0	11,7,13,17,13,10	7,7,4,17,9,1	169	149	2.43883904144e-05	0.0005237961123092	0.957,0.953,0.936,0.974,0.834,1.0	0.581,0.469,0.741,0.469,0.56,0.898	0.323
63	AT5G44290		chr5	-	17843414	17843806	17843432	17843806	17842764	17843307	63	36,34,52	65,108,128	6,7,7	98,107,87	167	149	4.70467556853e-05	0.0015407812486935	0.331,0.219,0.266	0.052,0.055,0.067	0.214	75		17843432	17843806	17842764	17843307	75	76,128,71,62,152,103	294,403,307,279,490,383	24,13,11,27,24,14	328,296,274,437,450,210	167	149	4.72143970132e-06	0.0001129559624746	0.187,0.221,0.171,0.165,0.217,0.194	0.061,0.038,0.035,0.052,0.045,0.056	0.145
138	AT5G11630		chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	138	17,22,34	17,12,13	25,27,14	61,56,62	214	149	0.00046416821598	0.0111375941787972	0.41,0.561,0.646	0.222,0.251,0.136	0.336	165		3740758	3740877	3741503	3741827	165	121,204,186,91,161,141	36,59,43,36,51,53	59,35,47,57,83,22	106,75,85,116,143,32	214	149	0.0	0.0	0.701,0.707,0.751,0.638,0.687,0.649	0.279,0.245,0.278,0.255,0.288,0.324	0.411
181	AT4G39390		chr4	+	18315544	18315860	18315544	18315838	18316262	18316422	181	13,20,26	10,18,8	27,24,21	1,2,2	171	149	0.000159273120561	0.0044710240271766	0.531,0.492,0.739	0.959,0.913,0.901	-0.337	217		18315544	18315838	18316262	18316422	217	140,169,218,130,184,193	29,70,55,67,47,41	163,129,144,233,220,85	8,10,1,2,23,3	171	149	1.22439640204e-07	3.5062260603872724e-06	0.808,0.678,0.775,0.628,0.773,0.804	0.947,0.918,0.992,0.99,0.893,0.961	-0.206
207	AT5G37850		chr5	+	15065299	15065512	15065299	15065479	15065604	15065701	207	114,114,142	139,123,185	51,42,63	333,248,228	182	149	1.3869794202e-11	1.2825480285614115e-09	0.402,0.431,0.386	0.111,0.122,0.184	0.267	244		15065299	15065479	15065604	15065701	244	169,331,181,175,301,254	329,530,408,345,554,498	83,52,67,134,130,32	560,355,444,646,844,277	182	149	4.71322980644e-12	2.1726839839442922e-10	0.296,0.338,0.266,0.293,0.308,0.295	0.108,0.107,0.11,0.145,0.112,0.086	0.188
