ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
223	AT5G15540		chr5	-	5055961	5056217	5055961	5056209	5056550	5056646	223	1,3,6	0,0,0	1,1,0	2,2,1	157	149	2.15918139135e-05	0.0083128483566975	1.0,1.0,1.0	0.322,0.322,0.0	0.785
932	AT1G72640		chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	932	205,251,355	431,461,639	277,226,218	1390,1467,1271	152	149	1.7258959728e-07	0.0001328939899056	0.318,0.348,0.353	0.163,0.131,0.144	0.194
1558	AT1G01060		chr1	-	34400	35474	34400	35471	35566	35647	1558	307,448,471	166,254,281	1380,1278,1219	236,217,219	152	149	9.53109147162e-10	2.20168212994422e-06	0.644,0.634,0.622	0.851,0.852,0.845	-0.216
1772	AT4G03110		chr4	-	1377076	1377410	1377076	1377407	1377507	1377687	1772	155,289,298	115,174,152	387,311,296	78,77,33	152	149	2.57902222112e-06	0.0014893853326968	0.569,0.62,0.658	0.829,0.798,0.898	-0.226
2018	AT2G28550		chr2	-	12226641	12227013	12226641	12226861	12227119	12227265	2018	35,48,44	184,270,289	94,82,75	111,141,92	301	149	1.1921120496e-05	0.005507557669152	0.086,0.081,0.07	0.295,0.224,0.288	-0.19
2493	AT5G61020		chr5	-	24558956	24559247	24558956	24559241	24559362	24559436	2493	204,360,358	72,143,153	353,389,311	416,388,329	155	149	1.11167311023e-07	0.0001283982442315	0.731,0.708,0.692	0.449,0.491,0.476	0.238
2574	AT3G09600		chr3	+	2948155	2948296	2948177	2948296	2947923	2947983	2574	87,168,229	248,347,332	341,335,320	262,242,275	171	149	0.000144588204476	0.04771410747708	0.234,0.297,0.375	0.531,0.547,0.503	-0.225
ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
59	AT5G46740		chr5	-	18967802	18967923	18967822	18967923	18967606	18967717	59	11,13,15	0,1,1	21,9,7	12,3,6	169	149	2.45627582954e-05	0.0008979687451248	1.0,0.92,0.93	0.607,0.726,0.507	0.337
63	AT5G44290		chr5	-	17843414	17843806	17843432	17843806	17842764	17843307	63	36,34,52	65,108,128	6,7,7	98,107,87	167	149	4.70467556853e-05	0.0015407812486935	0.331,0.219,0.266	0.052,0.055,0.067	0.214
