ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
138	"AT5G53020"	NA	chr5	+	21498423	21500829	21498423	21498605	21499888	21500829
172	"AT5G48640"	NA	chr5	-	19724984	19725493	19724984	19725029	19725386	19725493
233	"AT5G40910"	NA	chr5	+	16395210	16397169	16395210	16395275	16396097	16397169
268	"AT5G37370"	NA	chr5	-	14814767	14816046	14814767	14814848	14815937	14816046
300	"AT5G26980"	NA	chr5	-	9488132	9488831	9488132	9488361	9488704	9488831
443	"AT5G13660"	NA	chr5	+	4405093	4406813	4405093	4406365	4406614	4406813
494	"AT5G18245"	NA	chr5	+	6028150	6028582	6028150	6028330	6028516	6028582
708	"AT4G32850"	NA	chr4	+	15853669	15854241	15853669	15853753	15854043	15854241
836	"AT4G30820"	NA	chr4	+	15006493	15007211	15006493	15006557	15007106	15007211
839	"AT4G30820"	NA	chr4	+	15007106	15007858	15007106	15007211	15007366	15007858
985	"AT4G16765"	NA	chr4	-	9430743	9431480	9430743	9430844	9431428	9431480
1011	"AT4G14713"	NA	chr4	-	8427427	8428205	8427427	8427491	8428108	8428205
1019	"AT4G14385"	NA	chr4	-	8287347	8288148	8287347	8287430	8288078	8288148
1237	"AT3G62750"	NA	chr3	+	23215853	23216355	23215853	23216083	23216267	23216355
1289	"AT3G59470"	NA	chr3	-	21979542	21980839	21979542	21980122	21980527	21980839
1341	"AT3G55850"	NA	chr3	-	20724352	20725024	20724352	20724459	20724922	20725024
1517	"AT2G05520"	NA	chr2	+	2026523	2027283	2026523	2026610	2026649	2027283
1851	"AT1G63855"	NA	chr1	-	23699834	23700331	23699834	23699919	23700280	23700331
2011	"AT1G55750"	NA	chr1	-	20840974	20841489	20840974	20841022	20841375	20841489
2037	"AT2G44090"	NA	chr2	-	18239564	18241376	18239564	18239997	18241238	18241376
2092	"AT5G07100"	NA	chr5	+	2204205	2205165	2204205	2204539	2204812	2205165
2097	"AT3G13970"	NA	chr3	-	4613491	4614124	4613491	4613755	4614055	4614124
2115	"AT1G54440"	NA	chr1	+	20326797	20327518	20326797	20326875	20327359	20327518
2187	"AT2G03480"	NA	chr2	+	1053007	1053574	1053007	1053169	1053270	1053574
2213	"AT1G44125"	NA	chr1	-	16783003	16786828	16783003	16783197	16786374	16786828
2271	"AT1G09195"	NA	chr1	-	2967939	2968758	2967939	2968199	2968652	2968758
2448	"AT1G02960"	NA	chr1	-	667150	667641	667150	667281	667540	667641
2618	"AT1G05830"	NA	chr1	+	1761083	1761817	1761083	1761228	1761554	1761817
2636	"AT1G06630"	NA	chr1	+	2027605	2027962	2027605	2027805	2027929	2027962
2646	"AT5G11580"	NA	chr5	+	3719096	3719809	3719096	3719267	3719684	3719809
2651	"AT1G02010"	NA	chr1	+	351411	351819	351411	351632	351736	351819
2730	"AT1G04300"	NA	chr1	-	1152878	1153345	1152878	1152947	1153233	1153345
2792	"AT2G39950"	NA	chr2	-	16678034	16679772	16678034	16678278	16679172	16679772
2826	"AT1G02840"	NA	chr1	+	628776	629321	628776	628856	628934	629321
2827	"AT1G02840"	NA	chr1	+	628776	629321	628776	628856	629287	629321
2895	"AT2G16990"	NA	chr2	+	7387364	7387976	7387364	7387443	7387690	7387976
3077	"AT3G54620"	NA	chr3	-	20218483	20218789	20218483	20218536	20218713	20218789
3225	"AT1G05870"	NA	chr1	-	1771384	1772533	1771384	1771954	1772355	1772533
3232	"AT3G27610"	NA	chr3	-	10227328	10227808	10227328	10227389	10227723	10227808
3242	"AT1G03470"	NA	chr1	-	867408	867733	867408	867511	867625	867733
3259	"AT1G20696"	NA	chr1	+	7180673	7181069	7180673	7180754	7180989	7181069
3332	"AT3G45750"	NA	chr3	-	16796783	16797236	16796783	16796958	16797150	16797236
3347	"AT4G11900"	NA	chr4	-	7150629	7151297	7150629	7150751	7150886	7151297
3362	"AT2G17780"	NA	chr2	-	7726541	7727503	7726541	7726960	7727324	7727503
3376	"AT1G13650"	NA	chr1	-	4681010	4682382	4681010	4681492	4682065	4682382
3451	"AT1G16560"	NA	chr1	+	5668572	5669039	5668572	5668709	5668944	5669039
3546	"AT1G70620"	NA	chr1	+	26627195	26628053	26627195	26627540	26627774	26628053
3547	"AT1G70620"	NA	chr1	+	26627195	26628053	26627195	26627512	26627841	26628053
3551	"AT1G70620"	NA	chr1	+	26630246	26631104	26630246	26630303	26630700	26631104
3655	"AT1G48175"	NA	chr1	+	17790396	17791303	17790396	17791013	17791236	17791303
3666	"AT5G11950"	NA	chr5	+	3854769	3855630	3854769	3854954	3855532	3855630
3756	"AT4G37440"	NA	chr4	+	17603111	17604086	17603111	17603594	17603663	17604086
3837	"AT1G66940"	NA	chr1	-	24973464	24973819	24973464	24973491	24973729	24973819
3917	"AT5G06265"	NA	chr5	+	1905778	1906766	1905778	1906172	1906563	1906766
3967	"AT5G09175"	NA	chr5	-	25617178	25618113	25617178	25617729	25617987	25618113
4156	"AT2G16940"	NA	chr2	-	7345694	7346177	7345694	7345776	7346107	7346177
4164	"AT3G18850"	NA	chr3	-	6500286	6500978	6500286	6500398	6500782	6500978
4189	"AT2G42380"	NA	chr2	-	17647573	17647905	17647573	17647687	17647814	17647905
4193	"AT1G65040"	NA	chr1	-	24162832	24163379	24162832	24162882	24163236	24163379
4219	"AT3G53340"	NA	chr3	-	19775151	19775606	19775151	19775226	19775476	19775606
4270	"AT2G22260"	NA	chr2	+	9460917	9461386	9460917	9461149	9461312	9461386
4374	"AT1G80260"	NA	chr1	+	30179355	30179988	30179355	30179427	30179856	30179988
4469	"AT2G30170"	NA	chr2	-	12880073	12880525	12880073	12880156	12880427	12880525
