ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference		
10	AT5G65210	NA	chr5	+	26058594	26059201	26059019	26059201	26057817	26058028	10	78,123,73,70,131,109	31,59,27,21,28,32	106,73,103,116,126,49	2,3,7,7,19,4	574	149	5.07477164735E-08	3.2377043110093E-05	0.395,0.351,0.412,0.464,0.548,0.469	0.932,0.863,0.793,0.811,0.633,0.761	-0.359		
282	AT5G08130	NA	chr5	-	2607049	2607387	2607049	2607384	2607498	2607594	282	1.36200181124158E+017	1.11217198169167E+017	194,142,180,276,264,74	87,64,98,136,129,49	152	149	0.000265929214474	0.0282771398057353	0.546,0.475,0.473,0.418,0.481,0.499	0.686,0.685,0.643,0.665,0.667,0.597	-0.175		
511	AT4G20310	NA	chr4	+	10962199	10962385	10962215	10962385	10962020	10962112	511	2,3,8,1,2,0	8,7,10,6,5,8	1,2,0,0,1,1	12,2,8,3,8,0	165	149	0.000457372318298	0.0432301539369073	0.184,0.279,0.419,0.131,0.265,0.0	0.07,0.475,0.0,0.0,0.101,1.0	-0.061		
669	AT4G02430	NA	chr4	+	1071273	1071674	1071284	1071674	1070656	1070886	669	41,98,74,71,105,68	37,66,54,59,50,40	36,48,42,59,70,34	64,86,63,107,120,62	160	149	0.0000257288747316	0.00469000630821737	0.508,0.58,0.561,0.528,0.662,0.613	0.344,0.342,0.383,0.339,0.352,0.338	0.226		
927	AT4G26140	NA	chr4	-	13244507	13244689	13244507	13244683	13244784	13244946	927	25,55,43,26,50,51	19,27,21,24,28,43	27,11,12,9,19,6	48,19,27,27,36,10	155	149	0.0000936057244481	0.0141937504403417	0.558,0.662,0.663,0.51,0.632,0.533	0.351,0.358,0.299,0.243,0.337,0.366	0.267		
968	AT1G72640	NA	chr1	-	27346745	27346919	27346745	27346899	27347084	27347147	968	1.99318224205255E+017	67,88,52,72,96,53	5.88432527658784E+017	54,48,44,56,76,33	169	149	0.000173965361358	0.021090494505612	0.724,0.761,0.792,0.715,0.701,0.781	0.906,0.888,0.913,0.912,0.901,0.851	-0.149		
969	AT1G72640	NA	chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	969	1.2318515212916E+017	2.81474348313477E+017	127,102,113,142,157,47	958,746,833,1121,1242,383	152	149	1.64968323002E-07	7.01665267168507E-05	0.3,0.277,0.3,0.288,0.247,0.266	0.115,0.118,0.117,0.11,0.11,0.107	0.167		
1004	AT5G60170	NA	chr5	+	24229699	24229832	24229705	24229832	24229463	24229555	1004	65,102,75,83,121,108	38,35,36,39,52,77	48,51,53,108,67,24	69,47,73,103,96,34	155	149	0.000283935063968	0.0289840913298534	0.622,0.737,0.667,0.672,0.691,0.574	0.401,0.511,0.411,0.502,0.402,0.404	0.222		
1036	AT3G26890	NA	chr3	-	9908834	9909086	9908834	9909083	9909317	9910792	1036	3.15464355350458E+017	1.271691251222E+017	3.19230239420349E+017	2.33201255347357E+017	152	149	1.53438659556E-07	7.01665267168507E-05	0.709,0.729,0.736,0.738,0.692,0.713	0.573,0.529,0.479,0.543,0.489,0.537	0.195		
1181	AT4G17310	NA	chr4	-	9685185	9685710	9685185	9685454	9686443	9686616	1181	27,47,41,26,44,38	23,25,28,18,37,18	39,44,43,78,45,15	8,4,7,15,2,3	405	149	6.33743624245E-07	0.000202164216134155	0.302,0.409,0.35,0.347,0.304,0.437	0.642,0.802,0.693,0.657,0.892,0.648	-0.364		
