1	10134536	10134581	10134686	AT1G29040_and_AT1G29041	+
1	10134777	10134797	10135051	AT1G29040_and_AT1G29041	+
1	10741080	10741089	10741237	AT1G30410	+
1	10887827	10887850	10888276	AT1G30690	+
1	11295991	11296000	11295912	AT1G31550	-
1	12400965	12400986	12400883	AT1G34065	-
1	13078915	13078929	13079305	AT1G35515_and_AT1G35516	+
1	1584581	1584588	1584681	AT1G05400	+
1	18253848	18253869	18254042	AT1G49340	+
1	18496922	18497084	18496750	AT1G49950	-
1	18497084	18497129	18496750	AT1G49950	-
1	19250291	19250605	19250211	AT1G51840	-
1	19842634	19842651	19842517	AT1G53200	-
1	19888229	19888305	19888088	AT1G53310	-
1	20030944	20030962	20030667	AT1G53650	-
1	20274535	20274561	20274642	AT1G54310	+
1	20516178	20516205	20516272	AT1G55000	+
1	20860710	20860831	20861271	AT1G55810	+
1	22046226	22046241	22046502	AT1G59890	+
1	2379729	2379798	2380104	AT1G07700	+
1	2498480	2498484	2497998	AT1G08040	-
1	25375712	25375726	25375804	AT1G67700	+
1	25866864	25866882	25866962	AT1G68820	+
1	25908565	25908569	25908380	AT1G68910	-
1	26536604	26537404	26536517	AT1G70410	-
1	26622786	26622797	26622941	AT1G70610	+
1	2712985	2713010	2713096	AT1G08570	+
1	27381147	27381165	27380901	AT1G72740	-
1	27439930	27439973	27440072	AT1G72930	+
1	27514351	27514355	27514268	AT1G73170	-
1	27594495	27594499	27594166	AT1G73390	-
1	276623	276706	276519	AT1G04053_and_AT1G01760	-
1	28107927	28107935	28108395	AT1G74810	+
1	2925688	2925712	2925248	AT1G09060	-
1	29293272	29293278	29293401	AT1G77890_and_AT1G77910	+
1	29597210	29597235	29597316	AT1G78690	+
1	29792210	29792228	29792309	AT1G79190	+
1	29816190	29816515	29816607	AT1G79270	+
1	29816510	29816515	29816607	AT1G79270	+
1	30411603	30411680	30411749	AT1G80940	+
1	3503370	3503374	3503004	AT1G10590	-
1	3568316	3568324	3567965	AT1G10740	-
1	4615978	4616059	4616428	AT1G13460	+
1	5164532	5164537	5164347	AT1G14970	-
1	5323153	5323158	5322960	AT1G15490	-
1	5744112	5744139	5743829	AT1G16780_and_AT1G16800	-
1	5848200	5848212	5848119	AT1G17110	-
1	6504071	6504081	6503950	AT1G18840	-
1	6550669	6550681	6550763	AT1G18950	+
1	6952306	6952309	6952224	AT1G20060	-
1	8028015	8028059	8028132	AT1G22690	+
1	813581	813604	813929	AT1G03310	+
