chr	A5SS1	A5SS2	A3SS	gene	strand	diff
1	8571	8594	8464	AT1G01020	-	0.4831529104
1	274167	274171	274083	AT1G01740	-	0.4513898
1	2498480	2498484	2497998	AT1G08040	-	-0.2919159315
1	2925688	2925712	2925248	AT1G09060	-	0.1857330901
1	3503370	3503374	3503004	AT1G10590	-	0.1526526001
1	3568316	3568324	3567965	AT1G10740	-	-0.3624001276
1	5164532	5164537	5164347	AT1G14970	-	-0.3606305875
1	5744112	5744139	5743829	AT1G16780_and_AT1G16800	-	0.3841958062
1	5848200	5848212	5848119	AT1G17110	-	-0.1340927325
1	6504071	6504081	6503950	AT1G18840	-	-0.1860495672
1	6952306	6952309	6952224	AT1G20060	-	0.5736600122
1	8182206	8182218	8182128	AT1G23080	-	-0.4502530475
1	8556140	8556145	8555849	AT1G24160	-	-0.0711349716
1	9303845	9303909	9303439	AT1G26850	-	0.0747633111
1	10642748	10642754	10642673	AT1G30240	-	0.2223541271
1	11295991	11296000	11295912	AT1G31550	-	0.2245433127
1	12400965	12400986	12400883	AT1G34065	-	-0.2380164084
1	18496922	18497084	18496750	AT1G49950	-	-0.6600236531
1	18497084	18497129	18496750	AT1G49950	-	0.2322028529
1	19888229	19888305	19888088	AT1G53310	-	-0.0742824375
1	19916381	19916408	19915959	AT1G53380	-	0.2626702538
1	20030944	20030962	20030667	AT1G53650	-	0.1540440777
1	20173743	20173853	20171987	AT1G54040	-	0.2405397772
1	20245243	20245401	20245059	AT1G54217	-	1
1	25908565	25908569	25908380	AT1G68910	-	-0.1319917917
1	26051792	26052555	26051565	AT1G69295	-	0.0654297735
1	26536604	26537404	26536517	AT1G70410	-	0.0360968132
1	27381147	27381165	27380901	AT1G72740	-	0.1738768925
1	27514351	27514355	27514268	AT1G73170	-	0.1905307742
1	27594495	27594499	27594166	AT1G73390	-	0.3339742769
1	29938043	29938062	29937648	AT1G79570	-	-0.1500615976
1	30105341	30105377	30105250	AT1G80030_and_AT1G80040	-	0.1539513461
1	30210762	30210791	30210671	AT1G80360	-	0.1870006241
2	182005	182017	181847	AT2G01420	-	-0.3571709625
2	520977	520981	520660	AT2G02080	-	-0.6120559816
2	7339134	7339145	7338827	AT2G16920	-	-0.1505762314
2	8838518	8838524	8838439	AT2G20500_and_AT2G20510	-	-1
2	10112886	10112996	10112778	AT2G23760	-	0.1605808039
2	14725545	14725584	14725183	AT2G34900	-	-0.2138195904
2	16033727	16033742	16033654	AT2G38280	-	-0.1497590714
2	16220826	16220910	16220681	AT2G38810	-	0.1830826926
2	16571180	16571191	16571066	AT2G39730	-	-0.251396423
2	18058045	18058057	18057937	AT2G43490	-	0.3395493203
3	101514	101532	101356	AT3G01310	-	-0.2275763141
3	128880	128892	128483	AT3G01340	-	0.0840491287
3	448168	448198	448000	AT3G02260	-	-0.2373423071
3	2244597	2244757	2244505	AT3G07090	-	0.1261132189
3	2326719	2326725	2326220	AT3G07300	-	-0.2752183953
3	2394568	2394574	2394486	AT3G07510	-	0.3600233865
3	3170842	3170892	3170449	AT3G10250	-	-0.2843929033
3	4220273	4220289	4220100	AT3G13120	-	0.0451936491
3	4692927	4692931	4692688	AT3G14150	-	0.4034118993
3	7006706	7006734	7006635	AT3G20070	-	0.3056338617
3	7548863	7548875	7548778	AT3G21430	-	-0.1420523186
3	17248518	17248615	17248395	AT3G46830	-	-0.0963203432
3	19495266	19495269	19495028	AT3G52560	-	0.0957855805
3	20807852	20808025	20807523	AT3G56070	-	-0.1192529028
3	21114162	21114207	21114059	AT3G57050	-	0.1886867571
3	21935804	21935812	21935624	AT3G59360	-	-0.3444619836
3	23434944	23434950	23434825	AT3G63460	-	0.3863730251
3	23442678	23442690	23442601	AT3G63480	-	-0.7631915639
4	347083	347169	346962	AT4G00810	-	0.0306780695
4	798199	798203	797488	AT4G01850	-	-0.0459340077
4	1046730	1046734	1046633	AT4G02380	-	0.1540650545
4	6249105	6249116	6248662	AT4G09980	-	-0.4145428306
4	6722029	6722138	6721885	AT4G10970	-	-0.2015279055
4	7892747	7892949	7892648	AT4G13575	-	0.1209970046
4	9685903	9685977	9685454	AT4G17310	-	0.6442535555
4	9785984	9785996	9785903	AT4G17570	-	-0.5635815132
4	11196284	11196332	11196171	AT4G20920	-	-1
4	11719691	11719710	11719164	AT4G22120	-	0.42028664
4	11945867	11945891	11945580	AT4G22740	-	-0.1555375992
4	13346388	13346405	13346067	AT4G26400	-	-0.2878146618
4	13435596	13435652	13434925	AT4G26630	-	0.1117598104
4	13937258	13937285	13936536	AT4G28025	-	0.1073016221
4	15155467	15155576	15155118	AT4G31170	-	-0.2085885235
4	15879538	15879546	15879418	AT4G32900	-	-0.1274844
4	18561989	18561993	18561884	AT4G40050	-	-0.3654910974
5	248876	248980	248443	AT5G01660	-	-0.4285980165
5	2055286	2055367	2055047	AT5G06670	-	-0.4382775492
5	3249928	3249958	3249837	AT5G10330	-	0.63845435
5	3452076	3452085	3451575	AT5G10940	-	0.1402023073
5	4786481	4786485	4786378	AT5G14800	-	0.0689618812
5	6196327	6196336	6196207	AT5G18620	-	-0.3593029906
5	8807669	8807680	8807555	AT5G25370	-	0.7147357363
5	13525621	13525642	13525279	AT5G35330	-	0.2350548509
5	17220362	17220386	17219258	AT5G42940	-	0.1521845392
5	17843415	17843433	17843307	AT5G44290	-	0.1606585688
5	17843433	17843577	17843307	AT5G44290	-	-0.1267972806
5	18967803	18967823	18967717	AT5G46740	-	0.3995714807
5	19240431	19240802	19240164	AT5G47430	-	-0.4786610105
5	19530155	19530217	19529838	AT5G48160	-	0.1007420638
5	19816923	19817773	19816805	AT5G48880	-	0.1635511252
5	22772602	22772802	22771986	AT5G56250	-	0.1335423437
5	24604075	24604081	24603983	AT5G61150	-	0.2015948525
5	24640438	24640458	24640293	AT5G61270	-	-0.1969202141
5	24654770	24654845	24653752	AT5G61300_and_AT5G61310	-	0.2960916895
5	24938920	24939073	24938622	AT5G62090	-	0.1222600373
1	813581	813604	813929	AT1G03310	+	-0.4507000005
1	1198637	1198681	1198788	AT1G04430	+	-0.2678312032
1	2048186	2048190	2048297	AT1G06670_and_AT1G06680	+	0.0652336055
1	2379729	2379798	2380104	AT1G07700	+	0.2406670585
1	2712985	2713010	2713096	AT1G08570	+	-0.1146871445
1	4615978	4616059	4616428	AT1G13460	+	0.1872829852
1	6550669	6550681	6550763	AT1G18950	+	-0.6217520006
1	8090353	8090357	8090460	AT1G22860_and_AT1G22870	+	-0.2505888182
1	8768808	8768836	8768903	AT1G24793_and_AT1G24800	+	0.2549810674
1	9086897	9087046	9087153	AT1G26260	+	-0.8403957521
1	10134536	10134581	10134686	AT1G29040_and_AT1G29041	+	-0.1507941228
1	10134777	10134797	10135051	AT1G29040_and_AT1G29041	+	0.1822884359
1	10741080	10741089	10741237	AT1G30410	+	0.1918839297
1	10887827	10887850	10888276	AT1G30690	+	-0.0573009336
1	13078915	13078929	13079305	AT1G35515_and_AT1G35516	+	-0.2243494542
1	18606757	18606816	18607037	AT1G50240	+	-0.2866902356
1	20274535	20274561	20274642	AT1G54310	+	-0.2243770189
1	20516178	20516205	20516272	AT1G55000	+	0.1798662445
1	20722292	20722308	20722394	AT1G55500	+	-0.2166800096
1	21024796	21025011	21025105	AT1G56170	+	-0.0880978989
1	21732791	21732803	21733418	AT1G58520_locus2	+	0.3296035237
1	22046226	22046241	22046502	AT1G59890	+	0.2650869857
1	23154534	23154588	23154664	AT1G62540	+	0.2780300624
1	25375712	25375726	25375804	AT1G67700	+	-0.2757009132
1	25494836	25494839	25494908	AT1G68010	+	0.0935781594
1	25866864	25866882	25866962	AT1G68820	+	-0.2839293888
1	26622786	26622797	26622941	AT1G70610	+	-0.222148023
1	27439930	27439973	27440072	AT1G72930	+	-0.1258715668
1	28107927	28107935	28108395	AT1G74810	+	0.5473851859
1	29293272	29293278	29293401	AT1G77890_and_AT1G77910	+	0.4820953445
1	29597210	29597235	29597316	AT1G78690	+	-0.4261959545
1	29792210	29792228	29792309	AT1G79190	+	-0.4199774551
1	29815873	29816515	29816607	AT1G79270	+	-0.6381422853
1	29816190	29816515	29816607	AT1G79270	+	-0.1302061216
1	29816510	29816515	29816607	AT1G79270	+	-0.5430984206
1	30411603	30411680	30411749	AT1G80940	+	-0.1009765213
2	1646031	1646066	1646155	AT2G04690	+	-0.1680687544
2	1679886	1679909	1680015	AT2G04790	+	0.2532934905
2	7341210	7341247	7341489	AT2G16930	+	-0.3201131551
2	7606823	7606870	7606944	AT2G17500	+	0.5075756794
2	8584261	8584264	8584469	AT2G19880	+	0.1470124365
2	9789746	9789750	9789845	AT2G22990	+	-0.0834878241
2	11316613	11316793	11316999	AT2G26600	+	-0.1335525819
2	11650691	11650729	11650817	AT2G27230	+	-0.1157513954
2	13037114	13037249	13037382	AT2G30600	+	0.3210047044
2	13729206	13729242	13729567	AT2G32320	+	-0.3407541667
2	13791979	13792018	13792155	AT2G32487	+	-0.2284711261
2	14709808	14709812	14709931	AT2G34860	+	0.0657788317
2	17622374	17622378	17623441	AT2G42300	+	0.1676537498
2	19002161	19002230	19002322	AT2G46270	+	-0.4039033062
2	19537255	19537260	19537350	AT2G47640	+	-0.097561834
2	19663657	19663669	19663747	AT2G48070	+	0.0710985996
3	53911	53958	54129	AT3G01150	+	-0.2143121574
3	288738	288937	289170	AT3G01810	+	0.2264079016
3	1355275	1355277	1355718	AT3G04910	+	0.108459688
3	1539728	1539763	1540550	AT3G05380	+	0.4686773711
3	1944682	1944688	1944770	AT3G06400	+	-0.1152138573
3	2641225	2641365	2641468	AT3G08690	+	-0.1115991301
3	4185358	4185382	4185464	AT3G13062_and_AT3G13065	+	-0.2319520091
3	4636597	4636611	4637143	AT3G14010	+	-0.1501135803
3	4638932	4638938	4639007	AT3G14010	+	0.168899849
3	5939108	5939132	5939203	AT3G17360	+	-0.3535303603
3	5940644	5940671	5940805	AT3G17360	+	-0.276457978
3	6748904	6748909	6748991	AT3G19460	+	0.3446487625
3	6903989	6904068	6904568	AT3G19860	+	-0.1143602452
3	7423328	7423334	7423408	AT3G21175	+	0.2980766083
3	15987551	15987742	15987932	AT3G44310	+	-0.1489890745
3	19087537	19087543	19087628	AT3G51430	+	-0.1387843083
3	19608116	19608279	19609031	AT3G52890	+	-0.2039579104
3	23053581	23053586	23053671	AT3G62290	+	-0.3621376789
4	693500	693515	693613	AT4G01600	+	0.2831048257
4	2122895	2123117	2123194	AT4G04340	+	0.0721157988
4	6308816	6308849	6309085	AT4G10100	+	-0.2353720816
4	6308832	6308849	6309085	AT4G10100	+	-0.2378428676
4	6972847	6972871	6972925	AT4G11480	+	-1
4	8552747	8552769	8552924	AT4G14965	+	0.2321128071
4	8614273	8614344	8614693	AT4G15090	+	-0.4554960873
4	9638820	9638824	9638926	AT4G17150	+	-0.2843816286
4	12426711	12426729	12427055	AT4G23910	+	0.493785822
4	12647524	12647548	12647609	AT4G24470	+	0.269789022
4	13539828	13539832	13540218	AT4G26965	+	-0.5302885976
4	15156073	15156078	15156669	AT4G31180	+	-0.1226656732
4	15212726	15212741	15213049	AT4G31350	+	-0.1779383016
4	15410870	15410884	15410968	AT4G31870	+	0.0724800497
4	15609106	15609117	15609790	AT4G32330	+	-0.1456394291
4	16839702	16839746	16839845	AT4G35450	+	-0.0771206068
4	18151101	18151113	18151189	AT4G38930	+	-0.1083564291
4	18315838	18315860	18316263	AT4G39390	+	-0.3253641741
5	2317386	2317410	2317474	AT5G07340	+	0.0827976379
5	3740877	3740942	3741504	AT5G11630_and_AT5G11640	+	0.3762786177
5	4577465	4577467	4577555	AT5G14200	+	0.0761328608
5	6776343	6776441	6776735	AT5G20060	+	0.6478177149
5	7650681	7650710	7651266	AT5G22875	+	-0.1018075031
5	9194101	9194106	9194278	AT5G26240	+	-0.3151649856
5	9480770	9480786	9481353	AT5G26940	+	0.3333333333
5	15065479	15065512	15065605	AT5G37850	+	0.310312935
5	16228022	16228049	16228120	AT5G40500	+	0.1650555218
5	16472117	16472138	16472222	AT5G41140	+	-0.0980740494
5	17699285	17699345	17699458	AT5G43990	+	-0.5441522438
5	18056573	18056585	18056668	AT5G44750	+	0.3925685282
5	22687045	22687132	22687351	AT5G56030	+	0.0345494097
5	24288720	24288724	24289224	AT5G60390	+	0.0367282042
5	24850426	24850431	24850548	AT5G61880	+	-0.2875851957
5	25345802	25345811	25346145	AT5G63190	+	0.1625966672
1	8571	8594	8464	AT1G01020	-	0.3862512272
1	276623	276706	276519	AT1G04053_and_AT1G01760	-	0.2063314629
1	1157546	1157651	1157139	AT1G04310	-	-0.1155630255
1	2498480	2498484	2497998	AT1G08040	-	-0.3240991865
1	2925688	2925712	2925248	AT1G09060	-	0.1849451694
1	3503370	3503374	3503004	AT1G10590	-	0.1308295915
1	3568316	3568324	3567965	AT1G10740	-	0.1870593615
1	3822018	3822147	3821795	AT1G11360	-	-0.2647840264
1	3822147	3822164	3821795	AT1G11360	-	0.1136843396
1	4921459	4921468	4920804	AT1G14380	-	-0.1677475655
1	5164532	5164537	5164347	AT1G14970	-	-0.4110862053
1	5323153	5323158	5322960	AT1G15490	-	-0.4228459379
1	5744112	5744139	5743829	AT1G16780_and_AT1G16800	-	0.4616165065
1	5848200	5848212	5848119	AT1G17110	-	-0.1226002688
1	6025505	6025523	6025378	AT1G17520	-	0.1818092729
1	6504071	6504081	6503950	AT1G18840	-	-0.2026668653
1	8182206	8182218	8182128	AT1G23080	-	-0.4583543155
1	8556140	8556145	8555849	AT1G24160	-	-0.1238748097
1	9303845	9303909	9303439	AT1G26850	-	0.1014520978
1	18496922	18497084	18496750	AT1G49950	-	-0.2715838921
1	18497084	18497129	18496750	AT1G49950	-	0.1889198263
1	18631542	18631558	18631447	AT1G50300	-	0.1092081709
1	19250291	19250605	19250211	AT1G51840	-	-0.2368572255
1	19261398	19261733	19261293	AT1G51860	-	0.1196336081
1	19640086	19640093	19640016	AT1G52710	-	0.1038805808
1	19842634	19842651	19842517	AT1G53200	-	-0.1704517946
1	19888229	19888305	19888088	AT1G53310	-	-0.1122773098
1	20030944	20030962	20030667	AT1G53650	-	0.1520548239
1	21311413	21311441	21311221	AT1G57540	-	-0.1079712891
1	22474630	22474930	22474547	AT1G61010	-	-0.1627119318
1	25908565	25908569	25908380	AT1G68910	-	-0.1456700094
1	26536604	26537404	26536517	AT1G70410	-	0.1172890073
1	27381147	27381165	27380901	AT1G72740	-	0.1883408038
1	27514351	27514355	27514268	AT1G73170	-	0.1416413772
1	27594495	27594499	27594166	AT1G73390	-	0.2764097798
1	29991804	29991834	29990825	AT1G79700	-	-0.0744333342
2	182005	182017	181847	AT2G01420	-	-0.3495297986
2	520977	520981	520660	AT2G02080	-	-0.5127818722
2	698326	698340	698191	AT2G02570	-	-0.1528564367
2	5556205	5556393	5555626	AT2G13370	-	0.1549169517
2	9848940	9849104	9848769	AT2G23140	-	0.1994428587
2	11314985	11315020	11314742	AT2G26590	-	0.1208779083
2	11617176	11617306	11617091	AT2G27170	-	-0.1525373133
2	12675644	12675699	12675568	AT2G29650	-	0.106171024
2	14725545	14725584	14725183	AT2G34900	-	-0.087292538
2	15143475	15143478	15143351	AT2G36060	-	0.0839858808
2	16033727	16033742	16033654	AT2G38280	-	-0.2296554345
2	16571180	16571191	16571066	AT2G39730	-	-0.2517537881
2	17345988	17345993	17345768	AT2G41600	-	0.1587173017
2	18058045	18058057	18057937	AT2G43490	-	0.3494628573
2	18304071	18304130	18303985	AT2G44280	-	0.5734094382
2	19137831	19138387	19137681	AT2G46610	-	-0.249581488
3	101514	101532	101356	AT3G01310	-	-0.257441359
3	128880	128892	128483	AT3G01340	-	0.0849181851
3	448168	448198	448000	AT3G02260	-	-0.1169178825
3	604235	604434	603856	AT3G02780	-	-0.0497195516
3	1062361	1062409	1062130	AT3G04070	-	0.1587862847
3	1642849	1642890	1642265	AT3G05640	-	0.2683343373
3	2326719	2326725	2326220	AT3G07300	-	-0.2831775715
3	2394568	2394574	2394486	AT3G07510	-	0.3350337997
3	4220273	4220289	4220100	AT3G13120	-	0.0744859753
3	4692927	4692931	4692688	AT3G14150	-	0.3524326642
3	4738700	4738712	4738454	AT3G14230	-	-0.0327420223
3	7006706	7006734	7006635	AT3G20070	-	0.4398710964
3	7548863	7548875	7548778	AT3G21430	-	-0.1581469522
3	8734242	8734318	8734142	AT3G24170_and_AT3G24180	-	-0.131921875
3	8877375	8877381	8877297	AT3G24440	-	0.1234557208
3	9910873	9911368	9910792	AT3G26890_and_AT3G26900	-	-0.4979887654
3	9910873	9911415	9910792	AT3G26890_and_AT3G26900	-	-0.2008523583
3	9911368	9911415	9910792	AT3G26890_and_AT3G26900	-	0.1836327251
3	9911368	9911607	9910792	AT3G26890_and_AT3G26900	-	0.2977452408
3	11978927	11979358	11978842	AT3G30390	-	-0.0948414205
3	16861262	16861409	16860980	AT3G45850	-	-0.095272396
3	17248518	17248615	17248395	AT3G46830	-	-0.1739192125
3	19247436	19247457	19247333	AT3G51880	-	-0.0733052677
3	19495266	19495269	19495028	AT3G52560	-	0.090847997
3	20178158	20178161	20178064	AT3G54500	-	0.0962115668
3	21114162	21114207	21114059	AT3G57050	-	0.2041625996
3	21935804	21935812	21935624	AT3G59360	-	-0.3488328027
3	23434944	23434950	23434825	AT3G63460	-	0.4354928643
3	23442678	23442690	23442601	AT3G63480	-	-0.5217846077
4	1559145	1559253	1558668	AT4G03505_and_AT4G03510	-	-0.0642496995
4	6249105	6249116	6248662	AT4G09980	-	-0.4144532977
4	6722029	6722138	6721885	AT4G10970	-	-0.1738739225
4	9785984	9785996	9785903	AT4G17570	-	-0.5120605804
4	12567238	12567251	12567144	AT4G24230	-	0.1497834637
4	13346388	13346405	13346067	AT4G26400	-	-0.4412861039
4	13435596	13435652	13434925	AT4G26630	-	0.1270019899
4	13937258	13937285	13936536	AT4G28025	-	0.1002134677
4	15155467	15155576	15155118	AT4G31170	-	-0.1523244638
4	15831932	15832118	15831782	AT4G32820	-	0.2198003018
4	15879538	15879546	15879418	AT4G32900	-	-0.2332118017
4	17974505	17974519	17974419	AT4G38380	-	-0.4773913459
4	18014903	18014960	18014796	AT4G38510	-	0.1589918453
4	18561989	18561993	18561884	AT4G40050	-	-0.4056264065
5	1500326	1500605	1500083	AT5G05080	-	-0.3567522888
5	1500597	1500605	1500083	AT5G05080	-	-0.1325330166
5	3452076	3452085	3451575	AT5G10940	-	0.2633776229
5	5466415	5466421	5466335	AT5G16660_and_AT5G16680	-	0.0430458645
5	6196327	6196336	6196207	AT5G18620	-	-0.6212469963
5	8982082	8982088	8981988	AT5G25800	-	0.1396964793
5	9288485	9288511	9288214	AT5G26742	-	0.0350626745
5	13525621	13525642	13525279	AT5G35330	-	0.2040284093
5	14975878	14975902	14975574	AT5G37690	-	0.285827461
5	17187282	17187297	17187201	AT5G42870	-	0.1079366263
5	17220362	17220386	17219258	AT5G42940	-	0.1224710115
