chr	A5SS	A3SS	gene	strand	diff
1	965888	965823	AT1G03830	-	-0.3242384895
1	22474669	22474630	AT1G61010	-	-0.2811986271
1	24966646	24966623	AT1G66920	-	-0.3089123944
3	2650896	2650722	AT3G08720	-	0.4062992943
4	9685710	9685666	AT4G17310	-	-0.8709242947
4	9686024	9685903	AT4G17310	-	0.7077186442
4	11200611	11200523	AT4G20930	-	0.1638871016
4	18235898	18235831	AT4G39150	-	-0.0796740711
5	4454360	4454310	AT5G13800	-	-0.1513607984
5	17843493	17843433	AT5G44290	-	-0.2048853722
5	19240609	19240431	AT5G47430	-	-0.2261898516
5	19817029	19816923	AT5G48880	-	0.3087091101
5	19817121	19816923	AT5G48880	-	0.3611069734
5	20535634	20535596	AT5G50430	-	-0.2010098608
5	21863700	21863653	AT5G53850	-	0.1802042444
5	25414448	25414413	AT5G63460	-	0.2133715025
1	2535570	2535585	AT1G08110	+	0.0950315163
2	11136246	11136276	AT2G26150	+	-0.3482039517
2	13036996	13037284	AT2G30600	+	0.2866991514
3	52645	52746	AT3G01150	+	-0.1719973633
3	8323099	8323170	AT3G23280	+	0.1220376502
3	20962362	20962379	AT3G56580	+	0.2340014685
4	13445449	13445563	AT4G26650	+	-0.1195836072
5	575721	575792	AT5G02560	+	-0.2751361712
5	7245617	7245685	AT5G21930	+	-0.1003217639
5	21721957	21722013	AT5G53486	+	-0.1886355427
1	22474669	22474630	AT1G61010	-	-0.2704104251
2	17335630	17335576	AT2G41560	-	0.0635202964
3	9910944	9910873	AT3G26890_and_AT3G26900	-	-0.2502213849
4	12756934	12756745	AT4G24740	-	0.1338486645
4	18014975	18014960	AT4G38510	-	-0.1030389577
5	1639551	1639454	AT5G05550	-	-0.1503655763
5	5381886	5381829	AT5G16480	-	0.0783564052
5	17843493	17843433	AT5G44290	-	-0.1628847573
5	21863700	21863653	AT5G53850	-	0.1200077237
5	25414448	25414413	AT5G63460	-	0.1962599506
5	25775354	25775306	AT5G64460	-	-0.1560535894
1	741148	741207	AT1G03090	+	-0.0298536788
1	17331228	17331277	AT1G47278	+	0.162537661
1	20874058	20874086	AT1G55840	+	0.085544137
1	25753368	25753422	AT1G68580	+	-0.1167229095
2	18866314	18866503	AT2G45830	+	0.4843107257
3	52645	52746	AT3G01150	+	-0.126678824
3	8323099	8323170	AT3G23280	+	0.0858432734
5	17843493	17843433	AT5G44290	-	-0.2454512607
5	19817029	19816923	AT5G48880	-	-0.1852575437
5	19817121	19816923	AT5G48880	-	-0.2144699675
1	741148	741207	AT1G03090	+	-0.1555550759
1	2535570	2535585	AT1G08110	+	0.1103773962
1	20874058	20874086	AT1G55840	+	0.1873108365
3	8323099	8323170	AT3G23280	+	0.0912495569
4	13445449	13445563	AT4G26650	+	-0.1147657731
5	2871648	2871691	AT5G09230	+	-0.2187648468
5	21648478	21648820	AT5G53360	+	0.2848429735
5	23798052	23798099	AT5G58940	+	-0.4904463338
1	8380226	8380110	AT1G23700	-	1
1	8973837	8973807	AT1G25540	-	0.2585082872
1	10131135	10131070	AT1G29030	-	-0.3534884482
2	10044929	10044795	AT2G23610	-	-0.1372771436
3	4535509	4535501	AT3G13790	-	-0.4059714902
3	6406983	6406894	AT3G18610	-	-1
3	19324542	19324459	AT3G52110	-	-0.4127842756
4	7544954	7544935	AT4G12880	-	0.1204879321
4	11200611	11200523	AT4G20930	-	-0.3997437699
5	4454360	4454310	AT5G13800	-	-0.2305679206
5	15761123	15761062	AT5G39380	-	-1
1	11193962	11193980	AT1G31300	+	0.5288808071
1	11465575	11465660	AT1G31930	+	0.4134112792
1	29568265	29568324	AT1G78600	+	0.2053917705
4	1265134	1265163	AT4G02840	+	0.1768615467
4	13445449	13445563	AT4G26650	+	-0.1470969429
4	13667660	13667797	AT4G27290	+	-1
4	17084615	17084632	AT4G36105	+	1
4	18397218	18397243	AT4G39620	+	0.1643582084
