ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
82	AT5G48520		chr5	+	19663926	19663984	19663929	19663984	19663712	19663794	82	12,16	82,93	36,32	43,49	152	149	0.000129113581885	0.02091640026537	0.125,0.144	0.451,0.39	-0.286
628	AT4G02885		chr4	+	6666372	6666456	6666379	6666456	6665857	6666001	628	1,3	0,0	0,1	1,3	156	149	2.56713751097e-05	0.0072592409730934	1.0,1.0	0.0,0.241	0.879
918	AT1G72640		chr1	-	27346745	27346919	27346745	27346899	27347084	27347147	918	181,277	62,99	671,819	58,67	169	149	4.48649123252e-05	0.0092503291957776	0.72,0.712	0.911,0.915	-0.197
995	AT2G30740		chr2	+	13095593	13096492	13095636	13096492	13095322	13095484	995	8,18	15,29	27,45	7,8	192	149	1.93492058242e-06	0.0014627999603095	0.293,0.325	0.75,0.814	-0.473
1116	AT4G17310		chr4	-	9685185	9685710	9685185	9685454	9686443	9686616	1116	29,43	15,31	92,51	14,2	405	149	0.00018336908796	0.02599256821833	0.416,0.338	0.707,0.904	-0.428
1212	AT1G10590		chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1212	6,12	29,83	14,11	2,6	194	149	3.71619423134e-06	0.0021070821291697	0.137,0.1	0.843,0.585	-0.595
1220	AT5G07940		chr5	+	2534681	2534912	2534687	2534912	2534527	2534592	1220	52,47	0,5	62,51	26,20	155	149	0.000364748706146	0.0486617685611251	1.0,0.9	0.696,0.71	0.247
1338	AT1G27720		chr1	-	9646645	9646874	9646645	9646833	9647148	9647215	1338	0,0	1,2	4,4	0,2	190	149	1.56237809024e-05	0.0070869470173286	0.0,0.0	1.0,0.611	-0.805
1579	AT1G15280		chr1	+	5253545	5253751	5253548	5253751	5253287	5253387	1579	306,298	257,356	405,492	137,179	152	149	3.13649605539e-05	0.0072592409730934	0.539,0.451	0.743,0.729	-0.241
1594	AT3G01130		chr3	-	44426	45212	44426	45209	45311	45377	1594	0,3	2,5	2,1	0,0	152	149	0.00014481820339	0.021896512352568	0.0,0.37	1.0,1.0	-0.815
1693	AT2G39280		chr2	-	16403158	16403220	16403158	16403205	16403428	16403832	1693	30,65	24,47	51,48	6,8	164	149	8.42152406992e-05	0.0146923204542911	0.532,0.557	0.885,0.845	-0.321
1706	AT4G11900		chr4	-	7150629	7150942	7150629	7150780	7151059	7151297	1706	4,2	16,24	25,44	23,26	311	149	3.20072353311e-05	0.0072592409730934	0.107,0.038	0.342,0.448	-0.323
1750	AT4G03110		chr4	-	1377076	1377410	1377076	1377407	1377507	1377687	1750	226,288	120,162	364,390	57,71	152	149	5.44339854239e-05	0.0102880232451171	0.649,0.635	0.862,0.843	-0.211
1947	AT1G67040		chr1	-	25019104	25019709	25019104	25019703	25019778	25019908	1947	9,10	2,2	5,7	17,17	155	149	2.65842944094e-05	0.0072592409730934	0.812,0.828	0.22,0.284	0.568
2263	AT2G32700		chr2	+	13870116	13870261	13870122	13870261	13869710	13869938	2263	235,366	258,316	126,132	368,379	155	149	8.15441525193e-07	0.0009247106895688	0.467,0.527	0.248,0.251	0.247
2306	AT2G36360		chr2	-	15246646	15246762	15246646	15246743	15246849	15246886	2306	1,0	4,6	3,4	1,0	168	149	1.35786863642e-07	0.00030796460674	0.181,0.0	0.727,1.0	-0.773
2410	AT2G47640		chr2	+	19537859	19537937	19537862	19537937	19537504	19537529	2410	165,193	315,452	332,430	242,385	152	149	2.15141080658e-05	0.0072592409730934	0.339,0.295	0.574,0.523	-0.231
ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
66	AT5G44750		chr5	+	18056513	18056585	18056513	18056573	18056667	18056754	66	17,34	12,20	7,10	30,46	161	149	4.96311833387e-06	0.0002316608469368	0.567,0.611	0.178,0.167	0.416
