	groupID	featureID	Cai	Parker	Sun	Wang
0	AT1G78960	E006	19.1474332769469			
1	AT4G34840+AT4G34850	E020	18.5395581936574			
2	AT1G78960	E005	17.3787891259434			
3	AT1G78960	E003	17.3549326384286			
4	AT5G26730	E003	17.0573236032039			
5	AT2G09545+AT2G44798	E026	16.7118110601266	3.59009805601123	5.6082978725607	
6	AT5G43660	E004	-16.2698473514911			
7	AT4G34840+AT4G34850	E021	16.1156069784794			
8	AT4G31230	E011	15.79744267576			
9	AT1G78960	E004	15.7737471415016			
10	AT1G15060+AT1G15050	E008	15.7524388682543	2.90676483703274		
11	AT5G10100	E017	-15.6307481457901			
12	AT2G21070	E002	-15.6005831992892	-1.31573294855791		
13	AT4G31230	E007	15.4713696287081			
14	AT2G33980	E009	14.9892679535579			
15	AT5G18840+AT5G18850	E009	14.8851675312796			
16	AT2G20510+AT2G20500	E013	14.8184705776951			
17	AT1G12280+AT1G12290	E010	-14.5474382726266			
18	AT2G20510+AT2G20500	E014	14.5381569602519			
19	AT1G22280	E010	14.5288347578386			
20	AT5G58610	E011	14.4363081066139			
21	AT5G58610	E002	14.4215786607402			
22	AT2G20510+AT2G20500	E015	14.3756649914734			
23	AT1G23985+AT1G05843	E006	-14.2254700023556			
24	AT5G18840+AT5G18850	E010	14.0673725039024			
25	AT2G36360	E019	-14.0265502532483	-1.77921078490551		
26	AT4G27290	E007	-14.0030713753286			
27	AT3G09390	E005	13.8421873414161			
28	AT2G25090	E002	13.8020121854505			
29	AT1G36180	E004	13.6688773079768			
30	AT2G02370	E004	13.2789307226446	2.69657954743883	3.61073013113337	
31	AT3G26380	E012	13.2762058771225			
32	AT2G07213	E002	-13.2194949630125			
33	AT3G09330	E005	-13.217314811505			
34	AT1G19940	E010	13.1065143072553			
35	AT3G17365	E008	13.0022836000531			
36	AT3G03350	E001	12.9685227187203			
37	AT5G43810	E025	12.8432177797483			
38	AT1G56520	E007	-12.8216774635794			
39	AT1G09470	E012	12.6152969833179			
40	AT3G51940	E001	12.59627485163			
41	AT4G27860	E001	-12.5008300113961			
42	AT2G16485	E004	12.4465502224194			
43	AT5G47750+AT5G47760	E004	12.3956909511182			
44	AT5G25800	E012	-12.081475386497	-5.73870049446862		
45	AT5G14250	E014	11.8357712928912			
46	AT4G13970	E006	11.8092821742794	2.68027708255578		
47	AT1G01130	E002	11.4627224316114			
48	AT1G04850	E013	5.11779173178466			
49	AT4G34840+AT4G34850	E019	5.02794742336202			
50	AT3G14150	E018	-5.01966677621348	-2.27940092080407	-2.80755471347002	
51	AT4G37010+AT4G37000	E012	-4.99290597719542			
52	AT5G22800	E009	4.95836774436721			
53	AT3G03350	E002	4.66749810444446			
54	AT1G36180	E002	4.63748068982475	1.08054096055782		
55	AT1G73960	E026	-4.60181198885183			
56	AT1G22970+AT1G22980	E015	4.43672840189284			16.8889190571466
57	AT5G10320	E008	4.35273907301413	2.11098247875545		
58	AT1G49630	E022	4.34887788118132	2.15423714918045		
59	AT3G09090	E001	4.24030057003881			
60	AT4G32590	E010	4.23284980252757	2.13903535282978		
61	AT5G09410	E009	4.21052166344264	2.01487884854061		
62	AT5G18820	E010	4.12857375919525			
63	AT2G28940	E006	4.07610062848379			
