Name	Chr	Start	End	Strand	Symbol	Cai	Parker	Sun	Wang	average	
AT1G77080:28958311	1	28958311	28958333	+	MAF1		1.05113381577288	3.45581278343455		2.25347329960371	RI
AT1G77080:28955864	1	28955864	28958310	+	MAF1	1.3285766685551	1.08048633021708	1.74898677819714		1.38601659232311	RI
AT5G65050:25982600	5	25982600	25984680	+	AGL31	1.30353733842883	1.30951181658151	1.50778566252205		1.37361160584413	RI
AT1G28520:10029436	1	10029436	10029673	+	VOZ1	1.04898624549058	1.16824128927847			1.10861376738452	RI
AT2G28550:12226969	2	12226969	12227013	-	TOE1	1.14446335673337	0.910171503151837	1.05858367308821		1.03773951099114	SE
AT2G28550:12226862	2	12226862	12226968	-	TOE1	1.13724970163357	0.763306402924686			0.950278052279128	RI
AT2G28550:12227014	2	12227014	12227119	-	TOE1	1.00109868410106	0.755594810049477			0.878346747075269	RI
AT1G54440:20326957	1	20326957	20327359	+	RRP6L1	0.758302608636491	0.578434952468433	1.14407319448173		0.826936918528885	RI
AT3G04610:1254283	3	1254283	1254768	-	FLK	0.641369532304754	0.52053343746179	0.561965175489226		0.574622715085257	RI
AT3G59060:21829903	3	21829903	21829913	-	PIF5	0.454667474248096	0.684448387586419			0.569557930917257	A3
AT3G54500:20177691	3	20177691	20177704	-	LNK2	0.418030422333524	0.489080462072307			0.453555442202916	A3
AT3G46640:17185355	3	17185355	17186959	+	LUX	0.51895649637925		-0.80808190962043		-0.14456270662059	RI
AT3G54500:20178158	3	20178158	20178160	-	LNK2	-0.224662277139139	-0.43423191966925			-0.329447098404194	A5
AT5G64960:25956088	5	25956088	25956185	+	CDKC2	-0.609067927698694	-0.70633573693862			-0.657701832318657	RI
AT2G21070:9040863	2	9040863	9041166	+	FIO1	-3.94188913926143	-0.835182029614118			-2.38853558443777	
