1	10029436	10029673	AT1G28520	E005	1.378860397	+	VOZ1	photoperiod
1	20326957	20327359	AT1G54440	E018	1.219244052	+	RRPL1	autonomous
1	28955864	28958310	AT1G77080	E007	2.020033908	+	FLM	temperature, vernalization
1	28958311	28958333	AT1G77080	E008	3.152562577	+	FLM	temperature, vernalization
1	28958602	28958663	AT1G77080	E011	-0.290660306	+	FLM	temperature, vernalization
1	28958664	28958744	AT1G77080	E012	0.5576253419	+	FLM	temperature, vernalization
1	28959372	28959577	AT1G77080	E019	0.847150244	+	FLM	temperature, vernalization
1	28959628	28959743	AT1G77080	E021	0.5736030086	+	FLM	temperature, vernalization
1	29557884	29559555	AT1G78580	E021	0.9181623291	-	TPS1	sugar
2	9040863	9041166	AT2G21070	E002	-8.458158074	+	FIO1	circadian
2	12226862	12226968	AT2G28550	E007	1.377172726	-	TOE1	vernalization
2	12226969	12227013	AT2G28550	E008	1.512733644	-	TOE1	vernalization
2	12227014	12227119	AT2G28550	E009	1.390855922	-	TOE1	vernalization
3	36950	37138	AT3G01090+AT3G01100	E027	0.6792890343	-	KIN10, HYP1	
3	1254283	1254768	AT3G04610	E009	0.9110630453	-	FLK	autonomous
3	9833604	9833785	AT3G26744	E008	1.24034428	-	ICE1	vernalization
3	17185355	17186959	AT3G46640	E009	-0.313609532	+	LUX	circadian
3	20177691	20177704	AT3G54500	E010	0.6599478943	-	LNK2	circadian
3	20177705	20177934	AT3G54500	E011	-0.7300615214	-	LNK2	circadian
3	20178158	20178160	AT3G54500	E014	-0.4754000842	-	LNK2	circadian
3	20178941	20178982	AT3G54500	E019	-0.6174312894	-	LNK2	circadian
3	21829903	21829913	AT3G59060	E009	0.8041099189	-	PIF5	temperature
4	9477448	9477469	AT4G16845	E009	1.785443553	+	VRN2	vernalization
4	10046747	10047045	AT4G18140+AT4G18130	E010	-0.3504098543	-	SSP4b	
4	10047046	10047250	AT4G18140+AT4G18130	E011	-0.3340403201	-	SSP4b	
5	17800382	17800500	AT5G44190	E006	0.9086868357	+	GLK2	autonomous
5	25314104	25315505	AT5G63100+AT5G63110	E001	-0.2095956539	-	HDA6	vernalization
5	25982600	25984680	AT5G65050	E003	1.992295584	+	MAF2	vernalization, temperature
5	25989671	25989728	AT5G65060	E003	-0.7130573802	+	MAF3	vernalization
