Name	Chr	Start	End	Strand	Cai	Parker	Sun	Wang	average
AT3G23480+AT3G23470:8420427	3	8420427	8420495	+	1.82092838616856		3.28764384191076		2.5542861140396598
AT4G32590:15721808	4	15721808	15722015	+	2.51777952538887	2.1851284197169	2.42226903017531		2.37505899176036
AT1G77080:28958311	1	28958311	28958333	+		1.05113381577288	3.45581278343455		2.253473299603715
AT2G02370:621366	2	621366	621374	+		1.8605945913194	2.39886301517223		2.129728803245815
AT1G10840:3610174	1	3610174	3610289	-	2.07886592062	2.58795400589483	1.51857350677461		2.0617978110964796
AT1G66760:24902359	1	24902359	24902436	+		2.03902665098603	2.07819476401935		2.05861070750269
AT1G08900:2852604	1	2852604	2852715	+	2.20278860239068	2.29073810429165	1.51712420620664		2.0035503042963234
AT4G09980:6249105	4	6249105	6249115	-	2.28985162461587	1.8744973234397	1.66328904884861		1.9425459989680602
AT5G15270:4960734	5	4960734	4960847	+	2.1457955207892	1.94753478205106	1.63001265955475		1.9077809874650031
AT4G01960:852720	4	852720	852974	-	1.89305996432241	2.03664615173887	1.7601758612633		1.89662732577486
AT1G53490+AT1G07887:19963267	1	19963267	19964105	+		2.08283455368358	1.68089561745585	1.68017998913333	1.8146367200909201
AT3G03773:952867	3	952867	953062	+	1.13971817215374	2.23403182560106	2.06085838536216		1.8115361277056532
AT2G02080:520977	2	520977	520980	-	2.41730739441602	1.48369510056069	1.47821456922979		1.7930723547355
AT3G21175:7423762	3	7423762	7424132	+	1.73200936128266	1.58069420248354	1.68587110328563		1.6661915556839435
AT1G21170:7415873	1	7415873	7415924	+	1.47261797415632	1.35449339182253	2.1633167750918		1.66347604702355
AT5G53140:21548797	5	21548797	21549020	+	1.39245506811204	1.55978696535029	1.93305467751092		1.6284322369910835
AT5G63510:25424966	5	25424966	25425046	+	1.83154034031497	1.44805056233068	1.59427465086248		1.6246218511693769
AT5G49970:20332470	5	20332470	20332486	+	1.50373955627941	1.4092090293054	1.9527111825328		1.6218865893725367
AT5G64980:25963011	5	25963011	25963189	-	2.07917960169211	1.01772023745005	1.7213734942349		1.6060911111256866
AT5G59890:24122601	5	24122601	24122674	+		1.70093060455273	1.47733930580164		1.589134955177185
AT2G02790:790798	2	790798	790895	+	1.68456647868126	1.46570076698788	1.60825948169156		1.5861755757869
AT1G55490:20718831	1	20718831	20718847	-	1.47660193095444	1.63107419666347	1.54899232453468		1.5522228173841965
AT5G63700:25494408	5	25494408	25494577	-	1.30574545066651	1.70359572072485	1.63747900689459		1.5489400594286498
AT2G16930:7341211	2	7341211	7341247	+	1.9053408246049	1.33283156669634	1.39038897043263		1.5428537872446233
AT3G06160+AT3G06170:1866738	3	1866738	1866832	+	1.33373247680051		1.74690644338352		1.540319460092015
AT4G24730:12753644	4	12753644	12754010	-	1.35362813624383	1.48378942656199	1.64058851019789		1.4926686910012368
AT1G18950:6550670	1	6550670	6550681	+	1.22294482784257	1.07599022549201	2.11080532051679		1.469913457950457
AT3G45040:16473016	3	16473016	16473100	-	1.24307202886719	1.42488125856334	1.66459123438649		1.44418150727234
AT5G40810:16340260	5	16340260	16340588	+	1.57517353862496	1.66707977103505	1.07202965672618		1.4380943221287301
AT1G27900:9716399	1	9716399	9716537	-	1.14847287686655	1.74487367149049	1.39106949074974		1.4281386797022602
AT1G51720:19185666	1	19185666	19185849	+		1.33410542657034	1.486333038688		1.41021923262917
AT1G55490:20718886	1	20718886	20719068	-	1.05278503011967	1.81396509987802	1.31705530216889		1.3946018107221931
AT1G77080:28955864	1	28955864	28958310	+	1.3285766685551	1.08048633021708	1.74898677819714		1.3860165923231067
AT5G65050:25982600	5	25982600	25984680	+	1.30353733842883	1.30951181658151	1.50778566252205		1.37361160584413
AT3G06160+AT3G06170:1866932	3	1866932	1867192	+	1.44105428928954		1.28466546556126		1.3628598774254
AT4G31150:15144318	4	15144318	15144492	-	1.38435682948547	1.21974299714804	1.42483927757852		1.34297970140401
AT5G19390:6537140	5	6537140	6537432	+	1.04208297376046	1.50047409995393	1.47579193942436		1.33944967104625
AT1G55490:20718848	1	20718848	20718885	-	1.14709244046607	1.59168059084755	1.1603389744929		1.2997040019355068
