1	3488329	3488332	AT1G10570	3488329	3488332	0.2069846829	+	OTS2	autonomous	A5
3	1254282	1254769	AT3G04610	1254282	1254769	-0.1477454119	-	FLK	autonomous	RI
3	3769988	3769991	AT3G11910	3769988	3769991	-0.0685440957	-	UBP13	autonomous	A3
3	20178804	20178941	AT3G54500	20178804	20178941	-0.3702587463	-	LNK2	circadian	RI
3	21828302	21828308	AT3G59060	21828302	21828308	-0.05958005255	-	PIF5	temperature	A3
3	21829902	21829913	AT3G59060	21829902	21829913	-0.0756057958	-	PIF5	temperature	A3
3	22797937	22798054	AT3G61600	22797937	22798054	0.1014334146	+	LRB2	vernalization	RI
4	202292	202396	AT4G00450	202292	202396	0.3620960373	+	MED12	autonomous	RI
4	18218733	18218753	AT4G39100	18218733	18218753	-0.1313999948	-	SHL	autonomous	A3
5	640755	640889	AT5G02810	640755	640889	-0.1161330917	-	PRR7	circadian	RI
5	24604075	24604081	AT5G61150	24604075	24604081	0.2029224405	-	VIP4	vernalization	A5
