Name	Chr	Start	End	Strand	Cai	Parker	Sun	Wang	average
AT2G38710:16186904:16187273	2	16186904	16187273	-		0.7			0.7
AT3G14010:4638722:4638938	3	4638722	4638938	+	0.702	0.693	0.707	0.465	0.6417499999999999
AT1G16560:5668392:5668739	1	5668392	5668739	+	0.711	0.504	0.595		0.6033333333333333
AT1G20060:6952652:6952745	1	6952652	6952745	-	0.478	0.604		0.706	0.596
AT1G77890:29293206:29293278	1	29293206	29293278	+	0.486	0.57	0.597	0.652	0.57625
AT1G20060:6952305:6952398	1	6952305	6952398	-	0.602		0.572	0.428	0.5339999999999999
AT3G63460:23434943:23434986	3	23434943	23434986	-	0.347	0.423	0.439	0.4	0.40225
AT5G11630:3740758:3740942	5	3740758	3740942	+	0.336	0.411	0.494	0.334	0.39375000000000004
AT1G73390:27594494:27594551	1	27594494	27594551	-	0.4	0.377	0.371	0.375	0.38075000000000003
AT3G49500:18350490:18353673	3	18350490	18353673	-	0.416		-0.622	0.67	0.15466666666666667
AT1G16560:5668572:5669039	1	5668572	5669039	+	0.402	-0.463	-0.497		-0.18600000000000003
AT2G39730:16571179:16571472	2	16571179	16571472	-	-0.248	-0.25	-0.236	-0.19	-0.23099999999999998
AT3G49500:18350490:18353673	3	18350490	18353673	-	0.416		-0.622	-0.613	-0.27299999999999996
AT1G54440:20326797:20327518	1	20326797	20327518	+	-0.34	-0.285	-0.481	-0.282	-0.347
AT2G01420:182004:183764	2	182004	183764	-	-0.363	-0.348	-0.389	-0.295	-0.34875
AT4G40050:18561988:18562084	4	18561988	18562084	-	-0.383	-0.405	-0.479	-0.32	-0.39675
AT2G33540:14207913:14209192	2	14207913	14209192	-	-0.426	-0.393	-0.53		-0.44966666666666666
AT4G03440:1527056:1527628	4	1527056	1527628	-	-0.453	-0.401		-0.522	-0.4586666666666667
AT4G17570:9785983:9786364	4	9785983	9786364	-	-0.511	-0.507	-0.574	-0.329	-0.48025
AT2G25740:10980121:10980688	2	10980121	10980688	+	-0.42	-0.517	-0.507		-0.48133333333333334
AT1G23080:8182205:8183650	1	8182205	8183650	-	-0.491	-0.516	-0.559	-0.381	-0.48675000000000007
AT1G14970:5164277:5165139	1	5164277	5165139	-	-0.439	-0.376	-0.738		-0.5176666666666666
AT1G79190:29791575:29792228	1	29791575	29792228	+	-0.403	-0.652	-0.505		-0.52
AT5G63700:25494356:25494637	5	25494356	25494637	-	-0.509	-0.55	-0.553		-0.5373333333333333
AT4G01510:642942:643176	4	642942	643176	+	-0.508	-0.539	-0.59		-0.5456666666666666
AT1G18950:6550477:6550681	1	6550477	6550681	+	-0.635	-0.528	-0.568	-0.462	-0.54825
AT1G18950:6550477:6550681	1	6550477	6550681	+	-0.635	-0.533	-0.568	-0.462	-0.5495000000000001
AT2G03140:949989:950717	2	949989	950717	+	-0.663	-0.48	-0.543		-0.5619999999999999
AT1G79270:29815505:29816515	1	29815505	29816515	+	-0.519	-0.403		-0.764	-0.5619999999999999
AT2G35550:14929242:14929477	2	14929242	14929477	+	-0.48	-0.466	-0.751		-0.5656666666666667
AT1G70490:26565290:26565849	1	26565290	26565849	-	-0.752	-0.539	-0.424		-0.5716666666666667
AT1G79270:29815505:29816515	1	29815505	29816515	+	-0.556	-0.403		-0.764	-0.5743333333333334
AT1G18950:6550477:6550681	1	6550477	6550681	+	-0.635	-0.528	-0.745	-0.462	-0.5925
AT1G18950:6550477:6550681	1	6550477	6550681	+	-0.635	-0.533	-0.745	-0.462	-0.5937500000000001
AT3G23480:8420277:8420595	3	8420277	8420595	+	-0.586	-0.673			-0.6295
AT1G70490:26565301:26565849	1	26565301	26565849	-	-0.654	-0.65	-0.628		-0.644
AT1G10590:3502762:3503049	1	3502762	3503049	-		-0.576	-0.863		-0.7195
