Name	chr	start	end	strand	Symbol	Cai	Parker	Sun	Wang	average	
AT1G77080:E008	1	28958311	28958333	+	28958311: FLM	2.57759358327449	1.60710403193865	5.2729901157027		3.15256257697195	RI
AT1G77080:E007	1	28955864	28958310	+	28955864: FLM	1.92623014772505	1.61339017853859	2.52048139905928		2.02003390844097	RI
AT5G65050:E003	5	25982600	25984680	+	25982600: MAF2	1.88718757219756	1.91091109810249	2.17878808198111		1.99229558409372	RI
AT4G16845:E009	4	9477448	9477469	+	9477448: VRN2	2.42264668493741	1.14824042069027			1.78544355281384	A5
AT2G28550:E008	2	12226969	12227013	-	12226969: TOE1	1.6535116672909	1.33433364634545	1.55035561713336		1.5127336435899	SE
AT2G28550:E009	2	12227014	12227119	-	12227014: TOE1	1.4536246709658	1.095925675653	1.6230174207584		1.39085592245907	RI
AT1G28520:E005	1	10029436	10029673	+	10029436: VOZ1	1.51342361902768	1.68067028087601	0.942487292116984		1.37886039734022	RI
AT2G28550:E007	2	12226862	12226968	-	12226862: TOE1	1.64376700184263	1.11057844945618			1.3771727256494	A3
AT3G26744:E008	3	9833604	9833785	-	9833604: ICE1		0.621424346906155		1.85926421241313	1.24034427965964	RI
AT1G54440:E018	1	20326957	20327359	+	20326957: RRPL1	1.09693445381578	0.843298830494891	1.65776563083312	1.2789772928794	1.2192440520058	RI
AT1G78580:E021	1	29557884	29559555	-	29557884: TPS1	0.507385878906635	1.3289387792418			0.918162329074217	AF
AT3G04610:E009	3	1254283	1254768	-	1254283: FLK	0.93000610506962	0.778651006081152	0.795776124343392	1.13981894579845	0.911063045323153	RI
AT5G44190:E006	5	17800382	17800500	+	17800382: GLK2	1.12350169751566	0.693871973951269			0.908686835733464	RI
AT1G77080:E019	1	28959372	28959577	+	28959372: FLM		0.326158922767899		1.36814156524752	0.847150244007709	RI
AT3G59060:E009	3	21829903	21829913	-	21829903: PIF5	0.654238532190126	0.953981305566829			0.804109918878477	A3
AT3G01090+AT3G01100:E027	3	36950	37138	-	36950: KIN10, HYP1			0.603097958535026	0.755480110075186	0.679289034305106	SE
AT3G54500:E010	3	20177691	20177704	-	20177691: LNK2	0.62128990971741	0.698605878942283			0.659947894329846	A3
AT1G77080:E021	1	28959628	28959743	+	28959628: FLM	0.807833826348396	0.339372190942908			0.573603008645652	RI
AT1G77080:E012	1	28958664	28958744	+	28958664: FLM	0.813087554194676	0.302163129692746			0.557625341943711	RI
AT5G63100+AT5G63110:E001	5	25314104	25315505	-	25314104: HDA6	0.151301769327452		-0.570493077200277		-0.209595653936412	
AT1G77080:E011	1	28958602	28958663	+	28958602: FLM		-0.19419570469003	-0.387124907264108		-0.290660305977069	RI
AT3G46640:E009	3	17185355	17186959	+	17185355: LUX	0.713373015906843		-1.05331457382013	-0.600887038140358	-0.313609532017882	RI
AT4G18140+AT4G18130:E011	4	10047046	10047250	-	10047046: SSP4b	-0.889617000648608	0.221536360376851			-0.334040320135878	AL
AT4G18140+AT4G18130:E010	4	10046747	10047045	-	10046747: SSP4b	-0.969418489644205	0.268598780988805			-0.3504098543277	RI
AT3G54500:E014	3	20178158	20178160	-	20178158: LNK2	-0.307357388531534	-0.643442779921234			-0.475400084226384	A5
AT3G54500:E019	3	20178941	20178982	-	20178941: LNK2	-0.678815968454877	-0.556046610440061			-0.617431289447469	AF
AT5G65060:E003	5	25989671	25989728	+	25989671: MAF3		-0.762054889589146	-0.664059870835278		-0.713057380212212	SE
AT3G54500:E011	3	20177705	20177934	-	20177705: LNK2	-0.405297235239157	-1.05482580750521			-0.730061521372183	RI
AT2G21070:E002	2	9040863	9041166	+	9040863: FIO1	-15.6005831992892	-1.31573294855791			-8.45815807392355	
