Name	Chr	Start	End	Strand	Cai	Parker	Sun	Wang	average
AT2G38710:16186904:16187273	2	16186904	16187273	-		0.7			0.7
AT3G14010:4638722:4638938	3	4638722	4638938	+	0.702	0.693	0.707	0.465	0.6417499999999999
AT1G16560:5668392:5668739	1	5668392	5668739	+	0.711	0.504	0.595		0.6033333333333333
AT1G20060:6952652:6952745	1	6952652	6952745	-	0.478	0.604		0.706	0.596
AT1G77890:29293206:29293278	1	29293206	29293278	+	0.486	0.57	0.597	0.652	0.57625
AT1G20060:6952305:6952398	1	6952305	6952398	-	0.602		0.572	0.428	0.5339999999999999
AT5G37340:14789310:14789409	5	14789310	14789409	-		0.511	0.539		0.525
AT2G30480:12988669:12989016	2	12988669	12989016	-	0.308			0.708	0.508
AT3G05380:1539581:1539763	3	1539581	1539763	+		0.374	0.632		0.503
AT2G43500:18062530:18062599	2	18062530	18062599	+	0.395	0.592			0.4935
AT2G15000:6481827:6481989	2	6481827	6481989	-	0.443		0.438		0.4405
AT1G01020:8570:9130	1	8570	9130	-	0.455	0.356	0.492		0.4343333333333333
AT2G36792:15420064:15421504	2	15420064	15421504	+		0.386	0.473		0.4295
AT3G63340:23392347:23392402	3	23392347	23392402	-	0.395	0.448	0.438		0.427
AT3G20070:7006705:7006941	3	7006705	7006941	-	0.312	0.409	0.517		0.4126666666666667
AT1G05400:1584313:1584588	1	1584313	1584588	+		0.403	0.405		0.404
AT3G63460:23434943:23434986	3	23434943	23434986	-	0.347	0.423	0.439	0.4	0.40225
AT5G06265:1905778:1906766	5	1905778	1906766	+		0.32	0.474		0.397
AT5G11630:3740758:3740942	5	3740758	3740942	+	0.336	0.411	0.494	0.334	0.39375000000000004
AT3G11470:3611723:3611904	3	3611723	3611904	-	0.474	0.299			0.38649999999999995
AT5G44750:18056513:18056585	5	18056513	18056585	+		0.325	0.439		0.382
AT1G73390:27594494:27594551	1	27594494	27594551	-	0.4	0.377	0.371	0.375	0.38075000000000003
AT1G05230:1513824:1513920	1	1513824	1513920	-		0.385	0.339	0.409	0.37766666666666665
AT2G43490:18058044:18058198	2	18058044	18058198	-	0.381	0.415	0.327		0.37433333333333335
AT3G19460:6748758:6748909	3	6748758	6748909	+	0.308	0.292	0.458		0.3526666666666667
AT2G23985:10204801:10205693	2	10204801	10205693	+	0.445	0.24			0.3425
AT5G46740:18967802:18967923	5	18967802	18967923	-	0.337	0.323			0.33
AT1G05950:1804951:1805106	1	1804951	1805106	-	0.345	0.294			0.3195
AT2G04790:1679306:1679909	2	1679306	1679909	+	0.256	0.349	0.324		0.3096666666666667
AT3G21175:7423241:7423334	3	7423241	7423334	+	0.227	0.278		0.367	0.2906666666666667
AT1G59890:22046138:22046241	1	22046138	22046241	+	0.262	0.24	0.367		0.2896666666666667
AT5G35330:13525620:13525834	5	13525620	13525834	-	0.258	0.218	0.343		0.27299999999999996
AT1G07700:2379594:2379798	1	2379594	2379798	+	0.214		0.299		0.2565
AT1G02960:667150:667437	1	667150	667437	-	0.284	0.211			0.2475
AT5G37850:15065299:15065701	5	15065299	15065701	+	0.228	0.246	0.265		0.24633333333333332
AT4G14965:8552722:8552769	4	8552722	8552769	+	0.198			0.259	0.2285
AT5G37850:15065299:15065512	5	15065299	15065512	+	0.267	0.188			0.2275
AT3G26890:9908834:9909086	3	9908834	9909086	-		0.18	0.259		0.2195
AT4G33650:16164959:16165058	4	16164959	16165058	+		0.158		0.264	0.21100000000000002
AT5G61020:24558956:24559247	5	24558956	24559247	-	0.238	0.181			0.2095
AT3G57050:21114161:21114330	3	21114161	21114330	-	0.208	0.194	0.223		0.20833333333333334
AT3G54500:20178157:20178491	3	20178157	20178491	-	0.166	0.238			0.202
AT4G01600:693413:693515	4	693413	693515	+	0.162		0.23		0.196
AT1G72640:27347584:27347661	1	27347584	27347661	-	0.194	0.163	0.202		0.18633333333333332
AT5G44290:17843414:17843806	5	17843414	17843806	-	0.214	0.145			0.1795
AT1G47550:17462053:17462227	1	17462053	17462227	+		0.14	0.195		0.1675
AT3G49500:18350490:18353673	3	18350490	18353673	-	0.416		-0.622	0.67	0.15466666666666667
AT3G20070:7006577:7006941	3	7006577	7006941	-	-0.374	0.323	0.421		0.12333333333333334
AT4G23270:12173485:12174297	4	12173485	12174297	+			-0.359	0.545	0.09300000000000003
AT1G06710:2056632:2057043	1	2056632	2057043	-		0.526	-0.408		0.059000000000000025
AT5G48545:19677544:19677747	5	19677544	19677747	+	-0.177	-0.144			-0.16049999999999998
AT1G27770:9673280:9675363	1	9673280	9675363	-	-0.173	-0.159			-0.16599999999999998
AT1G70100:26405396:26405654	1	26405396	26405654	+	-0.179	-0.162			-0.17049999999999998
AT4G33625:16153264:16153833	4	16153264	16153833	-		-0.175	-0.178		-0.1765
AT1G68820:25866794:25866882	1	25866794	25866882	+	-0.197	-0.16			-0.1785
AT3G03773:952709:953091	3	952709	953091	+		-0.17	-0.189		-0.1795
AT1G54030:20168776:20169684	1	20168776	20169684	+		-0.183	-0.182		-0.1825
AT1G16560:5668572:5669039	1	5668572	5669039	+	0.402	-0.463	-0.497		-0.18600000000000003
AT4G24740:12754945:12755239	4	12754945	12755239	-	-0.199	-0.184	-0.197		-0.19333333333333336
AT4G34310:16418809:16419095	4	16418809	16419095	+		-0.191	-0.207		-0.199
AT1G70610:26622658:26622797	1	26622658	26622797	+	-0.189		-0.218		-0.20350000000000001
AT2G04690:1645913:1646066	2	1645913	1646066	+	-0.219	-0.168	-0.233		-0.20666666666666667
AT2G43920:18190253:18190691	2	18190253	18190691	-		-0.175	-0.242		-0.2085
AT3G09800:3007907:3008610	3	3007907	3008610	-		-0.193	-0.231		-0.21200000000000002
AT4G03110:1377076:1377410	4	1377076	1377410	-	-0.226	-0.204			-0.215
AT2G47640:19537859:19537937	2	19537859	19537937	+		-0.22	-0.211		-0.2155
AT2G25670:10930298:10931090	2	10930298	10931090	-	-0.236	-0.17	-0.263		-0.223
AT2G38280:16033726:16033835	2	16033726	16033835	-		-0.243	-0.213		-0.22799999999999998
AT2G39730:16571179:16571472	2	16571179	16571472	-	-0.248	-0.25	-0.236	-0.19	-0.23099999999999998
AT3G13970:4613905:4614124	3	4613905	4614124	-		-0.178	-0.293		-0.2355
AT3G09600:2948155:2948296	3	2948155	2948296	+	-0.225	-0.248			-0.2365
AT2G32250:13696222:13696486	2	13696222	13696486	+		-0.211	-0.269		-0.24
AT3G22190:7833428:7834135	3	7833428	7834135	-		-0.214	-0.28		-0.247
AT3G54500:20178713:20179027	3	20178713	20179027	-	-0.213	-0.288			-0.2505
AT3G22190:7833428:7834135	3	7833428	7834135	-		-0.223	-0.28		-0.2515
AT3G01310:101513:101660	3	101513	101660	-		-0.251	-0.254		-0.2525
AT2G32250:13696222:13696486	2	13696222	13696486	+		-0.238	-0.269		-0.2535
AT4G31150:15144188:15144609	4	15144188	15144609	-	-0.227	-0.259	-0.291		-0.25899999999999995
AT4G17150:9638738:9638824	4	9638738	9638824	+	-0.288	-0.205	-0.296		-0.26299999999999996
AT2G23980:10202597:10203193	2	10202597	10203193	-	-0.265	-0.219	-0.308		-0.264
AT1G67700:25375569:25375726	1	25375569	25375726	+	-0.267	-0.281	-0.248		-0.26533333333333337
AT1G13880:4749834:4751212	1	4749834	4751212	+		-0.232		-0.307	-0.2695
AT4G39390:18315544:18315860	4	18315544	18315860	+	-0.337	-0.206			-0.2715
AT3G49500:18350490:18353673	3	18350490	18353673	-	0.416		-0.622	-0.613	-0.27299999999999996
AT1G06960:2137066:2137838	1	2137066	2137838	+	-0.267	-0.283			-0.275
AT1G29040:10134504:10134621	1	10134504	10134621	+		-0.154	-0.411		-0.2825
AT5G10710:3382099:3382508	5	3382099	3382508	+	-0.295	-0.266	-0.298		-0.28633333333333333
AT2G04690:1645913:1646443	2	1645913	1646443	+	-0.338	-0.262	-0.266		-0.2886666666666667
AT4G08980:5758019:5759303	4	5758019	5759303	+	-0.26	-0.295	-0.313		-0.2893333333333333
AT1G12750:4347423:4348390	1	4347423	4348390	-	-0.318	-0.262			-0.29000000000000004
AT1G27900:9716178:9716607	1	9716178	9716607	-	-0.245	-0.332	-0.309		-0.2953333333333333
AT5G26680:9311445:9312304	5	9311445	9312304	-		-0.24	-0.352		-0.296
AT1G23360:8296253:8296509	1	8296253	8296509	-		-0.241		-0.352	-0.2965
AT4G32590:15721693:15722300	4	15721693	15722300	+	-0.529	-0.156	-0.207		-0.29733333333333334
AT1G80270:30180906:30181077	1	30180906	30181077	+		-0.239	-0.356		-0.2975
AT1G18660:6420974:6421501	1	6420974	6421501	+		-0.3	-0.321		-0.3105
AT3G04020:1040873:1041151	3	1040873	1041151	+	-0.287	-0.343			-0.315
AT5G50915:20710102:20710838	5	20710102	20710838	-	-0.34	-0.296			-0.318
AT1G49980:18511848:18511998	1	18511848	18511998	+		-0.311	-0.326		-0.3185
AT2G16930:7341077:7341247	2	7341077	7341247	+	-0.367	-0.281	-0.309		-0.319
AT1G56612:21214719:21215407	1	21214719	21215407	-		-0.295	-0.356		-0.3255
AT2G27340:11696936:11697554	2	11696936	11697554	+		-0.266	-0.393		-0.3295
AT5G01950:369690:370216	5	369690	370216	-	-0.298		-0.374		-0.33599999999999997
AT5G60940:24523577:24523849	5	24523577	24523849	+	-0.298	-0.364	-0.348		-0.3366666666666666
AT2G36680:15369245:15369495	2	15369245	15369495	-	-0.36	-0.212	-0.459		-0.3436666666666666
AT3G07300:2326718:2327012	3	2326718	2327012	-	-0.391	-0.34	-0.301		-0.34400000000000003
AT1G80780:30357999:30359555	1	30357999	30359555	+	-0.338	-0.388	-0.307		-0.3443333333333333
AT4G01915:827597:827988	4	827597	827988	+	-0.359	-0.333			-0.346
AT3G08840:2681948:2682856	3	2681948	2682856	-	-0.293	-0.4			-0.34650000000000003
AT2G46270:19002054:19002230	2	19002054	19002230	+	-0.399	-0.253	-0.389		-0.347
AT1G54440:20326797:20327518	1	20326797	20327518	+	-0.34	-0.285	-0.481	-0.282	-0.347
AT2G01420:182004:183764	2	182004	183764	-	-0.363	-0.348	-0.389	-0.295	-0.34875
AT1G66760:24901977:24902981	1	24901977	24902981	+		-0.366	-0.333		-0.34950000000000003
AT1G23230:8246060:8246303	1	8246060	8246303	+	-0.269	-0.441			-0.355
AT4G11970:7182945:7183006	4	7182945	7183006	+	-0.386	-0.336			-0.361
AT2G22570:9589796:9590214	2	9589796	9590214	-	-0.4	-0.35	-0.34		-0.36333333333333334
AT4G34140:16351769:16352617	4	16351769	16352617	+	-0.509	-0.24			-0.3745
AT4G09980:6249104:6249224	4	6249104	6249224	-	-0.39	-0.388	-0.348		-0.3753333333333333
AT4G15090:8614059:8614344	4	8614059	8614344	+	-0.454	-0.309			-0.3815
AT4G40030:18556501:18556904	4	18556501	18556904	-	-0.322			-0.444	-0.383
AT1G03310:813412:813604	1	813412	813604	+	-0.451	-0.464	-0.244		-0.38633333333333336
AT3G19460:6748758:6749322	3	6748758	6749322	+	-0.368	-0.422			-0.395
AT4G40050:18561988:18562084	4	18561988	18562084	-	-0.383	-0.405	-0.479	-0.32	-0.39675
AT2G36680:15369245:15369495	2	15369245	15369495	-	-0.36	-0.373	-0.459		-0.3973333333333333
AT2G03140:949989:950231	2	949989	950231	+	-0.491	-0.366	-0.335		-0.3973333333333333
AT3G16030:5441658:5442173	3	5441658	5442173	+		-0.273		-0.54	-0.40650000000000003
AT5G43990:17699083:17699345	5	17699083	17699345	+	-0.465	-0.391	-0.367		-0.4076666666666667
AT4G17310:9685185:9686024	4	9685185	9686024	-		-0.277	-0.539		-0.40800000000000003
AT1G78690:29596982:29597235	1	29596982	29597235	+	-0.48	-0.281		-0.473	-0.41133333333333333
AT5G64460:25775305:25775354	5	25775305	25775354	-	-0.32	-0.517			-0.4185
AT3G48880:18126932:18128237	3	18126932	18128237	+		-0.386	-0.46		-0.42300000000000004
AT1G78690:29596982:29597235	1	29596982	29597235	+	-0.48	-0.321		-0.473	-0.4246666666666667
AT4G17310:9685185:9685710	4	9685185	9685710	-		-0.358	-0.502		-0.43
AT1G68140:25540793:25541741	1	25540793	25541741	-		-0.292		-0.581	-0.4365
AT3G48190:17814186:17814422	3	17814186	17814422	+		-0.242	-0.636		-0.439
AT5G15070:4876827:4876984	5	4876827	4876984	+	-0.373	-0.507			-0.44
AT1G15490:5323152:5323895	1	5323152	5323895	-		-0.394	-0.505		-0.4495
AT2G33540:14207913:14209192	2	14207913	14209192	-	-0.426	-0.393	-0.53		-0.44966666666666666
AT4G03440:1527056:1527628	4	1527056	1527628	-	-0.453	-0.401		-0.522	-0.4586666666666667
AT2G02080:520976:521205	2	520976	521205	-	-0.545	-0.484	-0.359		-0.4626666666666666
AT1G31850:11430256:11431443	1	11430256	11431443	+		-0.409	-0.519		-0.46399999999999997
AT1G49980:18511848:18512512	1	18511848	18512512	+		-0.457	-0.479		-0.46799999999999997
AT4G17570:9785983:9786364	4	9785983	9786364	-	-0.511	-0.507	-0.574	-0.329	-0.48025
AT2G25740:10980121:10980688	2	10980121	10980688	+	-0.42	-0.517	-0.507		-0.48133333333333334
AT1G23080:8182205:8183650	1	8182205	8183650	-	-0.491	-0.516	-0.559	-0.381	-0.48675000000000007
AT4G38380:17974504:17974799	4	17974504	17974799	-		-0.508	-0.477		-0.4925
AT4G38380:17974276:17974799	4	17974276	17974799	-	-0.366	-0.613	-0.5		-0.49300000000000005
AT2G04790:1679804:1680176	2	1679804	1680176	+	-0.4	-0.593			-0.4965
AT4G38380:17974276:17974799	4	17974276	17974799	-	-0.385	-0.613	-0.5		-0.49933333333333335
AT2G17970:7818817:7819583	2	7818817	7819583	-		-0.467	-0.548		-0.5075000000000001
AT1G14970:5164277:5165139	1	5164277	5165139	-	-0.439	-0.376	-0.738		-0.5176666666666666
AT1G79190:29791575:29792228	1	29791575	29792228	+	-0.403	-0.652	-0.505		-0.52
AT1G16610:5675618:5676319	1	5675618	5676319	-	-0.417		-0.623		-0.52
AT2G27730:11821606:11822025	2	11821606	11822025	-		-0.331	-0.417	-0.828	-0.5253333333333333
AT5G63700:25494356:25494637	5	25494356	25494637	-	-0.509	-0.55	-0.553		-0.5373333333333333
AT3G26890:9910872:9910944	3	9910872	9910944	-		-0.496	-0.579		-0.5375
AT4G01510:642942:643176	4	642942	643176	+	-0.508	-0.539	-0.59		-0.5456666666666666
AT1G18950:6550477:6550681	1	6550477	6550681	+	-0.635	-0.528	-0.568	-0.462	-0.54825
AT1G18950:6550477:6550681	1	6550477	6550681	+	-0.635	-0.533	-0.568	-0.462	-0.5495000000000001
AT5G11210:3571064:3572276	5	3571064	3572276	-		-0.442	-0.677		-0.5595
AT3G63480:23442677:23442771	3	23442677	23442771	-	-0.626	-0.494			-0.56
AT2G03140:949989:950717	2	949989	950717	+	-0.663	-0.48	-0.543		-0.5619999999999999
AT1G79270:29815505:29816515	1	29815505	29816515	+	-0.519	-0.403		-0.764	-0.5619999999999999
AT2G35550:14929242:14929477	2	14929242	14929477	+	-0.48	-0.466	-0.751		-0.5656666666666667
AT5G01660:248875:249207	5	248875	249207	-		-0.482	-0.653		-0.5675
AT1G70490:26565290:26565849	1	26565290	26565849	-	-0.752	-0.539	-0.424		-0.5716666666666667
AT1G79270:29815505:29816515	1	29815505	29816515	+	-0.556	-0.403		-0.764	-0.5743333333333334
AT3G14150:4692539:4693133	3	4692539	4693133	-	-0.686	-0.471			-0.5785
AT1G18950:6550477:6550681	1	6550477	6550681	+	-0.635	-0.528	-0.745	-0.462	-0.5925
AT1G18950:6550477:6550681	1	6550477	6550681	+	-0.635	-0.533	-0.745	-0.462	-0.5937500000000001
AT1G79270:29815505:29816510	1	29815505	29816510	+	-0.478			-0.744	-0.611
AT3G23480:8420277:8420595	3	8420277	8420595	+	-0.586	-0.673			-0.6295
AT4G21585:11478358:11478728	4	11478358	11478728	+	-0.698		-0.57		-0.6339999999999999
AT1G70490:26565301:26565849	1	26565301	26565849	-	-0.654	-0.65	-0.628		-0.644
AT1G10590:3502762:3503049	1	3502762	3503049	-		-0.576	-0.863		-0.7195
