Name	Chr	Start	End	Strand	Score	Cai	Parker	Sun	Wang
AT1G10590	chr1	3503004	3503049	-	9.51282946832151E-08		0.576	0.863	
AT1G70490	chr1	26565301	26565317	-	4.40616350592139E-07	0.654	0.65	0.628	
AT1G79270	chr1	29815873	29816515	+	0.0003407679874404	0.519			0.764
AT4G21585	chr4	11478539	11478617	+	0.000981343019907	0.698		0.57	
AT3G23480	chr3	8420426	8420495	+	0.0065332508657209	0.586	0.673		
AT3G49500	chr3	18353210	18353443	-	0.0010794562837127			0.622	0.613
AT1G79270	chr1	29815873	29816510	+	0.0003295314349332	0.478			0.744
AT1G18950	chr1	6550669	6550681	+	4.70177282939622E-09	0.635	0.533	0.745	0.462
AT1G18950	chr1	6550669	6550681	+	4.70177282939622E-09	0.635	0.528	0.745	0.462
AT3G14150	chr3	4692688	4692926	-	0.0034865780952622	0.686	0.471		
AT1G70490	chr1	26565290	26565317	-	4.13667140659455E-07	0.752	0.539	0.424	
AT5G01660	chr5	248875	248979	-	0.000560423571878		0.482	0.653	
AT2G35550	chr2	14929401	14929477	+	7.56897419430449E-06	0.48	0.466	0.751	
AT2G03140	chr2	950208	950308	+	5.52589787499428E-05	0.663	0.48	0.543	
AT3G63480	chr3	23442677	23442689	-	0.0004634329603648	0.626	0.494		
AT5G11210	chr5	3571668	3571869	-	0.0043586040234995		0.442	0.677	
AT1G18950	chr1	6550669	6550681	+	4.70177282939622E-09	0.635	0.533	0.568	0.462
AT1G18950	chr1	6550669	6550681	+	4.70177282939622E-09	0.635	0.528	0.568	0.462
AT4G01510	chr4	642979	643086	+	7.93258823085325E-05	0.508	0.539	0.59	
AT3G26890	chr3	9910872	9910944	-	0.0080756324076535		0.496	0.579	
AT5G63700	chr5	25494407	25494577	-	4.32319275253256E-05	0.509	0.55	0.553	
AT2G27730	chr2	11821606	11821651	-	6.6264520990617E-07		0.331	0.417	0.828
AT1G16610	chr1	5676006	5676107	-	0.0018167499811219	0.417		0.623	
AT1G79190	chr1	29792210	29792228	+	5.58050505876982E-06	0.403	0.652	0.505	
AT1G14970	chr1	5164347	5164536	-	1.50482208495774E-05	0.439	0.376	0.738	
AT2G17970	chr2	7819425	7819511	-	0.0027740382615338		0.467	0.548	
AT4G38380	chr4	17974419	17974518	-	0.0000376669501235999	0.385	0.613	0.5	
AT2G04790	chr2	1679909	1680014	+	0.0055486849223538	0.4	0.593		
AT4G38380	chr4	17974504	17974518	-	0.0005317782736629		0.508	0.477	
AT1G23080	chr1	8182205	8182217	-	2.35581158785586E-10	0.491	0.516	0.559	0.381
AT2G25740	chr2	10980344	10980620	+	6.16573734657404E-05	0.42	0.517	0.507	
AT4G17570	chr4	9785983	9785995	-	1.68911739120796E-09	0.511	0.507	0.574	0.329
AT1G16560	chr1	5668739	5668918	+	0.0046842699504409		0.463	0.497	
AT1G79270	chr1	29816510	29816515	+	0.0012033023279438	0.556	0.403		
AT1G49980	chr1	18511962	18512089	+	0.005021433628843		0.457	0.479	
AT1G31850	chr1	11430452	11431135	+	0.0048936513809165		0.409	0.519	
AT2G02080	chr2	520976	520980	-	5.60098879305923E-07	0.545	0.484	0.359	
AT4G03440	chr4	1527173	1527399	-	3.35744621341213E-05	0.453	0.401		0.522
AT2G33540	chr2	14208049	14208174	-	2.23314342484949E-05	0.426	0.393	0.53	
AT1G15490	chr1	5323152	5323157	-	0.0001517074010406		0.394	0.505	
AT5G15070	chr5	4876966	4876984	+	0.0019221666999735	0.373	0.507		
AT3G48190	chr3	17814285	17814375	+	0.0066311137198368		0.242	0.636	
AT1G68140	chr1	25540793	25541435	-	0.0002005318481165		0.292		0.581
AT4G17310	chr4	9685454	9685710	-	1.15008628213649E-05		0.358	0.502	
AT3G48880	chr3	18127230	18127860	+	0.0067296871324307		0.386	0.46	
AT5G64460	chr5	25775305	25775354	-	0.008021655868909	0.32	0.517		
AT4G17310	chr4	9685454	9686024	-	1.36858278213921E-05		0.277	0.539	
AT5G43990	chr5	17699285	17699345	+	1.25964817867239E-05	0.465	0.391	0.367	
AT3G16030	chr3	5441869	5441935	+	0.0063396583278681		0.273		0.54
AT1G78690	chr1	29597210	29597235	+	0.0011405466757588	0.48	0.321		
AT2G03140	chr2	950208	950231	+	6.04019702596361E-06	0.491	0.366	0.335	
AT2G36680	chr2	15369366	15369448	-	2.30904693374504E-05	0.36	0.373	0.459	
AT4G40050	chr4	18561988	18561992	-	2.09693137040478E-09	0.383	0.405	0.479	0.32
AT3G19460	chr3	6748909	6748990	+	0.0064845860148762	0.368	0.422		
AT1G03310	chr1	813581	813604	+	2.52959207297811E-06	0.451	0.464	0.244	
AT4G15090	chr4	8614273	8614344	+	0.0017142717520032	0.454	0.309		
AT1G78690	chr1	29597190	29597235	+	0.00111999811961		0.281		0.473
AT4G09980	chr4	6249104	6249115	-	1.42442288105848E-06	0.39	0.388	0.348	
AT4G34140	chr4	16352079	16352341	+	0.0072845254408355	0.509	0.24		
