Name	Chr	Start	End	Strand	Score	Cai	Parker	Sun	Wang
AT5G03830	5	1018641	1018655	+	0.0144569061448915			1	0.5
AT1G74810	1	28107927	28107935	+	0.0010496202730454	0.5473851859	0.6337098023		
AT1G20060	1	6952306	6952309	-	0.0023967240462932	0.5736600122		0.5837757371	
AT2G17500	2	7606823	7606870	+	4.19254454778305E-07	0.5075756794	0.382552092	0.4082309166	0.9111104701
AT1G64300	1	23863287	23863291	+	0.0004724216198764	0.5204485992		0.5647696931	
AT1G77890_and_AT1G77910	1	29293272	29293278	+	5.37795672549484E-06	0.4820953445	0.5090583448	0.6023291182	
AT3G27010	3	9957540	9957559	-	0.0003902057643558		0.2226096975	0.25	1
AT1G01020	1	8571	8594	-	2.16559788796171E-05	0.4831529104	0.3862512272	0.4822092587	
AT5G26940	5	9480770	9480786	+	0.0008562543500025	0.3333333333		0.5	0.5
AT1G65150	1	24205563	24205571	-	0.0004861723111214	0.2013980527			0.6764915441
AT3G20070	3	7006706	7006734	-	0.0003204195619597	0.3056338617	0.4398710964	0.5688706041	
AT3G63460	3	23434944	23434950	-	1.44276387389889E-06	0.3863730251	0.4354928643	0.4674456153	0.4488601144
AT3G03770	3	948736	948795	-	0.0137314058687206	0.1171060284			0.743824598
AT1G16780_and_AT1G16800	1	5744112	5744139	-	0.002129813268619	0.3841958062	0.4616165065		
AT2G06025	2	2350115	2350202	+	0.0066985623523094		0.4562005205	0.3865897383	
AT4G23910	4	12426711	12426729	+	3.29100388562983E-06	0.493785822	0.4258827612	0.5595152541	0.1983146136
AT5G11630_and_AT5G11640	5	3740877	3740942	+	1.22755132665861E-05	0.3762786177	0.4456841101	0.5123261937	0.3203829022
AT4G24230	4	12567132	12567144	-	0.020992828777027		0.2277452876	0.5868692666	
AT3G19460	3	6748904	6748909	+	0.0003092934606911	0.3446487625	0.3514172482	0.4881721406	
AT4G00450	4	202292	202396	+	0.0131640047454616			0.3620960373	0.4101658087
AT5G46740	5	18967803	18967823	-	0.0319277929807339	0.3995714807	0.3634940829		
AT3G05380	3	1539728	1539763	+	0.000145007181147	0.4686773711	0.3361061545	0.3361739129	
AT3G14150	3	4692927	4692931	-	0.0002836410655531	0.4034118993	0.3524326642	0.3698608169	
AT4G01600	4	693500	693515	+	0.0195244281696283	0.2831048257		0.4647021244	
AT3G21175	3	7423328	7423334	+	2.25744195897004E-06	0.2980766083	0.315106455	0.3246139548	0.4784205778
AT5G07980_and_AT5G01465	5	2554701	2554771	-	0.0282775061162718	0.2160567521		0.4918612096	
AT1G31550	1	11295991	11296000	-	1.17682142241758E-08	0.2245433127		0.5707094016	0.2646171037
AT2G43490	2	18058045	18058057	-	0.0055852407396799	0.3395493203	0.3494628573		
AT3G20070	3	7006635	7006734	-	0.0172174580990696		0.2834975659	0.4044618321	
AT2G48130	2	19683832	19684144	-	7.36283360766772E-05		0.297612908	0.2867249988	0.4412072687
AT1G73390	1	27594495	27594499	-	4.53182605702356E-06	0.3339742769	0.2764097798	0.3648607242	
AT1G04053_and_AT1G01760	1	276623	276706	-	0.0009313783538002		0.2063314629	0.4126122415	
AT3G09670	3	2966513	2966520	+	0.0146041687481044		0.2401208549	0.3716359084	
AT5G37690	5	14975878	14975902	-	0.0297124083045835		0.285827461	0.3200006806	
AT2G04790	2	1679886	1679909	+	5.16351769557162E-05	0.2532934905	0.3482693394	0.3048899475	
AT5G44750	5	18056573	18056585	+	0.0008014108278142	0.3925685282	0.1868430124	0.3142269972	
AT3G05640	3	1642849	1642890	-	0.0106274544597002		0.2683343373	0.3234512559	
AT3G07510	3	2394568	2394574	-	1.47337848723265E-06	0.3600233865	0.3350337997	0.1820349633	0.3041445068
AT1G59890	1	22046226	22046241	+	9.24298387623592E-07	0.2650869857	0.2369340264	0.3713942134	
AT2G41600	2	17345988	17345993	-	0.0053110942250627		0.1587173017		0.4204957839
AT3G05932_and_AT3G05935	3	1770911	1771533	-	0.0110104775849434	0.2552510283	0.2848956904		
AT1G55000	1	20516178	20516205	+	4.73516252567552E-07	0.1798662445	0.1208302311		0.5072187649
AT2G02960	2	863995	864020	-	0.0080757509557525		0.2121461759	0.3232561974	
AT5G01300	5	121483	121737	-	0.0146041687481044			-0.4743008638	1
AT2G17033	2	7401232	7401235	+	0.0073714680952697		0.2039172695		0.3185846695
AT4G35770	4	16945832	16945909	+	0.0252206019619718		0.0667287158	0.4548894771	
AT5G35330	5	13525621	13525642	-	0.0007101560446395	0.2350548509	0.2040284093	0.3282000384	
AT4G02600	4	1144052	1144137	+	0.0202954630467862		0.1098384853		0.4013433714
AT2G17033	2	7401232	7401248	+	0.0074245311230054		0.1519381383		0.3480218083
AT4G30900	4	15039550	15039566	+	0.0231524405118247		0.2344506022	0.2642143549	
AT5G26940	5	9480308	9480770	+	0.000847660563145	0.1529687235		0.2062736614	0.3879055993
AT2G17500	2	7606944	7606963	+	9.29336154486107E-05	0.234584255	0.171198362	0.3392106677	
AT5G37850	5	15065479	15065512	+	0.0007410725556092	0.310312935	0.2374597902	0.1964345788	
AT5G08440	5	2724389	2724392	+	0.0011054322512551	0.2742444422	0.1838796518	0.2853449743	
AT5G37850	5	15065479	15065605	+	0.0007449984589808	0.2302677105	0.2560975999	0.2515421858	
AT1G24793_and_AT1G24800	1	8768808	8768836	+	0.0029432167232765	0.2549810674	0.233788882		
AT1G18950	1	6550763	6550769	+	0.0025203365215752	0.2173972157	0.2691677022		
AT1G49340	1	18253848	18253869	+	5.7376955470873E-05		0.164039255		0.3195298603
AT3G14010	3	4638932	4638938	+	0.0002815693697208	0.168899849	0.2516638104	0.2776811819	
AT5G61300_and_AT5G61310	5	24654770	24654845	-	0.0268763767063255	0.2960916895		0.1677756179	
AT1G07700	1	2379729	2379798	+	1.4670396124141E-06	0.2406670585	0.1751925578	0.2773992903	
AT3G07565	3	2415061	2415064	+	0.0002366443657957	0.2481869686	0.1695474532	0.2633981937	
AT4G14965	4	8552747	8552769	+	5.92720479649467E-06	0.2321128071	0.1274960891	0.158995455	0.3589742291
AT5G10940	5	3452076	3452085	-	0.0011311385778708	0.1402023073	0.2633776229	0.2457419858	
AT5G60170	5	24229700	24229706	+	0.0352230301942097	0.2179275464	0.2133368552		
AT1G29040_and_AT1G29041	1	10134777	10134797	+	2.74610149855259E-10	0.1822884359	0.2382997508	0.2243280569	
AT1G13940	1	4766470	4766594	-	1.0490032271458E-05	0.1897475539	0.1393195346	0.310897153	
AT1G71240	1	26856087	26856090	+	0.0007498871561803		-0.1121921369		0.5273849587
AT1G55810	1	20860710	20860831	+	0.0002290340301528		0.1292009719	0.2849817156	
AT1G10570	1	3488329	3488332	+	7.37286537409237E-06	0.2660742377	0.1517793517	0.2031004593	
AT5G42940	5	17220362	17220386	-	7.35538323886989E-06	0.1521845392	0.1224710115	0.161096428	0.3887962315
AT3G06680	3	2114726	2114748	-	0.0126770289876908		-0.0839208204		0.4941598436
AT5G63460	5	25414413	25414448	-	0.0372733289948613	0.2133715025	0.1962599506		
AT1G49950	1	18497084	18497129	-	1.27659766847477E-07	0.2322028529	0.1889198263	0.1881236403	
AT5G61150	5	24604075	24604081	-	1.00928721784407E-05	0.2015948525	0.2029647834	0.2190847617	0.1880453645
AT1G02260	1	442620	442718	-	9.58680677755193E-06	0.2849267148	0.1479815008	0.173049738	
AT3G57050	3	21114162	21114207	-	1.17514019256486E-06	0.1886867571	0.2041625996	0.2228698548	0.18973497
AT3G62940	3	23264238	23264254	-	0.0002257627540113	0.1814441792	0.2078690201	0.2121183985	
AT5G18640	5	6213067	6213160	+	0.0012379019621164		0.1242845046	0.1539177215	0.3232091771
AT1G72640	1	27347658	27347661	-	6.12558837452538E-09	0.1999449646	0.1778187476	0.2377289225	0.1727673805
AT1G19650	1	6797268	6797311	-	0.0025832917290453	0.1860883609	0.2074016883		
AT4G18740	4	10303631	10303725	-	0.0003953577979931	0.2271677039	0.1658652369	0.1883554754	
AT4G33650	4	16164960	16164963	+	4.68103164612029E-06	0.1471153398	0.1878172837	0.141885612	0.2876714626
AT1G09060	1	2925688	2925712	-	0.0011323360850025	0.1857330901	0.1849451694		
AT4G24230	4	12567238	12567251	-	0.0210807923749307		0.1497834637	0.2181094171	
AT1G13460	1	4615978	4616059	+	0.0017455637933357	0.1872829852	0.171501415		
AT4G26630	4	13435596	13435652	-	3.70374585360217E-06	0.1117598104	0.1270019899	0.2160152702	0.2627470284
AT4G08320	4	5254613	5254616	+	0.0006086752910229	0.1861110229	0.1321439134	0.2154330431	
AT5G53760	5	21822629	21822720	+	0.0329003015822857	0.1928288576	0.1617011846		
AT1G72740	1	27381147	27381165	-	4.02008630525028E-06	0.1738768925	0.1883408038		0.1649165437
AT5G46390	5	18818500	18818592	+	0.0317135553725874		0.0717199524		0.2764125671
AT5G42870	5	17187282	17187297	-	0.0307579415437236		0.1079366263	0.239561674	
AT2G19880	2	8584261	8584264	+	0.0001000449892938	0.1470124365	0.124047948	0.2361979018	
AT3G05165	3	1462786	1462903	-	0.0101889152119318		-0.1180607192		0.4502841378
AT1G73170	1	27514351	27514355	-	0.0010094283188752	0.1905307742	0.1416413772		
AT5G18540	5	6155815	6155821	+	0.0417804428205376		0.1563093288	0.171578354	
AT3G53560_and_AT3G53570	3	19864153	19864363	-	0.0001824338990892		-0.126596949	-0.2397769232	0.8404942417
AT2G02560	2	690463	690469	+	8.42943022300659E-05	0.129881176	0.1584381794	0.1848669014	
AT1G28960	1	10109811	10109926	-	9.98100647967704E-08	0.2070255826	0.1061306395		
AT1G30890	1	10994243	10994473	+	8.0790546620254E-06			0.117157307	0.1947296867
AT2G26590	2	11314985	11315020	-	0.0035448513448709		0.1208779083	0.1899020031	
AT1G10590	1	3503370	3503374	-	7.55835955099853E-06	0.1526526001	0.1308295915	0.1811685258	
AT1G31420	1	11252756	11252759	+	7.41160448250585E-09	0.1534970119	0.1352433881	0.1705310797	
AT1G53650	1	20030944	20030962	-	0.000175444826488	0.1540440777	0.1520548239		
AT1G06890	1	2111602	2111605	-	0.0002791143744045	0.1808845272	0.1218654009		
AT5G53850	5	21863653	21863700	-	0.0330092095828955	0.1802042444	0.1200077237		
AT5G40500	5	16228022	16228049	+	0.0007489380698728	0.1650555218	0.1699479129	0.1115455306	
AT3G07300	3	2327406	2327424	-	0.0138750629028675	0.1789226213	0.1104452746		
