Name	featureID	Chr	Start	End	Strand	Score	Cai	Parker	Sun	Wang
AT1G22970+AT1G22980	E015	1	8133604	8133813	-	1.82634399642674e-06	4.43672840189284			16.8889190571466
AT1G36180	E006	1	13547502	13547594	+	5.28766821358119e-06	3.42743386065339		15.2453629131653	
AT1G15060+AT1G15050	E008	1	5183258	5183382	-	2.02361066949113e-06	15.7524388682543	2.90676483703274		
AT1G16710	E029	1	5720540	5720652	+	4.43217961120675e-05		1.85533535827819		16.356347506036
AT2G09545+AT2G44798	E026	2	18469583	18470769	-	5.40540573668233e-11	16.7118110601266	3.59009805601123	5.6082978725607	
AT4G13970	E006	4	8073547	8073572	-	4.0606188222546e-06	11.8092821742794	2.68027708255578		
AT3G46200	E011	3	16970545	16970622	+	0.000558709103104		0.968489626198437		13.3246673623546
AT2G02370	E004	2	621366	621374	+	1.03727877384243e-09	13.2789307226446	2.69657954743883	3.61073013113337	
AT1G64790	E067	1	24082539	24082720	-	4.96574994336842e-06			16.7684402838027	-5.02843687919417
AT1G10840	E012	1	3610174	3610289	-	9.18262731833627e-13	3.02633662978218	3.75419335947661	2.20023666269009	13.6645220534247
AT5G49970	E014	5	20332470	20332486	+	5.3337751853590994e-12	2.17549661748673	2.02400258926106	2.83916482597124	14.1173116681593
AT4G35770	E007	4	16945675	16945774	+	3.56031114203271e-05		0.429840885280324	-1.16207038632362	14.3880728984561
AT4G32590	E006	4	15721808	15722015	+	1.0002402990914e-09	3.71397456800117	3.13170869801305	3.55060119802107	
AT1G13570+AT1G13560	E021	1	4641546	4641554	-	1.72768793029009e-08	2.2006059186109	3.92194850919008	4.15385458834395	
AT1G49630	E022	1	18373784	18373884	-	1.88096952536237e-05	4.34887788118132	2.15423714918045		
AT5G10320	E008	5	3244687	3244772	-	2.20174943567041e-05	4.35273907301413	2.11098247875545		
AT3G23480+AT3G23470	E025	3	8420427	8420495	+	3.64812529839176e-08	2.65550660166904	1.88624717007247	5.05038250382978	
AT4G32590	E010	4	15722301	15722304	+	2.00625606097628e-05	4.23284980252757	2.13903535282978		
AT1G15060+AT1G15050	E007	1	5183157	5183257	-	4.35222466014806e-06	3.62433902341267	2.70857761131629		
AT1G77080	E008	1	28958311	28958333	+	1.08319203635827e-07	2.57759358327449	1.60710403193865	5.2729901157027	
AT5G09410	E009	5	2922807	2922896	+	2.86797830762946e-05	4.21052166344264	2.01487884854061		
AT5G13590	E010	5	4378726	4379055	-	0.0001603982065933	1.28437904344865		4.83329271326615	
AT4G21450	E004	4	11426566	11426622	+	2.84267247807343e-05	3.89607598724051	2.01820705180583		
AT1G66760	E003	1	24902359	24902436	+	2.23098755876453e-06		2.87761471460992	3.0181117404427	
AT1G08900	E005	1	2852604	2852715	+	5.5292652887722206e-09	3.19141994614647	3.33107294272589	2.19437893204646	
AT1G36180	E002	1	13545972	13546311	+	0.0003918273346992	4.63748068982475	1.08054096055782		
AT4G09980	E004	4	6249105	6249115	-	2.7586986589514103e-09	3.36852680639308	2.70659873710823	2.37496235139382	
