Name	chr	start	end	strand	Cai	Parker	Sun	Wang	average
AT1G22970+AT1G22980:E015	1	8133604	8133813	-	4.43672840189284			16.8889190571466	10.66282372951972
AT1G36180:E006	1	13547502	13547594	+	3.42743386065339		15.2453629131653		9.336398386909345
AT1G15060+AT1G15050:E008	1	5183258	5183382	-	15.7524388682543	2.90676483703274			9.32960185264352
AT1G16710:E029	1	5720540	5720652	+		1.85533535827819		16.356347506036	9.105841432157094
AT2G09545+AT2G44798:E026	2	18469583	18470769	-	16.7118110601266	3.59009805601123	5.6082978725607		8.63673566289951
AT4G13970:E006	4	8073547	8073572	-	11.8092821742794	2.68027708255578			7.244779628417589
AT2G02370:E004	2	621366	621374	+	13.2789307226446	2.69657954743883	3.61073013113337		6.5287468004055995
AT1G64790:E067	1	24082539	24082720	-			16.7684402838027	-5.02843687919417	5.870001702304265
AT1G10840:E012	1	3610174	3610289	-	3.02633662978218	3.75419335947661	2.20023666269009	13.6645220534247	5.661322176343395
AT5G49970:E014	5	20332470	20332486	+	2.17549661748673	2.02400258926106	2.83916482597124	14.1173116681593	5.288993925219582
AT4G35770:E007	4	16945675	16945774	+		0.429840885280324	-1.16207038632362	14.3880728984561	4.551947799137602
AT4G32590:E006	4	15721808	15722015	+	3.71397456800117	3.13170869801305	3.55060119802107		3.46542815467843
AT1G13570+AT1G13560:E021	1	4641546	4641554	-	2.2006059186109	3.92194850919008	4.15385458834395		3.42546967204831
AT1G49630:E022	1	18373784	18373884	-	4.34887788118132	2.15423714918045			3.2515575151808846
AT5G10320:E008	5	3244687	3244772	-	4.35273907301413	2.11098247875545			3.2318607758847904
AT3G23480+AT3G23470:E025	3	8420427	8420495	+	2.65550660166904	1.88624717007247	5.05038250382978		3.197378758523763
AT4G32590:E010	4	15722301	15722304	+	4.23284980252757	2.13903535282978			3.1859425776786745
AT1G15060+AT1G15050:E007	1	5183157	5183257	-	3.62433902341267	2.70857761131629			3.16645831736448
AT1G77080:E008	1	28958311	28958333	+	2.57759358327449	1.60710403193865	5.2729901157027		3.1525625769719468
AT5G09410:E009	5	2922807	2922896	+	4.21052166344264	2.01487884854061			3.1127002559916255
AT5G13590:E010	5	4378726	4379055	-	1.28437904344865		4.83329271326615		3.0588358783574003
AT4G21450:E004	4	11426566	11426622	+	3.89607598724051	2.01820705180583			2.9571415195231703
AT1G66760:E003	1	24902359	24902436	+		2.87761471460992	3.0181117404427		2.9478632275263097
AT1G08900:E005	1	2852604	2852715	+	3.19141994614647	3.33107294272589	2.19437893204646		2.9056239403062736
AT4G09980:E004	4	6249105	6249115	-	3.36852680639308	2.70659873710823	2.37496235139382		2.8166959649650436
AT1G53490+AT1G07887:E002	1	19963267	19964105	+		3.19565421828946	2.49508368676115	2.73527675972115	2.80867155492392
AT5G15270:E008	5	4960734	4960847	+	3.11806745096997	2.79523089113927	2.36375244186659		2.759016927991943
AT4G01960:E007	4	852720	852974	-	2.7455498875429	2.90314679857631	2.54649101532952		2.7317292338162438
AT1G55490:E016	1	20718707	20718830	-	3.13440007966723	2.66408527544433	2.18363074977175		2.660705368294437
AT3G03773:E006	3	952867	953062	+	1.65165190540489	3.27840300800104	3.01355403394978		2.64786964911857
AT1G53490+AT1G07887:E001	1	19963067	19963266	+		2.6244405139897		2.58290210974883	2.603671311869265
AT5G63680:E003	5	25490314	25490375	+	3.6096323827084	1.58698319627796			2.59830778949318
AT2G02080:E006	2	520977	520980	-	3.44662186383331	2.15785020952381	2.11668153377121		2.573717869042777
AT3G06400:E016	3	1944683	1944688	+	2.0723356369658	2.4589005715707		3.09250770842476	2.54124797232042
AT4G38380:E017	4	17974420	17974504	-	2.89993684539915	2.17824039002024			2.539088617709695
AT1G27770:E010	1	9675233	9675308	-	2.58475864301542	2.45085555057603	2.53799348117204		2.52453589158783
AT1G21170:E011	1	7415873	7415924	+	2.1447066093907	2.00518868372099	3.19748011613224		2.4491251364146436
AT3G21175:E008	3	7423762	7424132	+	2.55740893315859	2.30747972006781	2.43630160823707		2.43373008715449
AT5G53140:E003	5	21548797	21549020	+	2.015515568074	2.24172980892822	2.79538596909407		2.3508771153654298
AT3G04020:E007	3	1040999	1041064	+	2.64716134031227	2.01286255763536			2.330011948973815
AT5G64980:E011	5	25963011	25963189	-	3.06252313010803	1.44798940940573	2.4791684251395		2.3298936548844202
AT4G14240:E012	4	8206942	8206963	-	2.83740326191484	1.80100112847331			2.319202195194075
AT2G02790:E010	2	790798	790895	+	2.46143401844823	2.12124150150072	2.35804791284961		2.31357447759952
AT5G63510:E003	5	25424966	25425046	+	2.6337254331468	2.00224854930056	2.27570077559289		2.3038915860134166
AT2G09640+AT2G45540:E039	2	18772379	18772421	-	2.40016431889394	2.20247739122978			2.30132085506186
AT3G21430:E014	3	7548863	7548874	-	2.79219727567219	1.75973891229444			2.275968093983315
AT5G59890:E004	5	24122601	24122674	+		2.44503773669761	2.10046696106362		2.272752348880615
AT3G06210:E006	3	1882810	1882885	+		2.45255158435362	2.0638007236739		2.2581761540137597
AT1G27900:E006	1	9716399	9716537	-		2.51273347382316	1.99977840264938		2.25625593823627
AT2G22570:E004	2	9589983	9590080	-	1.93289469357915	1.53371724034733	1.82698652104178	3.69248890454929	2.2465218398793874
AT1G55490:E017	1	20718831	20718847	-	2.15023983383901	2.33665498997961	2.24701736421447		2.2446373960110297
AT3G05160:E020	3	1456699	1456883	-	3.03587168029639	2.54668443919864	1.15003650213616		2.24419754054373
AT2G16930:E004	2	7341211	7341247	+	2.77962739119924	1.92835997880911	1.98710176952918		2.2316963798458436
AT5G63700:E005	5	25494408	25494577	-	1.88089227641581	2.43407695553583	2.37061663608081		2.228528622677483
AT3G06160+AT3G06170:E011	3	1866738	1866832	+	1.94834100660889		2.50022777279483		2.22428438970186
AT3G05160:E019	3	1456597	1456698	-	2.17775605430292	2.25631911951387			2.217037586908395
AT3G51370:E007	3	19070367	19070444	+	2.38706058454778	2.0401343062543			2.2135974454010396
AT5G20920:E012	5	7096871	7097011	-	2.56667367944529	1.84664068881314			2.206657184129215
AT1G79190:E012	1	29792211	29792228	+	1.5546379236251	1.99529457181669	3.06760453589987		2.205845677113887
AT3G49060+AT3G49055:E021	3	18191186	18191703	-	1.56447781057645	1.54562987019126	2.25922399949913	3.33886934516229	2.1770502563572824
AT2G02370:E005	2	621375	621820	+	2.55039643009964	2.41909059280753	1.54182057408323		2.170435865663467
AT5G44090:E014	5	17747340	17747759	-	1.67573632420041	1.16535281236957		3.63805683411562	2.159715323561867
AT1G09910:E015	1	3223832	3224206	-	2.19759952174851	2.11947671304296			2.158538117395735
AT2G44180:E009	2	18271086	18271152	-	1.31839980346438	1.57579665022867	3.54799083625328		2.1473957633154437
AT3G52075+AT3G52060+AT3G52072:E017	3	19314053	19314090	-	2.00471552015355		2.26045396872254		2.132584744438045
AT1G78690:E006	1	29597211	29597235	+	2.28671116696823	1.73039018923829	2.33824827278919		2.118449876331903
AT3G45040:E003	3	16473016	16473100	-	1.80611439153548	2.07416443841273	2.44410693122545		2.108128587057887
AT3G24530:E007	3	8947209	8947285	-	2.02002525657702	2.17274493773292			2.09638509715497
AT5G40810:E004	5	16340260	16340588	+	2.28407626081044	2.38748150791924	1.55752362133107		2.0763604633535837
AT1G51720:E017	1	19185666	19185849	+		1.94367915072733	2.17062054223164		2.057149846479485
AT4G24730:E003	4	12753644	12754010	-	1.83573526549404	2.13976976817412	2.18494593126756		2.053483654978573
AT1G55490:E019	1	20718886	20719068	-	1.54203481107805	2.62342639872017	1.90260575970304		2.0226889898337532
AT1G77080:E007	1	28955864	28958310	+	1.92623014772505	1.61339017853859	2.52048139905928		2.0200339084409733
AT4G18360:E004	4	10146330	10146653	-		2.12076827831297	1.90719359047639		2.01398093439468
AT5G65050:E003	5	25982600	25984680	+	1.88718757219756	1.91091109810249	2.17878808198111		1.9922955840937198
AT1G11930:E008	1	4030221	4030226	+	2.407686095816	1.53312507805192			1.97040558693396
AT5G50915:E004	5	20710591	20710724	-	1.99698679540825	2.43660503061948	1.47102036058633		1.9682040622046866
AT3G20250:E001	3	7058871	7058901	-		1.58335220407931		2.34610152678145	1.96472686543038
AT3G06160+AT3G06170:E012	3	1866932	1867192	+	2.10191453554388		1.81933167921507		1.960623107379475
AT3G14080:E005	3	4668330	4668380	+	1.34019126994311	1.4553577000035	3.08362486387207		1.9597246112728932
AT1G18950:E013	1	6550670	6550681	+	1.74445866345954	1.54974759416883	2.97462668171651	1.53630039036417	1.9512833324272627
AT5G19390:E024	5	6537140	6537432	+	1.51415473030112	2.1426199777901	2.15213347072198		1.9363027262710666
AT4G31150:E006	4	15144318	15144492	-	1.99042564971896	1.74273904810777	2.06400822983611		1.9323909758876134
AT1G17350:E005	1	5941847	5942347	+		0.930522569836193	1.37327206472256	3.46154385343737	1.9217794959987078
AT3G26890+AT3G26900:E010	3	9910793	9910872	-	1.75662011458732	1.4088969878079	2.59145626826981		1.91899112355501
AT3G26890+AT3G26900:E012	3	9910945	9911367	-	2.15311600917449	1.48980306470357	1.96370007235728	2.01154839318909	1.9045418848561075
AT1G55490:E018	1	20718848	20718885	-	1.67074069635164	2.28794389724279	1.67569016633317		1.8781249199758667
AT3G19820+AT3G19810:E004	3	6878939	6878954	-	2.08401237138637	0.839469354975364	2.63699203928167		1.8534912552144682
AT3G15180+AT3G15190:E012	3	5114006	5114101	+	2.00887182478618	1.59328070026286			1.80107626252452
AT1G04513+AT1G06790:E009	1	2089010	2089212	+		1.75448090686118	1.84044552162715		1.797463214244165
AT2G32260:E003	2	13697824	13698253	+		1.82906006116307	1.73494013625073		1.7820000987069
AT1G10900:E010	1	3636515	3636997	-	2.02454102950293	1.52797174320931			1.77625638635612
AT1G12750:E014	1	4347791	4348240	-	1.48742735436676	2.0598763763207			1.77365186534373
AT2G36680:E007	2	15369367	15369448	-	1.6685035704172	1.73382896214205	1.42565181109062	2.21519612467015	1.7607951170800051
AT1G27900:E005	1	9716340	9716398	-	1.52556162544924	1.85656215339478	1.80142196354782		1.72784858079728
AT3G13970:E004	3	4613756	4613905	-	2.11339087199852	1.26896859174118	1.78805544971757		1.72347163781909
AT3G26890+AT3G26900:E011	3	9910873	9910944	-	1.45372919363994	1.26514961735044	2.02801271492308	2.07194793236906	1.70470986457063
AT3G14415:E003	3	4818537	4818576	+	1.79987421163705	1.58193708022482			1.690905645930935
AT1G24160:E009	1	8556140	8556144	-	1.71775356539151	1.6578824136697			1.687817989530605
AT4G03490:E013	4	1552154	1552784	-	1.75685182085942			1.61077019601803	1.683811008438725
AT3G08840:E020	3	2682194	2682386	-	1.62215690762493	1.61367377210635	1.80821332967325		1.6813480031348433
AT2G46420:E004	2	19054066	19054760	+	1.45144024350868	1.88929148865021	1.55720358248443		1.6326451048811066
AT1G79270:E005	1	29816511	29816515	+	1.59742749689931	0.884697161372738	2.3924940585603		1.6248729056107827
AT3G01310:E031	3	101357	101513	-	1.51048574426467	1.49523516319757	1.84908858412154		1.6182698305279264
AT2G35390:E011	2	14897108	14897215	-	1.93047601922939	1.83979254290107	1.7207290586678	0.981510444098149	1.6181270162241024
AT2G25740:E002	2	10980345	10980620	+	1.47096192651272	1.55035977267759	1.79990863369305		1.6070767776277866
AT5G66930:E009	5	26727069	26727167	+	1.64289612962645	1.5454477174622			1.594171923544325
AT2G35390:E012	2	14897216	14897437	-	1.65579997113076	1.79861174138669	1.79622944196003	1.11778936013948	1.59210762865424
AT2G04360:E003	2	1519947	1520012	-	1.35571777478855	1.72150969124894	1.66361436625454		1.5802806107640102
AT1G54030:E005	1	20169030	20169099	+	1.0653305581464	1.80700099133082	1.5141104094908	1.89760681959577	1.5710121946409474
AT3G48880:E004	3	18127231	18127860	+	1.47065515218986	0.868293148966214	2.3715773877358		1.5701752296306246
AT1G70180:E013	1	26428458	26428659	+	1.02086950512466	1.36815757206012	2.29666304279935		1.5618967066613767
AT1G72930:E003	1	27439931	27439973	+	1.83215676192335	1.55598555472172	1.26772287035087		1.5519550623319802
AT1G47570:E001	1	17477579	17478654	+	1.44687913446141	1.90681621806039	1.26323643471957		1.53897726241379
AT5G18620:E003	5	6196327	6196335	-	1.09349405983263	1.79130512311544	1.97185382537087	1.27013832294038	1.5316978328148299
AT3G44190:E005	3	15903143	15903280	-	1.699411338418		1.36319190275877		1.5313016205883851
AT4G32330:E004	4	15609107	15609117	+	1.21200134597938	1.60281245167715	1.77119731601789		1.5286703712248066
AT2G28550:E008	2	12226969	12227013	-	1.6535116672909	1.33433364634545	1.55035561713336		1.5127336435899033
AT2G21590:E006	2	9238762	9238931	+	1.47711005992069	1.5377291282478			1.507419594084245
AT4G24740:E005	4	12755049	12755141	-	1.37506892865172	1.59423856751788	1.55135610769346		1.5068878679543534
AT5G22450+AT5G22460:E027	5	7444395	7444606	-	1.21939614078462	1.28155587509837	2.01689619152167		1.5059494024682198
AT2G41880:E020	2	17476900	17476914	+	1.18429949787893	1.10332338495872	2.22002872948256		1.5025505374400698
AT2G01060:E007	2	74586	74784	-		1.58731023438715	1.37655330632487		1.48193177035601
AT1G13880:E005	1	4749835	4749837	+	1.25468345746131	1.03588169832226		2.10330454826434	1.4646232346826367
AT1G52360:E029	1	19505448	19505698	+	1.39595760022062	1.59768292812606	1.37665028516693		1.4567636045045367
AT3G24575+AT3G04755:E001	3	8967516	8968260	+		1.84289626952747	1.45687231005371	1.06857651681547	1.4561150321322165
AT2G39580:E012	2	16514760	16514774	+	0.948667402645111	1.94434661001113	1.3919220845276		1.4283120323946135
AT4G26965:E003	4	13539829	13539832	+	1.52508473813289	1.18138086974409	1.67788702124194	1.31088788125235	1.4238101275928177
AT2G23980:E005	2	10202912	10202980	-	1.37159163704123	1.58189400575691	1.31203246154629		1.42183936811481
AT3G54010:E004	3	20001314	20001383	+	1.67762900679259	1.22878850003846	1.33620015020044		1.4142058856771633
AT5G46410+AT5G46420:E011	5	18828891	18829221	+	1.61433234369097	0.889854109427448	1.72767101065887		1.4106191545924294
AT5G59890:E005	5	24122675	24123088	+	0.791441997861148	1.37407918028967	2.04838815824416		1.4046364454649927
AT1G23080:E013	1	8182206	8182217	-	1.4279476809826	1.2139804252078	1.73179479937761	1.23070120428047	1.4011060274621199
AT2G28550:E009	2	12227014	12227119	-	1.4536246709658	1.095925675653	1.6230174207584		1.3908559224590669
AT3G57050:E013	3	21114060	21114112	-	1.14755381004261	1.5768709946691	1.43981484204021		1.38807988225064
AT1G28520:E005	1	10029436	10029673	+	1.51342361902768	1.68067028087601	0.942487292116984		1.3788603973402245
AT1G66940:E007	1	24973603	24973729	-	0.989100730782613	1.05635601705955	2.06417011369137		1.3698756205111777
AT3G17185:E002	3	5861606	5861997	+	1.51338141108376		1.2166053390598		1.36499337507178
AT1G49980:E019	1	18511963	18511993	+	1.11647527792325	1.08862752142027	1.85543474982605		1.3535125163898567
AT5G22875:E004	5	7650711	7651265	+	1.08167666014405	1.61718433674533	1.33749247254419		1.3454511564778564
AT5G41340:E005	5	16539351	16539733	-	1.26107520336546	1.73744543288452	0.962096552114108		1.320205729454696
AT5G48545+AT5G48543:E010	5	19677601	19677693	+	1.33598898142803	1.17340939525231	1.42920163131017		1.3128666693301698
AT3G06160+AT3G06170:E010	3	1866137	1866659	+	1.85410162610183		1.54455511376665	0.534824766322905	1.311160502063795
AT2G23985:E009	2	10205475	10205501	+	1.51591772172119		1.09959672594201		1.3077572238316
AT5G02860:E008	5	657004	657216	+	1.41691663536811	1.24627423363318	1.24075066174751		1.3013138435829332
AT5G22450+AT5G22460:E026	5	7444043	7444310	-	1.08231405020941	1.00490187084938	1.75886417203928		1.2820266976993564
AT3G26890+AT3G26900:E013	3	9911368	9911414	-	1.59117854781643	0.893758381815845	1.34703140907174		1.2773227795680049
AT5G10710:E014	5	3382198	3382326	+	1.07137305152495	1.28922415335805	1.46804957712155		1.2762155940015167
AT2G17970:E005	2	7819426	7819511	-	0.957378744444305	1.47370062860062	1.36812070459608		1.266400025880335
AT4G17570:E008	4	9785984	9785995	-	1.30493917429211	1.14811010542125	1.16762430741014	1.44227987488091	1.2657383655011025
AT5G09230:E019	5	2873272	2873343	+	1.64743555176043	0.872270724028117	1.26798101146001		1.2625624290828523
AT5G60940:E004	5	24523688	24523779	+	0.847935321012181	1.71502828680457	1.21681339621654		1.259925668011097
AT5G46410+AT5G46420:E002	5	18825103	18825239	+	1.74124231272886	0.568736957660812	1.46293771821589		1.2576389962018542
AT5G49840:E014	5	20257877	20257981	+	1.37500610656463	1.12183488385924	1.27579840528577		1.2575464652365467
AT3G23050:E007	3	8196211	8196522	+	0.829229521563214	1.17613114880844	1.71856946702887		1.2413100458001747
AT1G54440:E018	1	20326957	20327359	+	1.09693445381578	0.843298830494891	1.65776563083312	1.2789772928794	1.2192440520057977
AT5G46410+AT5G46420:E003	5	18825916	18826172	+	1.70228488800157	0.506640808781695	1.44136440054671		1.2167633657766583
AT2G43910:E010	2	18186254	18186409	-	0.876348705437993	1.44923425175001	1.28886304459456		1.2048153339275212
AT1G76020:E006	1	28533072	28533291	-	1.23373253741832	1.16477354857211	1.2134854914021		1.2039971924641766
AT5G46410+AT5G46420:E005	5	18826296	18826417	+	1.81561863602429	0.517939076943161	1.26261686530568		1.1987248594243771
AT5G46410+AT5G46420:E009	5	18827998	18828786	+	1.56012141044005	0.716569896323801	1.22895527323439	1.26990247342967	1.1938872633569777
AT5G46410+AT5G46420:E007	5	18826658	18827152	+	1.65971132221703	0.618802049663408	1.19711948148256		1.1585442844543328
AT5G46410+AT5G46420:E006	5	18826498	18826579	+	1.78151989144452	0.565210010190468	1.080085626571		1.1422718427353293
AT3G14415:E010	3	4819755	4819772	+	1.68199877384361	1.17448587142906	0.838755730342649	0.802201780642613	1.124360539064483
AT1G02100:E013	1	392073	392076	+	1.03373478692093	0.906298981265715	1.42385970967774		1.1212978259547948
AT3G09800:E010	3	3007939	3008263	-	0.761052108006729	1.18902226017676	0.72621650610432	1.78917310748643	1.1163659954435599
AT5G05930:E006	5	1780845	1781089	-	1.244270205291	1.09840872041883	0.899202303134889		1.080627076281573
AT4G40050:E005	4	18561989	18561992	-	1.03555155047248	0.978534396198342	1.18215655581977		1.065414167496864
AT4G31170:E010	4	15155467	15155575	-	1.17157461210094	0.915739847207592	1.10658281603754		1.0646324251153574
