Name	Score	Freq
AT1G20060:6952305:6952308	1.95581156264e-10	4
AT1G20060:6952652:6952655	2.14883797329983e-10	4
AT1G23080:8182205:8182217	2.35581158785586e-10	4
AT1G73390:27594494:27594498	3.92834719924439e-10	4
AT2G01420:182004:182016	4.25216934410806e-10	4
AT1G72640:27347658:27347661	4.99033658108813e-10	3
AT2G39730:16571179:16571190	7.11282005869767e-10	4
AT3G63460:23434943:23434949	1.42470914072454e-09	4
AT4G17570:9785983:9785995	1.68911739120796e-09	4
AT4G40050:18561988:18561992	2.09693137040478e-09	4
AT1G18950:6550669:6550681	4.70177282939622e-09	6
AT1G77890:29293272:29293278	8.55115679299026e-09	4
AT3G14010:4638932:4638938	1.79516038972191e-08	4
AT5G11630:3740877:3740942	2.48431292216647e-08	4
AT1G10590:3503004:3503049	9.51282946832151e-08	2
AT1G01020:8570:8593	1.70926008575241e-07	3
AT1G54440:20326956:20327359	1.88448757071447e-07	4
AT1G05230:1513824:1513830	2.01914777844915e-07	3
AT1G70490:26565290:26565317	4.13667140659455e-07	3
AT1G70490:26565301:26565317	4.40616350592139e-07	3
AT2G02080:520976:520980	5.60098879305923e-07	3
AT2G27730:11821606:11821651	6.6264520990617e-07	3
AT2G43490:18058044:18058056	8.17837043699466e-07	3
AT3G07300:2326718:2326724	9.95520309206026e-07	3
AT3G20070:7006705:7006733	1.09326993849823e-06	3
AT3G57050:21114161:21114206	1.19721073247991e-06	3
AT3G63340:23392347:23392378	1.2515619705385e-06	3
AT4G09980:6249104:6249115	1.42442288105848e-06	3
AT5G35330:13525620:13525641	2.03680113405605e-06	3
AT1G03310:813581:813604	2.52959207297811e-06	3
AT1G16560:5668709:5668739	2.9962382711571e-06	3
AT1G59890:22046226:22046241	4.46976156901293e-06	3
AT1G67700:25375712:25375726	4.73217411503364e-06	3
AT1G79190:29792210:29792228	5.58050505876982e-06	3
AT2G03140:950208:950231	6.04019702596361e-06	3
AT3G26890:9909083:9909086	6.08463370198926e-06	2
AT2G04690:1646031:1646066	6.36024621823242e-06	3
AT2G04790:1679886:1679909	6.52441748835543e-06	3
AT2G16930:7341210:7341247	6.8611705142354e-06	3
AT2G35550:14929401:14929477	7.56897419430449e-06	3
AT2G46270:19002161:19002230	8.13057466924247e-06	3
AT3G19460:6748904:6748909	8.92157301049579e-06	3
AT3G21175:7423328:7423334	9.33557769228277e-06	3
AT4G03110:1377407:1377410	9.50564355334933e-06	2
AT4G17150:9638820:9638824	9.9802422723942e-06	3
AT4G17310:9685454:9685710	1.15008628213649e-05	2
AT5G43990:17699285:17699345	1.25964817867239e-05	3
AT4G17310:9685454:9686024	1.36858278213921e-05	2
AT1G14970:5164347:5164536	1.50482208495774e-05	3
AT1G27900:9716339:9716537	1.65381024736687e-05	3
AT2G22570:9589982:9590080	2.05068197290092e-05	3
AT2G23980:10202911:10202980	2.08634954849321e-05	3
AT2G25670:10930719:10930827	2.15891713863666e-05	3
AT2G33540:14208049:14208174	2.23314342484949e-05	3
AT2G36680:15369366:15369448	2.30904693374504e-05	3
AT5G61020:24559241:24559247	2.43221878794595e-05	2
AT1G13880:4749834:4749837	2.74551636325238e-05	2
AT4G03440:1527173:1527399	3.35744621341213e-05	3
AT4G24740:12755048:12755141	3.50725604682215e-05	3
AT4G31150:15144317:15144492	3.55816211051523e-05	3
AT4G38380:17974419:17974518	3.76669501235999e-05	3
AT5G63700:25494407:25494577	4.32319275253256e-05	3
AT2G47640:19537859:19537862	5.0229974550578e-05	2
AT1G80780:30358295:30358378	5.45765645969928e-05	3
AT2G03140:950208:950308	5.52589787499428e-05	3
AT2G04690:1646031:1646154	5.66407582105255e-05	3
AT2G25740:10980344:10980620	6.16573734657404e-05	3
AT3G09600:2948155:2948177	6.417184267818e-05	2
AT2G30480:12988669:12988673	7.44116421576342e-05	2
AT4G01510:642979:643086	7.93258823085325e-05	3
AT2G15000:6481827:6481870	7.98149647198166e-05	2
AT4G33650:16164959:16164962	7.98149647198166e-05	2
AT4G08980:5758484:5758981	8.19679272681092e-05	3
AT4G32590:15721807:15722015	8.3761341108884e-05	3
AT5G10710:3382197:3382326	8.92974233992971e-05	3
AT5G37850:15065479:15065604	9.40920965975288e-05	3
AT5G60940:24523687:24523779	9.80485257113029e-05	3
AT1G05950:1804951:1804962	0.000136938951756154	2
AT1G15490:5323152:5323157	0.00015170740104064	2
AT1G68140:25540793:25541435	0.000200531848116505	2
AT2G38280:16033726:16033741	0.000296946687499302	2
AT2G38710:16186904:16186915	0.000307620737306634	2
AT1G07700:2379729:2379798	0.000318482335670729	2
AT1G79270:29815873:29816510	0.000329531434933257	2
AT1G79270:29815873:29816515	0.000340767987440411	2
AT3G01310:101513:101531	0.000363803261596004	2
AT3G11470:3611723:3611728	0.000387587776997571	2
AT3G54500:20178157:20178160	0.000412121152577584	2
AT1G70610:26622786:26622797	0.000450324495375161	2
AT3G63480:23442677:23442689	0.000463432960364871	2
AT4G38380:17974504:17974518	0.000531778273662965	2
AT5G01660:248875:248979	0.000560423571878056	2
AT4G14965:8552747:8552769	0.000589815255097586	2
AT5G37340:14789310:14789342	0.000619952942797077	2
AT5G44290:17843414:17843432	0.000650836254524466	2
AT4G01600:693500:693515	0.000650836254524466	2
AT5G46740:18967802:18967822	0.00066655740052715	2
AT1G05400:1584581:1584588	0.000714838228616703	2
AT1G23230:8246298:8246303	0.000834005503947885	2
AT1G29040:10134536:10134621	0.000887864966629213	2
AT1G47550:17462224:17462227	0.000924699582994246	2
AT1G49980:18511962:18511998	0.000962276402576902	2
AT4G23270:12173873:12173940	0.000962276402576902	2
AT4G21585:11478539:11478617	0.000981343019907014	2
AT1G01060:35471:35474	0.00100727123426767	1
AT1G11880:4009648:4009670	0.00100727123426767	1
AT3G49500:18353226:18353466	0.00102003243234875	2
AT1G68820:25866864:25866882	0.00107945628371272	2
AT3G49500:18353210:18353443	0.00107945628371272	2
AT1G78690:29597190:29597235	0.00111999811961001	2
AT1G78690:29597210:29597235	0.00114054667575887	2
AT1G79270:29816510:29816515	0.00120330232794381	2
AT1G80270:30181053:30181077	0.00122459071520506	2
AT2G36792:15421484:15421504	0.00147095194003345	2
AT2G43500:18062595:18062599	0.00149445527091943	2
AT3G05380:1539728:1539763	0.00154201469759122	2
AT5G01950:369786:369894	0.00166413551701972	2
AT4G11970:7183002:7183006	0.00168911168845813	2
AT4G15090:8614273:8614344	0.00171427175200329	2
AT1G16610:5676006:5676107	0.00181674998112194	2
AT4G39390:18315838:18315860	0.00184282879564331	2
AT5G15070:4876966:4876984	0.00192216669997353	2
AT5G37850:15065479:15065512	0.00200315580265838	2
AT1G29357:10275147:10275219	0.00201435221993189	1
AT2G32120:13653414:13653427	0.00201435221993189	1
AT5G44750:18056573:18056585	0.00205806523999087	2
AT1G02960:667281:667372	0.00214180350423746	2
AT1G12750:4347790:4348240	0.00222718956460087	2
AT1G23360:8296342:8296418	0.00234359867954957	2
AT1G27770:9675232:9675308	0.00240289997337615	2
AT1G56612:21214789:21215106	0.00252369414577387	2
AT2G17970:7819425:7819511	0.00277403826153386	2
AT2G28550:12226861:12227013	0.00302124298094968	1
AT1G58025:21459428:21459431	0.00302124298094968	1
AT2G36360:15246743:15246762	0.00302124298094968	1
AT2G43920:18190340:18190560	0.00310335435681551	2
AT3G08840:2682193:2682386	0.00334468519450089	2
AT3G09800:3007938:3008347	0.00341526923954584	2
AT3G13970:4613968:4614055	0.00345083308959663	2
AT3G14150:4692688:4692926	0.00348657809526224	2
AT3G20070:7006635:7006733	0.00352250420949527	2
AT3G22190:7833556:7833722	0.00355861138525285	2
AT3G54500:20178804:20178940	0.00377905409798342	2
AT1G72640:27346899:27346919	0.00402794354127653	1
AT3G26670:9800608:9800684	0.00402794354127653	1
AT4G33625:16153345:16153715	0.00408309697270065	2
AT5G11210:3571668:3571869	0.0043586040234995	2
AT5G26680:9311956:9312106	0.00443894127750975	2
AT5G50915:20710590:20710724	0.004479379828762	2
AT1G06960:2137146:2137263	0.00464293243377752	2
AT1G16560:5668739:5668918	0.00468426995044093	2
AT1G18660:6421303:6421397	0.00472578711944716	2
AT1G31850:11430452:11431135	0.0048936513809165	2
AT1G49980:18511962:18512089	0.00502143362884307	2
AT5G15540:5056209:5056217	0.00503445392486644	1
AT3G54750:20267726:20267729	0.00503445392486644	1
AT1G54030:20169029:20169099	0.00506438632847907	2
AT1G66760:24902358:24902436	0.00523798896225233	2
AT1G70100:26405496:26405597	0.00528183734522765	2
AT2G04790:1679909:1680014	0.00554868492235383	2
AT2G23985:10205501:10205622	0.00573015823452043	2
AT2G27340:11697163:11697448	0.00586813792574389	2
AT2G32250:13696288:13696411	0.0059610164023499	2
AT2G02148:549318:549322	0.00604077415567189	1
AT5G14770:4772586:4772589	0.00604077415567189	1
AT3G58930:21780014:21780122	0.00604077415567189	1
AT3G03773:952866:953062	0.00624392939178488	2
AT3G04020:1040958:1041064	0.00629170487647602	2
AT3G16030:5441869:5441935	0.00633965832786812	2
AT3G19460:6748909:6748990	0.00648458601487628	2
AT3G23480:8420426:8420495	0.00653325086572091	2
AT3G48190:17814285:17814375	0.00663111371983685	2
AT3G48880:18127230:18127860	0.00672968713243077	2
AT4G01915:827717:827800	0.00692896413854183	2
AT2G45023:18571165:18571179	0.00704690425764387	1
AT5G16280:5326521:5326524	0.00704690425764387	1
AT4G32000:15475966:15475969	0.00704690425764387	1
AT4G34140:16352079:16352341	0.00728452544083555	2
AT4G34310:16418893:16418993	0.00733602841693664	2
AT5G06265:1906424:1906566	0.00738770837915612	2
AT5G48545:19677600:19677693	0.00780751398076874	2
AT5G64460:25775305:25775354	0.00802165586890902	2
AT1G07170:2200329:2200462	0.00805284425473182	1
AT5G10330:3249837:3249870	0.00805284425473182	1
AT3G26890:9910872:9910944	0.00807563240765354	2
AT1G01740:274166:274170	0.00905859417088372	1
AT3G52170:19349132:19349146	0.00905859417088372	1
AT2G37060:15576311:15576335	0.00905859417088372	1
