Name	Score	Freq
AT1G10840:3610174:3610289	9.18262731833627e-13	4
AT5G49970:20332470:20332486	5.3337751853591e-12	4
AT2G36680:15369367:15369448	3.33312249483229e-11	4
AT2G35390:14897216:14897437	3.48767670796139e-11	4
AT2G35390:14897108:14897215	5.02830038499832e-11	4
AT2G09545+AT2G44798:18469583:18470769	5.40540573668233e-11	3
AT1G18950:6550670:6550681	7.03046868656073e-11	4
AT3G49060+AT3G49055:18191186:18191703	7.23204642162875e-11	4
AT2G22570:9589983:9590080	7.71923733938615e-11	4
AT3G26890+AT3G26900:9910945:9911367	9.6623935145697e-11	4
AT3G09670:2966514:2966520	1.07627790068654e-10	3
AT5G35330:13525621:13525641	3.35075657245829e-10	4
AT3G26890+AT3G26900:9910873:9910944	3.52563743483873e-10	4
AT5G18620:6196327:6196335	4.61293657625780e-10	4
AT1G23080:8182206:8182217	4.72292725503314e-10	4
AT4G26630:13435596:13435651	4.98229766938293e-10	3
AT1G54030:20169030:20169099	5.36344842539494e-10	4
AT4G26965:13539829:13539832	5.86865217360866e-10	4
AT3G14415:4819755:4819772	6.20201656726363e-10	4
AT4G17570:9785984:9785995	7.56028012351524e-10	4
AT1G77890+AT1G77910:29293273:29293278	8.17009194900204e-10	4
AT4G32590:15721808:15722015	1.0002402990914e-09	3
AT2G02370:621366:621374	1.03727877384243e-09	3
AT3G09800:3007939:3008263	2.47156312799132e-09	4
AT4G09980:6249105:6249115	2.75869865895141e-09	3
AT5G15270:4960734:4960847	3.13434352979396e-09	3
AT1G10590:3503370:3503373	3.37530838539592e-09	3
AT3G14010:4638933:4638938	4.76663307542181e-09	3
AT1G08900:2852604:2852715	5.52926528877222e-09	3
AT1G54440:20326957:20327359	5.53483895899991e-09	4
AT1G55490:20718707:20718830	5.8795465678893e-09	3
AT1G53490+AT1G07887:19963267:19964105	5.8795465678893e-09	3
AT2G43500:18062596:18062599	6.49568704870691e-09	3
AT4G01960:852720:852974	6.62386367469192e-09	3
AT3G14150:4692927:4692930	7.01848615870816e-09	3
AT2G41640+AT2G41650:17362645:17362890	7.15342739971613e-09	3
AT1G27770:9675233:9675308	8.44652609588966e-09	3
AT3G04610:1254283:1254768	8.75369591664694e-09	4
AT3G21175:7423762:7424132	8.90985724994305e-09	3
AT4G28706+AT4G28710:14168655:14168707	8.92845237238117e-09	4
AT2G41640+AT2G41650:17362891:17363788	9.38982629809829e-09	4
AT2G06025:2351549:2351671	9.76088675616785e-09	4
AT3G56130:20827694:20827900	1.05074057888079e-08	4
AT4G28706+AT4G28710:14168911:14169061	1.07077456492185e-08	4
AT2G02080:520977:520980	1.07533146119328e-08	3
AT2G02790:790798:790895	1.30364583647702e-08	3
AT4G28706+AT4G28710:14168464:14168538	1.3105654687559e-08	4
AT5G46410+AT5G46420:18827998:18828786	1.358155766977e-08	4
AT1G53800:20082696:20082705	1.47252692626674e-08	3
AT1G13570+AT1G13560:4641546:4641554	1.72768793029009e-08	3
AT1G55490:20718831:20718847	1.9838135891441e-08	3
AT1G67700:25375713:25375726	2.24938694896654e-08	4
AT1G21170:7415873:7415924	2.26407136845509e-08	3
AT5G63510:25424966:25425046	2.29346619454195e-08	3
AT3G06400:1944683:1944688	2.41358893414166e-08	3
AT5G53140:21548797:21549020	2.86693165376904e-08	3
AT2G16930:7341211:7341247	3.07741507299238e-08	3
AT5G19320+AT5G19330:6505096:6506974	3.22096578402956e-08	4
AT5G40810:16340260:16340588	3.41206592103499e-08	3
AT3G23480+AT3G23470:8420427:8420495	3.64812529839176e-08	3
AT2G02370:621375:621820	3.64812529839176e-08	3
AT5G65050:25982600:25984680	3.9369925798963e-08	3
AT5G63700:25494408:25494577	4.10870518353584e-08	3
AT5G63190:25345803:25345811	4.28533768893064e-08	3
AT5G50915:20710591:20710724	4.28533768893064e-08	3
AT5G46410+AT5G46420:18827427:18827764	4.54554781543502e-08	4
AT4G24730:12753644:12754010	4.60649180896439e-08	3
AT2G39730:16571180:16571190	4.87822808914422e-08	4
AT3G45040:16473016:16473100	4.99271198970646e-08	3
AT2G41840+AT2G41835:17457699:17458760	5.0975431071919e-08	4
AT5G20490:6936002:6936145	6.19878434632347e-08	4
AT4G31150:15144318:15144492	6.3958191695799e-08	3
AT1G78690:29597211:29597235	6.69267063967376e-08	3
AT3G26890+AT3G26900:9907639:9908052	6.83506079611134e-08	4
AT3G19460:6748905:6748909	7.77041204869315e-08	3
AT1G55490:20718848:20718885	7.77041204869315e-08	3
AT3G26890+AT3G26900:9913212:9913299	7.82197955822465e-08	4
AT3G24575+AT3G04755:8967516:8968260	7.90432428065906e-08	3
AT2G04790:1679887:1679909	8.10806239069577e-08	3
AT3G03773:952867:953062	8.31527021191692e-08	3
AT3G26890+AT3G26900:9909318:9910792	8.61918509493827e-08	4
AT3G26890+AT3G26900:9913002:9913084	8.63296751888317e-08	4
AT2G06025:2350116:2350118	9.03139745746374e-08	3
