ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference		
418	AT4G33650	NA	chr4	+	16164959	16165058	16164962	16165058	16164757	16164871	418	26,26,22,34,32,31	63,131,55,77,97,63	6,3,6,12,10,5	117,74,54,99,103,33	152	149	0.000277099081183	0.0415475434848761	0.288,0.163,0.282,0.302,0.244,0.325	0.048,0.038,0.098,0.106,0.087,0.129	0.183		
938	AT1G72640	NA	chr1	-	27346745	27346919	27346745	27346899	27347084	27347147	938	70,153,107,86,141,104	35,42,43,29,39,31	2.8721624631637E+017	29,25,15,20,36,17	169	149	0.0000747401385373	0.0149417993625819	0.638,0.763,0.687,0.723,0.761,0.747	0.897,0.884,0.935,0.933,0.901,0.838	-0.178		
1006	AT3G26890	NA	chr3	-	9908834	9909086	9908834	9909083	9909317	9910792	1006	1.41221195178231E+017	61,96,75,53,86,70	159,117,131,216,170,77	116,101,124,170,157,61	152	149	0.0000975472347373	0.0180012166257525	0.694,0.693,0.718,0.767,0.725,0.737	0.573,0.532,0.509,0.555,0.515,0.553	0.183		
1147	AT4G17310	NA	chr4	-	9685185	9685710	9685185	9685454	9686443	9686616	1147	18,15,16,16,15,17	13,25,10,8,16,11	23,20,18,56,28,14	2,1,4,5,0,2	405	149	2.03000416477E-09	4.86997999128323E-06	0.337,0.181,0.371,0.424,0.256,0.362	0.809,0.88,0.623,0.805,1.0,0.72	-0.484		
1148	AT4G17310	NA	chr4	-	9685185	9686024	9685185	9685454	9686443	9686616	1148	54,44,52,45,59,47	13,25,10,8,16,11	40,51,32,101,57,27	2,1,4,5,0,2	719	149	3.14300483339E-06	0.00185479146954799	0.463,0.267,0.519,0.538,0.433,0.47	0.806,0.914,0.624,0.807,1.0,0.737	-0.366		
1245	AT1G10590	NA	chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1245	3,5,3,3,15,3	25,26,38,19,45,21	9,4,3,5,4,4	3,0,2,4,3,1	194	149	3.86575962807E-06	0.00185479146954799	0.084,0.129,0.057,0.108,0.204,0.099	0.697,1.0,0.535,0.49,0.506,0.754	-0.55		
1465	AT3G04630	NA	chr3	+	1259566	1259661	1259569	1259661	1259226	1259461	1465	54,82,53,52,62,59	42,71,68,41,89,78	100,61,49,107,93,29	23,11,23,46,40,13	152	149	0.00003243163845	0.00875182480439079	0.558,0.531,0.433,0.554,0.406,0.426	0.81,0.845,0.676,0.695,0.695,0.686	-0.25		
1627	AT1G15280	NA	chr1	+	5253545	5253751	5253548	5253751	5253287	5253387	1627	1.34234174158147E+017	1.00182160123173E+017	192,132,129,198,255,77	70,61,43,79,81,26	152	149	5.26829068115E-06	0.00210643822401314	0.568,0.558,0.516,0.557,0.454,0.481	0.729,0.68,0.746,0.711,0.755,0.744	-0.205		
1706	AT2G02480	NA	chr2	+	660994	663150	661005	663150	660654	660863	1706	7,7,6,2,7,5	14,14,13,7,13,19	0,2,0,0,0,0	13,12,10,20,16,1	160	149	0.0000368085532414	0.00883037192261186	0.318,0.318,0.301,0.21,0.334,0.197	0.0,0.134,0.0,0.0,0.0,0.0	0.257		
1798	AT4G03110	NA	chr4	-	1377076	1377410	1377076	1377407	1377507	1377687	1798	9.81671201251401E+016	47,85,64,65,86,70	185,97,161,195,200,98	34,23,19,40,34,15	152	149	7.32711717188E-07	0.000585925136511337	0.671,0.658,0.648,0.653,0.615,0.644	0.842,0.805,0.893,0.827,0.852,0.865	-0.199		
2027	AT5G06265	NA	chr5	+	1906563	1906766	1906566	1906766	1905778	1906424	2027	4,3,6,2,6,3	1,5,9,0,1,1	0,2,0,5,4,1	9,14,5,13,11,4	152	149	0.000178728400074	0.030626387984109	0.797,0.37,0.395,1.0,0.855,0.746	0.0,0.123,0.0,0.274,0.263,0.197	0.551		
2180	AT3G01710	NA	chr3	-	260471	260546	260471	260537	260628	260687	2180	2,8,5,7,6,4	2,4,5,1,6,2	12,7,3,9,14,2	2,0,0,2,0,0	158	149	0.000214673041123	0.0343333750436051	0.485,0.654,0.485,0.868,0.485,0.654	0.85,1.0,1.0,0.809,1.0,1.0	-0.338		
2316	AT2G31900	NA	chr2	-	13562637	13562796	13562637	13562793	13562886	13563057	2316	6,14,6,5,8,8	3,2,6,3,7,5	10,13,2,10,8,4	0,1,0,0,1,0	152	149	0.0000328330234429	0.00875182480439079	0.662,0.873,0.495,0.62,0.528,0.611	1.0,0.927,1.0,1.0,0.887,1.0	-0.337		
2328	AT2G32700	NA	chr2	+	13870116	13870261	13870122	13870261	13869710	13869938	2328	126,190,153,98,142,149	1.47186162117168E+017	53,47,70,69,70,35	166,108,149,174,203,86	155	149	0.0000510689583091	0.0111376755439574	0.452,0.495,0.476,0.446,0.448,0.434	0.235,0.295,0.311,0.276,0.249,0.281	0.184		
2387	AT2G37480	NA	chr2	+	15739249	15739848	15739252	15739848	15738603	15738899	2387	4.12576543441645E+017	1.38247193136277E+017	5.86335435615705E+017	78,32,68,85,96,28	152	149	0.0000200540014917	0.00687279279694119	0.745,0.696,0.734,0.761,0.695,0.751	0.88,0.911,0.862,0.876,0.878,0.897	-0.154		
2483	AT2G47640	NA	chr2	+	19537859	19537937	19537862	19537937	19537504	19537529	2483	77,137,116,78,85,112	1.50235253174256E+017	135,99,132,163,211,75	102,77,104,130,203,74	152	149	2.57321310926E-08	3.08656912455737E-05	0.335,0.364,0.31,0.305,0.246,0.325	0.565,0.558,0.554,0.551,0.505,0.498	-0.224		
2611	AT5G20950	NA	chr5	-	7110561	7110819	7110561	7110797	7111195	7111453	2611	47,51,54,48,50,44	1.52281243242272E+017	86,60,61,144,104,35	159,110,144,274,182,52	171	149	0.00029522531568	0.04166150190096	0.212,0.137,0.162,0.147,0.138,0.138	0.32,0.322,0.27,0.314,0.332,0.37	-0.166		
66	AT5G44750	NA	chr5	+	18056513	18056585	18056513	18056573	18056667	18056754	66	4,12,14,9,20,6	3,14,8,5,8,6	2,1,0,2,7,5	18,10,7,10,27,5	161	149	9.69827077391E-06	0.000323534313017638	0.552,0.442,0.618,0.625,0.698,0.481	0.093,0.085,0.0,0.156,0.194,0.481	0.401		
84	AT5G37340	NA	chr5	-	14789310	14789409	14789342	14789409	14789165	14789219	84	3,3,5,1,1,0	0,0,2,2,0,1	0,3,0,3,0,0	2,0,1,0,5,1	181	149	0.000010877820541	0.000355768718870353	1.0,1.0,0.673,0.292,1.0,0.0	0.0,1.0,0.0,1.0,0.0,0.0	0.327		
123	AT5G18820	NA	chr5	+	6271953	6272091	6271953	6272075	6272195	6272403	123	3,2,1,5,1,0	6,11,22,9,2,6	11,3,4,7,5,3	1,7,1,2,5,1	165	149	0.0000303793254355	0.000904869907614536	0.311,0.141,0.039,0.334,0.311,0.0	0.909,0.279,0.783,0.76,0.475,0.73	-0.467		
