	Geneid	Start	Cai	Parker	Sun	Wang
0	AT2G41640+AT2G41650	17362891	-2.51762390110897		-1.75304614898119	-1.61846550086209
1	AT1G15125+AT1G15120	5205565	-2.34518185082093		-0.582549531216156	
2	AT5G46410+AT5G46420	18826658	1.1601449115328	0.364211766615235	0.782004870659664	
3	AT5G46410+AT5G46420	18827427	1.16541234754096	0.323139608081398	0.795732808146365	
4	AT4G32590	15721808	2.51777952538887	2.1851284197169	2.42226903017531	
5	AT2G41640+AT2G41650	17362645	-2.40115451190066		-1.66732992472715	-1.81784617283707
6	AT1G15125+AT1G15120	5204758	-2.15129015055719		-0.450321753847208	
7	AT1G15125+AT1G15120	5205126	-2.34079354074709		-0.486701265959034	
8	AT1G06680+AT1G06670	2046476	0.649225386459641			
9	AT5G46410+AT5G46420	18825916	1.18707248942756	0.288243017140257	0.948876634611672	
10	AT1G06680+AT1G06670	2045873	0.742067062347946			
11	AT1G06680+AT1G06670	2044707	0.710801004765271			
12	AT5G46410+AT5G46420	18827998	1.09043336314672	0.430842636244758	0.804031972355061	0.847770310476737
13	AT1G06680+AT1G06670	2043590	0.746445570017034			
14	AT5G56100+AT5G56090	22716998	-1.53949087950665			
15	AT1G23080	8182206	0.979718866145813	0.878638334341909	1.18886575378008	0.890728405286287
16	AT2G35390	14897108	1.3313490117039	1.25690006201527	1.2002876465126	
17	AT3G14415	4819755	1.16398574036451	0.81935094903208	0.587745462688675	
18	AT3G26890+AT3G26900	9910945	1.44332418522988	0.94977723192118	1.25974533793028	1.35658519500703
19	AT4G26530+AT4G26520+AT4G26510	13387771	0.641636829587219			
20	AT5G22450+AT5G22460	7443508	0.82162477267844	0.58239515648714	1.51751188563938	
21	AT1G77060+AT1G77030	28951656	-0.630110276159709			
22	AT5G22450+AT5G22460	7444043	0.814421428938831	0.686486289762449	1.24474086884107	
23	AT4G34840+AT4G34850	16609293	6.66416442764936			
24	AT5G22450+AT5G22460	7444395	0.907762791405201	0.876501479028246	1.42172297065502	
25	AT2G35390	14897216	1.13949104367484	1.22587394543084	1.25374572344797	
26	AT4G31780+AT4G31790	15377972	0.673640674310201			
27	AT1G08900	2852604	2.20278860239068	2.29073810429165	1.51712420620664	
